Rainfall - (MM), Year, Statistics, Country, ISO3
130.263, 1901, Jan Average, Angola, AGO
150.222, 1901, Feb Average, Angola, AGO
147.341, 1901, Mar Average, Angola, AGO
131.265, 1901, Apr Average, Angola, AGO
20.9583, 1901, May Average, Angola, AGO
0.53754, 1901, Jun Average, Angola, AGO
0.27239, 1901, Jul Average, Angola, AGO
2.51519, 1901, Aug Average, Angola, AGO
16.0608, 1901, Sep Average, Angola, AGO
51.721, 1901, Oct Average, Angola, AGO
100.753, 1901, Nov Average, Angola, AGO
179.101, 1901, Dec Average, Angola, AGO
142.549, 1902, Jan Average, Angola, AGO
126.478, 1902, Feb Average, Angola, AGO
139.531, 1902, Mar Average, Angola, AGO
83.3626, 1902, Apr Average, Angola, AGO
19.7661, 1902, May Average, Angola, AGO
0.52345, 1902, Jun Average, Angola, AGO
0.26673, 1902, Jul Average, Angola, AGO
2.52696, 1902, Aug Average, Angola, AGO
21.2032, 1902, Sep Average, Angola, AGO
69.7453, 1902, Oct Average, Angola, AGO
140.326, 1902, Nov Average, Angola, AGO
235.655, 1902, Dec Average, Angola, AGO
168.25, 1903, Jan Average, Angola, AGO
194.435, 1903, Feb Average, Angola, AGO
129.735, 1903, Mar Average, Angola, AGO
112.593, 1903, Apr Average, Angola, AGO
7.09989, 1903, May Average, Angola, AGO
0.52435, 1903, Jun Average, Angola, AGO
0.25538, 1903, Jul Average, Angola, AGO
8.7248, 1903, Aug Average, Angola, AGO
33.1352, 1903, Sep Average, Angola, AGO
117.319, 1903, Oct Average, Angola, AGO
111.091, 1903, Nov Average, Angola, AGO
146.896, 1903, Dec Average, Angola, AGO
146.937, 1904, Jan Average, Angola, AGO
139.548, 1904, Feb Average, Angola, AGO
139.31, 1904, Mar Average, Angola, AGO
104.085, 1904, Apr Average, Angola, AGO
19.0299, 1904, May Average, Angola, AGO
0.5684, 1904, Jun Average, Angola, AGO
0.2032, 1904, Jul Average, Angola, AGO
2.12628, 1904, Aug Average, Angola, AGO
