Rainfall - (MM), Year, Statistics, Country, ISO3
97.6007, 1901, Jan Average, Albania, ALB
136.941, 1901, Feb Average, Albania, ALB
113.636, 1901, Mar Average, Albania, ALB
29.9409, 1901, Apr Average, Albania, ALB
101.971, 1901, May Average, Albania, ALB
143.239, 1901, Jun Average, Albania, ALB
32.7637, 1901, Jul Average, Albania, ALB
44.4383, 1901, Aug Average, Albania, ALB
72.4248, 1901, Sep Average, Albania, ALB
160.129, 1901, Oct Average, Albania, ALB
140.36, 1901, Nov Average, Albania, ALB
170.693, 1901, Dec Average, Albania, ALB
78.388, 1902, Jan Average, Albania, ALB
199.122, 1902, Feb Average, Albania, ALB
125.268, 1902, Mar Average, Albania, ALB
71.26, 1902, Apr Average, Albania, ALB
121.504, 1902, May Average, Albania, ALB
37.2621, 1902, Jun Average, Albania, ALB
12.6201, 1902, Jul Average, Albania, ALB
22.9976, 1902, Aug Average, Albania, ALB
110.993, 1902, Sep Average, Albania, ALB
134.173, 1902, Oct Average, Albania, ALB
97.8366, 1902, Nov Average, Albania, ALB
113.11, 1902, Dec Average, Albania, ALB
47.8805, 1903, Jan Average, Albania, ALB
43.3386, 1903, Feb Average, Albania, ALB
88.7146, 1903, Mar Average, Albania, ALB
160.662, 1903, Apr Average, Albania, ALB
70.5468, 1903, May Average, Albania, ALB
69.6605, 1903, Jun Average, Albania, ALB
30.1105, 1903, Jul Average, Albania, ALB
17.637, 1903, Aug Average, Albania, ALB
18.1398, 1903, Sep Average, Albania, ALB
92.9206, 1903, Oct Average, Albania, ALB
115.11, 1903, Nov Average, Albania, ALB
184.649, 1903, Dec Average, Albania, ALB
96.5815, 1904, Jan Average, Albania, ALB
117.954, 1904, Feb Average, Albania, ALB
81.1257, 1904, Mar Average, Albania, ALB
66.5059, 1904, Apr Average, Albania, ALB
69.4857, 1904, May Average, Albania, ALB
92.0214, 1904, Jun Average, Albania, ALB
18.0792, 1904, Jul Average, Albania, ALB
17.8529, 1904, Aug Average, Albania, ALB
78.966, 1904, Sep Average, Albania, ALB
185.655, 1904, Oct Average, Albania, ALB
66.6189, 1904, Nov Average, Albania, ALB
93.3548, 1904, Dec Average, Albania, ALB
99.4014, 1905, Jan Average, Albania, ALB
77.2283, 1905, Feb Average, Albania, ALB
87.6895, 1905, Mar Average, Albania, ALB
59.3152, 1905, Apr Average, Albania, ALB
66.4143, 1905, May Average, Albania, ALB
60.0929, 1905, Jun Average, Albania, ALB
23.0975, 1905, Jul Average, Albania, ALB
69.183, 1905, Aug Average, Albania, ALB
54.7379, 1905, Sep Average, Albania, ALB
207.94, 1905, Oct Average, Albania, ALB
109.074, 1905, Nov Average, Albania, ALB
39.2179, 1905, Dec Average, Albania, ALB
121.081, 1906, Jan Average, Albania, ALB
117.411, 1906, Feb Average, Albania, ALB
72.497, 1906, Mar Average, Albania, ALB
32.7336, 1906, Apr Average, Albania, ALB
105.876, 1906, May Average, Albania, ALB
173.229, 1906, Jun Average, Albania, ALB
21.8056, 1906, Jul Average, Albania, ALB
26.4375, 1906, Aug Average, Albania, ALB
63.2431, 1906, Sep Average, Albania, ALB
108.452, 1906, Oct Average, Albania, ALB
77.6476, 1906, Nov Average, Albania, ALB
210.178, 1906, Dec Average, Albania, ALB
149.234, 1907, Jan Average, Albania, ALB
134.167, 1907, Feb Average, Albania, ALB
50.099, 1907, Mar Average, Albania, ALB
127.893, 1907, Apr Average, Albania, ALB
45.872, 1907, May Average, Albania, ALB
70.5145, 1907, Jun Average, Albania, ALB
15.2791, 1907, Jul Average, Albania, ALB
22.8855, 1907, Aug Average, Albania, ALB
20.0173, 1907, Sep Average, Albania, ALB
115.169, 1907, Oct Average, Albania, ALB
98.9542, 1907, Nov Average, Albania, ALB
138.74, 1907, Dec Average, Albania, ALB
79.5191, 1908, Jan Average, Albania, ALB
97.36, 1908, Feb Average, Albania, ALB
