Rainfall - (MM), Year, Statistics, Country, ISO3
2.26614, 1901, Jan Average, United Arab Emirates, ARE
14.3509, 1901, Feb Average, United Arab Emirates, ARE
34.3635, 1901, Mar Average, United Arab Emirates, ARE
3.26193, 1901, Apr Average, United Arab Emirates, ARE
1.09183, 1901, May Average, United Arab Emirates, ARE
0.43804, 1901, Jun Average, United Arab Emirates, ARE
0.76449, 1901, Jul Average, United Arab Emirates, ARE
0.8851, 1901, Aug Average, United Arab Emirates, ARE
0.82633, 1901, Sep Average, United Arab Emirates, ARE
0.0015, 1901, Oct Average, United Arab Emirates, ARE
0.39483, 1901, Nov Average, United Arab Emirates, ARE
7.99557, 1901, Dec Average, United Arab Emirates, ARE
0.20578, 1902, Jan Average, United Arab Emirates, ARE
6.31288, 1902, Feb Average, United Arab Emirates, ARE
1.58658, 1902, Mar Average, United Arab Emirates, ARE
6.44296, 1902, Apr Average, United Arab Emirates, ARE
0.44892, 1902, May Average, United Arab Emirates, ARE
0.43804, 1902, Jun Average, United Arab Emirates, ARE
0.41026, 1902, Jul Average, United Arab Emirates, ARE
0.8851, 1902, Aug Average, United Arab Emirates, ARE
0.82633, 1902, Sep Average, United Arab Emirates, ARE
0.60701, 1902, Oct Average, United Arab Emirates, ARE
0.51137, 1902, Nov Average, United Arab Emirates, ARE
6.07755, 1902, Dec Average, United Arab Emirates, ARE
2.83569, 1903, Jan Average, United Arab Emirates, ARE
12.9039, 1903, Feb Average, United Arab Emirates, ARE
3.63105, 1903, Mar Average, United Arab Emirates, ARE
9.21912, 1903, Apr Average, United Arab Emirates, ARE
0.44892, 1903, May Average, United Arab Emirates, ARE
9.50264, 1903, Jun Average, United Arab Emirates, ARE
0.41026, 1903, Jul Average, United Arab Emirates, ARE
0.8851, 1903, Aug Average, United Arab Emirates, ARE
0.82633, 1903, Sep Average, United Arab Emirates, ARE
0.0015, 1903, Oct Average, United Arab Emirates, ARE
0.60848, 1903, Nov Average, United Arab Emirates, ARE
2.51401, 1903, Dec Average, United Arab Emirates, ARE
1.17846, 1904, Jan Average, United Arab Emirates, ARE
4.88965, 1904, Feb Average, United Arab Emirates, ARE
10.7865, 1904, Mar Average, United Arab Emirates, ARE
1.68871, 1904, Apr Average, United Arab Emirates, ARE
4.2816, 1904, May Average, United Arab Emirates, ARE
0.43804, 1904, Jun Average, United Arab Emirates, ARE
0.41026, 1904, Jul Average, United Arab Emirates, ARE
0.8851, 1904, Aug Average, United Arab Emirates, ARE
0.82633, 1904, Sep Average, United Arab Emirates, ARE
0.0015, 1904, Oct Average, United Arab Emirates, ARE
9.42918, 1904, Nov Average, United Arab Emirates, ARE
0.70507, 1904, Dec Average, United Arab Emirates, ARE
7.63571, 1905, Jan Average, United Arab Emirates, ARE
35.3509, 1905, Feb Average, United Arab Emirates, ARE
61.0468, 1905, Mar Average, United Arab Emirates, ARE
0.916, 1905, Apr Average, United Arab Emirates, ARE
0.44892, 1905, May Average, United Arab Emirates, ARE
0.43804, 1905, Jun Average, United Arab Emirates, ARE
0.41026, 1905, Jul Average, United Arab Emirates, ARE
0.8851, 1905, Aug Average, United Arab Emirates, ARE
0.82633, 1905, Sep Average, United Arab Emirates, ARE
0.0015, 1905, Oct Average, United Arab Emirates, ARE
2.66788, 1905, Nov Average, United Arab Emirates, ARE
5.77832, 1905, Dec Average, United Arab Emirates, ARE
4.85097, 1906, Jan Average, United Arab Emirates, ARE
32.984, 1906, Feb Average, United Arab Emirates, ARE
48.6581, 1906, Mar Average, United Arab Emirates, ARE
0.916, 1906, Apr Average, United Arab Emirates, ARE
1.22452, 1906, May Average, United Arab Emirates, ARE
1.74463, 1906, Jun Average, United Arab Emirates, ARE
0.41026, 1906, Jul Average, United Arab Emirates, ARE
6.79941, 1906, Aug Average, United Arab Emirates, ARE
0.82633, 1906, Sep Average, United Arab Emirates, ARE
0.0015, 1906, Oct Average, United Arab Emirates, ARE
0.2612, 1906, Nov Average, United Arab Emirates, ARE
18.132, 1906, Dec Average, United Arab Emirates, ARE
1.55508, 1907, Jan Average, United Arab Emirates, ARE
68.2652, 1907, Feb Average, United Arab Emirates, ARE
