Rainfall - (MM), Year, Statistics, Country, ISO3
28.4255, 1901, Jan Average, Azerbaijan, AZE
10.6195, 1901, Feb Average, Azerbaijan, AZE
17.4662, 1901, Mar Average, Azerbaijan, AZE
31.818, 1901, Apr Average, Azerbaijan, AZE
75.0897, 1901, May Average, Azerbaijan, AZE
49.6949, 1901, Jun Average, Azerbaijan, AZE
17.9507, 1901, Jul Average, Azerbaijan, AZE
8.36759, 1901, Aug Average, Azerbaijan, AZE
50.2076, 1901, Sep Average, Azerbaijan, AZE
92.3798, 1901, Oct Average, Azerbaijan, AZE
31.5656, 1901, Nov Average, Azerbaijan, AZE
14.5904, 1901, Dec Average, Azerbaijan, AZE
12.4164, 1902, Jan Average, Azerbaijan, AZE
28.2248, 1902, Feb Average, Azerbaijan, AZE
33.8514, 1902, Mar Average, Azerbaijan, AZE
49.2948, 1902, Apr Average, Azerbaijan, AZE
53.01, 1902, May Average, Azerbaijan, AZE
25.4257, 1902, Jun Average, Azerbaijan, AZE
10.2314, 1902, Jul Average, Azerbaijan, AZE
33.7189, 1902, Aug Average, Azerbaijan, AZE
77.4756, 1902, Sep Average, Azerbaijan, AZE
46.7626, 1902, Oct Average, Azerbaijan, AZE
47.4712, 1902, Nov Average, Azerbaijan, AZE
15.9714, 1902, Dec Average, Azerbaijan, AZE
27.7327, 1903, Jan Average, Azerbaijan, AZE
27.5385, 1903, Feb Average, Azerbaijan, AZE
36.8771, 1903, Mar Average, Azerbaijan, AZE
43.945, 1903, Apr Average, Azerbaijan, AZE
37.9156, 1903, May Average, Azerbaijan, AZE
53.4087, 1903, Jun Average, Azerbaijan, AZE
37.2426, 1903, Jul Average, Azerbaijan, AZE
28.6519, 1903, Aug Average, Azerbaijan, AZE
28.9095, 1903, Sep Average, Azerbaijan, AZE
18.2068, 1903, Oct Average, Azerbaijan, AZE
28.2828, 1903, Nov Average, Azerbaijan, AZE
30.4311, 1903, Dec Average, Azerbaijan, AZE
25.4067, 1904, Jan Average, Azerbaijan, AZE
7.12834, 1904, Feb Average, Azerbaijan, AZE
49.3608, 1904, Mar Average, Azerbaijan, AZE
66.3272, 1904, Apr Average, Azerbaijan, AZE
100.91, 1904, May Average, Azerbaijan, AZE
42.4495, 1904, Jun Average, Azerbaijan, AZE
13.0711, 1904, Jul Average, Azerbaijan, AZE
21.5848, 1904, Aug Average, Azerbaijan, AZE
57.6515, 1904, Sep Average, Azerbaijan, AZE
36.0314, 1904, Oct Average, Azerbaijan, AZE
29.9153, 1904, Nov Average, Azerbaijan, AZE
45.4171, 1904, Dec Average, Azerbaijan, AZE
21.1992, 1905, Jan Average, Azerbaijan, AZE
18.9061, 1905, Feb Average, Azerbaijan, AZE
43.9907, 1905, Mar Average, Azerbaijan, AZE
37.0309, 1905, Apr Average, Azerbaijan, AZE
69.6775, 1905, May Average, Azerbaijan, AZE
49.1067, 1905, Jun Average, Azerbaijan, AZE
62.1392, 1905, Jul Average, Azerbaijan, AZE
43.1387, 1905, Aug Average, Azerbaijan, AZE
14.4408, 1905, Sep Average, Azerbaijan, AZE
38.9307, 1905, Oct Average, Azerbaijan, AZE
23.943, 1905, Nov Average, Azerbaijan, AZE
35.7612, 1905, Dec Average, Azerbaijan, AZE
20.2349, 1906, Jan Average, Azerbaijan, AZE
23.6384, 1906, Feb Average, Azerbaijan, AZE
20.9011, 1906, Mar Average, Azerbaijan, AZE
24.2645, 1906, Apr Average, Azerbaijan, AZE
54.0134, 1906, May Average, Azerbaijan, AZE
60.6424, 1906, Jun Average, Azerbaijan, AZE
59.2533, 1906, Jul Average, Azerbaijan, AZE
38.627, 1906, Aug Average, Azerbaijan, AZE
33.2288, 1906, Sep Average, Azerbaijan, AZE
21.0672, 1906, Oct Average, Azerbaijan, AZE
35.1567, 1906, Nov Average, Azerbaijan, AZE
49.9218, 1906, Dec Average, Azerbaijan, AZE
23.5647, 1907, Jan Average, Azerbaijan, AZE
19.328, 1907, Feb Average, Azerbaijan, AZE
39.0019, 1907, Mar Average, Azerbaijan, AZE
33.4737, 1907, Apr Average, Azerbaijan, AZE
39.3675, 1907, May Average, Azerbaijan, AZE
17.6725, 1907, Jun Average, Azerbaijan, AZE
22.2766, 1907, Jul Average, Azerbaijan, AZE
38.1563, 1907, Aug Average, Azerbaijan, AZE
41.0019, 1907, Sep Average, Azerbaijan, AZE
36.8845, 1907, Oct Average, Azerbaijan, AZE
51.9382, 1907, Nov Average, Azerbaijan, AZE
17.5861, 1907, Dec Average, Azerbaijan, AZE
30.4488, 1908, Jan Average, Azerbaijan, AZE
