Rainfall - (MM), Year, Statistics, Country, ISO3
141.455, 1901, Jan Average, Burundi, BDI
136.166, 1901, Feb Average, Burundi, BDI
84.7165, 1901, Mar Average, Burundi, BDI
139.422, 1901, Apr Average, Burundi, BDI
30.2079, 1901, May Average, Burundi, BDI
6.7984, 1901, Jun Average, Burundi, BDI
3.34576, 1901, Jul Average, Burundi, BDI
6.0103, 1901, Aug Average, Burundi, BDI
15.8529, 1901, Sep Average, Burundi, BDI
27.719, 1901, Oct Average, Burundi, BDI
59.2862, 1901, Nov Average, Burundi, BDI
58.4266, 1901, Dec Average, Burundi, BDI
60.3399, 1902, Jan Average, Burundi, BDI
61.5932, 1902, Feb Average, Burundi, BDI
57.1547, 1902, Mar Average, Burundi, BDI
77.8624, 1902, Apr Average, Burundi, BDI
54.3437, 1902, May Average, Burundi, BDI
99.5632, 1902, Jun Average, Burundi, BDI
2.11378, 1902, Jul Average, Burundi, BDI
19.0943, 1902, Aug Average, Burundi, BDI
87.4707, 1902, Sep Average, Burundi, BDI
62.1382, 1902, Oct Average, Burundi, BDI
98.0367, 1902, Nov Average, Burundi, BDI
66.2249, 1902, Dec Average, Burundi, BDI
156.075, 1903, Jan Average, Burundi, BDI
110.178, 1903, Feb Average, Burundi, BDI
176.636, 1903, Mar Average, Burundi, BDI
313.547, 1903, Apr Average, Burundi, BDI
90.2692, 1903, May Average, Burundi, BDI
32.6388, 1903, Jun Average, Burundi, BDI
4.52617, 1903, Jul Average, Burundi, BDI
4.01985, 1903, Aug Average, Burundi, BDI
64.7945, 1903, Sep Average, Burundi, BDI
132.384, 1903, Oct Average, Burundi, BDI
167.981, 1903, Nov Average, Burundi, BDI
124.112, 1903, Dec Average, Burundi, BDI
127.779, 1904, Jan Average, Burundi, BDI
178.073, 1904, Feb Average, Burundi, BDI
177.995, 1904, Mar Average, Burundi, BDI
70.9074, 1904, Apr Average, Burundi, BDI
70.5586, 1904, May Average, Burundi, BDI
3.59677, 1904, Jun Average, Burundi, BDI
2.03506, 1904, Jul Average, Burundi, BDI
24.2641, 1904, Aug Average, Burundi, BDI
30.0291, 1904, Sep Average, Burundi, BDI
69.3212, 1904, Oct Average, Burundi, BDI
112.229, 1904, Nov Average, Burundi, BDI
181.69, 1904, Dec Average, Burundi, BDI
164.282, 1905, Jan Average, Burundi, BDI
63.9412, 1905, Feb Average, Burundi, BDI
234.267, 1905, Mar Average, Burundi, BDI
176.178, 1905, Apr Average, Burundi, BDI
18.3169, 1905, May Average, Burundi, BDI
3.98866, 1905, Jun Average, Burundi, BDI
1.22418, 1905, Jul Average, Burundi, BDI
7.05495, 1905, Aug Average, Burundi, BDI
64.2043, 1905, Sep Average, Burundi, BDI
64.2336, 1905, Oct Average, Burundi, BDI
182.869, 1905, Nov Average, Burundi, BDI
222.923, 1905, Dec Average, Burundi, BDI
75.1572, 1906, Jan Average, Burundi, BDI
140.33, 1906, Feb Average, Burundi, BDI
224.195, 1906, Mar Average, Burundi, BDI
240.65, 1906, Apr Average, Burundi, BDI
34.512, 1906, May Average, Burundi, BDI
12.2822, 1906, Jun Average, Burundi, BDI
2.2562, 1906, Jul Average, Burundi, BDI
11.3029, 1906, Aug Average, Burundi, BDI
53.275, 1906, Sep Average, Burundi, BDI
104.087, 1906, Oct Average, Burundi, BDI
72.6036, 1906, Nov Average, Burundi, BDI
80.6366, 1906, Dec Average, Burundi, BDI
57.4672, 1907, Jan Average, Burundi, BDI
142.849, 1907, Feb Average, Burundi, BDI
105.377, 1907, Mar Average, Burundi, BDI
288.468, 1907, Apr Average, Burundi, BDI
104.567, 1907, May Average, Burundi, BDI
14.3713, 1907, Jun Average, Burundi, BDI
0.52249, 1907, Jul Average, Burundi, BDI
9.44607, 1907, Aug Average, Burundi, BDI
46.7769, 1907, Sep Average, Burundi, BDI
55.1726, 1907, Oct Average, Burundi, BDI
129.908, 1907, Nov Average, Burundi, BDI
99.7043, 1907, Dec Average, Burundi, BDI
141.977, 1908, Jan Average, Burundi, BDI
119.305, 1908, Feb Average, Burundi, BDI
68.3419, 1908, Mar Average, Burundi, BDI
233.684, 1908, Apr Average, Burundi, BDI
105.344, 1908, May Average, Burundi, BDI
6.10439, 1908, Jun Average, Burundi, BDI
4.52663, 1908, Jul Average, Burundi, BDI
18.1121, 1908, Aug Average, Burundi, BDI
18.9533, 1908, Sep Average, Burundi, BDI
70.0299, 1908, Oct Average, Burundi, BDI
150.526, 1908, Nov Average, Burundi, BDI
151.761, 1908, Dec Average, Burundi, BDI
89.976, 1909, Jan Average, Burundi, BDI
73.3525, 1909, Feb Average, Burundi, BDI
145.265, 1909, Mar Average, Burundi, BDI
181.236, 1909, Apr Average, Burundi, BDI
40.4044, 1909, May Average, Burundi, BDI
0.9245, 1909, Jun Average, Burundi, BDI
3.90214, 1909, Jul Average, Burundi, BDI
22.6345, 1909, Aug Average, Burundi, BDI
99.2653, 1909, Sep Average, Burundi, BDI
28.4846, 1909, Oct Average, Burundi, BDI
87.6668, 1909, Nov Average, Burundi, BDI
119.778, 1909, Dec Average, Burundi, BDI
147.949, 1910, Jan Average, Burundi, BDI
57.7468, 1910, Feb Average, Burundi, BDI
139.151, 1910, Mar Average, Burundi, BDI
181.921, 1910, Apr Average, Burundi, BDI
82.6684, 1910, May Average, Burundi, BDI
0.93889, 1910, Jun Average, Burundi, BDI
7.66154, 1910, Jul Average, Burundi, BDI
16.4277, 1910, Aug Average, Burundi, BDI
16.1938, 1910, Sep Average, Burundi, BDI
48.6029, 1910, Oct Average, Burundi, BDI
156.03, 1910, Nov Average, Burundi, BDI
140.871, 1910, Dec Average, Burundi, BDI
126.549, 1911, Jan Average, Burundi, BDI
53.746, 1911, Feb Average, Burundi, BDI
182.546, 1911, Mar Average, Burundi, BDI
186.349, 1911, Apr Average, Burundi, BDI
51.5279, 1911, May Average, Burundi, BDI
6.11533, 1911, Jun Average, Burundi, BDI
1.47707, 1911, Jul Average, Burundi, BDI
13.2781, 1911, Aug Average, Burundi, BDI
10.4851, 1911, Sep Average, Burundi, BDI
39.8829, 1911, Oct Average, Burundi, BDI
209.139, 1911, Nov Average, Burundi, BDI
84.9536, 1911, Dec Average, Burundi, BDI
170.202, 1912, Jan Average, Burundi, BDI
137.723, 1912, Feb Average, Burundi, BDI
97.6003, 1912, Mar Average, Burundi, BDI
321.93, 1912, Apr Average, Burundi, BDI
27.4686, 1912, May Average, Burundi, BDI
5.56554, 1912, Jun Average, Burundi, BDI
3.55497, 1912, Jul Average, Burundi, BDI
51.9493, 1912, Aug Average, Burundi, BDI
145.813, 1912, Sep Average, Burundi, BDI
79.5895, 1912, Oct Average, Burundi, BDI
172.422, 1912, Nov Average, Burundi, BDI
148.496, 1912, Dec Average, Burundi, BDI
80.6552, 1913, Jan Average, Burundi, BDI
175.429, 1913, Feb Average, Burundi, BDI
181.303, 1913, Mar Average, Burundi, BDI
106.417, 1913, Apr Average, Burundi, BDI
129.675, 1913, May Average, Burundi, BDI
23.3524, 1913, Jun Average, Burundi, BDI
1.95098, 1913, Jul Average, Burundi, BDI
1.88878, 1913, Aug Average, Burundi, BDI
10.1521, 1913, Sep Average, Burundi, BDI
77.2208, 1913, Oct Average, Burundi, BDI
124.991, 1913, Nov Average, Burundi, BDI
80.4614, 1913, Dec Average, Burundi, BDI
119.69, 1914, Jan Average, Burundi, BDI
141.116, 1914, Feb Average, Burundi, BDI
167.045, 1914, Mar Average, Burundi, BDI
100.388, 1914, Apr Average, Burundi, BDI
67.0375, 1914, May Average, Burundi, BDI
14.8442, 1914, Jun Average, Burundi, BDI
4.21319, 1914, Jul Average, Burundi, BDI
14.2511, 1914, Aug Average, Burundi, BDI
92.3043, 1914, Sep Average, Burundi, BDI
48.8748, 1914, Oct Average, Burundi, BDI
96.3071, 1914, Nov Average, Burundi, BDI
106.582, 1914, Dec Average, Burundi, BDI
92.0345, 1915, Jan Average, Burundi, BDI
167.254, 1915, Feb Average, Burundi, BDI
152.855, 1915, Mar Average, Burundi, BDI
128.873, 1915, Apr Average, Burundi, BDI
71.5882, 1915, May Average, Burundi, BDI
11.2364, 1915, Jun Average, Burundi, BDI
0.52215, 1915, Jul Average, Burundi, BDI
3.57761, 1915, Aug Average, Burundi, BDI
88.2943, 1915, Sep Average, Burundi, BDI
76.9254, 1915, Oct Average, Burundi, BDI
100.61, 1915, Nov Average, Burundi, BDI
271.412, 1915, Dec Average, Burundi, BDI
36.3029, 1916, Jan Average, Burundi, BDI
190.875, 1916, Feb Average, Burundi, BDI
117.187, 1916, Mar Average, Burundi, BDI
238.587, 1916, Apr Average, Burundi, BDI
119.079, 1916, May Average, Burundi, BDI
15.1127, 1916, Jun Average, Burundi, BDI
0.60155, 1916, Jul Average, Burundi, BDI
12.6365, 1916, Aug Average, Burundi, BDI
69.9148, 1916, Sep Average, Burundi, BDI
85.5943, 1916, Oct Average, Burundi, BDI
89.5249, 1916, Nov Average, Burundi, BDI
91.0942, 1916, Dec Average, Burundi, BDI
107.276, 1917, Jan Average, Burundi, BDI
159.191, 1917, Feb Average, Burundi, BDI
128.124, 1917, Mar Average, Burundi, BDI
211.644, 1917, Apr Average, Burundi, BDI
91.0869, 1917, May Average, Burundi, BDI
15.1644, 1917, Jun Average, Burundi, BDI
2.5156, 1917, Jul Average, Burundi, BDI
36.6049, 1917, Aug Average, Burundi, BDI
59.7, 1917, Sep Average, Burundi, BDI
112.663, 1917, Oct Average, Burundi, BDI
56.1352, 1917, Nov Average, Burundi, BDI
109.669, 1917, Dec Average, Burundi, BDI
120.25, 1918, Jan Average, Burundi, BDI
101.971, 1918, Feb Average, Burundi, BDI
148.023, 1918, Mar Average, Burundi, BDI
159.153, 1918, Apr Average, Burundi, BDI
56.3144, 1918, May Average, Burundi, BDI
15.8309, 1918, Jun Average, Burundi, BDI
1.34326, 1918, Jul Average, Burundi, BDI
5.45334, 1918, Aug Average, Burundi, BDI
58.4389, 1918, Sep Average, Burundi, BDI
55.4176, 1918, Oct Average, Burundi, BDI
89.9967, 1918, Nov Average, Burundi, BDI
157.182, 1918, Dec Average, Burundi, BDI
114.894, 1919, Jan Average, Burundi, BDI
183.034, 1919, Feb Average, Burundi, BDI
187.075, 1919, Mar Average, Burundi, BDI
149.391, 1919, Apr Average, Burundi, BDI
61.0844, 1919, May Average, Burundi, BDI
0.59285, 1919, Jun Average, Burundi, BDI
12.8118, 1919, Jul Average, Burundi, BDI
31.9024, 1919, Aug Average, Burundi, BDI
52.1002, 1919, Sep Average, Burundi, BDI
77.1853, 1919, Oct Average, Burundi, BDI
129.202, 1919, Nov Average, Burundi, BDI
123.524, 1919, Dec Average, Burundi, BDI
151.93, 1920, Jan Average, Burundi, BDI
68.905, 1920, Feb Average, Burundi, BDI
222.669, 1920, Mar Average, Burundi, BDI
120.788, 1920, Apr Average, Burundi, BDI
78.3697, 1920, May Average, Burundi, BDI
6.24422, 1920, Jun Average, Burundi, BDI
1.42602, 1920, Jul Average, Burundi, BDI
3.3135, 1920, Aug Average, Burundi, BDI
37.5056, 1920, Sep Average, Burundi, BDI
150.84, 1920, Oct Average, Burundi, BDI
