Rainfall - (MM), Year, Statistics, Country, ISO3
1.34772, 1901, Jan Average, Benin, BEN
7.84306, 1901, Feb Average, Benin, BEN
34.4789, 1901, Mar Average, Benin, BEN
65.0071, 1901, Apr Average, Benin, BEN
125.945, 1901, May Average, Benin, BEN
198.178, 1901, Jun Average, Benin, BEN
167.308, 1901, Jul Average, Benin, BEN
264.756, 1901, Aug Average, Benin, BEN
266.923, 1901, Sep Average, Benin, BEN
130.447, 1901, Oct Average, Benin, BEN
12.1845, 1901, Nov Average, Benin, BEN
0.40683, 1901, Dec Average, Benin, BEN
1.55781, 1902, Jan Average, Benin, BEN
11.2199, 1902, Feb Average, Benin, BEN
41.6078, 1902, Mar Average, Benin, BEN
78.0448, 1902, Apr Average, Benin, BEN
159.197, 1902, May Average, Benin, BEN
137.521, 1902, Jun Average, Benin, BEN
149.667, 1902, Jul Average, Benin, BEN
176.196, 1902, Aug Average, Benin, BEN
129.657, 1902, Sep Average, Benin, BEN
70.5688, 1902, Oct Average, Benin, BEN
3.81328, 1902, Nov Average, Benin, BEN
5.49386, 1902, Dec Average, Benin, BEN
3.40843, 1903, Jan Average, Benin, BEN
14.89, 1903, Feb Average, Benin, BEN
16.7533, 1903, Mar Average, Benin, BEN
92.7696, 1903, Apr Average, Benin, BEN
124.212, 1903, May Average, Benin, BEN
120.46, 1903, Jun Average, Benin, BEN
108.407, 1903, Jul Average, Benin, BEN
197.929, 1903, Aug Average, Benin, BEN
170.379, 1903, Sep Average, Benin, BEN
72.4516, 1903, Oct Average, Benin, BEN
11.9731, 1903, Nov Average, Benin, BEN
4.78847, 1903, Dec Average, Benin, BEN
5.11909, 1904, Jan Average, Benin, BEN
5.31154, 1904, Feb Average, Benin, BEN
47.7147, 1904, Mar Average, Benin, BEN
61.8133, 1904, Apr Average, Benin, BEN
156.617, 1904, May Average, Benin, BEN
133.092, 1904, Jun Average, Benin, BEN
144.764, 1904, Jul Average, Benin, BEN
122.205, 1904, Aug Average, Benin, BEN
118.564, 1904, Sep Average, Benin, BEN
72.9654, 1904, Oct Average, Benin, BEN
4.74963, 1904, Nov Average, Benin, BEN
6.87803, 1904, Dec Average, Benin, BEN
1.73525, 1905, Jan Average, Benin, BEN
8.94829, 1905, Feb Average, Benin, BEN
30.4483, 1905, Mar Average, Benin, BEN
71.0273, 1905, Apr Average, Benin, BEN
102.747, 1905, May Average, Benin, BEN
176.423, 1905, Jun Average, Benin, BEN
183.881, 1905, Jul Average, Benin, BEN
182.287, 1905, Aug Average, Benin, BEN
146.486, 1905, Sep Average, Benin, BEN
91.8051, 1905, Oct Average, Benin, BEN
9.70654, 1905, Nov Average, Benin, BEN
7.84358, 1905, Dec Average, Benin, BEN
2.87804, 1906, Jan Average, Benin, BEN
7.55582, 1906, Feb Average, Benin, BEN
12.5639, 1906, Mar Average, Benin, BEN
65.6965, 1906, Apr Average, Benin, BEN
171.831, 1906, May Average, Benin, BEN
165.422, 1906, Jun Average, Benin, BEN
179.899, 1906, Jul Average, Benin, BEN
134.814, 1906, Aug Average, Benin, BEN
160.193, 1906, Sep Average, Benin, BEN
97.2945, 1906, Oct Average, Benin, BEN
13.0924, 1906, Nov Average, Benin, BEN
5.40082, 1906, Dec Average, Benin, BEN
3.1728, 1907, Jan Average, Benin, BEN
9.33844, 1907, Feb Average, Benin, BEN
25.3684, 1907, Mar Average, Benin, BEN
72.8731, 1907, Apr Average, Benin, BEN
86.581, 1907, May Average, Benin, BEN
174.709, 1907, Jun Average, Benin, BEN
159.582, 1907, Jul Average, Benin, BEN
139.534, 1907, Aug Average, Benin, BEN
175.779, 1907, Sep Average, Benin, BEN
80.0988, 1907, Oct Average, Benin, BEN
7.47408, 1907, Nov Average, Benin, BEN
4.52679, 1907, Dec Average, Benin, BEN
2.28264, 1908, Jan Average, Benin, BEN
1.97137, 1908, Feb Average, Benin, BEN
46.2802, 1908, Mar Average, Benin, BEN
87.7075, 1908, Apr Average, Benin, BEN
89.372, 1908, May Average, Benin, BEN
128.182, 1908, Jun Average, Benin, BEN
164.555, 1908, Jul Average, Benin, BEN
137.588, 1908, Aug Average, Benin, BEN
253.043, 1908, Sep Average, Benin, BEN
112.105, 1908, Oct Average, Benin, BEN
16.0724, 1908, Nov Average, Benin, BEN
3.77723, 1908, Dec Average, Benin, BEN
