Rainfall - (MM), Year, Statistics, Country, ISO3
18.5356, 1901, Jan Average, Bangladesh, BGD
16.2548, 1901, Feb Average, Bangladesh, BGD
70.7981, 1901, Mar Average, Bangladesh, BGD
66.1616, 1901, Apr Average, Bangladesh, BGD
267.215, 1901, May Average, Bangladesh, BGD
341.042, 1901, Jun Average, Bangladesh, BGD
540.907, 1901, Jul Average, Bangladesh, BGD
493.21, 1901, Aug Average, Bangladesh, BGD
291.549, 1901, Sep Average, Bangladesh, BGD
199.171, 1901, Oct Average, Bangladesh, BGD
126.285, 1901, Nov Average, Bangladesh, BGD
1.69035, 1901, Dec Average, Bangladesh, BGD
1.29152, 1902, Jan Average, Bangladesh, BGD
0.14722, 1902, Feb Average, Bangladesh, BGD
62.7686, 1902, Mar Average, Bangladesh, BGD
229.589, 1902, Apr Average, Bangladesh, BGD
302.197, 1902, May Average, Bangladesh, BGD
528.775, 1902, Jun Average, Bangladesh, BGD
415.257, 1902, Jul Average, Bangladesh, BGD
435.166, 1902, Aug Average, Bangladesh, BGD
282.872, 1902, Sep Average, Bangladesh, BGD
76.6518, 1902, Oct Average, Bangladesh, BGD
4.48053, 1902, Nov Average, Bangladesh, BGD
6.51869, 1902, Dec Average, Bangladesh, BGD
2.4001, 1903, Jan Average, Bangladesh, BGD
16.7112, 1903, Feb Average, Bangladesh, BGD
35.0165, 1903, Mar Average, Bangladesh, BGD
79.8924, 1903, Apr Average, Bangladesh, BGD
206.714, 1903, May Average, Bangladesh, BGD
606.088, 1903, Jun Average, Bangladesh, BGD
376.786, 1903, Jul Average, Bangladesh, BGD
401.075, 1903, Aug Average, Bangladesh, BGD
288.777, 1903, Sep Average, Bangladesh, BGD
190.116, 1903, Oct Average, Bangladesh, BGD
53.8007, 1903, Nov Average, Bangladesh, BGD
0.0104, 1903, Dec Average, Bangladesh, BGD
0.3257, 1904, Jan Average, Bangladesh, BGD
40.4723, 1904, Feb Average, Bangladesh, BGD
32.017, 1904, Mar Average, Bangladesh, BGD
169.242, 1904, Apr Average, Bangladesh, BGD
317.756, 1904, May Average, Bangladesh, BGD
525.691, 1904, Jun Average, Bangladesh, BGD
707.404, 1904, Jul Average, Bangladesh, BGD
367.376, 1904, Aug Average, Bangladesh, BGD
181.867, 1904, Sep Average, Bangladesh, BGD
72.9881, 1904, Oct Average, Bangladesh, BGD
32.9518, 1904, Nov Average, Bangladesh, BGD
1.97838, 1904, Dec Average, Bangladesh, BGD
7.07224, 1905, Jan Average, Bangladesh, BGD
22.9071, 1905, Feb Average, Bangladesh, BGD
78.9631, 1905, Mar Average, Bangladesh, BGD
203.005, 1905, Apr Average, Bangladesh, BGD
315.752, 1905, May Average, Bangladesh, BGD
224.887, 1905, Jun Average, Bangladesh, BGD
559.799, 1905, Jul Average, Bangladesh, BGD
624.073, 1905, Aug Average, Bangladesh, BGD
623.689, 1905, Sep Average, Bangladesh, BGD
133.63, 1905, Oct Average, Bangladesh, BGD
4.91701, 1905, Nov Average, Bangladesh, BGD
7.61877, 1905, Dec Average, Bangladesh, BGD
13.9546, 1906, Jan Average, Bangladesh, BGD
65.6833, 1906, Feb Average, Bangladesh, BGD
53.425, 1906, Mar Average, Bangladesh, BGD
29.6299, 1906, Apr Average, Bangladesh, BGD
229.508, 1906, May Average, Bangladesh, BGD
357.968, 1906, Jun Average, Bangladesh, BGD
487.922, 1906, Jul Average, Bangladesh, BGD
388.641, 1906, Aug Average, Bangladesh, BGD
212.273, 1906, Sep Average, Bangladesh, BGD
185.89, 1906, Oct Average, Bangladesh, BGD
