Rainfall - (MM), Year, Statistics, Country, ISO3
55.357, 1901, Jan Average, Bulgaria, BGR
78.9783, 1901, Feb Average, Bulgaria, BGR
36.6376, 1901, Mar Average, Bulgaria, BGR
47.2573, 1901, Apr Average, Bulgaria, BGR
34.3459, 1901, May Average, Bulgaria, BGR
109.662, 1901, Jun Average, Bulgaria, BGR
69.423, 1901, Jul Average, Bulgaria, BGR
89.2829, 1901, Aug Average, Bulgaria, BGR
23.3771, 1901, Sep Average, Bulgaria, BGR
103.027, 1901, Oct Average, Bulgaria, BGR
29.8824, 1901, Nov Average, Bulgaria, BGR
49.4383, 1901, Dec Average, Bulgaria, BGR
19.2313, 1902, Jan Average, Bulgaria, BGR
49.6235, 1902, Feb Average, Bulgaria, BGR
31.3894, 1902, Mar Average, Bulgaria, BGR
44.7029, 1902, Apr Average, Bulgaria, BGR
76.2421, 1902, May Average, Bulgaria, BGR
48.0835, 1902, Jun Average, Bulgaria, BGR
42.6221, 1902, Jul Average, Bulgaria, BGR
74.4072, 1902, Aug Average, Bulgaria, BGR
22.8601, 1902, Sep Average, Bulgaria, BGR
45.0761, 1902, Oct Average, Bulgaria, BGR
20.8296, 1902, Nov Average, Bulgaria, BGR
90.708, 1902, Dec Average, Bulgaria, BGR
28.7475, 1903, Jan Average, Bulgaria, BGR
9.30638, 1903, Feb Average, Bulgaria, BGR
22.1223, 1903, Mar Average, Bulgaria, BGR
84.1702, 1903, Apr Average, Bulgaria, BGR
66.4021, 1903, May Average, Bulgaria, BGR
72.7037, 1903, Jun Average, Bulgaria, BGR
50.9853, 1903, Jul Average, Bulgaria, BGR
24.7561, 1903, Aug Average, Bulgaria, BGR
24.2377, 1903, Sep Average, Bulgaria, BGR
63.9089, 1903, Oct Average, Bulgaria, BGR
30.3099, 1903, Nov Average, Bulgaria, BGR
32.5455, 1903, Dec Average, Bulgaria, BGR
18.1076, 1904, Jan Average, Bulgaria, BGR
53.6346, 1904, Feb Average, Bulgaria, BGR
19.9107, 1904, Mar Average, Bulgaria, BGR
29.7685, 1904, Apr Average, Bulgaria, BGR
38.4543, 1904, May Average, Bulgaria, BGR
42.7286, 1904, Jun Average, Bulgaria, BGR
30.0684, 1904, Jul Average, Bulgaria, BGR
32.3554, 1904, Aug Average, Bulgaria, BGR
86.7909, 1904, Sep Average, Bulgaria, BGR
42.8927, 1904, Oct Average, Bulgaria, BGR
67.9451, 1904, Nov Average, Bulgaria, BGR
25.1703, 1904, Dec Average, Bulgaria, BGR
43.2616, 1905, Jan Average, Bulgaria, BGR
32.4515, 1905, Feb Average, Bulgaria, BGR
27.4992, 1905, Mar Average, Bulgaria, BGR
55.4954, 1905, Apr Average, Bulgaria, BGR
72.645, 1905, May Average, Bulgaria, BGR
71.5022, 1905, Jun Average, Bulgaria, BGR
65.6988, 1905, Jul Average, Bulgaria, BGR
11.2725, 1905, Aug Average, Bulgaria, BGR
24.8428, 1905, Sep Average, Bulgaria, BGR
129.688, 1905, Oct Average, Bulgaria, BGR
26.8415, 1905, Nov Average, Bulgaria, BGR
25.2482, 1905, Dec Average, Bulgaria, BGR
48.1147, 1906, Jan Average, Bulgaria, BGR
45.9418, 1906, Feb Average, Bulgaria, BGR
36.2259, 1906, Mar Average, Bulgaria, BGR
30.3131, 1906, Apr Average, Bulgaria, BGR
89.1464, 1906, May Average, Bulgaria, BGR
92.3855, 1906, Jun Average, Bulgaria, BGR
55.4515, 1906, Jul Average, Bulgaria, BGR
43.2322, 1906, Aug Average, Bulgaria, BGR
40.6594, 1906, Sep Average, Bulgaria, BGR
60.0059, 1906, Oct Average, Bulgaria, BGR
35.1908, 1906, Nov Average, Bulgaria, BGR
67.7759, 1906, Dec Average, Bulgaria, BGR
32.6122, 1907, Jan Average, Bulgaria, BGR
36.6302, 1907, Feb Average, Bulgaria, BGR
47.2737, 1907, Mar Average, Bulgaria, BGR
43.9662, 1907, Apr Average, Bulgaria, BGR
21.6097, 1907, May Average, Bulgaria, BGR
97.4377, 1907, Jun Average, Bulgaria, BGR
37.3738, 1907, Jul Average, Bulgaria, BGR
24.3252, 1907, Aug Average, Bulgaria, BGR
13.6351, 1907, Sep Average, Bulgaria, BGR
3.74272, 1907, Oct Average, Bulgaria, BGR
50.6331, 1907, Nov Average, Bulgaria, BGR
30.7511, 1907, Dec Average, Bulgaria, BGR
29.8847, 1908, Jan Average, Bulgaria, BGR
40.6969, 1908, Feb Average, Bulgaria, BGR
32.2869, 1908, Mar Average, Bulgaria, BGR
38.7951, 1908, Apr Average, Bulgaria, BGR
24.3183, 1908, May Average, Bulgaria, BGR
68.462, 1908, Jun Average, Bulgaria, BGR
46.8067, 1908, Jul Average, Bulgaria, BGR
25.9234, 1908, Aug Average, Bulgaria, BGR
44.9196, 1908, Sep Average, Bulgaria, BGR
37.3673, 1908, Oct Average, Bulgaria, BGR
85.6448, 1908, Nov Average, Bulgaria, BGR
47.9737, 1908, Dec Average, Bulgaria, BGR
30.6067, 1909, Jan Average, Bulgaria, BGR
39.3461, 1909, Feb Average, Bulgaria, BGR
80.518, 1909, Mar Average, Bulgaria, BGR
25.2407, 1909, Apr Average, Bulgaria, BGR
67.3128, 1909, May Average, Bulgaria, BGR
54.1607, 1909, Jun Average, Bulgaria, BGR
39.4091, 1909, Jul Average, Bulgaria, BGR
37.8643, 1909, Aug Average, Bulgaria, BGR
90.2049, 1909, Sep Average, Bulgaria, BGR
43.675, 1909, Oct Average, Bulgaria, BGR
83.8537, 1909, Nov Average, Bulgaria, BGR
42.3848, 1909, Dec Average, Bulgaria, BGR
67.7321, 1910, Jan Average, Bulgaria, BGR
50.7682, 1910, Feb Average, Bulgaria, BGR
22.4068, 1910, Mar Average, Bulgaria, BGR
56.5894, 1910, Apr Average, Bulgaria, BGR
55.788, 1910, May Average, Bulgaria, BGR
77.0178, 1910, Jun Average, Bulgaria, BGR
52.711, 1910, Jul Average, Bulgaria, BGR
33.4485, 1910, Aug Average, Bulgaria, BGR
37.9152, 1910, Sep Average, Bulgaria, BGR
76.9967, 1910, Oct Average, Bulgaria, BGR
48.5298, 1910, Nov Average, Bulgaria, BGR
25.3924, 1910, Dec Average, Bulgaria, BGR
36.0975, 1911, Jan Average, Bulgaria, BGR
19.6788, 1911, Feb Average, Bulgaria, BGR
38.1477, 1911, Mar Average, Bulgaria, BGR
44.4765, 1911, Apr Average, Bulgaria, BGR
58.7932, 1911, May Average, Bulgaria, BGR
63.6617, 1911, Jun Average, Bulgaria, BGR
50.9232, 1911, Jul Average, Bulgaria, BGR
46.8289, 1911, Aug Average, Bulgaria, BGR
89.9184, 1911, Sep Average, Bulgaria, BGR
14.0215, 1911, Oct Average, Bulgaria, BGR
23.2568, 1911, Nov Average, Bulgaria, BGR
65.7094, 1911, Dec Average, Bulgaria, BGR
48.1499, 1912, Jan Average, Bulgaria, BGR
29.7696, 1912, Feb Average, Bulgaria, BGR
58.0735, 1912, Mar Average, Bulgaria, BGR
51.162, 1912, Apr Average, Bulgaria, BGR
69.4125, 1912, May Average, Bulgaria, BGR
54.2325, 1912, Jun Average, Bulgaria, BGR
71.1064, 1912, Jul Average, Bulgaria, BGR
40.1016, 1912, Aug Average, Bulgaria, BGR
103.849, 1912, Sep Average, Bulgaria, BGR
46.7511, 1912, Oct Average, Bulgaria, BGR
126.56, 1912, Nov Average, Bulgaria, BGR
23.954, 1912, Dec Average, Bulgaria, BGR
39.6436, 1913, Jan Average, Bulgaria, BGR
16.335, 1913, Feb Average, Bulgaria, BGR
18.7937, 1913, Mar Average, Bulgaria, BGR
28.5351, 1913, Apr Average, Bulgaria, BGR
91.9364, 1913, May Average, Bulgaria, BGR
67.5223, 1913, Jun Average, Bulgaria, BGR
60.9283, 1913, Jul Average, Bulgaria, BGR
52.9501, 1913, Aug Average, Bulgaria, BGR
84.5724, 1913, Sep Average, Bulgaria, BGR
8.81042, 1913, Oct Average, Bulgaria, BGR
34.107, 1913, Nov Average, Bulgaria, BGR
43.0873, 1913, Dec Average, Bulgaria, BGR
82.7909, 1914, Jan Average, Bulgaria, BGR
6.24469, 1914, Feb Average, Bulgaria, BGR
56.2017, 1914, Mar Average, Bulgaria, BGR
31.7035, 1914, Apr Average, Bulgaria, BGR
91.0052, 1914, May Average, Bulgaria, BGR
108.156, 1914, Jun Average, Bulgaria, BGR
95.0125, 1914, Jul Average, Bulgaria, BGR
44.359, 1914, Aug Average, Bulgaria, BGR
41.8988, 1914, Sep Average, Bulgaria, BGR
75.3233, 1914, Oct Average, Bulgaria, BGR
43.365, 1914, Nov Average, Bulgaria, BGR
28.9079, 1914, Dec Average, Bulgaria, BGR
