Rainfall - (MM), Year, Statistics, Country, ISO3
8.15549, 1901, Jan Average, Bahrain, BHR
0, 1901, Feb Average, Bahrain, BHR
20.0681, 1901, Mar Average, Bahrain, BHR
8.96651, 1901, Apr Average, Bahrain, BHR
0, 1901, May Average, Bahrain, BHR
0.02046, 1901, Jun Average, Bahrain, BHR
0.03215, 1901, Jul Average, Bahrain, BHR
0.01169, 1901, Aug Average, Bahrain, BHR
0.01169, 1901, Sep Average, Bahrain, BHR
0, 1901, Oct Average, Bahrain, BHR
0, 1901, Nov Average, Bahrain, BHR
6.8705, 1901, Dec Average, Bahrain, BHR
0.55037, 1902, Jan Average, Bahrain, BHR
0.29143, 1902, Feb Average, Bahrain, BHR
1.36575, 1902, Mar Average, Bahrain, BHR
9.47715, 1902, Apr Average, Bahrain, BHR
0, 1902, May Average, Bahrain, BHR
0.02046, 1902, Jun Average, Bahrain, BHR
0, 1902, Jul Average, Bahrain, BHR
0.01169, 1902, Aug Average, Bahrain, BHR
0.01169, 1902, Sep Average, Bahrain, BHR
2.12716, 1902, Oct Average, Bahrain, BHR
5.89784, 1902, Nov Average, Bahrain, BHR
1.18554, 1902, Dec Average, Bahrain, BHR
2.72059, 1903, Jan Average, Bahrain, BHR
31.5786, 1903, Feb Average, Bahrain, BHR
8.15734, 1903, Mar Average, Bahrain, BHR
13.257, 1903, Apr Average, Bahrain, BHR
0, 1903, May Average, Bahrain, BHR
0.02046, 1903, Jun Average, Bahrain, BHR
0, 1903, Jul Average, Bahrain, BHR
0.01169, 1903, Aug Average, Bahrain, BHR
0.01169, 1903, Sep Average, Bahrain, BHR
0, 1903, Oct Average, Bahrain, BHR
0, 1903, Nov Average, Bahrain, BHR
6.0655, 1903, Dec Average, Bahrain, BHR
7.55407, 1904, Jan Average, Bahrain, BHR
3.86913, 1904, Feb Average, Bahrain, BHR
21.6558, 1904, Mar Average, Bahrain, BHR
3.8134, 1904, Apr Average, Bahrain, BHR
5.12951, 1904, May Average, Bahrain, BHR
0.02046, 1904, Jun Average, Bahrain, BHR
0, 1904, Jul Average, Bahrain, BHR
0.01169, 1904, Aug Average, Bahrain, BHR
0.01169, 1904, Sep Average, Bahrain, BHR
0, 1904, Oct Average, Bahrain, BHR
0.00672, 1904, Nov Average, Bahrain, BHR
2.17789, 1904, Dec Average, Bahrain, BHR
2.96182, 1905, Jan Average, Bahrain, BHR
10.9595, 1905, Feb Average, Bahrain, BHR
11.4447, 1905, Mar Average, Bahrain, BHR
0, 1905, Apr Average, Bahrain, BHR
0.50327, 1905, May Average, Bahrain, BHR
0.02046, 1905, Jun Average, Bahrain, BHR
0, 1905, Jul Average, Bahrain, BHR
0.01169, 1905, Aug Average, Bahrain, BHR
0.01169, 1905, Sep Average, Bahrain, BHR
0, 1905, Oct Average, Bahrain, BHR
0.00672, 1905, Nov Average, Bahrain, BHR
25.9465, 1905, Dec Average, Bahrain, BHR
11.0006, 1906, Jan Average, Bahrain, BHR
28.8236, 1906, Feb Average, Bahrain, BHR
31.1311, 1906, Mar Average, Bahrain, BHR
1.46193, 1906, Apr Average, Bahrain, BHR
1.1289, 1906, May Average, Bahrain, BHR
0.02046, 1906, Jun Average, Bahrain, BHR
0, 1906, Jul Average, Bahrain, BHR
0.01169, 1906, Aug Average, Bahrain, BHR
0.01169, 1906, Sep Average, Bahrain, BHR
0, 1906, Oct Average, Bahrain, BHR
2.41248, 1906, Nov Average, Bahrain, BHR
0.08852, 1906, Dec Average, Bahrain, BHR
0.19231, 1907, Jan Average, Bahrain, BHR
45.8331, 1907, Feb Average, Bahrain, BHR
0.35636, 1907, Mar Average, Bahrain, BHR
10.0045, 1907, Apr Average, Bahrain, BHR
1.032, 1907, May Average, Bahrain, BHR
0.02046, 1907, Jun Average, Bahrain, BHR
0, 1907, Jul Average, Bahrain, BHR
0.01169, 1907, Aug Average, Bahrain, BHR
0.01169, 1907, Sep Average, Bahrain, BHR
0, 1907, Oct Average, Bahrain, BHR
0.18145, 1907, Nov Average, Bahrain, BHR
1.36942, 1907, Dec Average, Bahrain, BHR
22.9193, 1908, Jan Average, Bahrain, BHR
2.20079, 1908, Feb Average, Bahrain, BHR
2.99348, 1908, Mar Average, Bahrain, BHR
5.15983, 1908, Apr Average, Bahrain, BHR
0.16561, 1908, May Average, Bahrain, BHR
0.02046, 1908, Jun Average, Bahrain, BHR
0, 1908, Jul Average, Bahrain, BHR
0.01169, 1908, Aug Average, Bahrain, BHR
0.01169, 1908, Sep Average, Bahrain, BHR
0, 1908, Oct Average, Bahrain, BHR
0.18612, 1908, Nov Average, Bahrain, BHR
2.13701, 1908, Dec Average, Bahrain, BHR
23.0729, 1909, Jan Average, Bahrain, BHR
0.42909, 1909, Feb Average, Bahrain, BHR
0.82393, 1909, Mar Average, Bahrain, BHR
15.2953, 1909, Apr Average, Bahrain, BHR
0, 1909, May Average, Bahrain, BHR
0.02046, 1909, Jun Average, Bahrain, BHR
0, 1909, Jul Average, Bahrain, BHR
0.01169, 1909, Aug Average, Bahrain, BHR
0.01169, 1909, Sep Average, Bahrain, BHR
0.00087, 1909, Oct Average, Bahrain, BHR
11.7088, 1909, Nov Average, Bahrain, BHR
38.0148, 1909, Dec Average, Bahrain, BHR
33.4086, 1910, Jan Average, Bahrain, BHR
2.73261, 1910, Feb Average, Bahrain, BHR
14.8245, 1910, Mar Average, Bahrain, BHR
1.27786, 1910, Apr Average, Bahrain, BHR
1.20099, 1910, May Average, Bahrain, BHR
0.02046, 1910, Jun Average, Bahrain, BHR
0, 1910, Jul Average, Bahrain, BHR
0.01169, 1910, Aug Average, Bahrain, BHR
0.01169, 1910, Sep Average, Bahrain, BHR
0, 1910, Oct Average, Bahrain, BHR
0.10079, 1910, Nov Average, Bahrain, BHR
11.2827, 1910, Dec Average, Bahrain, BHR
14.1805, 1911, Jan Average, Bahrain, BHR
2.42483, 1911, Feb Average, Bahrain, BHR
67.0442, 1911, Mar Average, Bahrain, BHR
3.12795, 1911, Apr Average, Bahrain, BHR
0, 1911, May Average, Bahrain, BHR
0.02046, 1911, Jun Average, Bahrain, BHR
