Rainfall - (MM), Year, Statistics, Country, ISO3
37.2553, 1901, Jan Average, Bahamas, The, BHS
31.5784, 1901, Feb Average, Bahamas, The, BHS
53.3746, 1901, Mar Average, Bahamas, The, BHS
65.6545, 1901, Apr Average, Bahamas, The, BHS
254.099, 1901, May Average, Bahamas, The, BHS
277.738, 1901, Jun Average, Bahamas, The, BHS
161.367, 1901, Jul Average, Bahamas, The, BHS
175.188, 1901, Aug Average, Bahamas, The, BHS
214.825, 1901, Sep Average, Bahamas, The, BHS
138.7, 1901, Oct Average, Bahamas, The, BHS
22.3867, 1901, Nov Average, Bahamas, The, BHS
39.0036, 1901, Dec Average, Bahamas, The, BHS
34.8732, 1902, Jan Average, Bahamas, The, BHS
65.2639, 1902, Feb Average, Bahamas, The, BHS
23.556, 1902, Mar Average, Bahamas, The, BHS
95.2596, 1902, Apr Average, Bahamas, The, BHS
64.6126, 1902, May Average, Bahamas, The, BHS
140.56, 1902, Jun Average, Bahamas, The, BHS
73.4922, 1902, Jul Average, Bahamas, The, BHS
130.015, 1902, Aug Average, Bahamas, The, BHS
162.444, 1902, Sep Average, Bahamas, The, BHS
134.96, 1902, Oct Average, Bahamas, The, BHS
86.384, 1902, Nov Average, Bahamas, The, BHS
59.4707, 1902, Dec Average, Bahamas, The, BHS
96.2267, 1903, Jan Average, Bahamas, The, BHS
65.3761, 1903, Feb Average, Bahamas, The, BHS
82.4397, 1903, Mar Average, Bahamas, The, BHS
39.4944, 1903, Apr Average, Bahamas, The, BHS
120.356, 1903, May Average, Bahamas, The, BHS
202.57, 1903, Jun Average, Bahamas, The, BHS
86.9576, 1903, Jul Average, Bahamas, The, BHS
109.095, 1903, Aug Average, Bahamas, The, BHS
288.618, 1903, Sep Average, Bahamas, The, BHS
59.5203, 1903, Oct Average, Bahamas, The, BHS
71.0578, 1903, Nov Average, Bahamas, The, BHS
24.4942, 1903, Dec Average, Bahamas, The, BHS
27.4994, 1904, Jan Average, Bahamas, The, BHS
27.4481, 1904, Feb Average, Bahamas, The, BHS
60.0074, 1904, Mar Average, Bahamas, The, BHS
68.7163, 1904, Apr Average, Bahamas, The, BHS
229.191, 1904, May Average, Bahamas, The, BHS
173.545, 1904, Jun Average, Bahamas, The, BHS
89.8315, 1904, Jul Average, Bahamas, The, BHS
118.028, 1904, Aug Average, Bahamas, The, BHS
178.087, 1904, Sep Average, Bahamas, The, BHS
211.564, 1904, Oct Average, Bahamas, The, BHS
54.3686, 1904, Nov Average, Bahamas, The, BHS
22.4783, 1904, Dec Average, Bahamas, The, BHS
85.5223, 1905, Jan Average, Bahamas, The, BHS
19.6394, 1905, Feb Average, Bahamas, The, BHS
56.8008, 1905, Mar Average, Bahamas, The, BHS
83.9694, 1905, Apr Average, Bahamas, The, BHS
120.881, 1905, May Average, Bahamas, The, BHS
138.273, 1905, Jun Average, Bahamas, The, BHS
228.879, 1905, Jul Average, Bahamas, The, BHS
165.106, 1905, Aug Average, Bahamas, The, BHS
244.564, 1905, Sep Average, Bahamas, The, BHS
75.278, 1905, Oct Average, Bahamas, The, BHS
39.0145, 1905, Nov Average, Bahamas, The, BHS
90.5612, 1905, Dec Average, Bahamas, The, BHS
93.2209, 1906, Jan Average, Bahamas, The, BHS
56.728, 1906, Feb Average, Bahamas, The, BHS
133.443, 1906, Mar Average, Bahamas, The, BHS
46.3854, 1906, Apr Average, Bahamas, The, BHS
201.431, 1906, May Average, Bahamas, The, BHS
212.203, 1906, Jun Average, Bahamas, The, BHS
107.74, 1906, Jul Average, Bahamas, The, BHS
142.286, 1906, Aug Average, Bahamas, The, BHS
103.418, 1906, Sep Average, Bahamas, The, BHS
104.223, 1906, Oct Average, Bahamas, The, BHS
102.319, 1906, Nov Average, Bahamas, The, BHS
16.0345, 1906, Dec Average, Bahamas, The, BHS
46.7286, 1907, Jan Average, Bahamas, The, BHS
