Rainfall - (MM), Year, Statistics, Country, ISO3
49.6399, 1901, Jan Average, Bosnia and Herzegovina, BIH
68.458, 1901, Feb Average, Bosnia and Herzegovina, BIH
111.437, 1901, Mar Average, Bosnia and Herzegovina, BIH
56.8001, 1901, Apr Average, Bosnia and Herzegovina, BIH
62.812, 1901, May Average, Bosnia and Herzegovina, BIH
113.587, 1901, Jun Average, Bosnia and Herzegovina, BIH
95.0423, 1901, Jul Average, Bosnia and Herzegovina, BIH
80.4616, 1901, Aug Average, Bosnia and Herzegovina, BIH
166.136, 1901, Sep Average, Bosnia and Herzegovina, BIH
137.552, 1901, Oct Average, Bosnia and Herzegovina, BIH
57.8007, 1901, Nov Average, Bosnia and Herzegovina, BIH
143.674, 1901, Dec Average, Bosnia and Herzegovina, BIH
41.3727, 1902, Jan Average, Bosnia and Herzegovina, BIH
112.79, 1902, Feb Average, Bosnia and Herzegovina, BIH
134.351, 1902, Mar Average, Bosnia and Herzegovina, BIH
106.469, 1902, Apr Average, Bosnia and Herzegovina, BIH
146.741, 1902, May Average, Bosnia and Herzegovina, BIH
116.133, 1902, Jun Average, Bosnia and Herzegovina, BIH
57.6804, 1902, Jul Average, Bosnia and Herzegovina, BIH
34.9574, 1902, Aug Average, Bosnia and Herzegovina, BIH
119.434, 1902, Sep Average, Bosnia and Herzegovina, BIH
184.551, 1902, Oct Average, Bosnia and Herzegovina, BIH
51.8132, 1902, Nov Average, Bosnia and Herzegovina, BIH
65.5321, 1902, Dec Average, Bosnia and Herzegovina, BIH
40.2923, 1903, Jan Average, Bosnia and Herzegovina, BIH
37.0488, 1903, Feb Average, Bosnia and Herzegovina, BIH
58.5568, 1903, Mar Average, Bosnia and Herzegovina, BIH
129.69, 1903, Apr Average, Bosnia and Herzegovina, BIH
84.8358, 1903, May Average, Bosnia and Herzegovina, BIH
91.8892, 1903, Jun Average, Bosnia and Herzegovina, BIH
102.701, 1903, Jul Average, Bosnia and Herzegovina, BIH
32.3364, 1903, Aug Average, Bosnia and Herzegovina, BIH
42.0136, 1903, Sep Average, Bosnia and Herzegovina, BIH
123.586, 1903, Oct Average, Bosnia and Herzegovina, BIH
134.883, 1903, Nov Average, Bosnia and Herzegovina, BIH
139.912, 1903, Dec Average, Bosnia and Herzegovina, BIH
66.8639, 1904, Jan Average, Bosnia and Herzegovina, BIH
94.8562, 1904, Feb Average, Bosnia and Herzegovina, BIH
92.8735, 1904, Mar Average, Bosnia and Herzegovina, BIH
53.0869, 1904, Apr Average, Bosnia and Herzegovina, BIH
61.7803, 1904, May Average, Bosnia and Herzegovina, BIH
