Rainfall - (MM), Year, Statistics, Country, ISO3
115.807, 1901, Jan Average, Belize, BLZ
65.7877, 1901, Feb Average, Belize, BLZ
53.0723, 1901, Mar Average, Belize, BLZ
59.286, 1901, Apr Average, Belize, BLZ
137.307, 1901, May Average, Belize, BLZ
267.582, 1901, Jun Average, Belize, BLZ
286.36, 1901, Jul Average, Belize, BLZ
245.331, 1901, Aug Average, Belize, BLZ
285.574, 1901, Sep Average, Belize, BLZ
168.351, 1901, Oct Average, Belize, BLZ
106.368, 1901, Nov Average, Belize, BLZ
76.2862, 1901, Dec Average, Belize, BLZ
87.5942, 1902, Jan Average, Belize, BLZ
39.0676, 1902, Feb Average, Belize, BLZ
32.6521, 1902, Mar Average, Belize, BLZ
44.9038, 1902, Apr Average, Belize, BLZ
134.701, 1902, May Average, Belize, BLZ
250.217, 1902, Jun Average, Belize, BLZ
264.092, 1902, Jul Average, Belize, BLZ
182.153, 1902, Aug Average, Belize, BLZ
186.199, 1902, Sep Average, Belize, BLZ
162.054, 1902, Oct Average, Belize, BLZ
111.268, 1902, Nov Average, Belize, BLZ
137.967, 1902, Dec Average, Belize, BLZ
82.411, 1903, Jan Average, Belize, BLZ
57.9968, 1903, Feb Average, Belize, BLZ
89.575, 1903, Mar Average, Belize, BLZ
50.5683, 1903, Apr Average, Belize, BLZ
110.218, 1903, May Average, Belize, BLZ
172.332, 1903, Jun Average, Belize, BLZ
190.888, 1903, Jul Average, Belize, BLZ
230.039, 1903, Aug Average, Belize, BLZ
181.279, 1903, Sep Average, Belize, BLZ
161.161, 1903, Oct Average, Belize, BLZ
109.384, 1903, Nov Average, Belize, BLZ
74.1513, 1903, Dec Average, Belize, BLZ
59.8408, 1904, Jan Average, Belize, BLZ
42.1807, 1904, Feb Average, Belize, BLZ
30.8377, 1904, Mar Average, Belize, BLZ
44.9038, 1904, Apr Average, Belize, BLZ
159.826, 1904, May Average, Belize, BLZ
182.486, 1904, Jun Average, Belize, BLZ
304.946, 1904, Jul Average, Belize, BLZ
184.815, 1904, Aug Average, Belize, BLZ
215.781, 1904, Sep Average, Belize, BLZ
171.568, 1904, Oct Average, Belize, BLZ
251.538, 1904, Nov Average, Belize, BLZ
147.754, 1904, Dec Average, Belize, BLZ
111.64, 1905, Jan Average, Belize, BLZ
124.884, 1905, Feb Average, Belize, BLZ
95.4701, 1905, Mar Average, Belize, BLZ
37.8264, 1905, Apr Average, Belize, BLZ
147.588, 1905, May Average, Belize, BLZ
232.043, 1905, Jun Average, Belize, BLZ
277.971, 1905, Jul Average, Belize, BLZ
273.992, 1905, Aug Average, Belize, BLZ
228.179, 1905, Sep Average, Belize, BLZ
217.418, 1905, Oct Average, Belize, BLZ
97.1303, 1905, Nov Average, Belize, BLZ
142.423, 1905, Dec Average, Belize, BLZ
128.095, 1906, Jan Average, Belize, BLZ
59.2025, 1906, Feb Average, Belize, BLZ
60.0873, 1906, Mar Average, Belize, BLZ
48.8173, 1906, Apr Average, Belize, BLZ
107.651, 1906, May Average, Belize, BLZ
227.943, 1906, Jun Average, Belize, BLZ
265.456, 1906, Jul Average, Belize, BLZ
217.038, 1906, Aug Average, Belize, BLZ
234.583, 1906, Sep Average, Belize, BLZ
196.829, 1906, Oct Average, Belize, BLZ
142.91, 1906, Nov Average, Belize, BLZ
94.2877, 1906, Dec Average, Belize, BLZ
78.5841, 1907, Jan Average, Belize, BLZ
