Rainfall - (MM), Year, Statistics, Country, ISO3
182.037, 1901, Jan Average, Bolivia, BOL
187.624, 1901, Feb Average, Bolivia, BOL
141.283, 1901, Mar Average, Bolivia, BOL
42.0527, 1901, Apr Average, Bolivia, BOL
27.6741, 1901, May Average, Bolivia, BOL
23.8994, 1901, Jun Average, Bolivia, BOL
10.926, 1901, Jul Average, Bolivia, BOL
14.946, 1901, Aug Average, Bolivia, BOL
39.87, 1901, Sep Average, Bolivia, BOL
97.5876, 1901, Oct Average, Bolivia, BOL
101.613, 1901, Nov Average, Bolivia, BOL
135.785, 1901, Dec Average, Bolivia, BOL
114.171, 1902, Jan Average, Bolivia, BOL
173.158, 1902, Feb Average, Bolivia, BOL
146.929, 1902, Mar Average, Bolivia, BOL
95.2223, 1902, Apr Average, Bolivia, BOL
72.9585, 1902, May Average, Bolivia, BOL
18.0155, 1902, Jun Average, Bolivia, BOL
23.6747, 1902, Jul Average, Bolivia, BOL
13.0601, 1902, Aug Average, Bolivia, BOL
30.9598, 1902, Sep Average, Bolivia, BOL
97.3151, 1902, Oct Average, Bolivia, BOL
117.853, 1902, Nov Average, Bolivia, BOL
192.367, 1902, Dec Average, Bolivia, BOL
207.903, 1903, Jan Average, Bolivia, BOL
223.058, 1903, Feb Average, Bolivia, BOL
137.089, 1903, Mar Average, Bolivia, BOL
104.721, 1903, Apr Average, Bolivia, BOL
79.4632, 1903, May Average, Bolivia, BOL
88.0736, 1903, Jun Average, Bolivia, BOL
35.1529, 1903, Jul Average, Bolivia, BOL
40.7368, 1903, Aug Average, Bolivia, BOL
60.2196, 1903, Sep Average, Bolivia, BOL
82.8843, 1903, Oct Average, Bolivia, BOL
130.408, 1903, Nov Average, Bolivia, BOL
120.685, 1903, Dec Average, Bolivia, BOL
217.094, 1904, Jan Average, Bolivia, BOL
180.151, 1904, Feb Average, Bolivia, BOL
116.588, 1904, Mar Average, Bolivia, BOL
59.5614, 1904, Apr Average, Bolivia, BOL
23.6934, 1904, May Average, Bolivia, BOL
15.0742, 1904, Jun Average, Bolivia, BOL
12.7179, 1904, Jul Average, Bolivia, BOL
36.0474, 1904, Aug Average, Bolivia, BOL
35.6896, 1904, Sep Average, Bolivia, BOL
99.5362, 1904, Oct Average, Bolivia, BOL
104.256, 1904, Nov Average, Bolivia, BOL
125.497, 1904, Dec Average, Bolivia, BOL
143.808, 1905, Jan Average, Bolivia, BOL
209.327, 1905, Feb Average, Bolivia, BOL
161.81, 1905, Mar Average, Bolivia, BOL
54.9255, 1905, Apr Average, Bolivia, BOL
48.4808, 1905, May Average, Bolivia, BOL
13.2843, 1905, Jun Average, Bolivia, BOL
16.7445, 1905, Jul Average, Bolivia, BOL
79.3324, 1905, Aug Average, Bolivia, BOL
44.4073, 1905, Sep Average, Bolivia, BOL
97.0243, 1905, Oct Average, Bolivia, BOL
111.06, 1905, Nov Average, Bolivia, BOL
137.373, 1905, Dec Average, Bolivia, BOL
211.28, 1906, Jan Average, Bolivia, BOL
127.78, 1906, Feb Average, Bolivia, BOL
118.58, 1906, Mar Average, Bolivia, BOL
124.912, 1906, Apr Average, Bolivia, BOL
56.2346, 1906, May Average, Bolivia, BOL
23.491, 1906, Jun Average, Bolivia, BOL
57.8293, 1906, Jul Average, Bolivia, BOL
16.404, 1906, Aug Average, Bolivia, BOL
26.1767, 1906, Sep Average, Bolivia, BOL
91.325, 1906, Oct Average, Bolivia, BOL
86.1061, 1906, Nov Average, Bolivia, BOL
136.369, 1906, Dec Average, Bolivia, BOL
179.4, 1907, Jan Average, Bolivia, BOL
165.667, 1907, Feb Average, Bolivia, BOL
120.536, 1907, Mar Average, Bolivia, BOL
80.9176, 1907, Apr Average, Bolivia, BOL
48.1863, 1907, May Average, Bolivia, BOL
17.0952, 1907, Jun Average, Bolivia, BOL
26.9704, 1907, Jul Average, Bolivia, BOL
25.7431, 1907, Aug Average, Bolivia, BOL
58.2813, 1907, Sep Average, Bolivia, BOL
87.6303, 1907, Oct Average, Bolivia, BOL
87.6594, 1907, Nov Average, Bolivia, BOL
185.489, 1907, Dec Average, Bolivia, BOL
171.716, 1908, Jan Average, Bolivia, BOL
145.241, 1908, Feb Average, Bolivia, BOL
85.3233, 1908, Mar Average, Bolivia, BOL
79.4574, 1908, Apr Average, Bolivia, BOL
43.2628, 1908, May Average, Bolivia, BOL
25.5407, 1908, Jun Average, Bolivia, BOL
57.2993, 1908, Jul Average, Bolivia, BOL
14.9069, 1908, Aug Average, Bolivia, BOL
39.3043, 1908, Sep Average, Bolivia, BOL
121.904, 1908, Oct Average, Bolivia, BOL
148.039, 1908, Nov Average, Bolivia, BOL
129.982, 1908, Dec Average, Bolivia, BOL
169.807, 1909, Jan Average, Bolivia, BOL
147.002, 1909, Feb Average, Bolivia, BOL
141.982, 1909, Mar Average, Bolivia, BOL
76.8119, 1909, Apr Average, Bolivia, BOL
51.4636, 1909, May Average, Bolivia, BOL
43.4715, 1909, Jun Average, Bolivia, BOL
26.6807, 1909, Jul Average, Bolivia, BOL
26.4404, 1909, Aug Average, Bolivia, BOL
38.5862, 1909, Sep Average, Bolivia, BOL
71.5307, 1909, Oct Average, Bolivia, BOL
97.7873, 1909, Nov Average, Bolivia, BOL
135.67, 1909, Dec Average, Bolivia, BOL
158.567, 1910, Jan Average, Bolivia, BOL
127.884, 1910, Feb Average, Bolivia, BOL
140.793, 1910, Mar Average, Bolivia, BOL
74.7108, 1910, Apr Average, Bolivia, BOL
90.7489, 1910, May Average, Bolivia, BOL
37.6302, 1910, Jun Average, Bolivia, BOL
22.9258, 1910, Jul Average, Bolivia, BOL
36.6104, 1910, Aug Average, Bolivia, BOL
27.5983, 1910, Sep Average, Bolivia, BOL
94.8196, 1910, Oct Average, Bolivia, BOL
89.192, 1910, Nov Average, Bolivia, BOL
136.401, 1910, Dec Average, Bolivia, BOL
170.16, 1911, Jan Average, Bolivia, BOL
182.064, 1911, Feb Average, Bolivia, BOL
168.182, 1911, Mar Average, Bolivia, BOL
87.9954, 1911, Apr Average, Bolivia, BOL
27.2455, 1911, May Average, Bolivia, BOL
31.6163, 1911, Jun Average, Bolivia, BOL
25.805, 1911, Jul Average, Bolivia, BOL
55.0397, 1911, Aug Average, Bolivia, BOL
49.587, 1911, Sep Average, Bolivia, BOL
