Rainfall - (MM), Year, Statistics, Country, ISO3
128.167, 1901, Jan Average, Barbados, BRB
93.4367, 1901, Feb Average, Barbados, BRB
86.1193, 1901, Mar Average, Barbados, BRB
101.801, 1901, Apr Average, Barbados, BRB
145.484, 1901, May Average, Barbados, BRB
193.095, 1901, Jun Average, Barbados, BRB
226.365, 1901, Jul Average, Barbados, BRB
230, 1901, Aug Average, Barbados, BRB
208.976, 1901, Sep Average, Barbados, BRB
223.365, 1901, Oct Average, Barbados, BRB
226.436, 1901, Nov Average, Barbados, BRB
177.19, 1901, Dec Average, Barbados, BRB
89.8169, 1902, Jan Average, Barbados, BRB
43.9818, 1902, Feb Average, Barbados, BRB
89.3899, 1902, Mar Average, Barbados, BRB
66.4882, 1902, Apr Average, Barbados, BRB
339.953, 1902, May Average, Barbados, BRB
358.61, 1902, Jun Average, Barbados, BRB
298.274, 1902, Jul Average, Barbados, BRB
196.4, 1902, Aug Average, Barbados, BRB
174.446, 1902, Sep Average, Barbados, BRB
131.419, 1902, Oct Average, Barbados, BRB
329.784, 1902, Nov Average, Barbados, BRB
187.902, 1902, Dec Average, Barbados, BRB
55.2715, 1903, Jan Average, Barbados, BRB
76.3176, 1903, Feb Average, Barbados, BRB
33.0794, 1903, Mar Average, Barbados, BRB
268.923, 1903, Apr Average, Barbados, BRB
87.1906, 1903, May Average, Barbados, BRB
361.344, 1903, Jun Average, Barbados, BRB
213.296, 1903, Jul Average, Barbados, BRB
366.3, 1903, Aug Average, Barbados, BRB
216.242, 1903, Sep Average, Barbados, BRB
142.887, 1903, Oct Average, Barbados, BRB
127.491, 1903, Nov Average, Barbados, BRB
212.194, 1903, Dec Average, Barbados, BRB
195.321, 1904, Jan Average, Barbados, BRB
86.2954, 1904, Feb Average, Barbados, BRB
131.415, 1904, Mar Average, Barbados, BRB
55.4739, 1904, Apr Average, Barbados, BRB
145.584, 1904, May Average, Barbados, BRB
71.3357, 1904, Jun Average, Barbados, BRB
229.799, 1904, Jul Average, Barbados, BRB
181.3, 1904, Aug Average, Barbados, BRB
324.63, 1904, Sep Average, Barbados, BRB
198.928, 1904, Oct Average, Barbados, BRB
64.0627, 1904, Nov Average, Barbados, BRB
137.782, 1904, Dec Average, Barbados, BRB
100.497, 1905, Jan Average, Barbados, BRB
57.3302, 1905, Feb Average, Barbados, BRB
120.032, 1905, Mar Average, Barbados, BRB
83.2097, 1905, Apr Average, Barbados, BRB
84.7541, 1905, May Average, Barbados, BRB
187.358, 1905, Jun Average, Barbados, BRB
140.453, 1905, Jul Average, Barbados, BRB
176.8, 1905, Aug Average, Barbados, BRB
264.303, 1905, Sep Average, Barbados, BRB
292.574, 1905, Oct Average, Barbados, BRB
255.182, 1905, Nov Average, Barbados, BRB
77.9176, 1905, Dec Average, Barbados, BRB
87.2804, 1906, Jan Average, Barbados, BRB
61.1009, 1906, Feb Average, Barbados, BRB
70.7978, 1906, Mar Average, Barbados, BRB
102.536, 1906, Apr Average, Barbados, BRB
124.462, 1906, May Average, Barbados, BRB
261.128, 1906, Jun Average, Barbados, BRB
230.165, 1906, Jul Average, Barbados, BRB
228.699, 1906, Aug Average, Barbados, BRB
331.095, 1906, Sep Average, Barbados, BRB
192.46, 1906, Oct Average, Barbados, BRB
221.234, 1906, Nov Average, Barbados, BRB
99.7073, 1906, Dec Average, Barbados, BRB
84.2097, 1907, Jan Average, Barbados, BRB
57.1302, 1907, Feb Average, Barbados, BRB
83.7827, 1907, Mar Average, Barbados, BRB
85.1462, 1907, Apr Average, Barbados, BRB
148.42, 1907, May Average, Barbados, BRB
126.796, 1907, Jun Average, Barbados, BRB
200.594, 1907, Jul Average, Barbados, BRB
159, 1907, Aug Average, Barbados, BRB
151.749, 1907, Sep Average, Barbados, BRB
242.067, 1907, Oct Average, Barbados, BRB
136.996, 1907, Nov Average, Barbados, BRB
193.941, 1907, Dec Average, Barbados, BRB
76.366, 1908, Jan Average, Barbados, BRB
12.8143, 1908, Feb Average, Barbados, BRB
34.2135, 1908, Mar Average, Barbados, BRB
94.2582, 1908, Apr Average, Barbados, BRB
