Rainfall - (MM), Year, Statistics, Country, ISO3
280.061, 1901, Jan Average, Brunei, BRN
182.584, 1901, Feb Average, Brunei, BRN
211.391, 1901, Mar Average, Brunei, BRN
228.587, 1901, Apr Average, Brunei, BRN
306.591, 1901, May Average, Brunei, BRN
230.753, 1901, Jun Average, Brunei, BRN
230.407, 1901, Jul Average, Brunei, BRN
260.387, 1901, Aug Average, Brunei, BRN
283.189, 1901, Sep Average, Brunei, BRN
307.726, 1901, Oct Average, Brunei, BRN
320.31, 1901, Nov Average, Brunei, BRN
319.771, 1901, Dec Average, Brunei, BRN
405.565, 1902, Jan Average, Brunei, BRN
196.645, 1902, Feb Average, Brunei, BRN
145.979, 1902, Mar Average, Brunei, BRN
517.689, 1902, Apr Average, Brunei, BRN
620.565, 1902, May Average, Brunei, BRN
140.173, 1902, Jun Average, Brunei, BRN
189.011, 1902, Jul Average, Brunei, BRN
253.231, 1902, Aug Average, Brunei, BRN
280.726, 1902, Sep Average, Brunei, BRN
386.29, 1902, Oct Average, Brunei, BRN
440.564, 1902, Nov Average, Brunei, BRN
299.928, 1902, Dec Average, Brunei, BRN
60.9471, 1903, Jan Average, Brunei, BRN
43.7028, 1903, Feb Average, Brunei, BRN
61.2988, 1903, Mar Average, Brunei, BRN
56.6303, 1903, Apr Average, Brunei, BRN
136.648, 1903, May Average, Brunei, BRN
104.547, 1903, Jun Average, Brunei, BRN
410.825, 1903, Jul Average, Brunei, BRN
512.488, 1903, Aug Average, Brunei, BRN
311.927, 1903, Sep Average, Brunei, BRN
402.687, 1903, Oct Average, Brunei, BRN
206.714, 1903, Nov Average, Brunei, BRN
286.489, 1903, Dec Average, Brunei, BRN
412.576, 1904, Jan Average, Brunei, BRN
330.37, 1904, Feb Average, Brunei, BRN
222.554, 1904, Mar Average, Brunei, BRN
321.14, 1904, Apr Average, Brunei, BRN
197.348, 1904, May Average, Brunei, BRN
110.234, 1904, Jun Average, Brunei, BRN
146.937, 1904, Jul Average, Brunei, BRN
153.353, 1904, Aug Average, Brunei, BRN
162.16, 1904, Sep Average, Brunei, BRN
488.9, 1904, Oct Average, Brunei, BRN
222.443, 1904, Nov Average, Brunei, BRN
350.984, 1904, Dec Average, Brunei, BRN
76.6241, 1905, Jan Average, Brunei, BRN
53.3147, 1905, Feb Average, Brunei, BRN
39.5244, 1905, Mar Average, Brunei, BRN
70.4099, 1905, Apr Average, Brunei, BRN
500.278, 1905, May Average, Brunei, BRN
102.871, 1905, Jun Average, Brunei, BRN
290.03, 1905, Jul Average, Brunei, BRN
97.094, 1905, Aug Average, Brunei, BRN
136.559, 1905, Sep Average, Brunei, BRN
297.127, 1905, Oct Average, Brunei, BRN
444.418, 1905, Nov Average, Brunei, BRN
159.134, 1905, Dec Average, Brunei, BRN
93.287, 1906, Jan Average, Brunei, BRN
104.664, 1906, Feb Average, Brunei, BRN
113.366, 1906, Mar Average, Brunei, BRN
113.956, 1906, Apr Average, Brunei, BRN
400.793, 1906, May Average, Brunei, BRN
177.785, 1906, Jun Average, Brunei, BRN
191.04, 1906, Jul Average, Brunei, BRN
224.931, 1906, Aug Average, Brunei, BRN
238.437, 1906, Sep Average, Brunei, BRN
227.838, 1906, Oct Average, Brunei, BRN
138.546, 1906, Nov Average, Brunei, BRN
471.404, 1906, Dec Average, Brunei, BRN
257.197, 1907, Jan Average, Brunei, BRN
180.281, 1907, Feb Average, Brunei, BRN
211.391, 1907, Mar Average, Brunei, BRN
114.116, 1907, Apr Average, Brunei, BRN
420.372, 1907, May Average, Brunei, BRN
