Rainfall - (MM), Year, Statistics, Country, ISO3
81.559, 1901, Jan Average, Botswana, BWA
75.4151, 1901, Feb Average, Botswana, BWA
77.6921, 1901, Mar Average, Botswana, BWA
34.8835, 1901, Apr Average, Botswana, BWA
0.54008, 1901, May Average, Botswana, BWA
1.08542, 1901, Jun Average, Botswana, BWA
0.09257, 1901, Jul Average, Botswana, BWA
1.08861, 1901, Aug Average, Botswana, BWA
10.643, 1901, Sep Average, Botswana, BWA
28.1704, 1901, Oct Average, Botswana, BWA
51.5212, 1901, Nov Average, Botswana, BWA
104.132, 1901, Dec Average, Botswana, BWA
105.85, 1902, Jan Average, Botswana, BWA
42.9318, 1902, Feb Average, Botswana, BWA
49.6334, 1902, Mar Average, Botswana, BWA
27.8461, 1902, Apr Average, Botswana, BWA
0.30093, 1902, May Average, Botswana, BWA
1.19495, 1902, Jun Average, Botswana, BWA
0.51139, 1902, Jul Average, Botswana, BWA
0.0461, 1902, Aug Average, Botswana, BWA
9.19276, 1902, Sep Average, Botswana, BWA
16.4706, 1902, Oct Average, Botswana, BWA
42.4807, 1902, Nov Average, Botswana, BWA
64.8015, 1902, Dec Average, Botswana, BWA
79.3441, 1903, Jan Average, Botswana, BWA
50.2916, 1903, Feb Average, Botswana, BWA
39.6632, 1903, Mar Average, Botswana, BWA
9.80934, 1903, Apr Average, Botswana, BWA
4.27814, 1903, May Average, Botswana, BWA
1.05515, 1903, Jun Average, Botswana, BWA
0.17901, 1903, Jul Average, Botswana, BWA
0.53447, 1903, Aug Average, Botswana, BWA
1.94084, 1903, Sep Average, Botswana, BWA
10.7875, 1903, Oct Average, Botswana, BWA
49.9039, 1903, Nov Average, Botswana, BWA
65.0748, 1903, Dec Average, Botswana, BWA
156.463, 1904, Jan Average, Botswana, BWA
46.9433, 1904, Feb Average, Botswana, BWA
73.1576, 1904, Mar Average, Botswana, BWA
10.3579, 1904, Apr Average, Botswana, BWA
2.95185, 1904, May Average, Botswana, BWA
0.33611, 1904, Jun Average, Botswana, BWA
0.02167, 1904, Jul Average, Botswana, BWA
