Rainfall - (MM), Year, Statistics, Country, ISO3
62.0934, 1901, Jan Average, Switzerland, CHE
51.4204, 1901, Feb Average, Switzerland, CHE
158.183, 1901, Mar Average, Switzerland, CHE
233.551, 1901, Apr Average, Switzerland, CHE
63.6872, 1901, May Average, Switzerland, CHE
188.228, 1901, Jun Average, Switzerland, CHE
180.315, 1901, Jul Average, Switzerland, CHE
158.969, 1901, Aug Average, Switzerland, CHE
190.989, 1901, Sep Average, Switzerland, CHE
134.883, 1901, Oct Average, Switzerland, CHE
47.5904, 1901, Nov Average, Switzerland, CHE
144.722, 1901, Dec Average, Switzerland, CHE
83.7386, 1902, Jan Average, Switzerland, CHE
114.178, 1902, Feb Average, Switzerland, CHE
157.237, 1902, Mar Average, Switzerland, CHE
94.1779, 1902, Apr Average, Switzerland, CHE
160.21, 1902, May Average, Switzerland, CHE
108.262, 1902, Jun Average, Switzerland, CHE
137.13, 1902, Jul Average, Switzerland, CHE
184.757, 1902, Aug Average, Switzerland, CHE
114.106, 1902, Sep Average, Switzerland, CHE
128.955, 1902, Oct Average, Switzerland, CHE
52.6531, 1902, Nov Average, Switzerland, CHE
131.146, 1902, Dec Average, Switzerland, CHE
75.2002, 1903, Jan Average, Switzerland, CHE
51.6027, 1903, Feb Average, Switzerland, CHE
76.3917, 1903, Mar Average, Switzerland, CHE
127.444, 1903, Apr Average, Switzerland, CHE
118.543, 1903, May Average, Switzerland, CHE
146.848, 1903, Jun Average, Switzerland, CHE
187.445, 1903, Jul Average, Switzerland, CHE
166.155, 1903, Aug Average, Switzerland, CHE
67.2083, 1903, Sep Average, Switzerland, CHE
187.206, 1903, Oct Average, Switzerland, CHE
118.66, 1903, Nov Average, Switzerland, CHE
98.7586, 1903, Dec Average, Switzerland, CHE
49.2519, 1904, Jan Average, Switzerland, CHE
185.647, 1904, Feb Average, Switzerland, CHE
101.779, 1904, Mar Average, Switzerland, CHE
131.533, 1904, Apr Average, Switzerland, CHE
168.965, 1904, May Average, Switzerland, CHE
145.15, 1904, Jun Average, Switzerland, CHE
63.4732, 1904, Jul Average, Switzerland, CHE
124.193, 1904, Aug Average, Switzerland, CHE
142.63, 1904, Sep Average, Switzerland, CHE
67.638, 1904, Oct Average, Switzerland, CHE
61.75, 1904, Nov Average, Switzerland, CHE
86.3431, 1904, Dec Average, Switzerland, CHE
77.6738, 1905, Jan Average, Switzerland, CHE
51.0726, 1905, Feb Average, Switzerland, CHE
132.736, 1905, Mar Average, Switzerland, CHE
157.32, 1905, Apr Average, Switzerland, CHE
161.918, 1905, May Average, Switzerland, CHE
123.128, 1905, Jun Average, Switzerland, CHE
127.13, 1905, Jul Average, Switzerland, CHE
