Rainfall - (MM), Year, Statistics, Country, ISO3
36.178, 1901, Jan Average, Chile, CHL
34.4367, 1901, Feb Average, Chile, CHL
31.042, 1901, Mar Average, Chile, CHL
43.4426, 1901, Apr Average, Chile, CHL
90.7717, 1901, May Average, Chile, CHL
147.19, 1901, Jun Average, Chile, CHL
90.3573, 1901, Jul Average, Chile, CHL
95.2532, 1901, Aug Average, Chile, CHL
51.0436, 1901, Sep Average, Chile, CHL
25.3551, 1901, Oct Average, Chile, CHL
46.5747, 1901, Nov Average, Chile, CHL
29.3381, 1901, Dec Average, Chile, CHL
36.9342, 1902, Jan Average, Chile, CHL
35.7704, 1902, Feb Average, Chile, CHL
60.8712, 1902, Mar Average, Chile, CHL
52.9339, 1902, Apr Average, Chile, CHL
141.992, 1902, May Average, Chile, CHL
108.629, 1902, Jun Average, Chile, CHL
94.2896, 1902, Jul Average, Chile, CHL
63.5495, 1902, Aug Average, Chile, CHL
37.6594, 1902, Sep Average, Chile, CHL
28.2778, 1902, Oct Average, Chile, CHL
40.1962, 1902, Nov Average, Chile, CHL
18.446, 1902, Dec Average, Chile, CHL
27.795, 1903, Jan Average, Chile, CHL
32.3977, 1903, Feb Average, Chile, CHL
46.9491, 1903, Mar Average, Chile, CHL
45.9065, 1903, Apr Average, Chile, CHL
57.134, 1903, May Average, Chile, CHL
92.5753, 1903, Jun Average, Chile, CHL
54.5164, 1903, Jul Average, Chile, CHL
52.9086, 1903, Aug Average, Chile, CHL
44.0754, 1903, Sep Average, Chile, CHL
31.3014, 1903, Oct Average, Chile, CHL
35.7354, 1903, Nov Average, Chile, CHL
36.9727, 1903, Dec Average, Chile, CHL
40.3642, 1904, Jan Average, Chile, CHL
21.3312, 1904, Feb Average, Chile, CHL
44.1005, 1904, Mar Average, Chile, CHL
51.5821, 1904, Apr Average, Chile, CHL
93.0974, 1904, May Average, Chile, CHL
117.075, 1904, Jun Average, Chile, CHL
169.727, 1904, Jul Average, Chile, CHL
68.6362, 1904, Aug Average, Chile, CHL
82.852, 1904, Sep Average, Chile, CHL
36.0088, 1904, Oct Average, Chile, CHL
29.9579, 1904, Nov Average, Chile, CHL
38.9065, 1904, Dec Average, Chile, CHL
20.1593, 1905, Jan Average, Chile, CHL
21.9515, 1905, Feb Average, Chile, CHL
42.9233, 1905, Mar Average, Chile, CHL
42.9769, 1905, Apr Average, Chile, CHL
68.354, 1905, May Average, Chile, CHL
133.252, 1905, Jun Average, Chile, CHL
93.6085, 1905, Jul Average, Chile, CHL
104.283, 1905, Aug Average, Chile, CHL
54.8794, 1905, Sep Average, Chile, CHL
50.3645, 1905, Oct Average, Chile, CHL
21.731, 1905, Nov Average, Chile, CHL
22.8921, 1905, Dec Average, Chile, CHL
35.1221, 1906, Jan Average, Chile, CHL
39.0026, 1906, Feb Average, Chile, CHL
58.5529, 1906, Mar Average, Chile, CHL
