Rainfall - (MM), Year, Statistics, Country, ISO3
12.3034, 1901, Jan Average, China, CHN
5.89702, 1901, Feb Average, China, CHN
19.186, 1901, Mar Average, China, CHN
45.2565, 1901, Apr Average, China, CHN
51.7588, 1901, May Average, China, CHN
81.894, 1901, Jun Average, China, CHN
116.239, 1901, Jul Average, China, CHN
85.4611, 1901, Aug Average, China, CHN
45.5784, 1901, Sep Average, China, CHN
30.5667, 1901, Oct Average, China, CHN
12.0591, 1901, Nov Average, China, CHN
6.39152, 1901, Dec Average, China, CHN
7.51241, 1902, Jan Average, China, CHN
7.27536, 1902, Feb Average, China, CHN
21.5624, 1902, Mar Average, China, CHN
33.0485, 1902, Apr Average, China, CHN
69.5409, 1902, May Average, China, CHN
73.2584, 1902, Jun Average, China, CHN
94.8462, 1902, Jul Average, China, CHN
76.0942, 1902, Aug Average, China, CHN
51.4381, 1902, Sep Average, China, CHN
29.5486, 1902, Oct Average, China, CHN
15.5198, 1902, Nov Average, China, CHN
19.3459, 1902, Dec Average, China, CHN
10.3315, 1903, Jan Average, China, CHN
14.8705, 1903, Feb Average, China, CHN
33.0005, 1903, Mar Average, China, CHN
35.5812, 1903, Apr Average, China, CHN
65.2121, 1903, May Average, China, CHN
91.3406, 1903, Jun Average, China, CHN
101.029, 1903, Jul Average, China, CHN
120.127, 1903, Aug Average, China, CHN
68.6593, 1903, Sep Average, China, CHN
32.0307, 1903, Oct Average, China, CHN
12.0792, 1903, Nov Average, China, CHN
3.98464, 1903, Dec Average, China, CHN
5.67913, 1904, Jan Average, China, CHN
8.92847, 1904, Feb Average, China, CHN
30.5787, 1904, Mar Average, China, CHN
57.3756, 1904, Apr Average, China, CHN
57.3031, 1904, May Average, China, CHN
76.1922, 1904, Jun Average, China, CHN
100.54, 1904, Jul Average, China, CHN
102.811, 1904, Aug Average, China, CHN
62.7064, 1904, Sep Average, China, CHN
38.1144, 1904, Oct Average, China, CHN
12.0752, 1904, Nov Average, China, CHN
9.76423, 1904, Dec Average, China, CHN
13.0446, 1905, Jan Average, China, CHN
13.3137, 1905, Feb Average, China, CHN
41.104, 1905, Mar Average, China, CHN
39.6973, 1905, Apr Average, China, CHN
55.9775, 1905, May Average, China, CHN
82.884, 1905, Jun Average, China, CHN
95.9242, 1905, Jul Average, China, CHN
99.49, 1905, Aug Average, China, CHN
72.0379, 1905, Sep Average, China, CHN
34.3028, 1905, Oct Average, China, CHN
13.4569, 1905, Nov Average, China, CHN
20.4331, 1905, Dec Average, China, CHN
13.0414, 1906, Jan Average, China, CHN
24.417, 1906, Feb Average, China, CHN
26.2773, 1906, Mar Average, China, CHN
41.3014, 1906, Apr Average, China, CHN
60.906, 1906, May Average, China, CHN
84.8051, 1906, Jun Average, China, CHN
108.734, 1906, Jul Average, China, CHN
98.413, 1906, Aug Average, China, CHN
57.2769, 1906, Sep Average, China, CHN
28.2099, 1906, Oct Average, China, CHN
10.495, 1906, Nov Average, China, CHN
6.70487, 1906, Dec Average, China, CHN
15.846, 1907, Jan Average, China, CHN
11.9952, 1907, Feb Average, China, CHN
22.3651, 1907, Mar Average, China, CHN
41.3395, 1907, Apr Average, China, CHN
61.2131, 1907, May Average, China, CHN
77.7184, 1907, Jun Average, China, CHN
98.2287, 1907, Jul Average, China, CHN
98.6087, 1907, Aug Average, China, CHN
69.0295, 1907, Sep Average, China, CHN
60.442, 1907, Oct Average, China, CHN
21.7677, 1907, Nov Average, China, CHN
9.64267, 1907, Dec Average, China, CHN
17.2367, 1908, Jan Average, China, CHN
15.9903, 1908, Feb Average, China, CHN
16.4166, 1908, Mar Average, China, CHN
44.7263, 1908, Apr Average, China, CHN
46.0437, 1908, May Average, China, CHN
93.5993, 1908, Jun Average, China, CHN
112.817, 1908, Jul Average, China, CHN
83.983, 1908, Aug Average, China, CHN
75.5381, 1908, Sep Average, China, CHN
35.9032, 1908, Oct Average, China, CHN
23.4864, 1908, Nov Average, China, CHN
11.3141, 1908, Dec Average, China, CHN
13.5405, 1909, Jan Average, China, CHN
11.6564, 1909, Feb Average, China, CHN
23.6942, 1909, Mar Average, China, CHN
35.1621, 1909, Apr Average, China, CHN
52.8705, 1909, May Average, China, CHN
115.616, 1909, Jun Average, China, CHN
105.539, 1909, Jul Average, China, CHN
93.6626, 1909, Aug Average, China, CHN
61.3043, 1909, Sep Average, China, CHN
48.8763, 1909, Oct Average, China, CHN
16.4757, 1909, Nov Average, China, CHN
6.38913, 1909, Dec Average, China, CHN
13.9984, 1910, Jan Average, China, CHN
11.9884, 1910, Feb Average, China, CHN
21.307, 1910, Mar Average, China, CHN
38.4026, 1910, Apr Average, China, CHN
47.0219, 1910, May Average, China, CHN
100.469, 1910, Jun Average, China, CHN
113.761, 1910, Jul Average, China, CHN
102.255, 1910, Aug Average, China, CHN
56.2722, 1910, Sep Average, China, CHN
35.2468, 1910, Oct Average, China, CHN
21.1558, 1910, Nov Average, China, CHN
7.77083, 1910, Dec Average, China, CHN
11.646, 1911, Jan Average, China, CHN
11.686, 1911, Feb Average, China, CHN
36.1875, 1911, Mar Average, China, CHN
39.3082, 1911, Apr Average, China, CHN
72.0345, 1911, May Average, China, CHN
103.786, 1911, Jun Average, China, CHN
112.09, 1911, Jul Average, China, CHN
120.634, 1911, Aug Average, China, CHN
64.6223, 1911, Sep Average, China, CHN
39.7021, 1911, Oct Average, China, CHN
27.5649, 1911, Nov Average, China, CHN
11.4472, 1911, Dec Average, China, CHN
13.3398, 1912, Jan Average, China, CHN
18.1867, 1912, Feb Average, China, CHN
31.9352, 1912, Mar Average, China, CHN
35.6289, 1912, Apr Average, China, CHN
59.1207, 1912, May Average, China, CHN
97.7915, 1912, Jun Average, China, CHN
100.721, 1912, Jul Average, China, CHN
92.2621, 1912, Aug Average, China, CHN
52.8329, 1912, Sep Average, China, CHN
25.6493, 1912, Oct Average, China, CHN
19.6207, 1912, Nov Average, China, CHN
14.2495, 1912, Dec Average, China, CHN
8.60501, 1913, Jan Average, China, CHN
15.0045, 1913, Feb Average, China, CHN
28.8048, 1913, Mar Average, China, CHN
47.1014, 1913, Apr Average, China, CHN
54.2686, 1913, May Average, China, CHN
96.5792, 1913, Jun Average, China, CHN
93.0463, 1913, Jul Average, China, CHN
85.6519, 1913, Aug Average, China, CHN
54.6119, 1913, Sep Average, China, CHN
26.3495, 1913, Oct Average, China, CHN
21.6629, 1913, Nov Average, China, CHN
15.2631, 1913, Dec Average, China, CHN
6.43059, 1914, Jan Average, China, CHN
20.3499, 1914, Feb Average, China, CHN
25.4982, 1914, Mar Average, China, CHN
37.2208, 1914, Apr Average, China, CHN
58.0828, 1914, May Average, China, CHN
93.3894, 1914, Jun Average, China, CHN
108.784, 1914, Jul Average, China, CHN
94.1891, 1914, Aug Average, China, CHN
58.5209, 1914, Sep Average, China, CHN
38.6301, 1914, Oct Average, China, CHN
29.4833, 1914, Nov Average, China, CHN
12.7727, 1914, Dec Average, China, CHN
7.02347, 1915, Jan Average, China, CHN
13.7907, 1915, Feb Average, China, CHN
22.8702, 1915, Mar Average, China, CHN
43.1644, 1915, Apr Average, China, CHN
65.3052, 1915, May Average, China, CHN
97.564, 1915, Jun Average, China, CHN
125.889, 1915, Jul Average, China, CHN
105.263, 1915, Aug Average, China, CHN
77.6498, 1915, Sep Average, China, CHN
49.2419, 1915, Oct Average, China, CHN
24.4287, 1915, Nov Average, China, CHN
6.53196, 1915, Dec Average, China, CHN
10.8512, 1916, Jan Average, China, CHN
17.2613, 1916, Feb Average, China, CHN
18.5867, 1916, Mar Average, China, CHN
46.5151, 1916, Apr Average, China, CHN
56.4583, 1916, May Average, China, CHN
99.3069, 1916, Jun Average, China, CHN
98.1994, 1916, Jul Average, China, CHN
82.4725, 1916, Aug Average, China, CHN
71.5854, 1916, Sep Average, China, CHN
33.1362, 1916, Oct Average, China, CHN
14.5759, 1916, Nov Average, China, CHN
7.23141, 1916, Dec Average, China, CHN
6.42866, 1917, Jan Average, China, CHN
12.9772, 1917, Feb Average, China, CHN
21.4227, 1917, Mar Average, China, CHN
36.4732, 1917, Apr Average, China, CHN
40.6884, 1917, May Average, China, CHN
99.8762, 1917, Jun Average, China, CHN
144.781, 1917, Jul Average, China, CHN
97.4942, 1917, Aug Average, China, CHN
61.655, 1917, Sep Average, China, CHN
31.6998, 1917, Oct Average, China, CHN
9.07873, 1917, Nov Average, China, CHN
7.43696, 1917, Dec Average, China, CHN
2.41506, 1918, Jan Average, China, CHN
8.47447, 1918, Feb Average, China, CHN
27.8591, 1918, Mar Average, China, CHN
40.0573, 1918, Apr Average, China, CHN
86.4034, 1918, May Average, China, CHN
91.1988, 1918, Jun Average, China, CHN
97.2946, 1918, Jul Average, China, CHN
127.352, 1918, Aug Average, China, CHN
65.3582, 1918, Sep Average, China, CHN
17.664, 1918, Oct Average, China, CHN
28.9214, 1918, Nov Average, China, CHN
15.0751, 1918, Dec Average, China, CHN
10.2111, 1919, Jan Average, China, CHN
13.8858, 1919, Feb Average, China, CHN
27.0115, 1919, Mar Average, China, CHN
39.4063, 1919, Apr Average, China, CHN
59.6878, 1919, May Average, China, CHN
98.5928, 1919, Jun Average, China, CHN
101.557, 1919, Jul Average, China, CHN
86.6081, 1919, Aug Average, China, CHN
57.7362, 1919, Sep Average, China, CHN
27.4495, 1919, Oct Average, China, CHN
17.8232, 1919, Nov Average, China, CHN
6.41484, 1919, Dec Average, China, CHN
7.57839, 1920, Jan Average, China, CHN
23.1024, 1920, Feb Average, China, CHN
30.7494, 1920, Mar Average, China, CHN
36.4336, 1920, Apr Average, China, CHN
51.639, 1920, May Average, China, CHN
