Rainfall - (MM), Year, Statistics, Country, ISO3
13.7994, 1901, Jan Average, Cote d'Ivoire, CIV
57.3843, 1901, Feb Average, Cote d'Ivoire, CIV
76.191, 1901, Mar Average, Cote d'Ivoire, CIV
122.8, 1901, Apr Average, Cote d'Ivoire, CIV
162.727, 1901, May Average, Cote d'Ivoire, CIV
198.38, 1901, Jun Average, Cote d'Ivoire, CIV
150.539, 1901, Jul Average, Cote d'Ivoire, CIV
169.979, 1901, Aug Average, Cote d'Ivoire, CIV
200.66, 1901, Sep Average, Cote d'Ivoire, CIV
149.08, 1901, Oct Average, Cote d'Ivoire, CIV
58.8676, 1901, Nov Average, Cote d'Ivoire, CIV
23.4658, 1901, Dec Average, Cote d'Ivoire, CIV
9.76853, 1902, Jan Average, Cote d'Ivoire, CIV
41.2645, 1902, Feb Average, Cote d'Ivoire, CIV
86.3822, 1902, Mar Average, Cote d'Ivoire, CIV
140.491, 1902, Apr Average, Cote d'Ivoire, CIV
174.953, 1902, May Average, Cote d'Ivoire, CIV
210.372, 1902, Jun Average, Cote d'Ivoire, CIV
155.996, 1902, Jul Average, Cote d'Ivoire, CIV
164.493, 1902, Aug Average, Cote d'Ivoire, CIV
183.849, 1902, Sep Average, Cote d'Ivoire, CIV
121.951, 1902, Oct Average, Cote d'Ivoire, CIV
61.2518, 1902, Nov Average, Cote d'Ivoire, CIV
21.9385, 1902, Dec Average, Cote d'Ivoire, CIV
21.3015, 1903, Jan Average, Cote d'Ivoire, CIV
43.1139, 1903, Feb Average, Cote d'Ivoire, CIV
76.3753, 1903, Mar Average, Cote d'Ivoire, CIV
115.636, 1903, Apr Average, Cote d'Ivoire, CIV
157.268, 1903, May Average, Cote d'Ivoire, CIV
215.307, 1903, Jun Average, Cote d'Ivoire, CIV
161.049, 1903, Jul Average, Cote d'Ivoire, CIV
155.539, 1903, Aug Average, Cote d'Ivoire, CIV
180.079, 1903, Sep Average, Cote d'Ivoire, CIV
125.598, 1903, Oct Average, Cote d'Ivoire, CIV
76.4432, 1903, Nov Average, Cote d'Ivoire, CIV
27.8506, 1903, Dec Average, Cote d'Ivoire, CIV
14.2049, 1904, Jan Average, Cote d'Ivoire, CIV
34.0164, 1904, Feb Average, Cote d'Ivoire, CIV
77.0551, 1904, Mar Average, Cote d'Ivoire, CIV
102.948, 1904, Apr Average, Cote d'Ivoire, CIV
163.058, 1904, May Average, Cote d'Ivoire, CIV
211.287, 1904, Jun Average, Cote d'Ivoire, CIV
151.689, 1904, Jul Average, Cote d'Ivoire, CIV
157.29, 1904, Aug Average, Cote d'Ivoire, CIV
195.474, 1904, Sep Average, Cote d'Ivoire, CIV
129.142, 1904, Oct Average, Cote d'Ivoire, CIV
56.1254, 1904, Nov Average, Cote d'Ivoire, CIV
25.9746, 1904, Dec Average, Cote d'Ivoire, CIV
9.102, 1905, Jan Average, Cote d'Ivoire, CIV
28.1626, 1905, Feb Average, Cote d'Ivoire, CIV
69.7003, 1905, Mar Average, Cote d'Ivoire, CIV
142.521, 1905, Apr Average, Cote d'Ivoire, CIV
208.356, 1905, May Average, Cote d'Ivoire, CIV
181.068, 1905, Jun Average, Cote d'Ivoire, CIV
176.012, 1905, Jul Average, Cote d'Ivoire, CIV
184.736, 1905, Aug Average, Cote d'Ivoire, CIV
187.596, 1905, Sep Average, Cote d'Ivoire, CIV
113.836, 1905, Oct Average, Cote d'Ivoire, CIV
52.5511, 1905, Nov Average, Cote d'Ivoire, CIV
11.0513, 1905, Dec Average, Cote d'Ivoire, CIV
40.0458, 1906, Jan Average, Cote d'Ivoire, CIV
49.0254, 1906, Feb Average, Cote d'Ivoire, CIV
41.7539, 1906, Mar Average, Cote d'Ivoire, CIV
177.961, 1906, Apr Average, Cote d'Ivoire, CIV
291.594, 1906, May Average, Cote d'Ivoire, CIV
229.267, 1906, Jun Average, Cote d'Ivoire, CIV
157.026, 1906, Jul Average, Cote d'Ivoire, CIV
192.782, 1906, Aug Average, Cote d'Ivoire, CIV
246.376, 1906, Sep Average, Cote d'Ivoire, CIV
189.479, 1906, Oct Average, Cote d'Ivoire, CIV
88.6008, 1906, Nov Average, Cote d'Ivoire, CIV
27.0218, 1906, Dec Average, Cote d'Ivoire, CIV
6.97838, 1907, Jan Average, Cote d'Ivoire, CIV
21.7653, 1907, Feb Average, Cote d'Ivoire, CIV
72.6626, 1907, Mar Average, Cote d'Ivoire, CIV
138.602, 1907, Apr Average, Cote d'Ivoire, CIV
245.871, 1907, May Average, Cote d'Ivoire, CIV
158.018, 1907, Jun Average, Cote d'Ivoire, CIV
124.229, 1907, Jul Average, Cote d'Ivoire, CIV
82.5618, 1907, Aug Average, Cote d'Ivoire, CIV
250.552, 1907, Sep Average, Cote d'Ivoire, CIV
285.823, 1907, Oct Average, Cote d'Ivoire, CIV
145.769, 1907, Nov Average, Cote d'Ivoire, CIV
11.6959, 1907, Dec Average, Cote d'Ivoire, CIV
27.7157, 1908, Jan Average, Cote d'Ivoire, CIV
24.9922, 1908, Feb Average, Cote d'Ivoire, CIV
57.9247, 1908, Mar Average, Cote d'Ivoire, CIV
109.444, 1908, Apr Average, Cote d'Ivoire, CIV
244.518, 1908, May Average, Cote d'Ivoire, CIV
188.485, 1908, Jun Average, Cote d'Ivoire, CIV
196.908, 1908, Jul Average, Cote d'Ivoire, CIV
127.236, 1908, Aug Average, Cote d'Ivoire, CIV
