Rainfall - (MM), Year, Statistics, Country, ISO3
11.8388, 1901, Jan Average, Cameroon, CMR
28.0499, 1901, Feb Average, Cameroon, CMR
126.077, 1901, Mar Average, Cameroon, CMR
156.915, 1901, Apr Average, Cameroon, CMR
189.351, 1901, May Average, Cameroon, CMR
210.652, 1901, Jun Average, Cameroon, CMR
244.18, 1901, Jul Average, Cameroon, CMR
177.937, 1901, Aug Average, Cameroon, CMR
234.362, 1901, Sep Average, Cameroon, CMR
186.387, 1901, Oct Average, Cameroon, CMR
77.6088, 1901, Nov Average, Cameroon, CMR
23.4839, 1901, Dec Average, Cameroon, CMR
21.5478, 1902, Jan Average, Cameroon, CMR
37.1679, 1902, Feb Average, Cameroon, CMR
119.424, 1902, Mar Average, Cameroon, CMR
144.68, 1902, Apr Average, Cameroon, CMR
163.725, 1902, May Average, Cameroon, CMR
194.341, 1902, Jun Average, Cameroon, CMR
149.331, 1902, Jul Average, Cameroon, CMR
293.915, 1902, Aug Average, Cameroon, CMR
264.786, 1902, Sep Average, Cameroon, CMR
228.964, 1902, Oct Average, Cameroon, CMR
76.5171, 1902, Nov Average, Cameroon, CMR
28.6545, 1902, Dec Average, Cameroon, CMR
19.2311, 1903, Jan Average, Cameroon, CMR
36.4427, 1903, Feb Average, Cameroon, CMR
91.9618, 1903, Mar Average, Cameroon, CMR
133.363, 1903, Apr Average, Cameroon, CMR
154.985, 1903, May Average, Cameroon, CMR
186.532, 1903, Jun Average, Cameroon, CMR
176.777, 1903, Jul Average, Cameroon, CMR
291.493, 1903, Aug Average, Cameroon, CMR
247.529, 1903, Sep Average, Cameroon, CMR
181.962, 1903, Oct Average, Cameroon, CMR
80.2558, 1903, Nov Average, Cameroon, CMR
42.6219, 1903, Dec Average, Cameroon, CMR
27.1752, 1904, Jan Average, Cameroon, CMR
11.6105, 1904, Feb Average, Cameroon, CMR
112.471, 1904, Mar Average, Cameroon, CMR
124.944, 1904, Apr Average, Cameroon, CMR
188.757, 1904, May Average, Cameroon, CMR
172.521, 1904, Jun Average, Cameroon, CMR
187.466, 1904, Jul Average, Cameroon, CMR
251.716, 1904, Aug Average, Cameroon, CMR
232.655, 1904, Sep Average, Cameroon, CMR
190.226, 1904, Oct Average, Cameroon, CMR
74.7114, 1904, Nov Average, Cameroon, CMR
11.2645, 1904, Dec Average, Cameroon, CMR
11.9552, 1905, Jan Average, Cameroon, CMR
32.8548, 1905, Feb Average, Cameroon, CMR
86.1197, 1905, Mar Average, Cameroon, CMR
133.278, 1905, Apr Average, Cameroon, CMR
173.408, 1905, May Average, Cameroon, CMR
171.13, 1905, Jun Average, Cameroon, CMR
145.349, 1905, Jul Average, Cameroon, CMR
253.136, 1905, Aug Average, Cameroon, CMR
282.998, 1905, Sep Average, Cameroon, CMR
288.425, 1905, Oct Average, Cameroon, CMR
104.813, 1905, Nov Average, Cameroon, CMR
32.8949, 1905, Dec Average, Cameroon, CMR
14.7568, 1906, Jan Average, Cameroon, CMR
49.2498, 1906, Feb Average, Cameroon, CMR
114.182, 1906, Mar Average, Cameroon, CMR
133.575, 1906, Apr Average, Cameroon, CMR
235.602, 1906, May Average, Cameroon, CMR
189.997, 1906, Jun Average, Cameroon, CMR
145.059, 1906, Jul Average, Cameroon, CMR
212.816, 1906, Aug Average, Cameroon, CMR
271.329, 1906, Sep Average, Cameroon, CMR
237.47, 1906, Oct Average, Cameroon, CMR
57.9239, 1906, Nov Average, Cameroon, CMR
31.0891, 1906, Dec Average, Cameroon, CMR
45.391, 1907, Jan Average, Cameroon, CMR
55.2729, 1907, Feb Average, Cameroon, CMR
55.5532, 1907, Mar Average, Cameroon, CMR
172.085, 1907, Apr Average, Cameroon, CMR
174.338, 1907, May Average, Cameroon, CMR
135.334, 1907, Jun Average, Cameroon, CMR
113.086, 1907, Jul Average, Cameroon, CMR
128.558, 1907, Aug Average, Cameroon, CMR
222.354, 1907, Sep Average, Cameroon, CMR
237.358, 1907, Oct Average, Cameroon, CMR
82.728, 1907, Nov Average, Cameroon, CMR
13.2895, 1907, Dec Average, Cameroon, CMR
21.3056, 1908, Jan Average, Cameroon, CMR
