Rainfall - (MM), Year, Statistics, Country, ISO3
120.721, 1901, Jan Average, Congo (Republic of the), COG
107.248, 1901, Feb Average, Congo (Republic of the), COG
170.515, 1901, Mar Average, Congo (Republic of the), COG
181.696, 1901, Apr Average, Congo (Republic of the), COG
172.139, 1901, May Average, Congo (Republic of the), COG
69.6131, 1901, Jun Average, Congo (Republic of the), COG
55.2497, 1901, Jul Average, Congo (Republic of the), COG
73.89, 1901, Aug Average, Congo (Republic of the), COG
126.172, 1901, Sep Average, Congo (Republic of the), COG
171.997, 1901, Oct Average, Congo (Republic of the), COG
189.905, 1901, Nov Average, Congo (Republic of the), COG
118.935, 1901, Dec Average, Congo (Republic of the), COG
87.7581, 1902, Jan Average, Congo (Republic of the), COG
87.0858, 1902, Feb Average, Congo (Republic of the), COG
179.319, 1902, Mar Average, Congo (Republic of the), COG
180.178, 1902, Apr Average, Congo (Republic of the), COG
156.653, 1902, May Average, Congo (Republic of the), COG
67.1314, 1902, Jun Average, Congo (Republic of the), COG
47.444, 1902, Jul Average, Congo (Republic of the), COG
80.1729, 1902, Aug Average, Congo (Republic of the), COG
125.437, 1902, Sep Average, Congo (Republic of the), COG
197.599, 1902, Oct Average, Congo (Republic of the), COG
198.884, 1902, Nov Average, Congo (Republic of the), COG
164.718, 1902, Dec Average, Congo (Republic of the), COG
123.817, 1903, Jan Average, Congo (Republic of the), COG
111.628, 1903, Feb Average, Congo (Republic of the), COG
220.676, 1903, Mar Average, Congo (Republic of the), COG
198.776, 1903, Apr Average, Congo (Republic of the), COG
161.662, 1903, May Average, Congo (Republic of the), COG
70.7017, 1903, Jun Average, Congo (Republic of the), COG
48.8438, 1903, Jul Average, Congo (Republic of the), COG
76.5052, 1903, Aug Average, Congo (Republic of the), COG
151.71, 1903, Sep Average, Congo (Republic of the), COG
208.782, 1903, Oct Average, Congo (Republic of the), COG
184.725, 1903, Nov Average, Congo (Republic of the), COG
127.546, 1903, Dec Average, Congo (Republic of the), COG
113.759, 1904, Jan Average, Congo (Republic of the), COG
113.638, 1904, Feb Average, Congo (Republic of the), COG
159.675, 1904, Mar Average, Congo (Republic of the), COG
193.53, 1904, Apr Average, Congo (Republic of the), COG
139.008, 1904, May Average, Congo (Republic of the), COG
81.1554, 1904, Jun Average, Congo (Republic of the), COG
42.9647, 1904, Jul Average, Congo (Republic of the), COG
61.877, 1904, Aug Average, Congo (Republic of the), COG
89.7063, 1904, Sep Average, Congo (Republic of the), COG
189.785, 1904, Oct Average, Congo (Republic of the), COG
210.463, 1904, Nov Average, Congo (Republic of the), COG
