Rainfall - (MM), Year, Statistics, Country, ISO3
82.8194, 1901, Jan Average, Colombia, COL
104.135, 1901, Feb Average, Colombia, COL
154.653, 1901, Mar Average, Colombia, COL
170.41, 1901, Apr Average, Colombia, COL
265.7, 1901, May Average, Colombia, COL
203.882, 1901, Jun Average, Colombia, COL
375.747, 1901, Jul Average, Colombia, COL
452.366, 1901, Aug Average, Colombia, COL
212.769, 1901, Sep Average, Colombia, COL
331.278, 1901, Oct Average, Colombia, COL
282.74, 1901, Nov Average, Colombia, COL
128.451, 1901, Dec Average, Colombia, COL
201.628, 1902, Jan Average, Colombia, COL
91.3662, 1902, Feb Average, Colombia, COL
238.329, 1902, Mar Average, Colombia, COL
219.033, 1902, Apr Average, Colombia, COL
225.177, 1902, May Average, Colombia, COL
198.888, 1902, Jun Average, Colombia, COL
163.626, 1902, Jul Average, Colombia, COL
195.229, 1902, Aug Average, Colombia, COL
200.319, 1902, Sep Average, Colombia, COL
203.833, 1902, Oct Average, Colombia, COL
196.051, 1902, Nov Average, Colombia, COL
106.983, 1902, Dec Average, Colombia, COL
106.366, 1903, Jan Average, Colombia, COL
94.7946, 1903, Feb Average, Colombia, COL
120.143, 1903, Mar Average, Colombia, COL
215.859, 1903, Apr Average, Colombia, COL
264.644, 1903, May Average, Colombia, COL
403.128, 1903, Jun Average, Colombia, COL
160.261, 1903, Jul Average, Colombia, COL
420.693, 1903, Aug Average, Colombia, COL
196.421, 1903, Sep Average, Colombia, COL
186.659, 1903, Oct Average, Colombia, COL
235.991, 1903, Nov Average, Colombia, COL
177.947, 1903, Dec Average, Colombia, COL
134.061, 1904, Jan Average, Colombia, COL
129.181, 1904, Feb Average, Colombia, COL
239.303, 1904, Mar Average, Colombia, COL
310.386, 1904, Apr Average, Colombia, COL
326.928, 1904, May Average, Colombia, COL
190.838, 1904, Jun Average, Colombia, COL
255.891, 1904, Jul Average, Colombia, COL
202.047, 1904, Aug Average, Colombia, COL
187.109, 1904, Sep Average, Colombia, COL
268.766, 1904, Oct Average, Colombia, COL
129.57, 1904, Nov Average, Colombia, COL
95.3721, 1904, Dec Average, Colombia, COL
136.733, 1905, Jan Average, Colombia, COL
69.614, 1905, Feb Average, Colombia, COL
132.115, 1905, Mar Average, Colombia, COL
237.843, 1905, Apr Average, Colombia, COL
282.466, 1905, May Average, Colombia, COL
246.472, 1905, Jun Average, Colombia, COL
217.367, 1905, Jul Average, Colombia, COL
159.508, 1905, Aug Average, Colombia, COL
316.617, 1905, Sep Average, Colombia, COL
260.319, 1905, Oct Average, Colombia, COL
271.986, 1905, Nov Average, Colombia, COL
214.818, 1905, Dec Average, Colombia, COL
82.5656, 1906, Jan Average, Colombia, COL
117.922, 1906, Feb Average, Colombia, COL
144.342, 1906, Mar Average, Colombia, COL
311.985, 1906, Apr Average, Colombia, COL
310.615, 1906, May Average, Colombia, COL
336.498, 1906, Jun Average, Colombia, COL
312.691, 1906, Jul Average, Colombia, COL
227.1, 1906, Aug Average, Colombia, COL
129.219, 1906, Sep Average, Colombia, COL
245.454, 1906, Oct Average, Colombia, COL
181.978, 1906, Nov Average, Colombia, COL
134.266, 1906, Dec Average, Colombia, COL
107.059, 1907, Jan Average, Colombia, COL
155.449, 1907, Feb Average, Colombia, COL
298.38, 1907, Mar Average, Colombia, COL
317.11, 1907, Apr Average, Colombia, COL
280.816, 1907, May Average, Colombia, COL
300.057, 1907, Jun Average, Colombia, COL
386.59, 1907, Jul Average, Colombia, COL
225.888, 1907, Aug Average, Colombia, COL
255.896, 1907, Sep Average, Colombia, COL
235.226, 1907, Oct Average, Colombia, COL
180.607, 1907, Nov Average, Colombia, COL
137.774, 1907, Dec Average, Colombia, COL
163.065, 1908, Jan Average, Colombia, COL
106.351, 1908, Feb Average, Colombia, COL
