Rainfall - (MM), Year, Statistics, Country, ISO3
266.154, 1901, Jan Average, Comoros, COM
241.444, 1901, Feb Average, Comoros, COM
143.265, 1901, Mar Average, Comoros, COM
215.41, 1901, Apr Average, Comoros, COM
90.2123, 1901, May Average, Comoros, COM
50.9671, 1901, Jun Average, Comoros, COM
167.016, 1901, Jul Average, Comoros, COM
84.5888, 1901, Aug Average, Comoros, COM
25.8143, 1901, Sep Average, Comoros, COM
26.35, 1901, Oct Average, Comoros, COM
50.9361, 1901, Nov Average, Comoros, COM
238.668, 1901, Dec Average, Comoros, COM
308.378, 1902, Jan Average, Comoros, COM
216.79, 1902, Feb Average, Comoros, COM
178.985, 1902, Mar Average, Comoros, COM
175.557, 1902, Apr Average, Comoros, COM
81.3233, 1902, May Average, Comoros, COM
50.9671, 1902, Jun Average, Comoros, COM
61.2791, 1902, Jul Average, Comoros, COM
35.2522, 1902, Aug Average, Comoros, COM
17.0047, 1902, Sep Average, Comoros, COM
41.0924, 1902, Oct Average, Comoros, COM
121.245, 1902, Nov Average, Comoros, COM
139.688, 1902, Dec Average, Comoros, COM
277.508, 1903, Jan Average, Comoros, COM
270.527, 1903, Feb Average, Comoros, COM
238.521, 1903, Mar Average, Comoros, COM
203.665, 1903, Apr Average, Comoros, COM
121.678, 1903, May Average, Comoros, COM
103.172, 1903, Jun Average, Comoros, COM
87.214, 1903, Jul Average, Comoros, COM
157.386, 1903, Aug Average, Comoros, COM
54.5809, 1903, Sep Average, Comoros, COM
50.9375, 1903, Oct Average, Comoros, COM
111.823, 1903, Nov Average, Comoros, COM
190.188, 1903, Dec Average, Comoros, COM
306.604, 1904, Jan Average, Comoros, COM
241.444, 1904, Feb Average, Comoros, COM
213.401, 1904, Mar Average, Comoros, COM
221.936, 1904, Apr Average, Comoros, COM
84.0259, 1904, May Average, Comoros, COM
87.3563, 1904, Jun Average, Comoros, COM
73.8643, 1904, Jul Average, Comoros, COM
93.1714, 1904, Aug Average, Comoros, COM
27.7282, 1904, Sep Average, Comoros, COM
67.4642, 1904, Oct Average, Comoros, COM
144.766, 1904, Nov Average, Comoros, COM
187.323, 1904, Dec Average, Comoros, COM
246.009, 1905, Jan Average, Comoros, COM
210.671, 1905, Feb Average, Comoros, COM
173.922, 1905, Mar Average, Comoros, COM
