Rainfall - (MM), Year, Statistics, Country, ISO3
0, 1901, Jan Average, Cape Verde, CPV
0, 1901, Feb Average, Cape Verde, CPV
0, 1901, Mar Average, Cape Verde, CPV
12.9737, 1901, Apr Average, Cape Verde, CPV
0, 1901, May Average, Cape Verde, CPV
30.0263, 1901, Jun Average, Cape Verde, CPV
0, 1901, Jul Average, Cape Verde, CPV
50.5041, 1901, Aug Average, Cape Verde, CPV
48.3225, 1901, Sep Average, Cape Verde, CPV
18.8188, 1901, Oct Average, Cape Verde, CPV
0, 1901, Nov Average, Cape Verde, CPV
0, 1901, Dec Average, Cape Verde, CPV
4.37136, 1902, Jan Average, Cape Verde, CPV
0, 1902, Feb Average, Cape Verde, CPV
0, 1902, Mar Average, Cape Verde, CPV
12.9737, 1902, Apr Average, Cape Verde, CPV
0, 1902, May Average, Cape Verde, CPV
30.0263, 1902, Jun Average, Cape Verde, CPV
5.61467, 1902, Jul Average, Cape Verde, CPV
141.534, 1902, Aug Average, Cape Verde, CPV
9.15388, 1902, Sep Average, Cape Verde, CPV
141.579, 1902, Oct Average, Cape Verde, CPV
0, 1902, Nov Average, Cape Verde, CPV
19.9758, 1902, Dec Average, Cape Verde, CPV
17.1129, 1903, Jan Average, Cape Verde, CPV
0, 1903, Feb Average, Cape Verde, CPV
0, 1903, Mar Average, Cape Verde, CPV
12.9737, 1903, Apr Average, Cape Verde, CPV
0, 1903, May Average, Cape Verde, CPV
30.0263, 1903, Jun Average, Cape Verde, CPV
0, 1903, Jul Average, Cape Verde, CPV
134.592, 1903, Aug Average, Cape Verde, CPV
102.997, 1903, Sep Average, Cape Verde, CPV
0, 1903, Oct Average, Cape Verde, CPV
45.374, 1903, Nov Average, Cape Verde, CPV
0, 1903, Dec Average, Cape Verde, CPV
44.1931, 1904, Jan Average, Cape Verde, CPV
0, 1904, Feb Average, Cape Verde, CPV
91.3387, 1904, Mar Average, Cape Verde, CPV
12.9737, 1904, Apr Average, Cape Verde, CPV
0, 1904, May Average, Cape Verde, CPV
30.0263, 1904, Jun Average, Cape Verde, CPV
20.021, 1904, Jul Average, Cape Verde, CPV
98.1885, 1904, Aug Average, Cape Verde, CPV
41.1246, 1904, Sep Average, Cape Verde, CPV
26.759, 1904, Oct Average, Cape Verde, CPV
23.6172, 1904, Nov Average, Cape Verde, CPV
0, 1904, Dec Average, Cape Verde, CPV
0, 1905, Jan Average, Cape Verde, CPV
0, 1905, Feb Average, Cape Verde, CPV
63.9294, 1905, Mar Average, Cape Verde, CPV
12.9737, 1905, Apr Average, Cape Verde, CPV
0, 1905, May Average, Cape Verde, CPV
30.0263, 1905, Jun Average, Cape Verde, CPV
0, 1905, Jul Average, Cape Verde, CPV
154.806, 1905, Aug Average, Cape Verde, CPV
62.1412, 1905, Sep Average, Cape Verde, CPV
13.4401, 1905, Oct Average, Cape Verde, CPV
46.6061, 1905, Nov Average, Cape Verde, CPV
0, 1905, Dec Average, Cape Verde, CPV
0, 1906, Jan Average, Cape Verde, CPV
13.0882, 1906, Feb Average, Cape Verde, CPV
0, 1906, Mar Average, Cape Verde, CPV
12.9737, 1906, Apr Average, Cape Verde, CPV
0, 1906, May Average, Cape Verde, CPV
30.0263, 1906, Jun Average, Cape Verde, CPV
89.9012, 1906, Jul Average, Cape Verde, CPV
67.6351, 1906, Aug Average, Cape Verde, CPV
358.95, 1906, Sep Average, Cape Verde, CPV
130.326, 1906, Oct Average, Cape Verde, CPV
0, 1906, Nov Average, Cape Verde, CPV
27.2192, 1906, Dec Average, Cape Verde, CPV
9.78709, 1907, Jan Average, Cape Verde, CPV
25.628, 1907, Feb Average, Cape Verde, CPV
0, 1907, Mar Average, Cape Verde, CPV
12.9737, 1907, Apr Average, Cape Verde, CPV
0, 1907, May Average, Cape Verde, CPV
30.0263, 1907, Jun Average, Cape Verde, CPV
0, 1907, Jul Average, Cape Verde, CPV
17.1124, 1907, Aug Average, Cape Verde, CPV
305.357, 1907, Sep Average, Cape Verde, CPV
26.728, 1907, Oct Average, Cape Verde, CPV
105.814, 1907, Nov Average, Cape Verde, CPV
0, 1907, Dec Average, Cape Verde, CPV
69.68, 1908, Jan Average, Cape Verde, CPV
0, 1908, Feb Average, Cape Verde, CPV
0, 1908, Mar Average, Cape Verde, CPV
12.9737, 1908, Apr Average, Cape Verde, CPV
0, 1908, May Average, Cape Verde, CPV
30.0263, 1908, Jun Average, Cape Verde, CPV
0, 1908, Jul Average, Cape Verde, CPV
127.624, 1908, Aug Average, Cape Verde, CPV
63.062, 1908, Sep Average, Cape Verde, CPV
26.731, 1908, Oct Average, Cape Verde, CPV
42.3051, 1908, Nov Average, Cape Verde, CPV
79.5749, 1908, Dec Average, Cape Verde, CPV
0, 1909, Jan Average, Cape Verde, CPV
0, 1909, Feb Average, Cape Verde, CPV
0, 1909, Mar Average, Cape Verde, CPV
12.9737, 1909, Apr Average, Cape Verde, CPV
0, 1909, May Average, Cape Verde, CPV
30.0263, 1909, Jun Average, Cape Verde, CPV
164.964, 1909, Jul Average, Cape Verde, CPV
161.512, 1909, Aug Average, Cape Verde, CPV
151.241, 1909, Sep Average, Cape Verde, CPV
83.2243, 1909, Oct Average, Cape Verde, CPV
153.047, 1909, Nov Average, Cape Verde, CPV
111.417, 1909, Dec Average, Cape Verde, CPV
13.9464, 1910, Jan Average, Cape Verde, CPV
0, 1910, Feb Average, Cape Verde, CPV
0, 1910, Mar Average, Cape Verde, CPV
12.9737, 1910, Apr Average, Cape Verde, CPV
0, 1910, May Average, Cape Verde, CPV
30.0263, 1910, Jun Average, Cape Verde, CPV
31.5276, 1910, Jul Average, Cape Verde, CPV
200.333, 1910, Aug Average, Cape Verde, CPV
10.4941, 1910, Sep Average, Cape Verde, CPV
24.8256, 1910, Oct Average, Cape Verde, CPV
0, 1910, Nov Average, Cape Verde, CPV
0, 1910, Dec Average, Cape Verde, CPV
13.125, 1911, Jan Average, Cape Verde, CPV
0, 1911, Feb Average, Cape Verde, CPV
0, 1911, Mar Average, Cape Verde, CPV
12.9737, 1911, Apr Average, Cape Verde, CPV
0, 1911, May Average, Cape Verde, CPV
30.0263, 1911, Jun Average, Cape Verde, CPV
84.0451, 1911, Jul Average, Cape Verde, CPV
0.93012, 1911, Aug Average, Cape Verde, CPV
113.938, 1911, Sep Average, Cape Verde, CPV
60.4583, 1911, Oct Average, Cape Verde, CPV
0, 1911, Nov Average, Cape Verde, CPV
20.1995, 1911, Dec Average, Cape Verde, CPV
0, 1912, Jan Average, Cape Verde, CPV
0, 1912, Feb Average, Cape Verde, CPV
