Rainfall - (MM), Year, Statistics, Country, ISO3
41.2628, 1901, Jan Average, Costa Rica, CRI
77.9096, 1901, Feb Average, Costa Rica, CRI
162.022, 1901, Mar Average, Costa Rica, CRI
2.42747, 1901, Apr Average, Costa Rica, CRI
181.226, 1901, May Average, Costa Rica, CRI
346.844, 1901, Jun Average, Costa Rica, CRI
622.009, 1901, Jul Average, Costa Rica, CRI
427.083, 1901, Aug Average, Costa Rica, CRI
461.656, 1901, Sep Average, Costa Rica, CRI
628.838, 1901, Oct Average, Costa Rica, CRI
421.225, 1901, Nov Average, Costa Rica, CRI
138.606, 1901, Dec Average, Costa Rica, CRI
55.0181, 1902, Jan Average, Costa Rica, CRI
156.689, 1902, Feb Average, Costa Rica, CRI
166.01, 1902, Mar Average, Costa Rica, CRI
422.247, 1902, Apr Average, Costa Rica, CRI
445.512, 1902, May Average, Costa Rica, CRI
219.518, 1902, Jun Average, Costa Rica, CRI
266.585, 1902, Jul Average, Costa Rica, CRI
144.392, 1902, Aug Average, Costa Rica, CRI
275.61, 1902, Sep Average, Costa Rica, CRI
247.443, 1902, Oct Average, Costa Rica, CRI
218.122, 1902, Nov Average, Costa Rica, CRI
13.1983, 1902, Dec Average, Costa Rica, CRI
51.841, 1903, Jan Average, Costa Rica, CRI
2.72195, 1903, Feb Average, Costa Rica, CRI
18.5944, 1903, Mar Average, Costa Rica, CRI
75.1088, 1903, Apr Average, Costa Rica, CRI
521.435, 1903, May Average, Costa Rica, CRI
416.775, 1903, Jun Average, Costa Rica, CRI
347.393, 1903, Jul Average, Costa Rica, CRI
490.094, 1903, Aug Average, Costa Rica, CRI
266.978, 1903, Sep Average, Costa Rica, CRI
395.428, 1903, Oct Average, Costa Rica, CRI
150.784, 1903, Nov Average, Costa Rica, CRI
733.732, 1903, Dec Average, Costa Rica, CRI
664.374, 1904, Jan Average, Costa Rica, CRI
156.689, 1904, Feb Average, Costa Rica, CRI
365.23, 1904, Mar Average, Costa Rica, CRI
237.784, 1904, Apr Average, Costa Rica, CRI
329.239, 1904, May Average, Costa Rica, CRI
433.398, 1904, Jun Average, Costa Rica, CRI
211.75, 1904, Jul Average, Costa Rica, CRI
225.79, 1904, Aug Average, Costa Rica, CRI
216.824, 1904, Sep Average, Costa Rica, CRI
266.407, 1904, Oct Average, Costa Rica, CRI
163.46, 1904, Nov Average, Costa Rica, CRI
214.51, 1904, Dec Average, Costa Rica, CRI
