Rainfall - (MM), Year, Statistics, Country, ISO3
97.4539, 1901, Jan Average, Cuba, CUB
12.2071, 1901, Feb Average, Cuba, CUB
38.8814, 1901, Mar Average, Cuba, CUB
22.5771, 1901, Apr Average, Cuba, CUB
228.584, 1901, May Average, Cuba, CUB
406.861, 1901, Jun Average, Cuba, CUB
331.701, 1901, Jul Average, Cuba, CUB
172.718, 1901, Aug Average, Cuba, CUB
261.701, 1901, Sep Average, Cuba, CUB
147.095, 1901, Oct Average, Cuba, CUB
14.9114, 1901, Nov Average, Cuba, CUB
48.7418, 1901, Dec Average, Cuba, CUB
62.3884, 1902, Jan Average, Cuba, CUB
31.0039, 1902, Feb Average, Cuba, CUB
41.4788, 1902, Mar Average, Cuba, CUB
74.1918, 1902, Apr Average, Cuba, CUB
90.3426, 1902, May Average, Cuba, CUB
354.313, 1902, Jun Average, Cuba, CUB
73.2414, 1902, Jul Average, Cuba, CUB
123.948, 1902, Aug Average, Cuba, CUB
125.17, 1902, Sep Average, Cuba, CUB
115.608, 1902, Oct Average, Cuba, CUB
78.4207, 1902, Nov Average, Cuba, CUB
31.9119, 1902, Dec Average, Cuba, CUB
53.1592, 1903, Jan Average, Cuba, CUB
36.3842, 1903, Feb Average, Cuba, CUB
69.7722, 1903, Mar Average, Cuba, CUB
28.3325, 1903, Apr Average, Cuba, CUB
305.397, 1903, May Average, Cuba, CUB
144.267, 1903, Jun Average, Cuba, CUB
97.7252, 1903, Jul Average, Cuba, CUB
219.174, 1903, Aug Average, Cuba, CUB
154.051, 1903, Sep Average, Cuba, CUB
62.0144, 1903, Oct Average, Cuba, CUB
93.4427, 1903, Nov Average, Cuba, CUB
40.7861, 1903, Dec Average, Cuba, CUB
28.3902, 1904, Jan Average, Cuba, CUB
27.0345, 1904, Feb Average, Cuba, CUB
36.4963, 1904, Mar Average, Cuba, CUB
31.623, 1904, Apr Average, Cuba, CUB
142.621, 1904, May Average, Cuba, CUB
327.64, 1904, Jun Average, Cuba, CUB
95.2129, 1904, Jul Average, Cuba, CUB
103.082, 1904, Aug Average, Cuba, CUB
258.402, 1904, Sep Average, Cuba, CUB
276.963, 1904, Oct Average, Cuba, CUB
62.3333, 1904, Nov Average, Cuba, CUB
