Rainfall - (MM), Year, Statistics, Country, ISO3
93.182, 1901, Jan Average, Cyprus, CYP
5.05787, 1901, Feb Average, Cyprus, CYP
17.4185, 1901, Mar Average, Cyprus, CYP
4.68536, 1901, Apr Average, Cyprus, CYP
75.0465, 1901, May Average, Cyprus, CYP
0.53115, 1901, Jun Average, Cyprus, CYP
7.54685, 1901, Jul Average, Cyprus, CYP
0, 1901, Aug Average, Cyprus, CYP
6.1463, 1901, Sep Average, Cyprus, CYP
6.48981, 1901, Oct Average, Cyprus, CYP
17.9245, 1901, Nov Average, Cyprus, CYP
33.8699, 1901, Dec Average, Cyprus, CYP
83.0552, 1902, Jan Average, Cyprus, CYP
34.3698, 1902, Feb Average, Cyprus, CYP
65.2336, 1902, Mar Average, Cyprus, CYP
29.1652, 1902, Apr Average, Cyprus, CYP
0.15252, 1902, May Average, Cyprus, CYP
0, 1902, Jun Average, Cyprus, CYP
13.4722, 1902, Jul Average, Cyprus, CYP
0, 1902, Aug Average, Cyprus, CYP
0.75757, 1902, Sep Average, Cyprus, CYP
23.8388, 1902, Oct Average, Cyprus, CYP
125.02, 1902, Nov Average, Cyprus, CYP
114.104, 1902, Dec Average, Cyprus, CYP
39.6888, 1903, Jan Average, Cyprus, CYP
78.0397, 1903, Feb Average, Cyprus, CYP
35.8167, 1903, Mar Average, Cyprus, CYP
4.15584, 1903, Apr Average, Cyprus, CYP
15.8632, 1903, May Average, Cyprus, CYP
12.0436, 1903, Jun Average, Cyprus, CYP
0, 1903, Jul Average, Cyprus, CYP
0.15054, 1903, Aug Average, Cyprus, CYP
0, 1903, Sep Average, Cyprus, CYP
23.4356, 1903, Oct Average, Cyprus, CYP
79.7003, 1903, Nov Average, Cyprus, CYP
122.363, 1903, Dec Average, Cyprus, CYP
75.9692, 1904, Jan Average, Cyprus, CYP
40.5316, 1904, Feb Average, Cyprus, CYP
44.2734, 1904, Mar Average, Cyprus, CYP
51.7206, 1904, Apr Average, Cyprus, CYP
52.1669, 1904, May Average, Cyprus, CYP
22.1646, 1904, Jun Average, Cyprus, CYP
0.04483, 1904, Jul Average, Cyprus, CYP
0, 1904, Aug Average, Cyprus, CYP
4.04986, 1904, Sep Average, Cyprus, CYP
46.2321, 1904, Oct Average, Cyprus, CYP
122.659, 1904, Nov Average, Cyprus, CYP
127.877, 1904, Dec Average, Cyprus, CYP
100.924, 1905, Jan Average, Cyprus, CYP
120.236, 1905, Feb Average, Cyprus, CYP
44.9891, 1905, Mar Average, Cyprus, CYP
49.3069, 1905, Apr Average, Cyprus, CYP
11.646, 1905, May Average, Cyprus, CYP
3.11286, 1905, Jun Average, Cyprus, CYP
0, 1905, Jul Average, Cyprus, CYP
0, 1905, Aug Average, Cyprus, CYP
1.80084, 1905, Sep Average, Cyprus, CYP
23.0754, 1905, Oct Average, Cyprus, CYP
66.7244, 1905, Nov Average, Cyprus, CYP
90.3039, 1905, Dec Average, Cyprus, CYP
75.0894, 1906, Jan Average, Cyprus, CYP
124.368, 1906, Feb Average, Cyprus, CYP
49.9965, 1906, Mar Average, Cyprus, CYP
42.2552, 1906, Apr Average, Cyprus, CYP
61.6484, 1906, May Average, Cyprus, CYP
20.4638, 1906, Jun Average, Cyprus, CYP
0, 1906, Jul Average, Cyprus, CYP
0, 1906, Aug Average, Cyprus, CYP
0, 1906, Sep Average, Cyprus, CYP
2.01806, 1906, Oct Average, Cyprus, CYP
137.457, 1906, Nov Average, Cyprus, CYP
137.955, 1906, Dec Average, Cyprus, CYP
137.023, 1907, Jan Average, Cyprus, CYP
83.0019, 1907, Feb Average, Cyprus, CYP
68.8392, 1907, Mar Average, Cyprus, CYP
20.22, 1907, Apr Average, Cyprus, CYP
6.04818, 1907, May Average, Cyprus, CYP
0.10395, 1907, Jun Average, Cyprus, CYP
0, 1907, Jul Average, Cyprus, CYP
0, 1907, Aug Average, Cyprus, CYP
15.8283, 1907, Sep Average, Cyprus, CYP
37.9801, 1907, Oct Average, Cyprus, CYP
113.745, 1907, Nov Average, Cyprus, CYP
72.1322, 1907, Dec Average, Cyprus, CYP
123.276, 1908, Jan Average, Cyprus, CYP
93.1696, 1908, Feb Average, Cyprus, CYP
114.421, 1908, Mar Average, Cyprus, CYP
20.3906, 1908, Apr Average, Cyprus, CYP
8.04506, 1908, May Average, Cyprus, CYP
23.5825, 1908, Jun Average, Cyprus, CYP
0, 1908, Jul Average, Cyprus, CYP
0, 1908, Aug Average, Cyprus, CYP
1.85042, 1908, Sep Average, Cyprus, CYP
5.21229, 1908, Oct Average, Cyprus, CYP
114.462, 1908, Nov Average, Cyprus, CYP
92.9834, 1908, Dec Average, Cyprus, CYP
84.2603, 1909, Jan Average, Cyprus, CYP
99.858, 1909, Feb Average, Cyprus, CYP
43.2094, 1909, Mar Average, Cyprus, CYP
29.4304, 1909, Apr Average, Cyprus, CYP
2.82126, 1909, May Average, Cyprus, CYP
5.345, 1909, Jun Average, Cyprus, CYP
0, 1909, Jul Average, Cyprus, CYP
0.20873, 1909, Aug Average, Cyprus, CYP
15.7831, 1909, Sep Average, Cyprus, CYP
