Rainfall - (MM), Year, Statistics, Country, ISO3
26.389, 1901, Jan Average, Czech Republic, CZE
25.2613, 1901, Feb Average, Czech Republic, CZE
58.9938, 1901, Mar Average, Czech Republic, CZE
63.5299, 1901, Apr Average, Czech Republic, CZE
49.2171, 1901, May Average, Czech Republic, CZE
68.4165, 1901, Jun Average, Czech Republic, CZE
98.4413, 1901, Jul Average, Czech Republic, CZE
68.0478, 1901, Aug Average, Czech Republic, CZE
56.0279, 1901, Sep Average, Czech Republic, CZE
48.1867, 1901, Oct Average, Czech Republic, CZE
34.2995, 1901, Nov Average, Czech Republic, CZE
53.7479, 1901, Dec Average, Czech Republic, CZE
35.4143, 1902, Jan Average, Czech Republic, CZE
28.7714, 1902, Feb Average, Czech Republic, CZE
48.9877, 1902, Mar Average, Czech Republic, CZE
29.0469, 1902, Apr Average, Czech Republic, CZE
64.8674, 1902, May Average, Czech Republic, CZE
94.4101, 1902, Jun Average, Czech Republic, CZE
84.9829, 1902, Jul Average, Czech Republic, CZE
75.4166, 1902, Aug Average, Czech Republic, CZE
50.6026, 1902, Sep Average, Czech Republic, CZE
59.7401, 1902, Oct Average, Czech Republic, CZE
3.76692, 1902, Nov Average, Czech Republic, CZE
70.5125, 1902, Dec Average, Czech Republic, CZE
36.6055, 1903, Jan Average, Czech Republic, CZE
26.3182, 1903, Feb Average, Czech Republic, CZE
25.3115, 1903, Mar Average, Czech Republic, CZE
73.8768, 1903, Apr Average, Czech Republic, CZE
39.2712, 1903, May Average, Czech Republic, CZE
74.7564, 1903, Jun Average, Czech Republic, CZE
144.435, 1903, Jul Average, Czech Republic, CZE
90.3684, 1903, Aug Average, Czech Republic, CZE
57.8303, 1903, Sep Average, Czech Republic, CZE
62.1331, 1903, Oct Average, Czech Republic, CZE
88.7748, 1903, Nov Average, Czech Republic, CZE
45.1629, 1903, Dec Average, Czech Republic, CZE
15.7754, 1904, Jan Average, Czech Republic, CZE
46.8078, 1904, Feb Average, Czech Republic, CZE
37.4543, 1904, Mar Average, Czech Republic, CZE
64.3967, 1904, Apr Average, Czech Republic, CZE
64.0311, 1904, May Average, Czech Republic, CZE
46.5116, 1904, Jun Average, Czech Republic, CZE
28.2374, 1904, Jul Average, Czech Republic, CZE
44.7589, 1904, Aug Average, Czech Republic, CZE
86.5976, 1904, Sep Average, Czech Republic, CZE
76.2383, 1904, Oct Average, Czech Republic, CZE
52.61, 1904, Nov Average, Czech Republic, CZE
47.5729, 1904, Dec Average, Czech Republic, CZE
33.6224, 1905, Jan Average, Czech Republic, CZE
30.5604, 1905, Feb Average, Czech Republic, CZE
47.7333, 1905, Mar Average, Czech Republic, CZE
53.8285, 1905, Apr Average, Czech Republic, CZE
60.455, 1905, May Average, Czech Republic, CZE
62.0112, 1905, Jun Average, Czech Republic, CZE
65.2693, 1905, Jul Average, Czech Republic, CZE
93.461, 1905, Aug Average, Czech Republic, CZE
45.1321, 1905, Sep Average, Czech Republic, CZE
54.8908, 1905, Oct Average, Czech Republic, CZE
72.1177, 1905, Nov Average, Czech Republic, CZE
35.8103, 1905, Dec Average, Czech Republic, CZE
39.5788, 1906, Jan Average, Czech Republic, CZE
30.9039, 1906, Feb Average, Czech Republic, CZE
60.0385, 1906, Mar Average, Czech Republic, CZE
31.4025, 1906, Apr Average, Czech Republic, CZE
84.709, 1906, May Average, Czech Republic, CZE
94.9474, 1906, Jun Average, Czech Republic, CZE
115.081, 1906, Jul Average, Czech Republic, CZE
59.5501, 1906, Aug Average, Czech Republic, CZE
131.35, 1906, Sep Average, Czech Republic, CZE
32.2873, 1906, Oct Average, Czech Republic, CZE
35.8872, 1906, Nov Average, Czech Republic, CZE
52.9593, 1906, Dec Average, Czech Republic, CZE
49.4786, 1907, Jan Average, Czech Republic, CZE
21.9769, 1907, Feb Average, Czech Republic, CZE
42.9048, 1907, Mar Average, Czech Republic, CZE
72.2958, 1907, Apr Average, Czech Republic, CZE
49.854, 1907, May Average, Czech Republic, CZE
66.7579, 1907, Jun Average, Czech Republic, CZE
133.09, 1907, Jul Average, Czech Republic, CZE
73.1599, 1907, Aug Average, Czech Republic, CZE
32.6892, 1907, Sep Average, Czech Republic, CZE
34.8391, 1907, Oct Average, Czech Republic, CZE
28.1056, 1907, Nov Average, Czech Republic, CZE
78.14, 1907, Dec Average, Czech Republic, CZE
27.4167, 1908, Jan Average, Czech Republic, CZE
44.5008, 1908, Feb Average, Czech Republic, CZE
34.7371, 1908, Mar Average, Czech Republic, CZE
54.495, 1908, Apr Average, Czech Republic, CZE
75.149, 1908, May Average, Czech Republic, CZE
64.8582, 1908, Jun Average, Czech Republic, CZE
88.1595, 1908, Jul Average, Czech Republic, CZE
86.1857, 1908, Aug Average, Czech Republic, CZE
41.7197, 1908, Sep Average, Czech Republic, CZE
2.51862, 1908, Oct Average, Czech Republic, CZE
28.7892, 1908, Nov Average, Czech Republic, CZE
19.8525, 1908, Dec Average, Czech Republic, CZE
31.1107, 1909, Jan Average, Czech Republic, CZE
70.2865, 1909, Feb Average, Czech Republic, CZE
45.5838, 1909, Mar Average, Czech Republic, CZE
41.3246, 1909, Apr Average, Czech Republic, CZE
74.1935, 1909, May Average, Czech Republic, CZE
97.496, 1909, Jun Average, Czech Republic, CZE
125.911, 1909, Jul Average, Czech Republic, CZE
71.2679, 1909, Aug Average, Czech Republic, CZE
67.7267, 1909, Sep Average, Czech Republic, CZE
29.3853, 1909, Oct Average, Czech Republic, CZE
41.3662, 1909, Nov Average, Czech Republic, CZE
71.8464, 1909, Dec Average, Czech Republic, CZE
45.9711, 1910, Jan Average, Czech Republic, CZE
36.6388, 1910, Feb Average, Czech Republic, CZE
25.4306, 1910, Mar Average, Czech Republic, CZE
45.2557, 1910, Apr Average, Czech Republic, CZE
119.548, 1910, May Average, Czech Republic, CZE
121.152, 1910, Jun Average, Czech Republic, CZE
102.015, 1910, Jul Average, Czech Republic, CZE
104.465, 1910, Aug Average, Czech Republic, CZE
95.1366, 1910, Sep Average, Czech Republic, CZE
28.6906, 1910, Oct Average, Czech Republic, CZE
99.1906, 1910, Nov Average, Czech Republic, CZE
36.0741, 1910, Dec Average, Czech Republic, CZE
35.4501, 1911, Jan Average, Czech Republic, CZE
41.6724, 1911, Feb Average, Czech Republic, CZE
35.2158, 1911, Mar Average, Czech Republic, CZE
36.192, 1911, Apr Average, Czech Republic, CZE
110.332, 1911, May Average, Czech Republic, CZE
40.0665, 1911, Jun Average, Czech Republic, CZE
34.4636, 1911, Jul Average, Czech Republic, CZE
56.2709, 1911, Aug Average, Czech Republic, CZE
60.8903, 1911, Sep Average, Czech Republic, CZE
37.3082, 1911, Oct Average, Czech Republic, CZE
32.3173, 1911, Nov Average, Czech Republic, CZE
71.7824, 1911, Dec Average, Czech Republic, CZE
43.9191, 1912, Jan Average, Czech Republic, CZE
37.7984, 1912, Feb Average, Czech Republic, CZE
47.4257, 1912, Mar Average, Czech Republic, CZE
36.5799, 1912, Apr Average, Czech Republic, CZE
99.739, 1912, May Average, Czech Republic, CZE
105.463, 1912, Jun Average, Czech Republic, CZE
102.774, 1912, Jul Average, Czech Republic, CZE
106.479, 1912, Aug Average, Czech Republic, CZE
81.5527, 1912, Sep Average, Czech Republic, CZE
44.7552, 1912, Oct Average, Czech Republic, CZE
43.6732, 1912, Nov Average, Czech Republic, CZE
32.6997, 1912, Dec Average, Czech Republic, CZE
33.4215, 1913, Jan Average, Czech Republic, CZE
10.6166, 1913, Feb Average, Czech Republic, CZE
27.0532, 1913, Mar Average, Czech Republic, CZE
33.8908, 1913, Apr Average, Czech Republic, CZE
73.1852, 1913, May Average, Czech Republic, CZE
89.7521, 1913, Jun Average, Czech Republic, CZE
104.185, 1913, Jul Average, Czech Republic, CZE
93.8144, 1913, Aug Average, Czech Republic, CZE
