Rainfall - (MM), Year, Statistics, Country, ISO3
8.38373, 1901, Jan Average, Djibouti, DJI
55.5581, 1901, Feb Average, Djibouti, DJI
28.8188, 1901, Mar Average, Djibouti, DJI
34.8189, 1901, Apr Average, Djibouti, DJI
0.30418, 1901, May Average, Djibouti, DJI
5.80816, 1901, Jun Average, Djibouti, DJI
18.254, 1901, Jul Average, Djibouti, DJI
252.725, 1901, Aug Average, Djibouti, DJI
39.6962, 1901, Sep Average, Djibouti, DJI
0.19659, 1901, Oct Average, Djibouti, DJI
0, 1901, Nov Average, Djibouti, DJI
22.1878, 1901, Dec Average, Djibouti, DJI
4.43131, 1902, Jan Average, Djibouti, DJI
3.27871, 1902, Feb Average, Djibouti, DJI
1.19209, 1902, Mar Average, Djibouti, DJI
1.6451, 1902, Apr Average, Djibouti, DJI
0.52199, 1902, May Average, Djibouti, DJI
0.2017, 1902, Jun Average, Djibouti, DJI
1.35742, 1902, Jul Average, Djibouti, DJI
1.41962, 1902, Aug Average, Djibouti, DJI
1.02771, 1902, Sep Average, Djibouti, DJI
3.42637, 1902, Oct Average, Djibouti, DJI
49.4313, 1902, Nov Average, Djibouti, DJI
0.80646, 1902, Dec Average, Djibouti, DJI
18.8332, 1903, Jan Average, Djibouti, DJI
7.73008, 1903, Feb Average, Djibouti, DJI
9.84184, 1903, Mar Average, Djibouti, DJI
5.32984, 1903, Apr Average, Djibouti, DJI
12.3133, 1903, May Average, Djibouti, DJI
0.2678, 1903, Jun Average, Djibouti, DJI
2.10217, 1903, Jul Average, Djibouti, DJI
18.6045, 1903, Aug Average, Djibouti, DJI
157.105, 1903, Sep Average, Djibouti, DJI
19.8205, 1903, Oct Average, Djibouti, DJI
0.0056, 1903, Nov Average, Djibouti, DJI
6.40054, 1903, Dec Average, Djibouti, DJI
0.75575, 1904, Jan Average, Djibouti, DJI
3.53009, 1904, Feb Average, Djibouti, DJI
74.5952, 1904, Mar Average, Djibouti, DJI
0.53391, 1904, Apr Average, Djibouti, DJI
0.38099, 1904, May Average, Djibouti, DJI
0.17536, 1904, Jun Average, Djibouti, DJI
18.3245, 1904, Jul Average, Djibouti, DJI
2.69898, 1904, Aug Average, Djibouti, DJI
117.933, 1904, Sep Average, Djibouti, DJI
0.11478, 1904, Oct Average, Djibouti, DJI
73.1316, 1904, Nov Average, Djibouti, DJI
12.8569, 1904, Dec Average, Djibouti, DJI
1.53027, 1905, Jan Average, Djibouti, DJI
0.39236, 1905, Feb Average, Djibouti, DJI
52.2557, 1905, Mar Average, Djibouti, DJI
124.554, 1905, Apr Average, Djibouti, DJI
12.1164, 1905, May Average, Djibouti, DJI
0.13491, 1905, Jun Average, Djibouti, DJI
10.2549, 1905, Jul Average, Djibouti, DJI
3.12785, 1905, Aug Average, Djibouti, DJI
156.854, 1905, Sep Average, Djibouti, DJI
5.215, 1905, Oct Average, Djibouti, DJI
35.5337, 1905, Nov Average, Djibouti, DJI
0.09082, 1905, Dec Average, Djibouti, DJI
0.1404, 1906, Jan Average, Djibouti, DJI
7.74633, 1906, Feb Average, Djibouti, DJI
58.6253, 1906, Mar Average, Djibouti, DJI
1.68228, 1906, Apr Average, Djibouti, DJI
0.51152, 1906, May Average, Djibouti, DJI
0.20892, 1906, Jun Average, Djibouti, DJI
59.8741, 1906, Jul Average, Djibouti, DJI
36.6123, 1906, Aug Average, Djibouti, DJI
0.65434, 1906, Sep Average, Djibouti, DJI
0.15082, 1906, Oct Average, Djibouti, DJI
58.3297, 1906, Nov Average, Djibouti, DJI
4.52169, 1906, Dec Average, Djibouti, DJI
2.19587, 1907, Jan Average, Djibouti, DJI
2.71244, 1907, Feb Average, Djibouti, DJI
0.30851, 1907, Mar Average, Djibouti, DJI
15.9608, 1907, Apr Average, Djibouti, DJI
0.66428, 1907, May Average, Djibouti, DJI
0.06799, 1907, Jun Average, Djibouti, DJI
50.6738, 1907, Jul Average, Djibouti, DJI
28.5249, 1907, Aug Average, Djibouti, DJI
20.93, 1907, Sep Average, Djibouti, DJI
4.03245, 1907, Oct Average, Djibouti, DJI
2.79711, 1907, Nov Average, Djibouti, DJI
13.5784, 1907, Dec Average, Djibouti, DJI
10.3521, 1908, Jan Average, Djibouti, DJI
2.6043, 1908, Feb Average, Djibouti, DJI
5.09288, 1908, Mar Average, Djibouti, DJI
3.3773, 1908, Apr Average, Djibouti, DJI
0.04948, 1908, May Average, Djibouti, DJI
0.11972, 1908, Jun Average, Djibouti, DJI
28.4368, 1908, Jul Average, Djibouti, DJI
28.368, 1908, Aug Average, Djibouti, DJI
24.7902, 1908, Sep Average, Djibouti, DJI
18.6482, 1908, Oct Average, Djibouti, DJI
8.02139, 1908, Nov Average, Djibouti, DJI
0.73389, 1908, Dec Average, Djibouti, DJI
10.5652, 1909, Jan Average, Djibouti, DJI
0.38361, 1909, Feb Average, Djibouti, DJI
6.51786, 1909, Mar Average, Djibouti, DJI
12.2774, 1909, Apr Average, Djibouti, DJI
11.2082, 1909, May Average, Djibouti, DJI
0.3406, 1909, Jun Average, Djibouti, DJI
24.4002, 1909, Jul Average, Djibouti, DJI
199.327, 1909, Aug Average, Djibouti, DJI
5.51939, 1909, Sep Average, Djibouti, DJI
1.91018, 1909, Oct Average, Djibouti, DJI
0.48309, 1909, Nov Average, Djibouti, DJI
2.52613, 1909, Dec Average, Djibouti, DJI
0.62532, 1910, Jan Average, Djibouti, DJI
2.40071, 1910, Feb Average, Djibouti, DJI
9.74366, 1910, Mar Average, Djibouti, DJI
3.03676, 1910, Apr Average, Djibouti, DJI
12.6062, 1910, May Average, Djibouti, DJI
0.12834, 1910, Jun Average, Djibouti, DJI
95.5102, 1910, Jul Average, Djibouti, DJI
83.5832, 1910, Aug Average, Djibouti, DJI
5.22529, 1910, Sep Average, Djibouti, DJI
1.71377, 1910, Oct Average, Djibouti, DJI
0.00331, 1910, Nov Average, Djibouti, DJI
2.65377, 1910, Dec Average, Djibouti, DJI
4.63114, 1911, Jan Average, Djibouti, DJI
1.60919, 1911, Feb Average, Djibouti, DJI
174.29, 1911, Mar Average, Djibouti, DJI
17.8839, 1911, Apr Average, Djibouti, DJI
3.7263, 1911, May Average, Djibouti, DJI
1.36163, 1911, Jun Average, Djibouti, DJI
76.8016, 1911, Jul Average, Djibouti, DJI
60.8603, 1911, Aug Average, Djibouti, DJI
151.151, 1911, Sep Average, Djibouti, DJI
32.7366, 1911, Oct Average, Djibouti, DJI
35.7158, 1911, Nov Average, Djibouti, DJI
8.37207, 1911, Dec Average, Djibouti, DJI
3.16863, 1912, Jan Average, Djibouti, DJI
14.9726, 1912, Feb Average, Djibouti, DJI
8.02752, 1912, Mar Average, Djibouti, DJI
57.601, 1912, Apr Average, Djibouti, DJI
2.22194, 1912, May Average, Djibouti, DJI
4.71324, 1912, Jun Average, Djibouti, DJI
30.796, 1912, Jul Average, Djibouti, DJI
82.031, 1912, Aug Average, Djibouti, DJI
3.24567, 1912, Sep Average, Djibouti, DJI
0.0197, 1912, Oct Average, Djibouti, DJI
1.90733, 1912, Nov Average, Djibouti, DJI
31.3618, 1912, Dec Average, Djibouti, DJI
2.94106, 1913, Jan Average, Djibouti, DJI
6.95876, 1913, Feb Average, Djibouti, DJI
100.561, 1913, Mar Average, Djibouti, DJI
16.1152, 1913, Apr Average, Djibouti, DJI
39.6491, 1913, May Average, Djibouti, DJI
0.11727, 1913, Jun Average, Djibouti, DJI
6.28788, 1913, Jul Average, Djibouti, DJI
24.9038, 1913, Aug Average, Djibouti, DJI
16.4818, 1913, Sep Average, Djibouti, DJI
1.39762, 1913, Oct Average, Djibouti, DJI
0, 1913, Nov Average, Djibouti, DJI
0, 1913, Dec Average, Djibouti, DJI
3.45151, 1914, Jan Average, Djibouti, DJI
5.93254, 1914, Feb Average, Djibouti, DJI
7.26048, 1914, Mar Average, Djibouti, DJI
7.9261, 1914, Apr Average, Djibouti, DJI
5.03792, 1914, May Average, Djibouti, DJI
1.85883, 1914, Jun Average, Djibouti, DJI
11.759, 1914, Jul Average, Djibouti, DJI
218.978, 1914, Aug Average, Djibouti, DJI
71.3827, 1914, Sep Average, Djibouti, DJI
37.9176, 1914, Oct Average, Djibouti, DJI
1.71945, 1914, Nov Average, Djibouti, DJI
6.3842, 1914, Dec Average, Djibouti, DJI
4.68205, 1915, Jan Average, Djibouti, DJI
0.841, 1915, Feb Average, Djibouti, DJI
20.4333, 1915, Mar Average, Djibouti, DJI
18.6541, 1915, Apr Average, Djibouti, DJI
4.22967, 1915, May Average, Djibouti, DJI
2.31457, 1915, Jun Average, Djibouti, DJI
7.57336, 1915, Jul Average, Djibouti, DJI
8.41637, 1915, Aug Average, Djibouti, DJI
81.4547, 1915, Sep Average, Djibouti, DJI
0.53185, 1915, Oct Average, Djibouti, DJI
0.92898, 1915, Nov Average, Djibouti, DJI
1.72255, 1915, Dec Average, Djibouti, DJI
4.02002, 1916, Jan Average, Djibouti, DJI
50.9922, 1916, Feb Average, Djibouti, DJI
92.2729, 1916, Mar Average, Djibouti, DJI
10.9996, 1916, Apr Average, Djibouti, DJI
1.32984, 1916, May Average, Djibouti, DJI
0.0766, 1916, Jun Average, Djibouti, DJI
217.072, 1916, Jul Average, Djibouti, DJI
59.6422, 1916, Aug Average, Djibouti, DJI
1.81437, 1916, Sep Average, Djibouti, DJI
0.04481, 1916, Oct Average, Djibouti, DJI
0.03806, 1916, Nov Average, Djibouti, DJI
22.9684, 1916, Dec Average, Djibouti, DJI
0.48699, 1917, Jan Average, Djibouti, DJI
0.71933, 1917, Feb Average, Djibouti, DJI
0.15968, 1917, Mar Average, Djibouti, DJI
1.80061, 1917, Apr Average, Djibouti, DJI
1.70454, 1917, May Average, Djibouti, DJI
0.47444, 1917, Jun Average, Djibouti, DJI
10.2026, 1917, Jul Average, Djibouti, DJI
170.448, 1917, Aug Average, Djibouti, DJI
60.3075, 1917, Sep Average, Djibouti, DJI
0.47427, 1917, Oct Average, Djibouti, DJI
0.00268, 1917, Nov Average, Djibouti, DJI
11.3306, 1917, Dec Average, Djibouti, DJI
0.77405, 1918, Jan Average, Djibouti, DJI
1.02113, 1918, Feb Average, Djibouti, DJI
1.12414, 1918, Mar Average, Djibouti, DJI
13.2908, 1918, Apr Average, Djibouti, DJI
0.64526, 1918, May Average, Djibouti, DJI
0.17203, 1918, Jun Average, Djibouti, DJI
1.51034, 1918, Jul Average, Djibouti, DJI
2.53057, 1918, Aug Average, Djibouti, DJI
