Rainfall - (MM), Year, Statistics, Country, ISO3
34.807, 1901, Jan Average, Denmark, DNK
20.2569, 1901, Feb Average, Denmark, DNK
60.0698, 1901, Mar Average, Denmark, DNK
61.7349, 1901, Apr Average, Denmark, DNK
50.085, 1901, May Average, Denmark, DNK
83.5782, 1901, Jun Average, Denmark, DNK
46.5095, 1901, Jul Average, Denmark, DNK
55.4145, 1901, Aug Average, Denmark, DNK
25.2493, 1901, Sep Average, Denmark, DNK
43.6188, 1901, Oct Average, Denmark, DNK
73.7755, 1901, Nov Average, Denmark, DNK
71.8171, 1901, Dec Average, Denmark, DNK
62.012, 1902, Jan Average, Denmark, DNK
10.7962, 1902, Feb Average, Denmark, DNK
50.1931, 1902, Mar Average, Denmark, DNK
25.732, 1902, Apr Average, Denmark, DNK
72.6418, 1902, May Average, Denmark, DNK
36.108, 1902, Jun Average, Denmark, DNK
58.2952, 1902, Jul Average, Denmark, DNK
104.803, 1902, Aug Average, Denmark, DNK
37.7749, 1902, Sep Average, Denmark, DNK
62.2068, 1902, Oct Average, Denmark, DNK
13.7924, 1902, Nov Average, Denmark, DNK
41.0678, 1902, Dec Average, Denmark, DNK
43.7836, 1903, Jan Average, Denmark, DNK
47.5322, 1903, Feb Average, Denmark, DNK
38.8336, 1903, Mar Average, Denmark, DNK
53.3765, 1903, Apr Average, Denmark, DNK
38.315, 1903, May Average, Denmark, DNK
38.228, 1903, Jun Average, Denmark, DNK
81.9884, 1903, Jul Average, Denmark, DNK
99.4608, 1903, Aug Average, Denmark, DNK
60.8027, 1903, Sep Average, Denmark, DNK
164.824, 1903, Oct Average, Denmark, DNK
52.5167, 1903, Nov Average, Denmark, DNK
29.9754, 1903, Dec Average, Denmark, DNK
47.834, 1904, Jan Average, Denmark, DNK
60.6812, 1904, Feb Average, Denmark, DNK
33.0788, 1904, Mar Average, Denmark, DNK
58.2555, 1904, Apr Average, Denmark, DNK
46.1132, 1904, May Average, Denmark, DNK
38.9961, 1904, Jun Average, Denmark, DNK
15.9842, 1904, Jul Average, Denmark, DNK
55.9766, 1904, Aug Average, Denmark, DNK
28.7809, 1904, Sep Average, Denmark, DNK
62.3299, 1904, Oct Average, Denmark, DNK
79.1954, 1904, Nov Average, Denmark, DNK
66.493, 1904, Dec Average, Denmark, DNK
31.9137, 1905, Jan Average, Denmark, DNK
27.0802, 1905, Feb Average, Denmark, DNK
59.7794, 1905, Mar Average, Denmark, DNK
56.8049, 1905, Apr Average, Denmark, DNK
27.4559, 1905, May Average, Denmark, DNK
52.5943, 1905, Jun Average, Denmark, DNK
61.8589, 1905, Jul Average, Denmark, DNK
127.949, 1905, Aug Average, Denmark, DNK
82.0044, 1905, Sep Average, Denmark, DNK
91.853, 1905, Oct Average, Denmark, DNK
48.2674, 1905, Nov Average, Denmark, DNK
18.3204, 1905, Dec Average, Denmark, DNK
82.3637, 1906, Jan Average, Denmark, DNK
40.2945, 1906, Feb Average, Denmark, DNK
40.9687, 1906, Mar Average, Denmark, DNK
35.0036, 1906, Apr Average, Denmark, DNK
57.495, 1906, May Average, Denmark, DNK
39.6131, 1906, Jun Average, Denmark, DNK
33.7148, 1906, Jul Average, Denmark, DNK
83.1531, 1906, Aug Average, Denmark, DNK
38.8937, 1906, Sep Average, Denmark, DNK
70.2459, 1906, Oct Average, Denmark, DNK
98.2079, 1906, Nov Average, Denmark, DNK
42.2591, 1906, Dec Average, Denmark, DNK
42.5763, 1907, Jan Average, Denmark, DNK
32.8471, 1907, Feb Average, Denmark, DNK
30.3378, 1907, Mar Average, Denmark, DNK
22.4205, 1907, Apr Average, Denmark, DNK
54.0742, 1907, May Average, Denmark, DNK
90.2504, 1907, Jun Average, Denmark, DNK
56.4087, 1907, Jul Average, Denmark, DNK
89.9751, 1907, Aug Average, Denmark, DNK
20.0358, 1907, Sep Average, Denmark, DNK
69.762, 1907, Oct Average, Denmark, DNK
51.2173, 1907, Nov Average, Denmark, DNK
80.1084, 1907, Dec Average, Denmark, DNK
34.9889, 1908, Jan Average, Denmark, DNK
54.5753, 1908, Feb Average, Denmark, DNK
46.4115, 1908, Mar Average, Denmark, DNK
48.8021, 1908, Apr Average, Denmark, DNK
64.6875, 1908, May Average, Denmark, DNK
43.23, 1908, Jun Average, Denmark, DNK
62.6889, 1908, Jul Average, Denmark, DNK
79.0144, 1908, Aug Average, Denmark, DNK
67.7425, 1908, Sep Average, Denmark, DNK
13.9297, 1908, Oct Average, Denmark, DNK
53.7631, 1908, Nov Average, Denmark, DNK
33.6222, 1908, Dec Average, Denmark, DNK
43.2089, 1909, Jan Average, Denmark, DNK
19.1696, 1909, Feb Average, Denmark, DNK
45.9507, 1909, Mar Average, Denmark, DNK
50.0541, 1909, Apr Average, Denmark, DNK
43.5095, 1909, May Average, Denmark, DNK
58.7955, 1909, Jun Average, Denmark, DNK
75.6926, 1909, Jul Average, Denmark, DNK
68.1468, 1909, Aug Average, Denmark, DNK
77.0539, 1909, Sep Average, Denmark, DNK
83.9763, 1909, Oct Average, Denmark, DNK
66.1855, 1909, Nov Average, Denmark, DNK
85.8266, 1909, Dec Average, Denmark, DNK
56.5313, 1910, Jan Average, Denmark, DNK
71.9108, 1910, Feb Average, Denmark, DNK
18.8652, 1910, Mar Average, Denmark, DNK
48.6831, 1910, Apr Average, Denmark, DNK
38.4388, 1910, May Average, Denmark, DNK
57.3049, 1910, Jun Average, Denmark, DNK
87.0177, 1910, Jul Average, Denmark, DNK
116.984, 1910, Aug Average, Denmark, DNK
47.5315, 1910, Sep Average, Denmark, DNK
25.9237, 1910, Oct Average, Denmark, DNK
84.7794, 1910, Nov Average, Denmark, DNK
57.8038, 1910, Dec Average, Denmark, DNK
31.998, 1911, Jan Average, Denmark, DNK
67.1124, 1911, Feb Average, Denmark, DNK
48.5687, 1911, Mar Average, Denmark, DNK
32.1332, 1911, Apr Average, Denmark, DNK
30.8525, 1911, May Average, Denmark, DNK
72.6255, 1911, Jun Average, Denmark, DNK
39.9744, 1911, Jul Average, Denmark, DNK
36.7406, 1911, Aug Average, Denmark, DNK
34.7159, 1911, Sep Average, Denmark, DNK
104.949, 1911, Oct Average, Denmark, DNK
131.752, 1911, Nov Average, Denmark, DNK
73.8143, 1911, Dec Average, Denmark, DNK
26.4388, 1912, Jan Average, Denmark, DNK
47.8779, 1912, Feb Average, Denmark, DNK
50.9744, 1912, Mar Average, Denmark, DNK
40.5522, 1912, Apr Average, Denmark, DNK
45.9673, 1912, May Average, Denmark, DNK
78.7134, 1912, Jun Average, Denmark, DNK
64.9894, 1912, Jul Average, Denmark, DNK
118.987, 1912, Aug Average, Denmark, DNK
54.659, 1912, Sep Average, Denmark, DNK
104.626, 1912, Oct Average, Denmark, DNK
84.5077, 1912, Nov Average, Denmark, DNK
107.758, 1912, Dec Average, Denmark, DNK
34.2149, 1913, Jan Average, Denmark, DNK
25.5686, 1913, Feb Average, Denmark, DNK
64.7477, 1913, Mar Average, Denmark, DNK
27.2786, 1913, Apr Average, Denmark, DNK
24.2789, 1913, May Average, Denmark, DNK
43.7809, 1913, Jun Average, Denmark, DNK
37.3077, 1913, Jul Average, Denmark, DNK
52.3032, 1913, Aug Average, Denmark, DNK
43.7389, 1913, Sep Average, Denmark, DNK
59.3293, 1913, Oct Average, Denmark, DNK
87.6023, 1913, Nov Average, Denmark, DNK
74.5316, 1913, Dec Average, Denmark, DNK
33.7904, 1914, Jan Average, Denmark, DNK
47.9896, 1914, Feb Average, Denmark, DNK
86.3459, 1914, Mar Average, Denmark, DNK
44.9305, 1914, Apr Average, Denmark, DNK
35.6456, 1914, May Average, Denmark, DNK
27.4924, 1914, Jun Average, Denmark, DNK
93.7112, 1914, Jul Average, Denmark, DNK
37.9807, 1914, Aug Average, Denmark, DNK
64.2194, 1914, Sep Average, Denmark, DNK
50.4188, 1914, Oct Average, Denmark, DNK
74.6744, 1914, Nov Average, Denmark, DNK
86.8664, 1914, Dec Average, Denmark, DNK
72.7023, 1915, Jan Average, Denmark, DNK
38.2253, 1915, Feb Average, Denmark, DNK
44.5261, 1915, Mar Average, Denmark, DNK
27.4069, 1915, Apr Average, Denmark, DNK
36.3169, 1915, May Average, Denmark, DNK
14.568, 1915, Jun Average, Denmark, DNK
118.408, 1915, Jul Average, Denmark, DNK
54.5249, 1915, Aug Average, Denmark, DNK
48.4817, 1915, Sep Average, Denmark, DNK
21.2748, 1915, Oct Average, Denmark, DNK
75.0513, 1915, Nov Average, Denmark, DNK
116.301, 1915, Dec Average, Denmark, DNK
86.6387, 1916, Jan Average, Denmark, DNK
43.403, 1916, Feb Average, Denmark, DNK
24.1285, 1916, Mar Average, Denmark, DNK
41.5804, 1916, Apr Average, Denmark, DNK
66.0277, 1916, May Average, Denmark, DNK
84.4358, 1916, Jun Average, Denmark, DNK
59.6221, 1916, Jul Average, Denmark, DNK
101.667, 1916, Aug Average, Denmark, DNK
54.0665, 1916, Sep Average, Denmark, DNK
103.876, 1916, Oct Average, Denmark, DNK
87.1062, 1916, Nov Average, Denmark, DNK
89.7778, 1916, Dec Average, Denmark, DNK
49.6668, 1917, Jan Average, Denmark, DNK
11.2436, 1917, Feb Average, Denmark, DNK
50.2395, 1917, Mar Average, Denmark, DNK
39.0382, 1917, Apr Average, Denmark, DNK
9.47525, 1917, May Average, Denmark, DNK
57.2225, 1917, Jun Average, Denmark, DNK
57.6045, 1917, Jul Average, Denmark, DNK
104.221, 1917, Aug Average, Denmark, DNK
71.8477, 1917, Sep Average, Denmark, DNK
