Rainfall - (MM), Year, Statistics, Country, ISO3
92.9183, 1901, Jan Average, Dominican Republic, DOM
19.8536, 1901, Feb Average, Dominican Republic, DOM
78.0507, 1901, Mar Average, Dominican Republic, DOM
110.446, 1901, Apr Average, Dominican Republic, DOM
251.066, 1901, May Average, Dominican Republic, DOM
163.313, 1901, Jun Average, Dominican Republic, DOM
174.479, 1901, Jul Average, Dominican Republic, DOM
101.291, 1901, Aug Average, Dominican Republic, DOM
157.362, 1901, Sep Average, Dominican Republic, DOM
199.316, 1901, Oct Average, Dominican Republic, DOM
255.81, 1901, Nov Average, Dominican Republic, DOM
144.349, 1901, Dec Average, Dominican Republic, DOM
169.051, 1902, Jan Average, Dominican Republic, DOM
54.0271, 1902, Feb Average, Dominican Republic, DOM
32.6748, 1902, Mar Average, Dominican Republic, DOM
127.766, 1902, Apr Average, Dominican Republic, DOM
294.263, 1902, May Average, Dominican Republic, DOM
179.139, 1902, Jun Average, Dominican Republic, DOM
80.7852, 1902, Jul Average, Dominican Republic, DOM
102.872, 1902, Aug Average, Dominican Republic, DOM
98.8646, 1902, Sep Average, Dominican Republic, DOM
100.955, 1902, Oct Average, Dominican Republic, DOM
147.578, 1902, Nov Average, Dominican Republic, DOM
169.36, 1902, Dec Average, Dominican Republic, DOM
55.9714, 1903, Jan Average, Dominican Republic, DOM
20.3228, 1903, Feb Average, Dominican Republic, DOM
50.3095, 1903, Mar Average, Dominican Republic, DOM
100.237, 1903, Apr Average, Dominican Republic, DOM
295.878, 1903, May Average, Dominican Republic, DOM
144.258, 1903, Jun Average, Dominican Republic, DOM
116.687, 1903, Jul Average, Dominican Republic, DOM
110.779, 1903, Aug Average, Dominican Republic, DOM
132.211, 1903, Sep Average, Dominican Republic, DOM
155.971, 1903, Oct Average, Dominican Republic, DOM
119.181, 1903, Nov Average, Dominican Republic, DOM
187.796, 1903, Dec Average, Dominican Republic, DOM
80.3757, 1904, Jan Average, Dominican Republic, DOM
115.77, 1904, Feb Average, Dominican Republic, DOM
111.268, 1904, Mar Average, Dominican Republic, DOM
116.927, 1904, Apr Average, Dominican Republic, DOM
164.586, 1904, May Average, Dominican Republic, DOM
84.349, 1904, Jun Average, Dominican Republic, DOM
125.824, 1904, Jul Average, Dominican Republic, DOM
115.342, 1904, Aug Average, Dominican Republic, DOM
145.051, 1904, Sep Average, Dominican Republic, DOM
149.123, 1904, Oct Average, Dominican Republic, DOM
189.43, 1904, Nov Average, Dominican Republic, DOM
104.615, 1904, Dec Average, Dominican Republic, DOM
99.5485, 1905, Jan Average, Dominican Republic, DOM
56.564, 1905, Feb Average, Dominican Republic, DOM
88.9395, 1905, Mar Average, Dominican Republic, DOM
94.2506, 1905, Apr Average, Dominican Republic, DOM
221.976, 1905, May Average, Dominican Republic, DOM
97.317, 1905, Jun Average, Dominican Republic, DOM
