Rainfall - (MM), Year, Statistics, Country, ISO3
145.711, 1901, Jan Average, Ecuador, ECU
178.924, 1901, Feb Average, Ecuador, ECU
354.447, 1901, Mar Average, Ecuador, ECU
212.788, 1901, Apr Average, Ecuador, ECU
273.046, 1901, May Average, Ecuador, ECU
296.806, 1901, Jun Average, Ecuador, ECU
348.847, 1901, Jul Average, Ecuador, ECU
213.549, 1901, Aug Average, Ecuador, ECU
259.651, 1901, Sep Average, Ecuador, ECU
203.884, 1901, Oct Average, Ecuador, ECU
78.9554, 1901, Nov Average, Ecuador, ECU
126.083, 1901, Dec Average, Ecuador, ECU
428.933, 1902, Jan Average, Ecuador, ECU
137.564, 1902, Feb Average, Ecuador, ECU
231.678, 1902, Mar Average, Ecuador, ECU
308.937, 1902, Apr Average, Ecuador, ECU
191.895, 1902, May Average, Ecuador, ECU
104.724, 1902, Jun Average, Ecuador, ECU
49.4766, 1902, Jul Average, Ecuador, ECU
105.833, 1902, Aug Average, Ecuador, ECU
26.1428, 1902, Sep Average, Ecuador, ECU
99.2858, 1902, Oct Average, Ecuador, ECU
121.369, 1902, Nov Average, Ecuador, ECU
179.278, 1902, Dec Average, Ecuador, ECU
280.332, 1903, Jan Average, Ecuador, ECU
154.803, 1903, Feb Average, Ecuador, ECU
228.231, 1903, Mar Average, Ecuador, ECU
127.82, 1903, Apr Average, Ecuador, ECU
229.877, 1903, May Average, Ecuador, ECU
157.579, 1903, Jun Average, Ecuador, ECU
8.40601, 1903, Jul Average, Ecuador, ECU
46.1988, 1903, Aug Average, Ecuador, ECU
145.234, 1903, Sep Average, Ecuador, ECU
119.08, 1903, Oct Average, Ecuador, ECU
140.909, 1903, Nov Average, Ecuador, ECU
172.145, 1903, Dec Average, Ecuador, ECU
407.084, 1904, Jan Average, Ecuador, ECU
304.706, 1904, Feb Average, Ecuador, ECU
216.732, 1904, Mar Average, Ecuador, ECU
373.083, 1904, Apr Average, Ecuador, ECU
290.327, 1904, May Average, Ecuador, ECU
67.0652, 1904, Jun Average, Ecuador, ECU
37.8085, 1904, Jul Average, Ecuador, ECU
30.144, 1904, Aug Average, Ecuador, ECU
156.204, 1904, Sep Average, Ecuador, ECU
46.5141, 1904, Oct Average, Ecuador, ECU
108.704, 1904, Nov Average, Ecuador, ECU
88.6575, 1904, Dec Average, Ecuador, ECU
242.751, 1905, Jan Average, Ecuador, ECU
85.8855, 1905, Feb Average, Ecuador, ECU
185.063, 1905, Mar Average, Ecuador, ECU
253.224, 1905, Apr Average, Ecuador, ECU
155.665, 1905, May Average, Ecuador, ECU
10.6134, 1905, Jun Average, Ecuador, ECU
67.1233, 1905, Jul Average, Ecuador, ECU
54.0146, 1905, Aug Average, Ecuador, ECU
228.367, 1905, Sep Average, Ecuador, ECU
182.944, 1905, Oct Average, Ecuador, ECU
89.2889, 1905, Nov Average, Ecuador, ECU
175.046, 1905, Dec Average, Ecuador, ECU
129.852, 1906, Jan Average, Ecuador, ECU
135.882, 1906, Feb Average, Ecuador, ECU
221.617, 1906, Mar Average, Ecuador, ECU
350.784, 1906, Apr Average, Ecuador, ECU
259.25, 1906, May Average, Ecuador, ECU
108.586, 1906, Jun Average, Ecuador, ECU
125.845, 1906, Jul Average, Ecuador, ECU
141.707, 1906, Aug Average, Ecuador, ECU
71.5515, 1906, Sep Average, Ecuador, ECU
17.8923, 1906, Oct Average, Ecuador, ECU
75.4582, 1906, Nov Average, Ecuador, ECU
232.514, 1906, Dec Average, Ecuador, ECU
300.128, 1907, Jan Average, Ecuador, ECU
180.71, 1907, Feb Average, Ecuador, ECU
417.677, 1907, Mar Average, Ecuador, ECU
254.668, 1907, Apr Average, Ecuador, ECU
219.54, 1907, May Average, Ecuador, ECU
206.483, 1907, Jun Average, Ecuador, ECU
55.4926, 1907, Jul Average, Ecuador, ECU
46.0907, 1907, Aug Average, Ecuador, ECU
96.6888, 1907, Sep Average, Ecuador, ECU
164.22, 1907, Oct Average, Ecuador, ECU
116.772, 1907, Nov Average, Ecuador, ECU
124.643, 1907, Dec Average, Ecuador, ECU
405.125, 1908, Jan Average, Ecuador, ECU
161.713, 1908, Feb Average, Ecuador, ECU
324.6, 1908, Mar Average, Ecuador, ECU
240.682, 1908, Apr Average, Ecuador, ECU
254.003, 1908, May Average, Ecuador, ECU
10.5882, 1908, Jun Average, Ecuador, ECU
207.968, 1908, Jul Average, Ecuador, ECU
145.731, 1908, Aug Average, Ecuador, ECU
156.25, 1908, Sep Average, Ecuador, ECU
124.703, 1908, Oct Average, Ecuador, ECU
231.543, 1908, Nov Average, Ecuador, ECU
223.932, 1908, Dec Average, Ecuador, ECU
260.555, 1909, Jan Average, Ecuador, ECU
518.331, 1909, Feb Average, Ecuador, ECU
193.345, 1909, Mar Average, Ecuador, ECU
293.628, 1909, Apr Average, Ecuador, ECU
393.913, 1909, May Average, Ecuador, ECU
195.205, 1909, Jun Average, Ecuador, ECU
96.6189, 1909, Jul Average, Ecuador, ECU
101.908, 1909, Aug Average, Ecuador, ECU
48.0809, 1909, Sep Average, Ecuador, ECU
115.805, 1909, Oct Average, Ecuador, ECU
101.853, 1909, Nov Average, Ecuador, ECU
92.9968, 1909, Dec Average, Ecuador, ECU
173.519, 1910, Jan Average, Ecuador, ECU
251.274, 1910, Feb Average, Ecuador, ECU
259.96, 1910, Mar Average, Ecuador, ECU
212.811, 1910, Apr Average, Ecuador, ECU
247.297, 1910, May Average, Ecuador, ECU
134.967, 1910, Jun Average, Ecuador, ECU
149.297, 1910, Jul Average, Ecuador, ECU
65.9967, 1910, Aug Average, Ecuador, ECU
57.5138, 1910, Sep Average, Ecuador, ECU
185.174, 1910, Oct Average, Ecuador, ECU
76.6014, 1910, Nov Average, Ecuador, ECU
167.831, 1910, Dec Average, Ecuador, ECU
167.495, 1911, Jan Average, Ecuador, ECU
177.274, 1911, Feb Average, Ecuador, ECU
224.975, 1911, Mar Average, Ecuador, ECU
230.979, 1911, Apr Average, Ecuador, ECU
152.233, 1911, May Average, Ecuador, ECU
214.004, 1911, Jun Average, Ecuador, ECU
26.0669, 1911, Jul Average, Ecuador, ECU
77.9287, 1911, Aug Average, Ecuador, ECU
74.6884, 1911, Sep Average, Ecuador, ECU
196.106, 1911, Oct Average, Ecuador, ECU
52.4955, 1911, Nov Average, Ecuador, ECU
241.145, 1911, Dec Average, Ecuador, ECU
161.554, 1912, Jan Average, Ecuador, ECU
101.422, 1912, Feb Average, Ecuador, ECU
190.056, 1912, Mar Average, Ecuador, ECU
249.045, 1912, Apr Average, Ecuador, ECU
115.943, 1912, May Average, Ecuador, ECU
146.174, 1912, Jun Average, Ecuador, ECU
119.984, 1912, Jul Average, Ecuador, ECU
82.0701, 1912, Aug Average, Ecuador, ECU
167.203, 1912, Sep Average, Ecuador, ECU
138.917, 1912, Oct Average, Ecuador, ECU
117.97, 1912, Nov Average, Ecuador, ECU
318.84, 1912, Dec Average, Ecuador, ECU
304.099, 1913, Jan Average, Ecuador, ECU
