Rainfall - (MM), Year, Statistics, Country, ISO3
11.8059, 1901, Jan Average, Egypt, EGY
1.51935, 1901, Feb Average, Egypt, EGY
1.68534, 1901, Mar Average, Egypt, EGY
1.00609, 1901, Apr Average, Egypt, EGY
16.392, 1901, May Average, Egypt, EGY
1.59667, 1901, Jun Average, Egypt, EGY
2.63234, 1901, Jul Average, Egypt, EGY
2.7991, 1901, Aug Average, Egypt, EGY
1.23883, 1901, Sep Average, Egypt, EGY
0.5825, 1901, Oct Average, Egypt, EGY
1.78508, 1901, Nov Average, Egypt, EGY
5.03292, 1901, Dec Average, Egypt, EGY
9.23424, 1902, Jan Average, Egypt, EGY
3.61706, 1902, Feb Average, Egypt, EGY
2.43298, 1902, Mar Average, Egypt, EGY
3.58693, 1902, Apr Average, Egypt, EGY
2.08395, 1902, May Average, Egypt, EGY
1.66305, 1902, Jun Average, Egypt, EGY
2.74818, 1902, Jul Average, Egypt, EGY
2.7991, 1902, Aug Average, Egypt, EGY
1.12044, 1902, Sep Average, Egypt, EGY
1.15849, 1902, Oct Average, Egypt, EGY
3.06903, 1902, Nov Average, Egypt, EGY
4.1115, 1902, Dec Average, Egypt, EGY
5.77015, 1903, Jan Average, Egypt, EGY
3.95707, 1903, Feb Average, Egypt, EGY
5.72509, 1903, Mar Average, Egypt, EGY
2.0085, 1903, Apr Average, Egypt, EGY
1.9121, 1903, May Average, Egypt, EGY
1.24449, 1903, Jun Average, Egypt, EGY
2.63234, 1903, Jul Average, Egypt, EGY
2.89084, 1903, Aug Average, Egypt, EGY
1.15735, 1903, Sep Average, Egypt, EGY
0.88838, 1903, Oct Average, Egypt, EGY
1.43808, 1903, Nov Average, Egypt, EGY
3.07394, 1903, Dec Average, Egypt, EGY
8.38629, 1904, Jan Average, Egypt, EGY
6.1464, 1904, Feb Average, Egypt, EGY
1.61651, 1904, Mar Average, Egypt, EGY
5.0447, 1904, Apr Average, Egypt, EGY
4.25098, 1904, May Average, Egypt, EGY
1.245, 1904, Jun Average, Egypt, EGY
2.63234, 1904, Jul Average, Egypt, EGY
2.7991, 1904, Aug Average, Egypt, EGY
1.12045, 1904, Sep Average, Egypt, EGY
1.47003, 1904, Oct Average, Egypt, EGY
4.452, 1904, Nov Average, Egypt, EGY
8.46906, 1904, Dec Average, Egypt, EGY
5.02768, 1905, Jan Average, Egypt, EGY
4.41262, 1905, Feb Average, Egypt, EGY
6.06707, 1905, Mar Average, Egypt, EGY
5.46103, 1905, Apr Average, Egypt, EGY
1.75407, 1905, May Average, Egypt, EGY
1.24754, 1905, Jun Average, Egypt, EGY
2.63234, 1905, Jul Average, Egypt, EGY
2.7991, 1905, Aug Average, Egypt, EGY
1.10597, 1905, Sep Average, Egypt, EGY
1.38895, 1905, Oct Average, Egypt, EGY
2.05194, 1905, Nov Average, Egypt, EGY
8.55925, 1905, Dec Average, Egypt, EGY
3.40959, 1906, Jan Average, Egypt, EGY
2.46525, 1906, Feb Average, Egypt, EGY
3.16376, 1906, Mar Average, Egypt, EGY
2.38939, 1906, Apr Average, Egypt, EGY
9.0053, 1906, May Average, Egypt, EGY
1.6307, 1906, Jun Average, Egypt, EGY
2.60396, 1906, Jul Average, Egypt, EGY
2.76506, 1906, Aug Average, Egypt, EGY
1.10466, 1906, Sep Average, Egypt, EGY
3.78455, 1906, Oct Average, Egypt, EGY
1.93047, 1906, Nov Average, Egypt, EGY
1.29427, 1906, Dec Average, Egypt, EGY
