Rainfall - (MM), Year, Statistics, Country, ISO3
7.21077, 1901, Jan Average, Eritrea, ERI
4.3529, 1901, Feb Average, Eritrea, ERI
3.8728, 1901, Mar Average, Eritrea, ERI
7.26276, 1901, Apr Average, Eritrea, ERI
3.65472, 1901, May Average, Eritrea, ERI
29.5166, 1901, Jun Average, Eritrea, ERI
18.0907, 1901, Jul Average, Eritrea, ERI
110.342, 1901, Aug Average, Eritrea, ERI
10.7547, 1901, Sep Average, Eritrea, ERI
4.1664, 1901, Oct Average, Eritrea, ERI
0.33374, 1901, Nov Average, Eritrea, ERI
12.8138, 1901, Dec Average, Eritrea, ERI
2.89428, 1902, Jan Average, Eritrea, ERI
3.35693, 1902, Feb Average, Eritrea, ERI
9.53, 1902, Mar Average, Eritrea, ERI
7.7726, 1902, Apr Average, Eritrea, ERI
0.70322, 1902, May Average, Eritrea, ERI
1.38899, 1902, Jun Average, Eritrea, ERI
50.0181, 1902, Jul Average, Eritrea, ERI
19.649, 1902, Aug Average, Eritrea, ERI
29.7211, 1902, Sep Average, Eritrea, ERI
15.0147, 1902, Oct Average, Eritrea, ERI
7.44614, 1902, Nov Average, Eritrea, ERI
17.8319, 1902, Dec Average, Eritrea, ERI
12.2462, 1903, Jan Average, Eritrea, ERI
8.88485, 1903, Feb Average, Eritrea, ERI
2.14418, 1903, Mar Average, Eritrea, ERI
3.24883, 1903, Apr Average, Eritrea, ERI
34.2145, 1903, May Average, Eritrea, ERI
7.18204, 1903, Jun Average, Eritrea, ERI
73.5463, 1903, Jul Average, Eritrea, ERI
93.9599, 1903, Aug Average, Eritrea, ERI
40.3602, 1903, Sep Average, Eritrea, ERI
2.65068, 1903, Oct Average, Eritrea, ERI
1.46988, 1903, Nov Average, Eritrea, ERI
7.36459, 1903, Dec Average, Eritrea, ERI
2.66046, 1904, Jan Average, Eritrea, ERI
3.71728, 1904, Feb Average, Eritrea, ERI
10.327, 1904, Mar Average, Eritrea, ERI
0.65815, 1904, Apr Average, Eritrea, ERI
9.1082, 1904, May Average, Eritrea, ERI
11.7866, 1904, Jun Average, Eritrea, ERI
48.6654, 1904, Jul Average, Eritrea, ERI
46.3716, 1904, Aug Average, Eritrea, ERI
32.2983, 1904, Sep Average, Eritrea, ERI
