Rainfall - (MM), Year, Statistics, Country, ISO3
58.6268, 1901, Jan Average, Spain, ESP
62.7354, 1901, Feb Average, Spain, ESP
90.2708, 1901, Mar Average, Spain, ESP
59.1481, 1901, Apr Average, Spain, ESP
51.6487, 1901, May Average, Spain, ESP
34.0234, 1901, Jun Average, Spain, ESP
28.678, 1901, Jul Average, Spain, ESP
17.6763, 1901, Aug Average, Spain, ESP
62.6813, 1901, Sep Average, Spain, ESP
72.072, 1901, Oct Average, Spain, ESP
58.3351, 1901, Nov Average, Spain, ESP
55.9133, 1901, Dec Average, Spain, ESP
7.90912, 1902, Jan Average, Spain, ESP
105.796, 1902, Feb Average, Spain, ESP
37.2832, 1902, Mar Average, Spain, ESP
75.666, 1902, Apr Average, Spain, ESP
49.4377, 1902, May Average, Spain, ESP
51.706, 1902, Jun Average, Spain, ESP
20.8139, 1902, Jul Average, Spain, ESP
34.0537, 1902, Aug Average, Spain, ESP
37.9215, 1902, Sep Average, Spain, ESP
70.2204, 1902, Oct Average, Spain, ESP
110.813, 1902, Nov Average, Spain, ESP
54.2896, 1902, Dec Average, Spain, ESP
53.3802, 1903, Jan Average, Spain, ESP
10.8103, 1903, Feb Average, Spain, ESP
44.8731, 1903, Mar Average, Spain, ESP
45.6307, 1903, Apr Average, Spain, ESP
82.4068, 1903, May Average, Spain, ESP
54.8417, 1903, Jun Average, Spain, ESP
19.3454, 1903, Jul Average, Spain, ESP
11.8437, 1903, Aug Average, Spain, ESP
47.9149, 1903, Sep Average, Spain, ESP
40.8324, 1903, Oct Average, Spain, ESP
32.7335, 1903, Nov Average, Spain, ESP
107.574, 1903, Dec Average, Spain, ESP
79.9068, 1904, Jan Average, Spain, ESP
81.1806, 1904, Feb Average, Spain, ESP
72.5591, 1904, Mar Average, Spain, ESP
41.0593, 1904, Apr Average, Spain, ESP
27.3696, 1904, May Average, Spain, ESP
55.9071, 1904, Jun Average, Spain, ESP
5.73771, 1904, Jul Average, Spain, ESP
10.8903, 1904, Aug Average, Spain, ESP
53.178, 1904, Sep Average, Spain, ESP
31.98, 1904, Oct Average, Spain, ESP
58.5243, 1904, Nov Average, Spain, ESP
57.6501, 1904, Dec Average, Spain, ESP
44.2093, 1905, Jan Average, Spain, ESP
15.8473, 1905, Feb Average, Spain, ESP
33.9851, 1905, Mar Average, Spain, ESP
46.4756, 1905, Apr Average, Spain, ESP
45.7453, 1905, May Average, Spain, ESP
42.8819, 1905, Jun Average, Spain, ESP
30.0091, 1905, Jul Average, Spain, ESP
16.8125, 1905, Aug Average, Spain, ESP
54.4718, 1905, Sep Average, Spain, ESP
41.2287, 1905, Oct Average, Spain, ESP
114.823, 1905, Nov Average, Spain, ESP
41.8388, 1905, Dec Average, Spain, ESP
40.1018, 1906, Jan Average, Spain, ESP
44.6371, 1906, Feb Average, Spain, ESP
55.6666, 1906, Mar Average, Spain, ESP
76.0208, 1906, Apr Average, Spain, ESP
55.2829, 1906, May Average, Spain, ESP
41.15, 1906, Jun Average, Spain, ESP
17.9561, 1906, Jul Average, Spain, ESP
2.29427, 1906, Aug Average, Spain, ESP
70.3257, 1906, Sep Average, Spain, ESP
67.8048, 1906, Oct Average, Spain, ESP
73.1079, 1906, Nov Average, Spain, ESP
51.9822, 1906, Dec Average, Spain, ESP
18.8796, 1907, Jan Average, Spain, ESP
32.0967, 1907, Feb Average, Spain, ESP
10.0225, 1907, Mar Average, Spain, ESP
60.4626, 1907, Apr Average, Spain, ESP
69.077, 1907, May Average, Spain, ESP
10.8901, 1907, Jun Average, Spain, ESP
12.8167, 1907, Jul Average, Spain, ESP
15.6881, 1907, Aug Average, Spain, ESP
81.1721, 1907, Sep Average, Spain, ESP
136.694, 1907, Oct Average, Spain, ESP
72.6637, 1907, Nov Average, Spain, ESP
66.227, 1907, Dec Average, Spain, ESP
57.9846, 1908, Jan Average, Spain, ESP
21.2959, 1908, Feb Average, Spain, ESP
59.6454, 1908, Mar Average, Spain, ESP
46.5951, 1908, Apr Average, Spain, ESP
43.7407, 1908, May Average, Spain, ESP
71.3733, 1908, Jun Average, Spain, ESP
8.27756, 1908, Jul Average, Spain, ESP
20.6658, 1908, Aug Average, Spain, ESP
43.2007, 1908, Sep Average, Spain, ESP
54.0909, 1908, Oct Average, Spain, ESP
76.355, 1908, Nov Average, Spain, ESP
67.3986, 1908, Dec Average, Spain, ESP
25.0516, 1909, Jan Average, Spain, ESP
25.3063, 1909, Feb Average, Spain, ESP
78.3403, 1909, Mar Average, Spain, ESP
30.4921, 1909, Apr Average, Spain, ESP
65.1646, 1909, May Average, Spain, ESP
43.4539, 1909, Jun Average, Spain, ESP
3.67091, 1909, Jul Average, Spain, ESP
15.3754, 1909, Aug Average, Spain, ESP
43.1629, 1909, Sep Average, Spain, ESP
47.7983, 1909, Oct Average, Spain, ESP
102.701, 1909, Nov Average, Spain, ESP
96.0307, 1909, Dec Average, Spain, ESP
27.4843, 1910, Jan Average, Spain, ESP
41.8458, 1910, Feb Average, Spain, ESP
41.1659, 1910, Mar Average, Spain, ESP
51.5396, 1910, Apr Average, Spain, ESP
79.6222, 1910, May Average, Spain, ESP
41.4705, 1910, Jun Average, Spain, ESP
11.0246, 1910, Jul Average, Spain, ESP
10.2119, 1910, Aug Average, Spain, ESP
52.3497, 1910, Sep Average, Spain, ESP
77.9811, 1910, Oct Average, Spain, ESP
58.7632, 1910, Nov Average, Spain, ESP
130.221, 1910, Dec Average, Spain, ESP
37.0674, 1911, Jan Average, Spain, ESP
16.879, 1911, Feb Average, Spain, ESP
81.0155, 1911, Mar Average, Spain, ESP
40.2593, 1911, Apr Average, Spain, ESP
76.1003, 1911, May Average, Spain, ESP
65.1702, 1911, Jun Average, Spain, ESP
18.093, 1911, Jul Average, Spain, ESP
18.0922, 1911, Aug Average, Spain, ESP
25.7272, 1911, Sep Average, Spain, ESP
102.219, 1911, Oct Average, Spain, ESP
78.8244, 1911, Nov Average, Spain, ESP
60.7833, 1911, Dec Average, Spain, ESP
67.959, 1912, Jan Average, Spain, ESP
91.1135, 1912, Feb Average, Spain, ESP
43.3097, 1912, Mar Average, Spain, ESP
58.0979, 1912, Apr Average, Spain, ESP
20.9226, 1912, May Average, Spain, ESP
32.5228, 1912, Jun Average, Spain, ESP
26.1901, 1912, Jul Average, Spain, ESP
15.0213, 1912, Aug Average, Spain, ESP
47.6287, 1912, Sep Average, Spain, ESP
51.0672, 1912, Oct Average, Spain, ESP
32.2941, 1912, Nov Average, Spain, ESP
15.6979, 1912, Dec Average, Spain, ESP
70.9734, 1913, Jan Average, Spain, ESP
54.046, 1913, Feb Average, Spain, ESP
59.7796, 1913, Mar Average, Spain, ESP
46.9059, 1913, Apr Average, Spain, ESP
48.2911, 1913, May Average, Spain, ESP
34.8923, 1913, Jun Average, Spain, ESP
5.85387, 1913, Jul Average, Spain, ESP
17.4533, 1913, Aug Average, Spain, ESP
74.9832, 1913, Sep Average, Spain, ESP
104.65, 1913, Oct Average, Spain, ESP
45.9839, 1913, Nov Average, Spain, ESP
25.302, 1913, Dec Average, Spain, ESP
31.0258, 1914, Jan Average, Spain, ESP
60.6869, 1914, Feb Average, Spain, ESP
47.6064, 1914, Mar Average, Spain, ESP
58.9641, 1914, Apr Average, Spain, ESP
62.8411, 1914, May Average, Spain, ESP
50.7534, 1914, Jun Average, Spain, ESP
34.828, 1914, Jul Average, Spain, ESP
18.9472, 1914, Aug Average, Spain, ESP
15.5707, 1914, Sep Average, Spain, ESP
64.0085, 1914, Oct Average, Spain, ESP
66.9539, 1914, Nov Average, Spain, ESP
89.8459, 1914, Dec Average, Spain, ESP
78.9776, 1915, Jan Average, Spain, ESP
72.2486, 1915, Feb Average, Spain, ESP
82.4271, 1915, Mar Average, Spain, ESP
