Rainfall - (MM), Year, Statistics, Country, ISO3
29.3351, 1901, Jan Average, Estonia, EST
37.0728, 1901, Feb Average, Estonia, EST
16.5505, 1901, Mar Average, Estonia, EST
39.8323, 1901, Apr Average, Estonia, EST
6.33373, 1901, May Average, Estonia, EST
63.224, 1901, Jun Average, Estonia, EST
23.4112, 1901, Jul Average, Estonia, EST
59.1653, 1901, Aug Average, Estonia, EST
31.6236, 1901, Sep Average, Estonia, EST
30.8382, 1901, Oct Average, Estonia, EST
58.1228, 1901, Nov Average, Estonia, EST
54.2098, 1901, Dec Average, Estonia, EST
52.2761, 1902, Jan Average, Estonia, EST
21.7091, 1902, Feb Average, Estonia, EST
42.5831, 1902, Mar Average, Estonia, EST
8.9126, 1902, Apr Average, Estonia, EST
79.9374, 1902, May Average, Estonia, EST
86.1529, 1902, Jun Average, Estonia, EST
93.9087, 1902, Jul Average, Estonia, EST
97.3396, 1902, Aug Average, Estonia, EST
64.5414, 1902, Sep Average, Estonia, EST
58.7992, 1902, Oct Average, Estonia, EST
31.3937, 1902, Nov Average, Estonia, EST
40.9173, 1902, Dec Average, Estonia, EST
39.6729, 1903, Jan Average, Estonia, EST
43.8565, 1903, Feb Average, Estonia, EST
22.8745, 1903, Mar Average, Estonia, EST
56.3078, 1903, Apr Average, Estonia, EST
58.3428, 1903, May Average, Estonia, EST
83.7953, 1903, Jun Average, Estonia, EST
60.9976, 1903, Jul Average, Estonia, EST
141.751, 1903, Aug Average, Estonia, EST
40.2738, 1903, Sep Average, Estonia, EST
67.0127, 1903, Oct Average, Estonia, EST
57.3872, 1903, Nov Average, Estonia, EST
16.7028, 1903, Dec Average, Estonia, EST
21.5282, 1904, Jan Average, Estonia, EST
55.7403, 1904, Feb Average, Estonia, EST
13.3347, 1904, Mar Average, Estonia, EST
50.9898, 1904, Apr Average, Estonia, EST
49.2314, 1904, May Average, Estonia, EST
73.0451, 1904, Jun Average, Estonia, EST
56.6443, 1904, Jul Average, Estonia, EST
115.203, 1904, Aug Average, Estonia, EST
30.3542, 1904, Sep Average, Estonia, EST
43.5943, 1904, Oct Average, Estonia, EST
50.0902, 1904, Nov Average, Estonia, EST
70.2183, 1904, Dec Average, Estonia, EST
50.6527, 1905, Jan Average, Estonia, EST
21.529, 1905, Feb Average, Estonia, EST
35.6158, 1905, Mar Average, Estonia, EST
38.6174, 1905, Apr Average, Estonia, EST
27.8115, 1905, May Average, Estonia, EST
21.7964, 1905, Jun Average, Estonia, EST
86.4241, 1905, Jul Average, Estonia, EST
105.406, 1905, Aug Average, Estonia, EST
45.5651, 1905, Sep Average, Estonia, EST
91.1158, 1905, Oct Average, Estonia, EST
