Rainfall - (MM), Year, Statistics, Country, ISO3
10.8762, 1901, Jan Average, Ethiopia, ETH
28.5686, 1901, Feb Average, Ethiopia, ETH
63.6138, 1901, Mar Average, Ethiopia, ETH
93.4658, 1901, Apr Average, Ethiopia, ETH
54.3036, 1901, May Average, Ethiopia, ETH
129.197, 1901, Jun Average, Ethiopia, ETH
117.475, 1901, Jul Average, Ethiopia, ETH
184.691, 1901, Aug Average, Ethiopia, ETH
80.2316, 1901, Sep Average, Ethiopia, ETH
53.1731, 1901, Oct Average, Ethiopia, ETH
16.2038, 1901, Nov Average, Ethiopia, ETH
16.8135, 1901, Dec Average, Ethiopia, ETH
2.2677, 1902, Jan Average, Ethiopia, ETH
23.1086, 1902, Feb Average, Ethiopia, ETH
26.01, 1902, Mar Average, Ethiopia, ETH
90.9432, 1902, Apr Average, Ethiopia, ETH
75.1245, 1902, May Average, Ethiopia, ETH
74.9354, 1902, Jun Average, Ethiopia, ETH
102.857, 1902, Jul Average, Ethiopia, ETH
73.1808, 1902, Aug Average, Ethiopia, ETH
82.3993, 1902, Sep Average, Ethiopia, ETH
57.9302, 1902, Oct Average, Ethiopia, ETH
41.0751, 1902, Nov Average, Ethiopia, ETH
36.8339, 1902, Dec Average, Ethiopia, ETH
20.2287, 1903, Jan Average, Ethiopia, ETH
13.0572, 1903, Feb Average, Ethiopia, ETH
45.7573, 1903, Mar Average, Ethiopia, ETH
78.3576, 1903, Apr Average, Ethiopia, ETH
235.537, 1903, May Average, Ethiopia, ETH
92.0847, 1903, Jun Average, Ethiopia, ETH
131.592, 1903, Jul Average, Ethiopia, ETH
111.719, 1903, Aug Average, Ethiopia, ETH
176.039, 1903, Sep Average, Ethiopia, ETH
71.13, 1903, Oct Average, Ethiopia, ETH
24.6782, 1903, Nov Average, Ethiopia, ETH
19.2577, 1903, Dec Average, Ethiopia, ETH
1.69191, 1904, Jan Average, Ethiopia, ETH
10.5972, 1904, Feb Average, Ethiopia, ETH
71.0562, 1904, Mar Average, Ethiopia, ETH
50.2604, 1904, Apr Average, Ethiopia, ETH
72.861, 1904, May Average, Ethiopia, ETH
64.7272, 1904, Jun Average, Ethiopia, ETH
126.629, 1904, Jul Average, Ethiopia, ETH
131.613, 1904, Aug Average, Ethiopia, ETH
142.601, 1904, Sep Average, Ethiopia, ETH
49.5354, 1904, Oct Average, Ethiopia, ETH
36.6046, 1904, Nov Average, Ethiopia, ETH
4.82906, 1904, Dec Average, Ethiopia, ETH
3.79272, 1905, Jan Average, Ethiopia, ETH
10.6544, 1905, Feb Average, Ethiopia, ETH
40.3335, 1905, Mar Average, Ethiopia, ETH
96.4941, 1905, Apr Average, Ethiopia, ETH
77.6602, 1905, May Average, Ethiopia, ETH
66.8003, 1905, Jun Average, Ethiopia, ETH
135.901, 1905, Jul Average, Ethiopia, ETH
135.437, 1905, Aug Average, Ethiopia, ETH
163.829, 1905, Sep Average, Ethiopia, ETH
42.3473, 1905, Oct Average, Ethiopia, ETH
96.052, 1905, Nov Average, Ethiopia, ETH
3.40492, 1905, Dec Average, Ethiopia, ETH
11.217, 1906, Jan Average, Ethiopia, ETH
58.3436, 1906, Feb Average, Ethiopia, ETH
107.176, 1906, Mar Average, Ethiopia, ETH
83.7976, 1906, Apr Average, Ethiopia, ETH
74.4701, 1906, May Average, Ethiopia, ETH
83.3268, 1906, Jun Average, Ethiopia, ETH
145.445, 1906, Jul Average, Ethiopia, ETH
155.542, 1906, Aug Average, Ethiopia, ETH
81.9397, 1906, Sep Average, Ethiopia, ETH
52.6761, 1906, Oct Average, Ethiopia, ETH
67.2937, 1906, Nov Average, Ethiopia, ETH
2.16554, 1906, Dec Average, Ethiopia, ETH
2.6401, 1907, Jan Average, Ethiopia, ETH
19.5504, 1907, Feb Average, Ethiopia, ETH
18.4418, 1907, Mar Average, Ethiopia, ETH
118.982, 1907, Apr Average, Ethiopia, ETH
80.7596, 1907, May Average, Ethiopia, ETH
52.4911, 1907, Jun Average, Ethiopia, ETH
120.859, 1907, Jul Average, Ethiopia, ETH
136.546, 1907, Aug Average, Ethiopia, ETH
98.0345, 1907, Sep Average, Ethiopia, ETH
58.399, 1907, Oct Average, Ethiopia, ETH
115.236, 1907, Nov Average, Ethiopia, ETH
10.4397, 1907, Dec Average, Ethiopia, ETH
21.1277, 1908, Jan Average, Ethiopia, ETH
9.59059, 1908, Feb Average, Ethiopia, ETH
24.7247, 1908, Mar Average, Ethiopia, ETH
84.2809, 1908, Apr Average, Ethiopia, ETH
46.9392, 1908, May Average, Ethiopia, ETH
55.001, 1908, Jun Average, Ethiopia, ETH
140.922, 1908, Jul Average, Ethiopia, ETH
161.19, 1908, Aug Average, Ethiopia, ETH
113.83, 1908, Sep Average, Ethiopia, ETH
86.2931, 1908, Oct Average, Ethiopia, ETH
38.7358, 1908, Nov Average, Ethiopia, ETH
4.34918, 1908, Dec Average, Ethiopia, ETH
17.4289, 1909, Jan Average, Ethiopia, ETH
5.96034, 1909, Feb Average, Ethiopia, ETH
34.3435, 1909, Mar Average, Ethiopia, ETH
104.703, 1909, Apr Average, Ethiopia, ETH
129.757, 1909, May Average, Ethiopia, ETH
97.7391, 1909, Jun Average, Ethiopia, ETH
119.81, 1909, Jul Average, Ethiopia, ETH
194.534, 1909, Aug Average, Ethiopia, ETH
112.076, 1909, Sep Average, Ethiopia, ETH
44.1131, 1909, Oct Average, Ethiopia, ETH
43.7023, 1909, Nov Average, Ethiopia, ETH
10.3819, 1909, Dec Average, Ethiopia, ETH
1.91571, 1910, Jan Average, Ethiopia, ETH
6.44238, 1910, Feb Average, Ethiopia, ETH
21.1727, 1910, Mar Average, Ethiopia, ETH
67.4485, 1910, Apr Average, Ethiopia, ETH
114.699, 1910, May Average, Ethiopia, ETH
63.8317, 1910, Jun Average, Ethiopia, ETH
140.552, 1910, Jul Average, Ethiopia, ETH
184.641, 1910, Aug Average, Ethiopia, ETH
106.362, 1910, Sep Average, Ethiopia, ETH
66.0771, 1910, Oct Average, Ethiopia, ETH
18.8158, 1910, Nov Average, Ethiopia, ETH
16.2625, 1910, Dec Average, Ethiopia, ETH
7.86847, 1911, Jan Average, Ethiopia, ETH
6.06807, 1911, Feb Average, Ethiopia, ETH
66.6188, 1911, Mar Average, Ethiopia, ETH
65.426, 1911, Apr Average, Ethiopia, ETH
86.8419, 1911, May Average, Ethiopia, ETH
64.99, 1911, Jun Average, Ethiopia, ETH
136.196, 1911, Jul Average, Ethiopia, ETH
154.8, 1911, Aug Average, Ethiopia, ETH
148.716, 1911, Sep Average, Ethiopia, ETH
78.6888, 1911, Oct Average, Ethiopia, ETH
32.5915, 1911, Nov Average, Ethiopia, ETH
5.35638, 1911, Dec Average, Ethiopia, ETH
22.3838, 1912, Jan Average, Ethiopia, ETH
33.8381, 1912, Feb Average, Ethiopia, ETH
22.5906, 1912, Mar Average, Ethiopia, ETH
74.2168, 1912, Apr Average, Ethiopia, ETH
54.6185, 1912, May Average, Ethiopia, ETH
117.238, 1912, Jun Average, Ethiopia, ETH
162.167, 1912, Jul Average, Ethiopia, ETH
142.412, 1912, Aug Average, Ethiopia, ETH
58.8658, 1912, Sep Average, Ethiopia, ETH
40.4411, 1912, Oct Average, Ethiopia, ETH
14.4044, 1912, Nov Average, Ethiopia, ETH
14.4729, 1912, Dec Average, Ethiopia, ETH
4.38453, 1913, Jan Average, Ethiopia, ETH
32.1114, 1913, Feb Average, Ethiopia, ETH
48.0991, 1913, Mar Average, Ethiopia, ETH
98.4991, 1913, Apr Average, Ethiopia, ETH
104.555, 1913, May Average, Ethiopia, ETH
50.1573, 1913, Jun Average, Ethiopia, ETH
108.947, 1913, Jul Average, Ethiopia, ETH
130.44, 1913, Aug Average, Ethiopia, ETH
62.9072, 1913, Sep Average, Ethiopia, ETH
53.6298, 1913, Oct Average, Ethiopia, ETH
10.6274, 1913, Nov Average, Ethiopia, ETH
1.46367, 1913, Dec Average, Ethiopia, ETH
6.76519, 1914, Jan Average, Ethiopia, ETH
18.4918, 1914, Feb Average, Ethiopia, ETH
42.7637, 1914, Mar Average, Ethiopia, ETH
75.606, 1914, Apr Average, Ethiopia, ETH
64.3604, 1914, May Average, Ethiopia, ETH
67.4539, 1914, Jun Average, Ethiopia, ETH
146.935, 1914, Jul Average, Ethiopia, ETH
201.357, 1914, Aug Average, Ethiopia, ETH
152.707, 1914, Sep Average, Ethiopia, ETH
155.124, 1914, Oct Average, Ethiopia, ETH
26.9268, 1914, Nov Average, Ethiopia, ETH
20.7429, 1914, Dec Average, Ethiopia, ETH
4.33246, 1915, Jan Average, Ethiopia, ETH
7.78972, 1915, Feb Average, Ethiopia, ETH
31.7857, 1915, Mar Average, Ethiopia, ETH
79.8289, 1915, Apr Average, Ethiopia, ETH
90.1737, 1915, May Average, Ethiopia, ETH
96.484, 1915, Jun Average, Ethiopia, ETH
130.958, 1915, Jul Average, Ethiopia, ETH
122.546, 1915, Aug Average, Ethiopia, ETH
126.41, 1915, Sep Average, Ethiopia, ETH
75.3402, 1915, Oct Average, Ethiopia, ETH
62.9589, 1915, Nov Average, Ethiopia, ETH
15.0672, 1915, Dec Average, Ethiopia, ETH
31.7891, 1916, Jan Average, Ethiopia, ETH
28.8996, 1916, Feb Average, Ethiopia, ETH
50.3568, 1916, Mar Average, Ethiopia, ETH
87.4436, 1916, Apr Average, Ethiopia, ETH
105.011, 1916, May Average, Ethiopia, ETH
95.0824, 1916, Jun Average, Ethiopia, ETH
203.004, 1916, Jul Average, Ethiopia, ETH
201.558, 1916, Aug Average, Ethiopia, ETH
156.986, 1916, Sep Average, Ethiopia, ETH
39.8407, 1916, Oct Average, Ethiopia, ETH
26.004, 1916, Nov Average, Ethiopia, ETH
21.6296, 1916, Dec Average, Ethiopia, ETH
17.3638, 1917, Jan Average, Ethiopia, ETH
16.0739, 1917, Feb Average, Ethiopia, ETH
8.33381, 1917, Mar Average, Ethiopia, ETH
101.326, 1917, Apr Average, Ethiopia, ETH
136.347, 1917, May Average, Ethiopia, ETH
130.255, 1917, Jun Average, Ethiopia, ETH
118.347, 1917, Jul Average, Ethiopia, ETH
175.225, 1917, Aug Average, Ethiopia, ETH
129.863, 1917, Sep Average, Ethiopia, ETH
82.0199, 1917, Oct Average, Ethiopia, ETH
9.62908, 1917, Nov Average, Ethiopia, ETH
18.1714, 1917, Dec Average, Ethiopia, ETH
5.13222, 1918, Jan Average, Ethiopia, ETH
27.7919, 1918, Feb Average, Ethiopia, ETH
41.8503, 1918, Mar Average, Ethiopia, ETH
100.504, 1918, Apr Average, Ethiopia, ETH
80.0336, 1918, May Average, Ethiopia, ETH
69.5278, 1918, Jun Average, Ethiopia, ETH
111.622, 1918, Jul Average, Ethiopia, ETH
123.918, 1918, Aug Average, Ethiopia, ETH
58.6402, 1918, Sep Average, Ethiopia, ETH
28.9494, 1918, Oct Average, Ethiopia, ETH
16.1643, 1918, Nov Average, Ethiopia, ETH
8.61061, 1918, Dec Average, Ethiopia, ETH
4.97777, 1919, Jan Average, Ethiopia, ETH
11.2091, 1919, Feb Average, Ethiopia, ETH
62.9083, 1919, Mar Average, Ethiopia, ETH
49.0377, 1919, Apr Average, Ethiopia, ETH
70.0613, 1919, May Average, Ethiopia, ETH
59.3116, 1919, Jun Average, Ethiopia, ETH
188.203, 1919, Jul Average, Ethiopia, ETH
121.778, 1919, Aug Average, Ethiopia, ETH
87.3188, 1919, Sep Average, Ethiopia, ETH
48.668, 1919, Oct Average, Ethiopia, ETH
17.8672, 1919, Nov Average, Ethiopia, ETH
1.1474, 1919, Dec Average, Ethiopia, ETH
7.19602, 1920, Jan Average, Ethiopia, ETH
17.0255, 1920, Feb Average, Ethiopia, ETH
42.7663, 1920, Mar Average, Ethiopia, ETH
95.317, 1920, Apr Average, Ethiopia, ETH
93.3078, 1920, May Average, Ethiopia, ETH
79.757, 1920, Jun Average, Ethiopia, ETH
137.103, 1920, Jul Average, Ethiopia, ETH
154.479, 1920, Aug Average, Ethiopia, ETH
86.6141, 1920, Sep Average, Ethiopia, ETH
71.3949, 1920, Oct Average, Ethiopia, ETH
26.2362, 1920, Nov Average, Ethiopia, ETH
5.11721, 1920, Dec Average, Ethiopia, ETH
6.42616, 1921, Jan Average, Ethiopia, ETH
5.03425, 1921, Feb Average, Ethiopia, ETH
11.3237, 1921, Mar Average, Ethiopia, ETH
54.3136, 1921, Apr Average, Ethiopia, ETH
99.8198, 1921, May Average, Ethiopia, ETH
73.31, 1921, Jun Average, Ethiopia, ETH
163.61, 1921, Jul Average, Ethiopia, ETH
117.754, 1921, Aug Average, Ethiopia, ETH
101.621, 1921, Sep Average, Ethiopia, ETH
53.6828, 1921, Oct Average, Ethiopia, ETH
21.0268, 1921, Nov Average, Ethiopia, ETH
4.16149, 1921, Dec Average, Ethiopia, ETH
2.30922, 1922, Jan Average, Ethiopia, ETH
16.9838, 1922, Feb Average, Ethiopia, ETH
32.3286, 1922, Mar Average, Ethiopia, ETH
31.6568, 1922, Apr Average, Ethiopia, ETH
131.384, 1922, May Average, Ethiopia, ETH
66.1748, 1922, Jun Average, Ethiopia, ETH
133.445, 1922, Jul Average, Ethiopia, ETH
161.638, 1922, Aug Average, Ethiopia, ETH
99.4186, 1922, Sep Average, Ethiopia, ETH
56.2964, 1922, Oct Average, Ethiopia, ETH
11.2138, 1922, Nov Average, Ethiopia, ETH
3.34864, 1922, Dec Average, Ethiopia, ETH
0.05907, 1923, Jan Average, Ethiopia, ETH
33.4559, 1923, Feb Average, Ethiopia, ETH
58.4666, 1923, Mar Average, Ethiopia, ETH
104.586, 1923, Apr Average, Ethiopia, ETH
125.102, 1923, May Average, Ethiopia, ETH
74.0678, 1923, Jun Average, Ethiopia, ETH
114.966, 1923, Jul Average, Ethiopia, ETH
149.702, 1923, Aug Average, Ethiopia, ETH
173.435, 1923, Sep Average, Ethiopia, ETH
63.628, 1923, Oct Average, Ethiopia, ETH
53.0462, 1923, Nov Average, Ethiopia, ETH
15.187, 1923, Dec Average, Ethiopia, ETH
7.38461, 1924, Jan Average, Ethiopia, ETH
18.8035, 1924, Feb Average, Ethiopia, ETH
55.6966, 1924, Mar Average, Ethiopia, ETH
92.7216, 1924, Apr Average, Ethiopia, ETH
72.8941, 1924, May Average, Ethiopia, ETH
86.4418, 1924, Jun Average, Ethiopia, ETH
130.154, 1924, Jul Average, Ethiopia, ETH
161.754, 1924, Aug Average, Ethiopia, ETH
94.3704, 1924, Sep Average, Ethiopia, ETH
48.2539, 1924, Oct Average, Ethiopia, ETH
9.47054, 1924, Nov Average, Ethiopia, ETH
9.85429, 1924, Dec Average, Ethiopia, ETH
7.15945, 1925, Jan Average, Ethiopia, ETH
16.8709, 1925, Feb Average, Ethiopia, ETH
21.1331, 1925, Mar Average, Ethiopia, ETH
38.7182, 1925, Apr Average, Ethiopia, ETH
106.238, 1925, May Average, Ethiopia, ETH
87.515, 1925, Jun Average, Ethiopia, ETH
141.096, 1925, Jul Average, Ethiopia, ETH
133.883, 1925, Aug Average, Ethiopia, ETH
97.1679, 1925, Sep Average, Ethiopia, ETH
96.5901, 1925, Oct Average, Ethiopia, ETH
109.875, 1925, Nov Average, Ethiopia, ETH
12.2413, 1925, Dec Average, Ethiopia, ETH
14.48, 1926, Jan Average, Ethiopia, ETH
35.0455, 1926, Feb Average, Ethiopia, ETH
52.5288, 1926, Mar Average, Ethiopia, ETH
131.193, 1926, Apr Average, Ethiopia, ETH
175.901, 1926, May Average, Ethiopia, ETH
88.6085, 1926, Jun Average, Ethiopia, ETH
126.187, 1926, Jul Average, Ethiopia, ETH
148.838, 1926, Aug Average, Ethiopia, ETH
114.136, 1926, Sep Average, Ethiopia, ETH
55.4186, 1926, Oct Average, Ethiopia, ETH
36.9364, 1926, Nov Average, Ethiopia, ETH
2.36444, 1926, Dec Average, Ethiopia, ETH
1.13655, 1927, Jan Average, Ethiopia, ETH
13.1574, 1927, Feb Average, Ethiopia, ETH
25.8822, 1927, Mar Average, Ethiopia, ETH
80.2595, 1927, Apr Average, Ethiopia, ETH
84.255, 1927, May Average, Ethiopia, ETH
69.3564, 1927, Jun Average, Ethiopia, ETH
142.031, 1927, Jul Average, Ethiopia, ETH
129.799, 1927, Aug Average, Ethiopia, ETH
124.08, 1927, Sep Average, Ethiopia, ETH
20.6066, 1927, Oct Average, Ethiopia, ETH
27.9059, 1927, Nov Average, Ethiopia, ETH
5.44093, 1927, Dec Average, Ethiopia, ETH
6.60994, 1928, Jan Average, Ethiopia, ETH
8.79927, 1928, Feb Average, Ethiopia, ETH
32.9675, 1928, Mar Average, Ethiopia, ETH
88.5478, 1928, Apr Average, Ethiopia, ETH
128.924, 1928, May Average, Ethiopia, ETH
74.2741, 1928, Jun Average, Ethiopia, ETH
130.386, 1928, Jul Average, Ethiopia, ETH
167.061, 1928, Aug Average, Ethiopia, ETH
46.8738, 1928, Sep Average, Ethiopia, ETH
54.0757, 1928, Oct Average, Ethiopia, ETH
82.4925, 1928, Nov Average, Ethiopia, ETH
4.29219, 1928, Dec Average, Ethiopia, ETH
2.16502, 1929, Jan Average, Ethiopia, ETH
16.0645, 1929, Feb Average, Ethiopia, ETH
16.1154, 1929, Mar Average, Ethiopia, ETH
85.7013, 1929, Apr Average, Ethiopia, ETH
99.185, 1929, May Average, Ethiopia, ETH
93.8024, 1929, Jun Average, Ethiopia, ETH
142.707, 1929, Jul Average, Ethiopia, ETH
158.229, 1929, Aug Average, Ethiopia, ETH
142.293, 1929, Sep Average, Ethiopia, ETH
81.1958, 1929, Oct Average, Ethiopia, ETH
17.4974, 1929, Nov Average, Ethiopia, ETH
23.0498, 1929, Dec Average, Ethiopia, ETH
32.3493, 1930, Jan Average, Ethiopia, ETH
21.651, 1930, Feb Average, Ethiopia, ETH
75.0195, 1930, Mar Average, Ethiopia, ETH
133.735, 1930, Apr Average, Ethiopia, ETH
71.1238, 1930, May Average, Ethiopia, ETH
84.4311, 1930, Jun Average, Ethiopia, ETH
148.32, 1930, Jul Average, Ethiopia, ETH
116.813, 1930, Aug Average, Ethiopia, ETH
73.7143, 1930, Sep Average, Ethiopia, ETH
75.4806, 1930, Oct Average, Ethiopia, ETH
12.1608, 1930, Nov Average, Ethiopia, ETH
30.8138, 1930, Dec Average, Ethiopia, ETH
7.38885, 1931, Jan Average, Ethiopia, ETH
24.2602, 1931, Feb Average, Ethiopia, ETH
50.0113, 1931, Mar Average, Ethiopia, ETH
53.9526, 1931, Apr Average, Ethiopia, ETH
115.321, 1931, May Average, Ethiopia, ETH
64.9982, 1931, Jun Average, Ethiopia, ETH
122.892, 1931, Jul Average, Ethiopia, ETH
154.518, 1931, Aug Average, Ethiopia, ETH
116.952, 1931, Sep Average, Ethiopia, ETH
63.8163, 1931, Oct Average, Ethiopia, ETH
12.904, 1931, Nov Average, Ethiopia, ETH
1.7429, 1931, Dec Average, Ethiopia, ETH
1.38978, 1932, Jan Average, Ethiopia, ETH
3.63571, 1932, Feb Average, Ethiopia, ETH
67.0792, 1932, Mar Average, Ethiopia, ETH
52.3605, 1932, Apr Average, Ethiopia, ETH
103.996, 1932, May Average, Ethiopia, ETH
68.9669, 1932, Jun Average, Ethiopia, ETH
146.784, 1932, Jul Average, Ethiopia, ETH
193.092, 1932, Aug Average, Ethiopia, ETH
128.048, 1932, Sep Average, Ethiopia, ETH
27.3928, 1932, Oct Average, Ethiopia, ETH
9.58184, 1932, Nov Average, Ethiopia, ETH
34.0758, 1932, Dec Average, Ethiopia, ETH
8.16073, 1933, Jan Average, Ethiopia, ETH
14.9795, 1933, Feb Average, Ethiopia, ETH
20.5541, 1933, Mar Average, Ethiopia, ETH
73.312, 1933, Apr Average, Ethiopia, ETH
74.9945, 1933, May Average, Ethiopia, ETH
68.3747, 1933, Jun Average, Ethiopia, ETH
125.221, 1933, Jul Average, Ethiopia, ETH
158.085, 1933, Aug Average, Ethiopia, ETH
94.6353, 1933, Sep Average, Ethiopia, ETH
54.0599, 1933, Oct Average, Ethiopia, ETH
35.8076, 1933, Nov Average, Ethiopia, ETH
6.37481, 1933, Dec Average, Ethiopia, ETH
1.14492, 1934, Jan Average, Ethiopia, ETH
5.18774, 1934, Feb Average, Ethiopia, ETH
29.4633, 1934, Mar Average, Ethiopia, ETH
71.717, 1934, Apr Average, Ethiopia, ETH
120.585, 1934, May Average, Ethiopia, ETH
113.579, 1934, Jun Average, Ethiopia, ETH
157.659, 1934, Jul Average, Ethiopia, ETH
128.275, 1934, Aug Average, Ethiopia, ETH
78.7359, 1934, Sep Average, Ethiopia, ETH
44.8746, 1934, Oct Average, Ethiopia, ETH
14.5071, 1934, Nov Average, Ethiopia, ETH
12.4065, 1934, Dec Average, Ethiopia, ETH
0.78667, 1935, Jan Average, Ethiopia, ETH
12.7931, 1935, Feb Average, Ethiopia, ETH
24.8684, 1935, Mar Average, Ethiopia, ETH
93.1871, 1935, Apr Average, Ethiopia, ETH
234.067, 1935, May Average, Ethiopia, ETH
85.7665, 1935, Jun Average, Ethiopia, ETH
91.8553, 1935, Jul Average, Ethiopia, ETH
164.767, 1935, Aug Average, Ethiopia, ETH
153.982, 1935, Sep Average, Ethiopia, ETH
35.6684, 1935, Oct Average, Ethiopia, ETH
30.1493, 1935, Nov Average, Ethiopia, ETH
10.1292, 1935, Dec Average, Ethiopia, ETH
28.6546, 1936, Jan Average, Ethiopia, ETH
61.0133, 1936, Feb Average, Ethiopia, ETH
59.8086, 1936, Mar Average, Ethiopia, ETH
110.31, 1936, Apr Average, Ethiopia, ETH
71.7227, 1936, May Average, Ethiopia, ETH
86.241, 1936, Jun Average, Ethiopia, ETH
