Rainfall - (MM), Year, Statistics, Country, ISO3
28.3344, 1901, Jan Average, Finland, FIN
26.5111, 1901, Feb Average, Finland, FIN
15.1533, 1901, Mar Average, Finland, FIN
30.8042, 1901, Apr Average, Finland, FIN
16.9959, 1901, May Average, Finland, FIN
46.6053, 1901, Jun Average, Finland, FIN
37.9178, 1901, Jul Average, Finland, FIN
43.1522, 1901, Aug Average, Finland, FIN
19.8159, 1901, Sep Average, Finland, FIN
45.512, 1901, Oct Average, Finland, FIN
39.2367, 1901, Nov Average, Finland, FIN
29.6627, 1901, Dec Average, Finland, FIN
39.5917, 1902, Jan Average, Finland, FIN
20.2206, 1902, Feb Average, Finland, FIN
32.8566, 1902, Mar Average, Finland, FIN
4.45222, 1902, Apr Average, Finland, FIN
33.9665, 1902, May Average, Finland, FIN
56.0483, 1902, Jun Average, Finland, FIN
96.7699, 1902, Jul Average, Finland, FIN
89.3264, 1902, Aug Average, Finland, FIN
81.8844, 1902, Sep Average, Finland, FIN
36.3704, 1902, Oct Average, Finland, FIN
29.3996, 1902, Nov Average, Finland, FIN
19.9223, 1902, Dec Average, Finland, FIN
31.2983, 1903, Jan Average, Finland, FIN
32.6335, 1903, Feb Average, Finland, FIN
25.6577, 1903, Mar Average, Finland, FIN
39.2088, 1903, Apr Average, Finland, FIN
29.3975, 1903, May Average, Finland, FIN
50.7413, 1903, Jun Average, Finland, FIN
82.4799, 1903, Jul Average, Finland, FIN
105.177, 1903, Aug Average, Finland, FIN
45.195, 1903, Sep Average, Finland, FIN
49.3543, 1903, Oct Average, Finland, FIN
41.1865, 1903, Nov Average, Finland, FIN
20.8992, 1903, Dec Average, Finland, FIN
20.3003, 1904, Jan Average, Finland, FIN
24.2559, 1904, Feb Average, Finland, FIN
14.2166, 1904, Mar Average, Finland, FIN
38.4833, 1904, Apr Average, Finland, FIN
46.6409, 1904, May Average, Finland, FIN
56.6617, 1904, Jun Average, Finland, FIN
51.7754, 1904, Jul Average, Finland, FIN
87.7929, 1904, Aug Average, Finland, FIN
27.886, 1904, Sep Average, Finland, FIN
41.9661, 1904, Oct Average, Finland, FIN
38.4977, 1904, Nov Average, Finland, FIN
44.137, 1904, Dec Average, Finland, FIN
32.2778, 1905, Jan Average, Finland, FIN
22.6437, 1905, Feb Average, Finland, FIN
25.4478, 1905, Mar Average, Finland, FIN
34.5535, 1905, Apr Average, Finland, FIN
27.3488, 1905, May Average, Finland, FIN
43.3262, 1905, Jun Average, Finland, FIN
85.0776, 1905, Jul Average, Finland, FIN
78.7856, 1905, Aug Average, Finland, FIN
57.8468, 1905, Sep Average, Finland, FIN
50.1198, 1905, Oct Average, Finland, FIN
37.9914, 1905, Nov Average, Finland, FIN
22.0295, 1905, Dec Average, Finland, FIN
38.0228, 1906, Jan Average, Finland, FIN
30.9531, 1906, Feb Average, Finland, FIN
32.1892, 1906, Mar Average, Finland, FIN
31.509, 1906, Apr Average, Finland, FIN
44.7235, 1906, May Average, Finland, FIN
41.6577, 1906, Jun Average, Finland, FIN
52.9351, 1906, Jul Average, Finland, FIN
69.2591, 1906, Aug Average, Finland, FIN
27.4317, 1906, Sep Average, Finland, FIN
27.0497, 1906, Oct Average, Finland, FIN
45.8289, 1906, Nov Average, Finland, FIN
38.9065, 1906, Dec Average, Finland, FIN
28.0184, 1907, Jan Average, Finland, FIN
30.0826, 1907, Feb Average, Finland, FIN
