Rainfall - (MM), Year, Statistics, Country, ISO3
440.893, 1901, Jan Average, Fiji, FJI
424.747, 1901, Feb Average, Fiji, FJI
785.466, 1901, Mar Average, Fiji, FJI
218.667, 1901, Apr Average, Fiji, FJI
231.068, 1901, May Average, Fiji, FJI
20.7697, 1901, Jun Average, Fiji, FJI
28.4847, 1901, Jul Average, Fiji, FJI
119.492, 1901, Aug Average, Fiji, FJI
114.89, 1901, Sep Average, Fiji, FJI
105.493, 1901, Oct Average, Fiji, FJI
183.776, 1901, Nov Average, Fiji, FJI
204.058, 1901, Dec Average, Fiji, FJI
131.469, 1902, Jan Average, Fiji, FJI
485.1, 1902, Feb Average, Fiji, FJI
604.928, 1902, Mar Average, Fiji, FJI
257.349, 1902, Apr Average, Fiji, FJI
176.641, 1902, May Average, Fiji, FJI
67.921, 1902, Jun Average, Fiji, FJI
62.793, 1902, Jul Average, Fiji, FJI
165.431, 1902, Aug Average, Fiji, FJI
134.17, 1902, Sep Average, Fiji, FJI
89.1412, 1902, Oct Average, Fiji, FJI
71.3803, 1902, Nov Average, Fiji, FJI
146.204, 1902, Dec Average, Fiji, FJI
104.693, 1903, Jan Average, Fiji, FJI
114.149, 1903, Feb Average, Fiji, FJI
684.652, 1903, Mar Average, Fiji, FJI
308.681, 1903, Apr Average, Fiji, FJI
37.2151, 1903, May Average, Fiji, FJI
29.5733, 1903, Jun Average, Fiji, FJI
39.4824, 1903, Jul Average, Fiji, FJI
49.0133, 1903, Aug Average, Fiji, FJI
117.035, 1903, Sep Average, Fiji, FJI
126.288, 1903, Oct Average, Fiji, FJI
227.504, 1903, Nov Average, Fiji, FJI
127.255, 1903, Dec Average, Fiji, FJI
438.599, 1904, Jan Average, Fiji, FJI
282.066, 1904, Feb Average, Fiji, FJI
359.926, 1904, Mar Average, Fiji, FJI
244.761, 1904, Apr Average, Fiji, FJI
145.526, 1904, May Average, Fiji, FJI
269.306, 1904, Jun Average, Fiji, FJI
118.451, 1904, Jul Average, Fiji, FJI
154.687, 1904, Aug Average, Fiji, FJI
88.5211, 1904, Sep Average, Fiji, FJI
199.078, 1904, Oct Average, Fiji, FJI
120.415, 1904, Nov Average, Fiji, FJI
350.243, 1904, Dec Average, Fiji, FJI
400.18, 1905, Jan Average, Fiji, FJI
136.088, 1905, Feb Average, Fiji, FJI
376.329, 1905, Mar Average, Fiji, FJI
110.689, 1905, Apr Average, Fiji, FJI
90.5224, 1905, May Average, Fiji, FJI
54.3385, 1905, Jun Average, Fiji, FJI
77.035, 1905, Jul Average, Fiji, FJI
99.5631, 1905, Aug Average, Fiji, FJI
2.13536, 1905, Sep Average, Fiji, FJI
50.5114, 1905, Oct Average, Fiji, FJI
115.09, 1905, Nov Average, Fiji, FJI
276.618, 1905, Dec Average, Fiji, FJI
418.811, 1906, Jan Average, Fiji, FJI
142.692, 1906, Feb Average, Fiji, FJI
701.05, 1906, Mar Average, Fiji, FJI
392.325, 1906, Apr Average, Fiji, FJI
166.645, 1906, May Average, Fiji, FJI
160.602, 1906, Jun Average, Fiji, FJI
68.6104, 1906, Jul Average, Fiji, FJI
119.136, 1906, Aug Average, Fiji, FJI
176.942, 1906, Sep Average, Fiji, FJI
90.6179, 1906, Oct Average, Fiji, FJI
253.358, 1906, Nov Average, Fiji, FJI
604.764, 1906, Dec Average, Fiji, FJI
411.832, 1907, Jan Average, Fiji, FJI
342.416, 1907, Feb Average, Fiji, FJI
294.251, 1907, Mar Average, Fiji, FJI
138.564, 1907, Apr Average, Fiji, FJI
221.632, 1907, May Average, Fiji, FJI
222.154, 1907, Jun Average, Fiji, FJI
71.8326, 1907, Jul Average, Fiji, FJI
55.9219, 1907, Aug Average, Fiji, FJI
60.6594, 1907, Sep Average, Fiji, FJI
196.125, 1907, Oct Average, Fiji, FJI
232.306, 1907, Nov Average, Fiji, FJI
4.21221, 1907, Dec Average, Fiji, FJI
148.9, 1908, Jan Average, Fiji, FJI
347.922, 1908, Feb Average, Fiji, FJI
357.548, 1908, Mar Average, Fiji, FJI
305.027, 1908, Apr Average, Fiji, FJI
286.626, 1908, May Average, Fiji, FJI
67.0901, 1908, Jun Average, Fiji, FJI
110.029, 1908, Jul Average, Fiji, FJI
180.746, 1908, Aug Average, Fiji, FJI
64.2301, 1908, Sep Average, Fiji, FJI
92.8561, 1908, Oct Average, Fiji, FJI
118.653, 1908, Nov Average, Fiji, FJI
230.343, 1908, Dec Average, Fiji, FJI
33.7298, 1909, Jan Average, Fiji, FJI
426.931, 1909, Feb Average, Fiji, FJI
350.543, 1909, Mar Average, Fiji, FJI
170.087, 1909, Apr Average, Fiji, FJI
117.754, 1909, May Average, Fiji, FJI
43.1502, 1909, Jun Average, Fiji, FJI
43.3617, 1909, Jul Average, Fiji, FJI
96.4995, 1909, Aug Average, Fiji, FJI
77.0749, 1909, Sep Average, Fiji, FJI
173.092, 1909, Oct Average, Fiji, FJI
492.453, 1909, Nov Average, Fiji, FJI
344.981, 1909, Dec Average, Fiji, FJI
204.741, 1910, Jan Average, Fiji, FJI
322.68, 1910, Feb Average, Fiji, FJI
358.741, 1910, Mar Average, Fiji, FJI
88.186, 1910, Apr Average, Fiji, FJI
199.399, 1910, May Average, Fiji, FJI
200.554, 1910, Jun Average, Fiji, FJI
51.8005, 1910, Jul Average, Fiji, FJI
174.628, 1910, Aug Average, Fiji, FJI
234.079, 1910, Sep Average, Fiji, FJI
364.736, 1910, Oct Average, Fiji, FJI
288.144, 1910, Nov Average, Fiji, FJI
256.63, 1910, Dec Average, Fiji, FJI
556.07, 1911, Jan Average, Fiji, FJI
316.078, 1911, Feb Average, Fiji, FJI
569.713, 1911, Mar Average, Fiji, FJI
120.578, 1911, Apr Average, Fiji, FJI
146.644, 1911, May Average, Fiji, FJI
158.211, 1911, Jun Average, Fiji, FJI
99.0279, 1911, Jul Average, Fiji, FJI
139.411, 1911, Aug Average, Fiji, FJI
45.6785, 1911, Sep Average, Fiji, FJI
71.3119, 1911, Oct Average, Fiji, FJI
553.106, 1911, Nov Average, Fiji, FJI
148.302, 1911, Dec Average, Fiji, FJI
482.771, 1912, Jan Average, Fiji, FJI
249.149, 1912, Feb Average, Fiji, FJI
365.749, 1912, Mar Average, Fiji, FJI
107.953, 1912, Apr Average, Fiji, FJI
267.723, 1912, May Average, Fiji, FJI
94.2909, 1912, Jun Average, Fiji, FJI
28.4847, 1912, Jul Average, Fiji, FJI
128.654, 1912, Aug Average, Fiji, FJI
109.886, 1912, Sep Average, Fiji, FJI
65.3546, 1912, Oct Average, Fiji, FJI
138.267, 1912, Nov Average, Fiji, FJI
681.543, 1912, Dec Average, Fiji, FJI
317.59, 1913, Jan Average, Fiji, FJI
166.815, 1913, Feb Average, Fiji, FJI
750.309, 1913, Mar Average, Fiji, FJI
197.074, 1913, Apr Average, Fiji, FJI
76.1046, 1913, May Average, Fiji, FJI
48.74, 1913, Jun Average, Fiji, FJI
304.21, 1913, Jul Average, Fiji, FJI
74.2922, 1913, Aug Average, Fiji, FJI
152.019, 1913, Sep Average, Fiji, FJI
209.487, 1913, Oct Average, Fiji, FJI
136.504, 1913, Nov Average, Fiji, FJI
436.487, 1913, Dec Average, Fiji, FJI
198.949, 1914, Jan Average, Fiji, FJI
376.441, 1914, Feb Average, Fiji, FJI
369.262, 1914, Mar Average, Fiji, FJI
469.713, 1914, Apr Average, Fiji, FJI
309.96, 1914, May Average, Fiji, FJI
190.965, 1914, Jun Average, Fiji, FJI
36.8959, 1914, Jul Average, Fiji, FJI
279.563, 1914, Aug Average, Fiji, FJI
262.624, 1914, Sep Average, Fiji, FJI
141.894, 1914, Oct Average, Fiji, FJI
11.5808, 1914, Nov Average, Fiji, FJI
441.747, 1914, Dec Average, Fiji, FJI
141.946, 1915, Jan Average, Fiji, FJI
138.284, 1915, Feb Average, Fiji, FJI
758.512, 1915, Mar Average, Fiji, FJI
77.3826, 1915, Apr Average, Fiji, FJI
53.8751, 1915, May Average, Fiji, FJI
113.466, 1915, Jun Average, Fiji, FJI
