Rainfall - (MM), Year, Statistics, Country, ISO3
209.686, 1901, Jan Average, Faroe Islands, FRO
29.9911, 1901, Feb Average, Faroe Islands, FRO
108.756, 1901, Mar Average, Faroe Islands, FRO
79.9774, 1901, Apr Average, Faroe Islands, FRO
29.6584, 1901, May Average, Faroe Islands, FRO
72.0301, 1901, Jun Average, Faroe Islands, FRO
117.022, 1901, Jul Average, Faroe Islands, FRO
160.355, 1901, Aug Average, Faroe Islands, FRO
120.73, 1901, Sep Average, Faroe Islands, FRO
236.232, 1901, Oct Average, Faroe Islands, FRO
123.689, 1901, Nov Average, Faroe Islands, FRO
239.466, 1901, Dec Average, Faroe Islands, FRO
259.642, 1902, Jan Average, Faroe Islands, FRO
158.794, 1902, Feb Average, Faroe Islands, FRO
134.779, 1902, Mar Average, Faroe Islands, FRO
140.879, 1902, Apr Average, Faroe Islands, FRO
111.723, 1902, May Average, Faroe Islands, FRO
70.962, 1902, Jun Average, Faroe Islands, FRO
41.2686, 1902, Jul Average, Faroe Islands, FRO
65.0699, 1902, Aug Average, Faroe Islands, FRO
139.041, 1902, Sep Average, Faroe Islands, FRO
152.782, 1902, Oct Average, Faroe Islands, FRO
163.129, 1902, Nov Average, Faroe Islands, FRO
214.787, 1902, Dec Average, Faroe Islands, FRO
188.256, 1903, Jan Average, Faroe Islands, FRO
233.582, 1903, Feb Average, Faroe Islands, FRO
271.789, 1903, Mar Average, Faroe Islands, FRO
138.769, 1903, Apr Average, Faroe Islands, FRO
95.8844, 1903, May Average, Faroe Islands, FRO
41.4301, 1903, Jun Average, Faroe Islands, FRO
160.11, 1903, Jul Average, Faroe Islands, FRO
107.205, 1903, Aug Average, Faroe Islands, FRO
99.0637, 1903, Sep Average, Faroe Islands, FRO
196.18, 1903, Oct Average, Faroe Islands, FRO
248.128, 1903, Nov Average, Faroe Islands, FRO
183.514, 1903, Dec Average, Faroe Islands, FRO
242.121, 1904, Jan Average, Faroe Islands, FRO
157.938, 1904, Feb Average, Faroe Islands, FRO
158.537, 1904, Mar Average, Faroe Islands, FRO
166.707, 1904, Apr Average, Faroe Islands, FRO
74.2431, 1904, May Average, Faroe Islands, FRO
42.382, 1904, Jun Average, Faroe Islands, FRO
79.0142, 1904, Jul Average, Faroe Islands, FRO
128.147, 1904, Aug Average, Faroe Islands, FRO
93.9053, 1904, Sep Average, Faroe Islands, FRO
205.112, 1904, Oct Average, Faroe Islands, FRO
196.634, 1904, Nov Average, Faroe Islands, FRO
170.846, 1904, Dec Average, Faroe Islands, FRO
259.756, 1905, Jan Average, Faroe Islands, FRO
194.726, 1905, Feb Average, Faroe Islands, FRO
101.568, 1905, Mar Average, Faroe Islands, FRO
73.6804, 1905, Apr Average, Faroe Islands, FRO
82.1208, 1905, May Average, Faroe Islands, FRO
45.8779, 1905, Jun Average, Faroe Islands, FRO
141.122, 1905, Jul Average, Faroe Islands, FRO
86.3438, 1905, Aug Average, Faroe Islands, FRO
109.24, 1905, Sep Average, Faroe Islands, FRO
127.693, 1905, Oct Average, Faroe Islands, FRO
176.48, 1905, Nov Average, Faroe Islands, FRO
146.775, 1905, Dec Average, Faroe Islands, FRO
177.306, 1906, Jan Average, Faroe Islands, FRO
121.796, 1906, Feb Average, Faroe Islands, FRO
94.3117, 1906, Mar Average, Faroe Islands, FRO
130.566, 1906, Apr Average, Faroe Islands, FRO
70.012, 1906, May Average, Faroe Islands, FRO
53.4866, 1906, Jun Average, Faroe Islands, FRO
100.816, 1906, Jul Average, Faroe Islands, FRO
164.541, 1906, Aug Average, Faroe Islands, FRO
146.523, 1906, Sep Average, Faroe Islands, FRO
146.039, 1906, Oct Average, Faroe Islands, FRO
152.045, 1906, Nov Average, Faroe Islands, FRO
148.932, 1906, Dec Average, Faroe Islands, FRO
250.692, 1907, Jan Average, Faroe Islands, FRO
127.491, 1907, Feb Average, Faroe Islands, FRO
106.024, 1907, Mar Average, Faroe Islands, FRO
98.1851, 1907, Apr Average, Faroe Islands, FRO
74.8601, 1907, May Average, Faroe Islands, FRO
90.7689, 1907, Jun Average, Faroe Islands, FRO
33.8378, 1907, Jul Average, Faroe Islands, FRO
98.9626, 1907, Aug Average, Faroe Islands, FRO
124.315, 1907, Sep Average, Faroe Islands, FRO
118.536, 1907, Oct Average, Faroe Islands, FRO
120.031, 1907, Nov Average, Faroe Islands, FRO
115.004, 1907, Dec Average, Faroe Islands, FRO
175.463, 1908, Jan Average, Faroe Islands, FRO
175.318, 1908, Feb Average, Faroe Islands, FRO
111.997, 1908, Mar Average, Faroe Islands, FRO
50.7258, 1908, Apr Average, Faroe Islands, FRO
121.175, 1908, May Average, Faroe Islands, FRO
82.0716, 1908, Jun Average, Faroe Islands, FRO
75.5938, 1908, Jul Average, Faroe Islands, FRO
129.345, 1908, Aug Average, Faroe Islands, FRO
112.698, 1908, Sep Average, Faroe Islands, FRO
137.608, 1908, Oct Average, Faroe Islands, FRO
314.539, 1908, Nov Average, Faroe Islands, FRO
170.24, 1908, Dec Average, Faroe Islands, FRO
154.755, 1909, Jan Average, Faroe Islands, FRO
83.1412, 1909, Feb Average, Faroe Islands, FRO
49.9309, 1909, Mar Average, Faroe Islands, FRO
93.6537, 1909, Apr Average, Faroe Islands, FRO
87.1674, 1909, May Average, Faroe Islands, FRO
15.2632, 1909, Jun Average, Faroe Islands, FRO
93.4142, 1909, Jul Average, Faroe Islands, FRO
143.113, 1909, Aug Average, Faroe Islands, FRO
48.8811, 1909, Sep Average, Faroe Islands, FRO
225.335, 1909, Oct Average, Faroe Islands, FRO
233.461, 1909, Nov Average, Faroe Islands, FRO
145.662, 1909, Dec Average, Faroe Islands, FRO
195.883, 1910, Jan Average, Faroe Islands, FRO
182.705, 1910, Feb Average, Faroe Islands, FRO
91.7811, 1910, Mar Average, Faroe Islands, FRO
133.784, 1910, Apr Average, Faroe Islands, FRO
80.1124, 1910, May Average, Faroe Islands, FRO
47.044, 1910, Jun Average, Faroe Islands, FRO
93.6767, 1910, Jul Average, Faroe Islands, FRO
80.4371, 1910, Aug Average, Faroe Islands, FRO
104.205, 1910, Sep Average, Faroe Islands, FRO
94.2927, 1910, Oct Average, Faroe Islands, FRO
106.191, 1910, Nov Average, Faroe Islands, FRO
151.928, 1910, Dec Average, Faroe Islands, FRO
222.909, 1911, Jan Average, Faroe Islands, FRO
152.87, 1911, Feb Average, Faroe Islands, FRO
56.0856, 1911, Mar Average, Faroe Islands, FRO
92.815, 1911, Apr Average, Faroe Islands, FRO
98.9236, 1911, May Average, Faroe Islands, FRO
75.657, 1911, Jun Average, Faroe Islands, FRO
90.4756, 1911, Jul Average, Faroe Islands, FRO
83.7463, 1911, Aug Average, Faroe Islands, FRO
160.745, 1911, Sep Average, Faroe Islands, FRO
99.7105, 1911, Oct Average, Faroe Islands, FRO
122.392, 1911, Nov Average, Faroe Islands, FRO
175.657, 1911, Dec Average, Faroe Islands, FRO
121.68, 1912, Jan Average, Faroe Islands, FRO
159.703, 1912, Feb Average, Faroe Islands, FRO
115.154, 1912, Mar Average, Faroe Islands, FRO
81.7809, 1912, Apr Average, Faroe Islands, FRO
80.6831, 1912, May Average, Faroe Islands, FRO
41.5372, 1912, Jun Average, Faroe Islands, FRO
65.2006, 1912, Jul Average, Faroe Islands, FRO
94.5569, 1912, Aug Average, Faroe Islands, FRO
46.4336, 1912, Sep Average, Faroe Islands, FRO
207.315, 1912, Oct Average, Faroe Islands, FRO
200.504, 1912, Nov Average, Faroe Islands, FRO
233.663, 1912, Dec Average, Faroe Islands, FRO
168.29, 1913, Jan Average, Faroe Islands, FRO
137.56, 1913, Feb Average, Faroe Islands, FRO
150.756, 1913, Mar Average, Faroe Islands, FRO
102.1, 1913, Apr Average, Faroe Islands, FRO
109.145, 1913, May Average, Faroe Islands, FRO
64.0499, 1913, Jun Average, Faroe Islands, FRO
43.5427, 1913, Jul Average, Faroe Islands, FRO
72.9438, 1913, Aug Average, Faroe Islands, FRO
104.255, 1913, Sep Average, Faroe Islands, FRO
162.684, 1913, Oct Average, Faroe Islands, FRO
270.85, 1913, Nov Average, Faroe Islands, FRO
234.797, 1913, Dec Average, Faroe Islands, FRO
170.757, 1914, Jan Average, Faroe Islands, FRO
227.411, 1914, Feb Average, Faroe Islands, FRO
96.2939, 1914, Mar Average, Faroe Islands, FRO
69.2921, 1914, Apr Average, Faroe Islands, FRO
121.429, 1914, May Average, Faroe Islands, FRO
65.0042, 1914, Jun Average, Faroe Islands, FRO
69.4323, 1914, Jul Average, Faroe Islands, FRO
83.1155, 1914, Aug Average, Faroe Islands, FRO
118.844, 1914, Sep Average, Faroe Islands, FRO
123.225, 1914, Oct Average, Faroe Islands, FRO
194.489, 1914, Nov Average, Faroe Islands, FRO
130.131, 1914, Dec Average, Faroe Islands, FRO
223.337, 1915, Jan Average, Faroe Islands, FRO
153.816, 1915, Feb Average, Faroe Islands, FRO
74.4051, 1915, Mar Average, Faroe Islands, FRO
125.036, 1915, Apr Average, Faroe Islands, FRO
31.3402, 1915, May Average, Faroe Islands, FRO
