Rainfall - (MM), Year, Statistics, Country, ISO3
240.736, 1901, Jan Average, Federated States of Micronesia, FSM
217.61, 1901, Feb Average, Federated States of Micronesia, FSM
260.382, 1901, Mar Average, Federated States of Micronesia, FSM
310.427, 1901, Apr Average, Federated States of Micronesia, FSM
367.149, 1901, May Average, Federated States of Micronesia, FSM
344.558, 1901, Jun Average, Federated States of Micronesia, FSM
388.343, 1901, Jul Average, Federated States of Micronesia, FSM
364.464, 1901, Aug Average, Federated States of Micronesia, FSM
337.804, 1901, Sep Average, Federated States of Micronesia, FSM
377.447, 1901, Oct Average, Federated States of Micronesia, FSM
334.984, 1901, Nov Average, Federated States of Micronesia, FSM
320.748, 1901, Dec Average, Federated States of Micronesia, FSM
249.297, 1902, Jan Average, Federated States of Micronesia, FSM
202.123, 1902, Feb Average, Federated States of Micronesia, FSM
267.042, 1902, Mar Average, Federated States of Micronesia, FSM
309.827, 1902, Apr Average, Federated States of Micronesia, FSM
370.622, 1902, May Average, Federated States of Micronesia, FSM
346.201, 1902, Jun Average, Federated States of Micronesia, FSM
395.026, 1902, Jul Average, Federated States of Micronesia, FSM
365.961, 1902, Aug Average, Federated States of Micronesia, FSM
347.911, 1902, Sep Average, Federated States of Micronesia, FSM
349.951, 1902, Oct Average, Federated States of Micronesia, FSM
326.025, 1902, Nov Average, Federated States of Micronesia, FSM
315.828, 1902, Dec Average, Federated States of Micronesia, FSM
229.802, 1903, Jan Average, Federated States of Micronesia, FSM
195.807, 1903, Feb Average, Federated States of Micronesia, FSM
252.652, 1903, Mar Average, Federated States of Micronesia, FSM
310.289, 1903, Apr Average, Federated States of Micronesia, FSM
363.281, 1903, May Average, Federated States of Micronesia, FSM
348.169, 1903, Jun Average, Federated States of Micronesia, FSM
391.898, 1903, Jul Average, Federated States of Micronesia, FSM
357.54, 1903, Aug Average, Federated States of Micronesia, FSM
345.732, 1903, Sep Average, Federated States of Micronesia, FSM
373.653, 1903, Oct Average, Federated States of Micronesia, FSM
345.35, 1903, Nov Average, Federated States of Micronesia, FSM
330.983, 1903, Dec Average, Federated States of Micronesia, FSM
239.416, 1904, Jan Average, Federated States of Micronesia, FSM
200.866, 1904, Feb Average, Federated States of Micronesia, FSM
266.271, 1904, Mar Average, Federated States of Micronesia, FSM
319.143, 1904, Apr Average, Federated States of Micronesia, FSM
370.756, 1904, May Average, Federated States of Micronesia, FSM
349.089, 1904, Jun Average, Federated States of Micronesia, FSM
380.169, 1904, Jul Average, Federated States of Micronesia, FSM
363.436, 1904, Aug Average, Federated States of Micronesia, FSM
362.703, 1904, Sep Average, Federated States of Micronesia, FSM
357.803, 1904, Oct Average, Federated States of Micronesia, FSM
330.052, 1904, Nov Average, Federated States of Micronesia, FSM
314.105, 1904, Dec Average, Federated States of Micronesia, FSM
230.262, 1905, Jan Average, Federated States of Micronesia, FSM
200.211, 1905, Feb Average, Federated States of Micronesia, FSM
254.055, 1905, Mar Average, Federated States of Micronesia, FSM
306.321, 1905, Apr Average, Federated States of Micronesia, FSM
364.822, 1905, May Average, Federated States of Micronesia, FSM
354.108, 1905, Jun Average, Federated States of Micronesia, FSM
396.229, 1905, Jul Average, Federated States of Micronesia, FSM
364, 1905, Aug Average, Federated States of Micronesia, FSM
345.336, 1905, Sep Average, Federated States of Micronesia, FSM
360.984, 1905, Oct Average, Federated States of Micronesia, FSM
329.542, 1905, Nov Average, Federated States of Micronesia, FSM
322.195, 1905, Dec Average, Federated States of Micronesia, FSM
234.866, 1906, Jan Average, Federated States of Micronesia, FSM
206.779, 1906, Feb Average, Federated States of Micronesia, FSM
254.341, 1906, Mar Average, Federated States of Micronesia, FSM
307.361, 1906, Apr Average, Federated States of Micronesia, FSM
372.33, 1906, May Average, Federated States of Micronesia, FSM
345.536, 1906, Jun Average, Federated States of Micronesia, FSM
388.412, 1906, Jul Average, Federated States of Micronesia, FSM
357.521, 1906, Aug Average, Federated States of Micronesia, FSM
347.029, 1906, Sep Average, Federated States of Micronesia, FSM
355.354, 1906, Oct Average, Federated States of Micronesia, FSM
335.951, 1906, Nov Average, Federated States of Micronesia, FSM
325.689, 1906, Dec Average, Federated States of Micronesia, FSM
234.218, 1907, Jan Average, Federated States of Micronesia, FSM
212.314, 1907, Feb Average, Federated States of Micronesia, FSM
263.131, 1907, Mar Average, Federated States of Micronesia, FSM
304.395, 1907, Apr Average, Federated States of Micronesia, FSM
366.949, 1907, May Average, Federated States of Micronesia, FSM
354.651, 1907, Jun Average, Federated States of Micronesia, FSM
386.963, 1907, Jul Average, Federated States of Micronesia, FSM
377.138, 1907, Aug Average, Federated States of Micronesia, FSM
348.318, 1907, Sep Average, Federated States of Micronesia, FSM
349.951, 1907, Oct Average, Federated States of Micronesia, FSM
331.323, 1907, Nov Average, Federated States of Micronesia, FSM
323.425, 1907, Dec Average, Federated States of Micronesia, FSM
246.678, 1908, Jan Average, Federated States of Micronesia, FSM
197.088, 1908, Feb Average, Federated States of Micronesia, FSM
261.495, 1908, Mar Average, Federated States of Micronesia, FSM
308.539, 1908, Apr Average, Federated States of Micronesia, FSM
367.592, 1908, May Average, Federated States of Micronesia, FSM
349.348, 1908, Jun Average, Federated States of Micronesia, FSM
386.015, 1908, Jul Average, Federated States of Micronesia, FSM
367.49, 1908, Aug Average, Federated States of Micronesia, FSM
344.224, 1908, Sep Average, Federated States of Micronesia, FSM
358.312, 1908, Oct Average, Federated States of Micronesia, FSM
332.131, 1908, Nov Average, Federated States of Micronesia, FSM
322.109, 1908, Dec Average, Federated States of Micronesia, FSM
235.065, 1909, Jan Average, Federated States of Micronesia, FSM
196.348, 1909, Feb Average, Federated States of Micronesia, FSM
257.869, 1909, Mar Average, Federated States of Micronesia, FSM
310.387, 1909, Apr Average, Federated States of Micronesia, FSM
366.758, 1909, May Average, Federated States of Micronesia, FSM
349.6, 1909, Jun Average, Federated States of Micronesia, FSM
390.922, 1909, Jul Average, Federated States of Micronesia, FSM
361.704, 1909, Aug Average, Federated States of Micronesia, FSM
345.332, 1909, Sep Average, Federated States of Micronesia, FSM
360.269, 1909, Oct Average, Federated States of Micronesia, FSM
337.751, 1909, Nov Average, Federated States of Micronesia, FSM
323.536, 1909, Dec Average, Federated States of Micronesia, FSM
236.6, 1910, Jan Average, Federated States of Micronesia, FSM
200.813, 1910, Feb Average, Federated States of Micronesia, FSM
257.816, 1910, Mar Average, Federated States of Micronesia, FSM
313.233, 1910, Apr Average, Federated States of Micronesia, FSM
366.758, 1910, May Average, Federated States of Micronesia, FSM
346.298, 1910, Jun Average, Federated States of Micronesia, FSM
383.316, 1910, Jul Average, Federated States of Micronesia, FSM
355.418, 1910, Aug Average, Federated States of Micronesia, FSM
347.331, 1910, Sep Average, Federated States of Micronesia, FSM
355.132, 1910, Oct Average, Federated States of Micronesia, FSM
333.778, 1910, Nov Average, Federated States of Micronesia, FSM
320.39, 1910, Dec Average, Federated States of Micronesia, FSM
229.106, 1911, Jan Average, Federated States of Micronesia, FSM
211.131, 1911, Feb Average, Federated States of Micronesia, FSM
266.182, 1911, Mar Average, Federated States of Micronesia, FSM
311.467, 1911, Apr Average, Federated States of Micronesia, FSM
367.319, 1911, May Average, Federated States of Micronesia, FSM
349.6, 1911, Jun Average, Federated States of Micronesia, FSM
382.254, 1911, Jul Average, Federated States of Micronesia, FSM
360.567, 1911, Aug Average, Federated States of Micronesia, FSM
341.903, 1911, Sep Average, Federated States of Micronesia, FSM
359.897, 1911, Oct Average, Federated States of Micronesia, FSM
324.407, 1911, Nov Average, Federated States of Micronesia, FSM
316.835, 1911, Dec Average, Federated States of Micronesia, FSM
230.31, 1912, Jan Average, Federated States of Micronesia, FSM
197.397, 1912, Feb Average, Federated States of Micronesia, FSM
252.227, 1912, Mar Average, Federated States of Micronesia, FSM
307.071, 1912, Apr Average, Federated States of Micronesia, FSM
366.709, 1912, May Average, Federated States of Micronesia, FSM
342.853, 1912, Jun Average, Federated States of Micronesia, FSM
392.95, 1912, Jul Average, Federated States of Micronesia, FSM
361.907, 1912, Aug Average, Federated States of Micronesia, FSM
344.978, 1912, Sep Average, Federated States of Micronesia, FSM
361.088, 1912, Oct Average, Federated States of Micronesia, FSM
337.189, 1912, Nov Average, Federated States of Micronesia, FSM
319.578, 1912, Dec Average, Federated States of Micronesia, FSM
228.621, 1913, Jan Average, Federated States of Micronesia, FSM
198.414, 1913, Feb Average, Federated States of Micronesia, FSM
253.19, 1913, Mar Average, Federated States of Micronesia, FSM
314.383, 1913, Apr Average, Federated States of Micronesia, FSM
360.963, 1913, May Average, Federated States of Micronesia, FSM
340.671, 1913, Jun Average, Federated States of Micronesia, FSM
393.399, 1913, Jul Average, Federated States of Micronesia, FSM
363.928, 1913, Aug Average, Federated States of Micronesia, FSM
346.81, 1913, Sep Average, Federated States of Micronesia, FSM
363.764, 1913, Oct Average, Federated States of Micronesia, FSM
322.117, 1913, Nov Average, Federated States of Micronesia, FSM
317.315, 1913, Dec Average, Federated States of Micronesia, FSM
229.704, 1914, Jan Average, Federated States of Micronesia, FSM
206.405, 1914, Feb Average, Federated States of Micronesia, FSM
255.282, 1914, Mar Average, Federated States of Micronesia, FSM
306.41, 1914, Apr Average, Federated States of Micronesia, FSM
362.244, 1914, May Average, Federated States of Micronesia, FSM
344.765, 1914, Jun Average, Federated States of Micronesia, FSM
387.059, 1914, Jul Average, Federated States of Micronesia, FSM
357.097, 1914, Aug Average, Federated States of Micronesia, FSM
339.372, 1914, Sep Average, Federated States of Micronesia, FSM
351.796, 1914, Oct Average, Federated States of Micronesia, FSM
326.273, 1914, Nov Average, Federated States of Micronesia, FSM
314.706, 1914, Dec Average, Federated States of Micronesia, FSM
231.15, 1915, Jan Average, Federated States of Micronesia, FSM
194.762, 1915, Feb Average, Federated States of Micronesia, FSM
254.341, 1915, Mar Average, Federated States of Micronesia, FSM
306.663, 1915, Apr Average, Federated States of Micronesia, FSM
370.126, 1915, May Average, Federated States of Micronesia, FSM
352.388, 1915, Jun Average, Federated States of Micronesia, FSM
388.315, 1915, Jul Average, Federated States of Micronesia, FSM
365.357, 1915, Aug Average, Federated States of Micronesia, FSM
336.769, 1915, Sep Average, Federated States of Micronesia, FSM
361.347, 1915, Oct Average, Federated States of Micronesia, FSM
331.581, 1915, Nov Average, Federated States of Micronesia, FSM
328.822, 1915, Dec Average, Federated States of Micronesia, FSM
247.314, 1916, Jan Average, Federated States of Micronesia, FSM
218.264, 1916, Feb Average, Federated States of Micronesia, FSM
264.82, 1916, Mar Average, Federated States of Micronesia, FSM
312.769, 1916, Apr Average, Federated States of Micronesia, FSM
371.687, 1916, May Average, Federated States of Micronesia, FSM
352.603, 1916, Jun Average, Federated States of Micronesia, FSM
385.518, 1916, Jul Average, Federated States of Micronesia, FSM
356.233, 1916, Aug Average, Federated States of Micronesia, FSM
350.482, 1916, Sep Average, Federated States of Micronesia, FSM
364.591, 1916, Oct Average, Federated States of Micronesia, FSM
337.989, 1916, Nov Average, Federated States of Micronesia, FSM
318.903, 1916, Dec Average, Federated States of Micronesia, FSM
239.535, 1917, Jan Average, Federated States of Micronesia, FSM
199.67, 1917, Feb Average, Federated States of Micronesia, FSM
258.86, 1917, Mar Average, Federated States of Micronesia, FSM
306.623, 1917, Apr Average, Federated States of Micronesia, FSM
370.569, 1917, May Average, Federated States of Micronesia, FSM
344.976, 1917, Jun Average, Federated States of Micronesia, FSM
390.209, 1917, Jul Average, Federated States of Micronesia, FSM
355.487, 1917, Aug Average, Federated States of Micronesia, FSM
350.353, 1917, Sep Average, Federated States of Micronesia, FSM
355.455, 1917, Oct Average, Federated States of Micronesia, FSM
335.857, 1917, Nov Average, Federated States of Micronesia, FSM
322.601, 1917, Dec Average, Federated States of Micronesia, FSM
241.957, 1918, Jan Average, Federated States of Micronesia, FSM
204.421, 1918, Feb Average, Federated States of Micronesia, FSM
255.744, 1918, Mar Average, Federated States of Micronesia, FSM
319.053, 1918, Apr Average, Federated States of Micronesia, FSM
360.332, 1918, May Average, Federated States of Micronesia, FSM
345.544, 1918, Jun Average, Federated States of Micronesia, FSM
396.258, 1918, Jul Average, Federated States of Micronesia, FSM
364.392, 1918, Aug Average, Federated States of Micronesia, FSM
339.327, 1918, Sep Average, Federated States of Micronesia, FSM
356.028, 1918, Oct Average, Federated States of Micronesia, FSM
330.602, 1918, Nov Average, Federated States of Micronesia, FSM
318.363, 1918, Dec Average, Federated States of Micronesia, FSM
230.173, 1919, Jan Average, Federated States of Micronesia, FSM
196.978, 1919, Feb Average, Federated States of Micronesia, FSM
253.823, 1919, Mar Average, Federated States of Micronesia, FSM
306.223, 1919, Apr Average, Federated States of Micronesia, FSM
365.217, 1919, May Average, Federated States of Micronesia, FSM
351.28, 1919, Jun Average, Federated States of Micronesia, FSM
393.246, 1919, Jul Average, Federated States of Micronesia, FSM
365.586, 1919, Aug Average, Federated States of Micronesia, FSM
342.1, 1919, Sep Average, Federated States of Micronesia, FSM
359.736, 1919, Oct Average, Federated States of Micronesia, FSM
333.762, 1919, Nov Average, Federated States of Micronesia, FSM
319.464, 1919, Dec Average, Federated States of Micronesia, FSM
240.317, 1920, Jan Average, Federated States of Micronesia, FSM
207.027, 1920, Feb Average, Federated States of Micronesia, FSM
255.307, 1920, Mar Average, Federated States of Micronesia, FSM
306.663, 1920, Apr Average, Federated States of Micronesia, FSM
366.156, 1920, May Average, Federated States of Micronesia, FSM
347.466, 1920, Jun Average, Federated States of Micronesia, FSM
408.577, 1920, Jul Average, Federated States of Micronesia, FSM
358.316, 1920, Aug Average, Federated States of Micronesia, FSM
339.392, 1920, Sep Average, Federated States of Micronesia, FSM
358.127, 1920, Oct Average, Federated States of Micronesia, FSM
332.155, 1920, Nov Average, Federated States of Micronesia, FSM
335.351, 1920, Dec Average, Federated States of Micronesia, FSM
232.081, 1921, Jan Average, Federated States of Micronesia, FSM
196.018, 1921, Feb Average, Federated States of Micronesia, FSM
257.869, 1921, Mar Average, Federated States of Micronesia, FSM
314.665, 1921, Apr Average, Federated States of Micronesia, FSM
371.643, 1921, May Average, Federated States of Micronesia, FSM
344.928, 1921, Jun Average, Federated States of Micronesia, FSM
384.672, 1921, Jul Average, Federated States of Micronesia, FSM
357.359, 1921, Aug Average, Federated States of Micronesia, FSM
342.402, 1921, Sep Average, Federated States of Micronesia, FSM
357.933, 1921, Oct Average, Federated States of Micronesia, FSM
338.771, 1921, Nov Average, Federated States of Micronesia, FSM
326.091, 1921, Dec Average, Federated States of Micronesia, FSM
240.068, 1922, Jan Average, Federated States of Micronesia, FSM
197.633, 1922, Feb Average, Federated States of Micronesia, FSM
260.655, 1922, Mar Average, Federated States of Micronesia, FSM
306.908, 1922, Apr Average, Federated States of Micronesia, FSM
362.285, 1922, May Average, Federated States of Micronesia, FSM
346.156, 1922, Jun Average, Federated States of Micronesia, FSM
387.971, 1922, Jul Average, Federated States of Micronesia, FSM
365.595, 1922, Aug Average, Federated States of Micronesia, FSM
352.436, 1922, Sep Average, Federated States of Micronesia, FSM
352.098, 1922, Oct Average, Federated States of Micronesia, FSM
332.075, 1922, Nov Average, Federated States of Micronesia, FSM
323.474, 1922, Dec Average, Federated States of Micronesia, FSM
243.508, 1923, Jan Average, Federated States of Micronesia, FSM
202.387, 1923, Feb Average, Federated States of Micronesia, FSM
258.628, 1923, Mar Average, Federated States of Micronesia, FSM
309.571, 1923, Apr Average, Federated States of Micronesia, FSM
369.113, 1923, May Average, Federated States of Micronesia, FSM
357.389, 1923, Jun Average, Federated States of Micronesia, FSM
401.917, 1923, Jul Average, Federated States of Micronesia, FSM
374.684, 1923, Aug Average, Federated States of Micronesia, FSM
344.196, 1923, Sep Average, Federated States of Micronesia, FSM
354.325, 1923, Oct Average, Federated States of Micronesia, FSM
329.991, 1923, Nov Average, Federated States of Micronesia, FSM
319.042, 1923, Dec Average, Federated States of Micronesia, FSM
230.351, 1924, Jan Average, Federated States of Micronesia, FSM
195.477, 1924, Feb Average, Federated States of Micronesia, FSM
252.138, 1924, Mar Average, Federated States of Micronesia, FSM
307.047, 1924, Apr Average, Federated States of Micronesia, FSM
366.291, 1924, May Average, Federated States of Micronesia, FSM
346.4, 1924, Jun Average, Federated States of Micronesia, FSM
396.379, 1924, Jul Average, Federated States of Micronesia, FSM
358.041, 1924, Aug Average, Federated States of Micronesia, FSM
343.201, 1924, Sep Average, Federated States of Micronesia, FSM
364.49, 1924, Oct Average, Federated States of Micronesia, FSM
332.39, 1924, Nov Average, Federated States of Micronesia, FSM
328.033, 1924, Dec Average, Federated States of Micronesia, FSM
231.845, 1925, Jan Average, Federated States of Micronesia, FSM
199.154, 1925, Feb Average, Federated States of Micronesia, FSM
252.672, 1925, Mar Average, Federated States of Micronesia, FSM
308.939, 1925, Apr Average, Federated States of Micronesia, FSM
365.55, 1925, May Average, Federated States of Micronesia, FSM
