Rainfall - (MM), Year, Statistics, Country, ISO3
170.948, 1901, Jan Average, Gabon, GAB
128.359, 1901, Feb Average, Gabon, GAB
278.983, 1901, Mar Average, Gabon, GAB
244.264, 1901, Apr Average, Gabon, GAB
219.07, 1901, May Average, Gabon, GAB
61.0609, 1901, Jun Average, Gabon, GAB
17.568, 1901, Jul Average, Gabon, GAB
10.8277, 1901, Aug Average, Gabon, GAB
62.1592, 1901, Sep Average, Gabon, GAB
179.747, 1901, Oct Average, Gabon, GAB
226.558, 1901, Nov Average, Gabon, GAB
117.371, 1901, Dec Average, Gabon, GAB
128.525, 1902, Jan Average, Gabon, GAB
92.0594, 1902, Feb Average, Gabon, GAB
246.653, 1902, Mar Average, Gabon, GAB
226.34, 1902, Apr Average, Gabon, GAB
185.572, 1902, May Average, Gabon, GAB
25.439, 1902, Jun Average, Gabon, GAB
6.2766, 1902, Jul Average, Gabon, GAB
32.5843, 1902, Aug Average, Gabon, GAB
67.7502, 1902, Sep Average, Gabon, GAB
233.337, 1902, Oct Average, Gabon, GAB
236.29, 1902, Nov Average, Gabon, GAB
193.744, 1902, Dec Average, Gabon, GAB
123.38, 1903, Jan Average, Gabon, GAB
126.174, 1903, Feb Average, Gabon, GAB
298.438, 1903, Mar Average, Gabon, GAB
223.395, 1903, Apr Average, Gabon, GAB
202.659, 1903, May Average, Gabon, GAB
25.3556, 1903, Jun Average, Gabon, GAB
19.1902, 1903, Jul Average, Gabon, GAB
24.4515, 1903, Aug Average, Gabon, GAB
174.344, 1903, Sep Average, Gabon, GAB
279.491, 1903, Oct Average, Gabon, GAB
197.759, 1903, Nov Average, Gabon, GAB
150.795, 1903, Dec Average, Gabon, GAB
142.982, 1904, Jan Average, Gabon, GAB
126.193, 1904, Feb Average, Gabon, GAB
237.997, 1904, Mar Average, Gabon, GAB
245.201, 1904, Apr Average, Gabon, GAB
162.247, 1904, May Average, Gabon, GAB
78.4138, 1904, Jun Average, Gabon, GAB
6.99484, 1904, Jul Average, Gabon, GAB
11.7571, 1904, Aug Average, Gabon, GAB
43.1749, 1904, Sep Average, Gabon, GAB
215.334, 1904, Oct Average, Gabon, GAB
293.448, 1904, Nov Average, Gabon, GAB
81.4426, 1904, Dec Average, Gabon, GAB
136.845, 1905, Jan Average, Gabon, GAB
174.101, 1905, Feb Average, Gabon, GAB
