Rainfall - (MM), Year, Statistics, Country, ISO3
62.4859, 1901, Jan Average, Georgia, GEO
45.8484, 1901, Feb Average, Georgia, GEO
54.5778, 1901, Mar Average, Georgia, GEO
49.6217, 1901, Apr Average, Georgia, GEO
156.926, 1901, May Average, Georgia, GEO
117.531, 1901, Jun Average, Georgia, GEO
115.529, 1901, Jul Average, Georgia, GEO
63.4455, 1901, Aug Average, Georgia, GEO
93.9719, 1901, Sep Average, Georgia, GEO
73.8103, 1901, Oct Average, Georgia, GEO
93.8746, 1901, Nov Average, Georgia, GEO
56.9019, 1901, Dec Average, Georgia, GEO
48.9427, 1902, Jan Average, Georgia, GEO
47.2588, 1902, Feb Average, Georgia, GEO
58.8962, 1902, Mar Average, Georgia, GEO
77.5047, 1902, Apr Average, Georgia, GEO
110.161, 1902, May Average, Georgia, GEO
92.2414, 1902, Jun Average, Georgia, GEO
86.1597, 1902, Jul Average, Georgia, GEO
130.323, 1902, Aug Average, Georgia, GEO
87.6855, 1902, Sep Average, Georgia, GEO
76.1524, 1902, Oct Average, Georgia, GEO
68.1697, 1902, Nov Average, Georgia, GEO
75.2347, 1902, Dec Average, Georgia, GEO
75.9968, 1903, Jan Average, Georgia, GEO
79.8345, 1903, Feb Average, Georgia, GEO
26.011, 1903, Mar Average, Georgia, GEO
56.4953, 1903, Apr Average, Georgia, GEO
102.642, 1903, May Average, Georgia, GEO
130.681, 1903, Jun Average, Georgia, GEO
157.168, 1903, Jul Average, Georgia, GEO
87.4596, 1903, Aug Average, Georgia, GEO
75.6056, 1903, Sep Average, Georgia, GEO
52.0706, 1903, Oct Average, Georgia, GEO
38.629, 1903, Nov Average, Georgia, GEO
35.832, 1903, Dec Average, Georgia, GEO
40.8862, 1904, Jan Average, Georgia, GEO
34.9443, 1904, Feb Average, Georgia, GEO
76.5137, 1904, Mar Average, Georgia, GEO
68.3153, 1904, Apr Average, Georgia, GEO
152.015, 1904, May Average, Georgia, GEO
89.0142, 1904, Jun Average, Georgia, GEO
80.9747, 1904, Jul Average, Georgia, GEO
52.8819, 1904, Aug Average, Georgia, GEO
94.033, 1904, Sep Average, Georgia, GEO
74.2202, 1904, Oct Average, Georgia, GEO
99.5346, 1904, Nov Average, Georgia, GEO
87.4332, 1904, Dec Average, Georgia, GEO
69.8663, 1905, Jan Average, Georgia, GEO
18.9238, 1905, Feb Average, Georgia, GEO
28.2681, 1905, Mar Average, Georgia, GEO
99.2329, 1905, Apr Average, Georgia, GEO
110.58, 1905, May Average, Georgia, GEO
134.207, 1905, Jun Average, Georgia, GEO
81.9244, 1905, Jul Average, Georgia, GEO
88.3854, 1905, Aug Average, Georgia, GEO
40.7143, 1905, Sep Average, Georgia, GEO
65.4133, 1905, Oct Average, Georgia, GEO
61.7544, 1905, Nov Average, Georgia, GEO
89.1171, 1905, Dec Average, Georgia, GEO
50.7749, 1906, Jan Average, Georgia, GEO
27.5379, 1906, Feb Average, Georgia, GEO
63.1419, 1906, Mar Average, Georgia, GEO
35.9659, 1906, Apr Average, Georgia, GEO
156.714, 1906, May Average, Georgia, GEO
80.4691, 1906, Jun Average, Georgia, GEO
149.599, 1906, Jul Average, Georgia, GEO
68.032, 1906, Aug Average, Georgia, GEO
79.4452, 1906, Sep Average, Georgia, GEO
71.5249, 1906, Oct Average, Georgia, GEO
54.822, 1906, Nov Average, Georgia, GEO
102.741, 1906, Dec Average, Georgia, GEO
82.3153, 1907, Jan Average, Georgia, GEO
50.8756, 1907, Feb Average, Georgia, GEO
41.8569, 1907, Mar Average, Georgia, GEO
77.3151, 1907, Apr Average, Georgia, GEO
38.6754, 1907, May Average, Georgia, GEO
93.8195, 1907, Jun Average, Georgia, GEO
