Rainfall - (MM), Year, Statistics, Country, ISO3
14.8949, 1901, Jan Average, Ghana, GHA
77.5442, 1901, Feb Average, Ghana, GHA
53.0231, 1901, Mar Average, Ghana, GHA
110.005, 1901, Apr Average, Ghana, GHA
146.914, 1901, May Average, Ghana, GHA
143.779, 1901, Jun Average, Ghana, GHA
94.3852, 1901, Jul Average, Ghana, GHA
149.363, 1901, Aug Average, Ghana, GHA
220.271, 1901, Sep Average, Ghana, GHA
180.238, 1901, Oct Average, Ghana, GHA
40.4545, 1901, Nov Average, Ghana, GHA
10.6037, 1901, Dec Average, Ghana, GHA
5.00495, 1902, Jan Average, Ghana, GHA
44.197, 1902, Feb Average, Ghana, GHA
82.5277, 1902, Mar Average, Ghana, GHA
156.247, 1902, Apr Average, Ghana, GHA
207.637, 1902, May Average, Ghana, GHA
171.555, 1902, Jun Average, Ghana, GHA
135.131, 1902, Jul Average, Ghana, GHA
124.8, 1902, Aug Average, Ghana, GHA
100.092, 1902, Sep Average, Ghana, GHA
82.2761, 1902, Oct Average, Ghana, GHA
35.5345, 1902, Nov Average, Ghana, GHA
13.587, 1902, Dec Average, Ghana, GHA
11.03, 1903, Jan Average, Ghana, GHA
50.4687, 1903, Feb Average, Ghana, GHA
31.1779, 1903, Mar Average, Ghana, GHA
100.409, 1903, Apr Average, Ghana, GHA
134.224, 1903, May Average, Ghana, GHA
120.336, 1903, Jun Average, Ghana, GHA
99.3901, 1903, Jul Average, Ghana, GHA
135.662, 1903, Aug Average, Ghana, GHA
118.477, 1903, Sep Average, Ghana, GHA
112.171, 1903, Oct Average, Ghana, GHA
54.4693, 1903, Nov Average, Ghana, GHA
11.7241, 1903, Dec Average, Ghana, GHA
7.36492, 1904, Jan Average, Ghana, GHA
16.3561, 1904, Feb Average, Ghana, GHA
50.3122, 1904, Mar Average, Ghana, GHA
79.7798, 1904, Apr Average, Ghana, GHA
151.601, 1904, May Average, Ghana, GHA
175.322, 1904, Jun Average, Ghana, GHA
105.395, 1904, Jul Average, Ghana, GHA
72.5638, 1904, Aug Average, Ghana, GHA
118.141, 1904, Sep Average, Ghana, GHA
94.0455, 1904, Oct Average, Ghana, GHA
24.1636, 1904, Nov Average, Ghana, GHA
34.2907, 1904, Dec Average, Ghana, GHA
