Rainfall - (MM), Year, Statistics, Country, ISO3
2.65121, 1901, Jan Average, Guinea, GIN
9.29495, 1901, Feb Average, Guinea, GIN
23.8024, 1901, Mar Average, Guinea, GIN
64.208, 1901, Apr Average, Guinea, GIN
241.544, 1901, May Average, Guinea, GIN
210.121, 1901, Jun Average, Guinea, GIN
326.617, 1901, Jul Average, Guinea, GIN
454.16, 1901, Aug Average, Guinea, GIN
324.522, 1901, Sep Average, Guinea, GIN
189.19, 1901, Oct Average, Guinea, GIN
30.4621, 1901, Nov Average, Guinea, GIN
6.06266, 1901, Dec Average, Guinea, GIN
2.65121, 1902, Jan Average, Guinea, GIN
9.29495, 1902, Feb Average, Guinea, GIN
23.8024, 1902, Mar Average, Guinea, GIN
51.9804, 1902, Apr Average, Guinea, GIN
127.573, 1902, May Average, Guinea, GIN
205.048, 1902, Jun Average, Guinea, GIN
281.549, 1902, Jul Average, Guinea, GIN
375.476, 1902, Aug Average, Guinea, GIN
229.329, 1902, Sep Average, Guinea, GIN
228.777, 1902, Oct Average, Guinea, GIN
35.3019, 1902, Nov Average, Guinea, GIN
6.06266, 1902, Dec Average, Guinea, GIN
13.3899, 1903, Jan Average, Guinea, GIN
9.29495, 1903, Feb Average, Guinea, GIN
28.5079, 1903, Mar Average, Guinea, GIN
34.1464, 1903, Apr Average, Guinea, GIN
137.087, 1903, May Average, Guinea, GIN
231.828, 1903, Jun Average, Guinea, GIN
396.22, 1903, Jul Average, Guinea, GIN
353.687, 1903, Aug Average, Guinea, GIN
298.23, 1903, Sep Average, Guinea, GIN
181.406, 1903, Oct Average, Guinea, GIN
54.0859, 1903, Nov Average, Guinea, GIN
13.3441, 1903, Dec Average, Guinea, GIN
6.36427, 1904, Jan Average, Guinea, GIN
9.29495, 1904, Feb Average, Guinea, GIN
29.6414, 1904, Mar Average, Guinea, GIN
38.6678, 1904, Apr Average, Guinea, GIN
134.904, 1904, May Average, Guinea, GIN
229.762, 1904, Jun Average, Guinea, GIN
510.008, 1904, Jul Average, Guinea, GIN
480.936, 1904, Aug Average, Guinea, GIN
328.929, 1904, Sep Average, Guinea, GIN
296.573, 1904, Oct Average, Guinea, GIN
32.699, 1904, Nov Average, Guinea, GIN
6.06266, 1904, Dec Average, Guinea, GIN
1.44383, 1905, Jan Average, Guinea, GIN
5.28987, 1905, Feb Average, Guinea, GIN
14.3718, 1905, Mar Average, Guinea, GIN
68.7103, 1905, Apr Average, Guinea, GIN
121.48, 1905, May Average, Guinea, GIN
312.21, 1905, Jun Average, Guinea, GIN
364.851, 1905, Jul Average, Guinea, GIN
337.75, 1905, Aug Average, Guinea, GIN
418.973, 1905, Sep Average, Guinea, GIN
321.059, 1905, Oct Average, Guinea, GIN
62.1955, 1905, Nov Average, Guinea, GIN
5.02155, 1905, Dec Average, Guinea, GIN
15.7646, 1906, Jan Average, Guinea, GIN
17.5592, 1906, Feb Average, Guinea, GIN
26.3849, 1906, Mar Average, Guinea, GIN
118.577, 1906, Apr Average, Guinea, GIN
257.01, 1906, May Average, Guinea, GIN
344.137, 1906, Jun Average, Guinea, GIN
210.055, 1906, Jul Average, Guinea, GIN
601.782, 1906, Aug Average, Guinea, GIN
455.4, 1906, Sep Average, Guinea, GIN
185.411, 1906, Oct Average, Guinea, GIN
72.8138, 1906, Nov Average, Guinea, GIN
26.0533, 1906, Dec Average, Guinea, GIN
1.13612, 1907, Jan Average, Guinea, GIN
4.23486, 1907, Feb Average, Guinea, GIN
15.7685, 1907, Mar Average, Guinea, GIN
45.3116, 1907, Apr Average, Guinea, GIN
130.953, 1907, May Average, Guinea, GIN
281.183, 1907, Jun Average, Guinea, GIN
104.922, 1907, Jul Average, Guinea, GIN
473.08, 1907, Aug Average, Guinea, GIN
326.066, 1907, Sep Average, Guinea, GIN
232.467, 1907, Oct Average, Guinea, GIN
70.5026, 1907, Nov Average, Guinea, GIN
1.51306, 1907, Dec Average, Guinea, GIN
2.49992, 1908, Jan Average, Guinea, GIN
4.15765, 1908, Feb Average, Guinea, GIN
19.7746, 1908, Mar Average, Guinea, GIN
70.4893, 1908, Apr Average, Guinea, GIN
120.141, 1908, May Average, Guinea, GIN
188.636, 1908, Jun Average, Guinea, GIN
220.945, 1908, Jul Average, Guinea, GIN
630.357, 1908, Aug Average, Guinea, GIN
499.107, 1908, Sep Average, Guinea, GIN
128.526, 1908, Oct Average, Guinea, GIN
29.7975, 1908, Nov Average, Guinea, GIN
1.16918, 1908, Dec Average, Guinea, GIN
8.41134, 1909, Jan Average, Guinea, GIN
12.458, 1909, Feb Average, Guinea, GIN
29.6922, 1909, Mar Average, Guinea, GIN
89.9052, 1909, Apr Average, Guinea, GIN
181.116, 1909, May Average, Guinea, GIN
268.788, 1909, Jun Average, Guinea, GIN
303.476, 1909, Jul Average, Guinea, GIN
449.573, 1909, Aug Average, Guinea, GIN
403.556, 1909, Sep Average, Guinea, GIN
184.923, 1909, Oct Average, Guinea, GIN
28.8606, 1909, Nov Average, Guinea, GIN
15.8106, 1909, Dec Average, Guinea, GIN
0.42475, 1910, Jan Average, Guinea, GIN
9.45551, 1910, Feb Average, Guinea, GIN
36.7911, 1910, Mar Average, Guinea, GIN
40.9512, 1910, Apr Average, Guinea, GIN
92.7072, 1910, May Average, Guinea, GIN
239.796, 1910, Jun Average, Guinea, GIN
199.113, 1910, Jul Average, Guinea, GIN
451.628, 1910, Aug Average, Guinea, GIN
472.493, 1910, Sep Average, Guinea, GIN
