Rainfall - (MM), Year, Statistics, Country, ISO3
0, 1901, Jan Average, Gambia, The, GMB
0, 1901, Feb Average, Gambia, The, GMB
0, 1901, Mar Average, Gambia, The, GMB
0.80232, 1901, Apr Average, Gambia, The, GMB
35.565, 1901, May Average, Gambia, The, GMB
161.514, 1901, Jun Average, Gambia, The, GMB
387.094, 1901, Jul Average, Gambia, The, GMB
412.96, 1901, Aug Average, Gambia, The, GMB
186.599, 1901, Sep Average, Gambia, The, GMB
84.5268, 1901, Oct Average, Gambia, The, GMB
4.79167, 1901, Nov Average, Gambia, The, GMB
0, 1901, Dec Average, Gambia, The, GMB
0, 1902, Jan Average, Gambia, The, GMB
0, 1902, Feb Average, Gambia, The, GMB
0, 1902, Mar Average, Gambia, The, GMB
0.22326, 1902, Apr Average, Gambia, The, GMB
30.603, 1902, May Average, Gambia, The, GMB
58.3288, 1902, Jun Average, Gambia, The, GMB
190.555, 1902, Jul Average, Gambia, The, GMB
302.919, 1902, Aug Average, Gambia, The, GMB
129.62, 1902, Sep Average, Gambia, The, GMB
117.611, 1902, Oct Average, Gambia, The, GMB
0.4506, 1902, Nov Average, Gambia, The, GMB
0, 1902, Dec Average, Gambia, The, GMB
0, 1903, Jan Average, Gambia, The, GMB
0, 1903, Feb Average, Gambia, The, GMB
0, 1903, Mar Average, Gambia, The, GMB
0.31338, 1903, Apr Average, Gambia, The, GMB
5.44647, 1903, May Average, Gambia, The, GMB
197.366, 1903, Jun Average, Gambia, The, GMB
174.468, 1903, Jul Average, Gambia, The, GMB
444.059, 1903, Aug Average, Gambia, The, GMB
142.644, 1903, Sep Average, Gambia, The, GMB
84.0423, 1903, Oct Average, Gambia, The, GMB
0, 1903, Nov Average, Gambia, The, GMB
0, 1903, Dec Average, Gambia, The, GMB
0, 1904, Jan Average, Gambia, The, GMB
0, 1904, Feb Average, Gambia, The, GMB
0, 1904, Mar Average, Gambia, The, GMB
0.21181, 1904, Apr Average, Gambia, The, GMB
5.04135, 1904, May Average, Gambia, The, GMB
125.096, 1904, Jun Average, Gambia, The, GMB
261.066, 1904, Jul Average, Gambia, The, GMB
429.872, 1904, Aug Average, Gambia, The, GMB
153.935, 1904, Sep Average, Gambia, The, GMB
71.5164, 1904, Oct Average, Gambia, The, GMB
3.31896, 1904, Nov Average, Gambia, The, GMB
0, 1904, Dec Average, Gambia, The, GMB
0, 1905, Jan Average, Gambia, The, GMB
0, 1905, Feb Average, Gambia, The, GMB
0.06929, 1905, Mar Average, Gambia, The, GMB
0.42261, 1905, Apr Average, Gambia, The, GMB
16.0704, 1905, May Average, Gambia, The, GMB
145.288, 1905, Jun Average, Gambia, The, GMB
343.207, 1905, Jul Average, Gambia, The, GMB
347.447, 1905, Aug Average, Gambia, The, GMB
196.63, 1905, Sep Average, Gambia, The, GMB
164.954, 1905, Oct Average, Gambia, The, GMB
16.4121, 1905, Nov Average, Gambia, The, GMB
0, 1905, Dec Average, Gambia, The, GMB
0.00735, 1906, Jan Average, Gambia, The, GMB
0.08519, 1906, Feb Average, Gambia, The, GMB
0, 1906, Mar Average, Gambia, The, GMB
1.32403, 1906, Apr Average, Gambia, The, GMB
19.2043, 1906, May Average, Gambia, The, GMB
145.377, 1906, Jun Average, Gambia, The, GMB
408.118, 1906, Jul Average, Gambia, The, GMB
572.315, 1906, Aug Average, Gambia, The, GMB
254.416, 1906, Sep Average, Gambia, The, GMB
104.152, 1906, Oct Average, Gambia, The, GMB
7.28956, 1906, Nov Average, Gambia, The, GMB
1.1153, 1906, Dec Average, Gambia, The, GMB
0.37123, 1907, Jan Average, Gambia, The, GMB
0, 1907, Feb Average, Gambia, The, GMB
0.71832, 1907, Mar Average, Gambia, The, GMB
0.16592, 1907, Apr Average, Gambia, The, GMB
1.48119, 1907, May Average, Gambia, The, GMB
61.5019, 1907, Jun Average, Gambia, The, GMB
132.592, 1907, Jul Average, Gambia, The, GMB
366.886, 1907, Aug Average, Gambia, The, GMB
260.386, 1907, Sep Average, Gambia, The, GMB
54.3324, 1907, Oct Average, Gambia, The, GMB
0.645, 1907, Nov Average, Gambia, The, GMB
0, 1907, Dec Average, Gambia, The, GMB
0, 1908, Jan Average, Gambia, The, GMB
