Rainfall - (MM), Year, Statistics, Country, ISO3
0, 1901, Jan Average, Guinea-Bissau, GNB
0.00333, 1901, Feb Average, Guinea-Bissau, GNB
0.12324, 1901, Mar Average, Guinea-Bissau, GNB
2.73156, 1901, Apr Average, Guinea-Bissau, GNB
134.009, 1901, May Average, Guinea-Bissau, GNB
222.474, 1901, Jun Average, Guinea-Bissau, GNB
571.911, 1901, Jul Average, Guinea-Bissau, GNB
622.84, 1901, Aug Average, Guinea-Bissau, GNB
219.998, 1901, Sep Average, Guinea-Bissau, GNB
177.139, 1901, Oct Average, Guinea-Bissau, GNB
11.4989, 1901, Nov Average, Guinea-Bissau, GNB
0, 1901, Dec Average, Guinea-Bissau, GNB
0, 1902, Jan Average, Guinea-Bissau, GNB
0.00333, 1902, Feb Average, Guinea-Bissau, GNB
0.12324, 1902, Mar Average, Guinea-Bissau, GNB
1.55021, 1902, Apr Average, Guinea-Bissau, GNB
115.005, 1902, May Average, Guinea-Bissau, GNB
115.554, 1902, Jun Average, Guinea-Bissau, GNB
238.89, 1902, Jul Average, Guinea-Bissau, GNB
463.065, 1902, Aug Average, Guinea-Bissau, GNB
161.939, 1902, Sep Average, Guinea-Bissau, GNB
219.707, 1902, Oct Average, Guinea-Bissau, GNB
1.52354, 1902, Nov Average, Guinea-Bissau, GNB
0, 1902, Dec Average, Guinea-Bissau, GNB
0.01167, 1903, Jan Average, Guinea-Bissau, GNB
0.00333, 1903, Feb Average, Guinea-Bissau, GNB
0.05759, 1903, Mar Average, Guinea-Bissau, GNB
0.91034, 1903, Apr Average, Guinea-Bissau, GNB
26.4773, 1903, May Average, Guinea-Bissau, GNB
273.002, 1903, Jun Average, Guinea-Bissau, GNB
356.232, 1903, Jul Average, Guinea-Bissau, GNB
531.939, 1903, Aug Average, Guinea-Bissau, GNB
226.055, 1903, Sep Average, Guinea-Bissau, GNB
184.352, 1903, Oct Average, Guinea-Bissau, GNB
0.17849, 1903, Nov Average, Guinea-Bissau, GNB
0.01219, 1903, Dec Average, Guinea-Bissau, GNB
0, 1904, Jan Average, Guinea-Bissau, GNB
0.00333, 1904, Feb Average, Guinea-Bissau, GNB
0.13463, 1904, Mar Average, Guinea-Bissau, GNB
0.71688, 1904, Apr Average, Guinea-Bissau, GNB
23.0251, 1904, May Average, Guinea-Bissau, GNB
202.883, 1904, Jun Average, Guinea-Bissau, GNB
496.84, 1904, Jul Average, Guinea-Bissau, GNB
595.951, 1904, Aug Average, Guinea-Bissau, GNB
247.791, 1904, Sep Average, Guinea-Bissau, GNB
186.501, 1904, Oct Average, Guinea-Bissau, GNB
14.4457, 1904, Nov Average, Guinea-Bissau, GNB
0, 1904, Dec Average, Guinea-Bissau, GNB
0, 1905, Jan Average, Guinea-Bissau, GNB
0, 1905, Feb Average, Guinea-Bissau, GNB
0.00302, 1905, Mar Average, Guinea-Bissau, GNB
2.58013, 1905, Apr Average, Guinea-Bissau, GNB
37.5566, 1905, May Average, Guinea-Bissau, GNB
253.589, 1905, Jun Average, Guinea-Bissau, GNB
525.492, 1905, Jul Average, Guinea-Bissau, GNB
363.236, 1905, Aug Average, Guinea-Bissau, GNB
272.413, 1905, Sep Average, Guinea-Bissau, GNB
234.103, 1905, Oct Average, Guinea-Bissau, GNB
52.042, 1905, Nov Average, Guinea-Bissau, GNB
0.00162, 1905, Dec Average, Guinea-Bissau, GNB
0, 1906, Jan Average, Guinea-Bissau, GNB
0.26138, 1906, Feb Average, Guinea-Bissau, GNB
0.00244, 1906, Mar Average, Guinea-Bissau, GNB
9.3862, 1906, Apr Average, Guinea-Bissau, GNB
68.4442, 1906, May Average, Guinea-Bissau, GNB
297.736, 1906, Jun Average, Guinea-Bissau, GNB
385.013, 1906, Jul Average, Guinea-Bissau, GNB
738.846, 1906, Aug Average, Guinea-Bissau, GNB
408.467, 1906, Sep Average, Guinea-Bissau, GNB
181.477, 1906, Oct Average, Guinea-Bissau, GNB
19.5574, 1906, Nov Average, Guinea-Bissau, GNB
10.5525, 1906, Dec Average, Guinea-Bissau, GNB
0.00544, 1907, Jan Average, Guinea-Bissau, GNB
0, 1907, Feb Average, Guinea-Bissau, GNB
0.15327, 1907, Mar Average, Guinea-Bissau, GNB
0.64547, 1907, Apr Average, Guinea-Bissau, GNB
12.4184, 1907, May Average, Guinea-Bissau, GNB
167.222, 1907, Jun Average, Guinea-Bissau, GNB
129.113, 1907, Jul Average, Guinea-Bissau, GNB
625.758, 1907, Aug Average, Guinea-Bissau, GNB
341.298, 1907, Sep Average, Guinea-Bissau, GNB
77.4097, 1907, Oct Average, Guinea-Bissau, GNB
10.7978, 1907, Nov Average, Guinea-Bissau, GNB
0, 1907, Dec Average, Guinea-Bissau, GNB
0, 1908, Jan Average, Guinea-Bissau, GNB
0, 1908, Feb Average, Guinea-Bissau, GNB
0.07618, 1908, Mar Average, Guinea-Bissau, GNB
1.42992, 1908, Apr Average, Guinea-Bissau, GNB
13.4861, 1908, May Average, Guinea-Bissau, GNB
79.299, 1908, Jun Average, Guinea-Bissau, GNB
246.603, 1908, Jul Average, Guinea-Bissau, GNB
778.394, 1908, Aug Average, Guinea-Bissau, GNB
497.33, 1908, Sep Average, Guinea-Bissau, GNB
114.776, 1908, Oct Average, Guinea-Bissau, GNB
5.88606, 1908, Nov Average, Guinea-Bissau, GNB
0.95645, 1908, Dec Average, Guinea-Bissau, GNB
0, 1909, Jan Average, Guinea-Bissau, GNB
0, 1909, Feb Average, Guinea-Bissau, GNB
0.20863, 1909, Mar Average, Guinea-Bissau, GNB
2.73156, 1909, Apr Average, Guinea-Bissau, GNB
17.6001, 1909, May Average, Guinea-Bissau, GNB
252.993, 1909, Jun Average, Guinea-Bissau, GNB
346.87, 1909, Jul Average, Guinea-Bissau, GNB
447.088, 1909, Aug Average, Guinea-Bissau, GNB
429.615, 1909, Sep Average, Guinea-Bissau, GNB
150.307, 1909, Oct Average, Guinea-Bissau, GNB
0.29427, 1909, Nov Average, Guinea-Bissau, GNB
0.03813, 1909, Dec Average, Guinea-Bissau, GNB
0, 1910, Jan Average, Guinea-Bissau, GNB
0, 1910, Feb Average, Guinea-Bissau, GNB
0.12465, 1910, Mar Average, Guinea-Bissau, GNB
0.89908, 1910, Apr Average, Guinea-Bissau, GNB
7.05747, 1910, May Average, Guinea-Bissau, GNB
176.737, 1910, Jun Average, Guinea-Bissau, GNB
244.623, 1910, Jul Average, Guinea-Bissau, GNB
