Rainfall - (MM), Year, Statistics, Country, ISO3
103.406, 1901, Jan Average, Equatorial Guinea, GNQ
138.038, 1901, Feb Average, Equatorial Guinea, GNQ
338.924, 1901, Mar Average, Equatorial Guinea, GNQ
285.402, 1901, Apr Average, Equatorial Guinea, GNQ
252.471, 1901, May Average, Equatorial Guinea, GNQ
223.15, 1901, Jun Average, Equatorial Guinea, GNQ
68.7688, 1901, Jul Average, Equatorial Guinea, GNQ
42.8448, 1901, Aug Average, Equatorial Guinea, GNQ
183.472, 1901, Sep Average, Equatorial Guinea, GNQ
321.392, 1901, Oct Average, Equatorial Guinea, GNQ
228.887, 1901, Nov Average, Equatorial Guinea, GNQ
118.718, 1901, Dec Average, Equatorial Guinea, GNQ
163.118, 1902, Jan Average, Equatorial Guinea, GNQ
156.942, 1902, Feb Average, Equatorial Guinea, GNQ
281.215, 1902, Mar Average, Equatorial Guinea, GNQ
243.656, 1902, Apr Average, Equatorial Guinea, GNQ
254.763, 1902, May Average, Equatorial Guinea, GNQ
106.772, 1902, Jun Average, Equatorial Guinea, GNQ
30.3915, 1902, Jul Average, Equatorial Guinea, GNQ
155.605, 1902, Aug Average, Equatorial Guinea, GNQ
239.905, 1902, Sep Average, Equatorial Guinea, GNQ
359.284, 1902, Oct Average, Equatorial Guinea, GNQ
234.939, 1902, Nov Average, Equatorial Guinea, GNQ
159.975, 1902, Dec Average, Equatorial Guinea, GNQ
101.457, 1903, Jan Average, Equatorial Guinea, GNQ
155.959, 1903, Feb Average, Equatorial Guinea, GNQ
230.081, 1903, Mar Average, Equatorial Guinea, GNQ
224.641, 1903, Apr Average, Equatorial Guinea, GNQ
201.405, 1903, May Average, Equatorial Guinea, GNQ
73.3499, 1903, Jun Average, Equatorial Guinea, GNQ
77.2675, 1903, Jul Average, Equatorial Guinea, GNQ
122.468, 1903, Aug Average, Equatorial Guinea, GNQ
250.567, 1903, Sep Average, Equatorial Guinea, GNQ
346.938, 1903, Oct Average, Equatorial Guinea, GNQ
208.194, 1903, Nov Average, Equatorial Guinea, GNQ
215.612, 1903, Dec Average, Equatorial Guinea, GNQ
138.114, 1904, Jan Average, Equatorial Guinea, GNQ
63.6518, 1904, Feb Average, Equatorial Guinea, GNQ
273.337, 1904, Mar Average, Equatorial Guinea, GNQ
215.466, 1904, Apr Average, Equatorial Guinea, GNQ
288.941, 1904, May Average, Equatorial Guinea, GNQ
148.266, 1904, Jun Average, Equatorial Guinea, GNQ
44.2023, 1904, Jul Average, Equatorial Guinea, GNQ
78.6011, 1904, Aug Average, Equatorial Guinea, GNQ
138.065, 1904, Sep Average, Equatorial Guinea, GNQ
315.087, 1904, Oct Average, Equatorial Guinea, GNQ
261.636, 1904, Nov Average, Equatorial Guinea, GNQ
68.965, 1904, Dec Average, Equatorial Guinea, GNQ
103.095, 1905, Jan Average, Equatorial Guinea, GNQ
