Rainfall - (MM), Year, Statistics, Country, ISO3
67.9606, 1901, Jan Average, Greece, GRC
91.636, 1901, Feb Average, Greece, GRC
60.5412, 1901, Mar Average, Greece, GRC
13.4427, 1901, Apr Average, Greece, GRC
48.6795, 1901, May Average, Greece, GRC
106.61, 1901, Jun Average, Greece, GRC
11.5119, 1901, Jul Average, Greece, GRC
28.9103, 1901, Aug Average, Greece, GRC
15.3186, 1901, Sep Average, Greece, GRC
103.937, 1901, Oct Average, Greece, GRC
119.456, 1901, Nov Average, Greece, GRC
95.499, 1901, Dec Average, Greece, GRC
45.8273, 1902, Jan Average, Greece, GRC
86.1334, 1902, Feb Average, Greece, GRC
55.5618, 1902, Mar Average, Greece, GRC
16.3626, 1902, Apr Average, Greece, GRC
62.7124, 1902, May Average, Greece, GRC
11.3609, 1902, Jun Average, Greece, GRC
4.18869, 1902, Jul Average, Greece, GRC
18.7721, 1902, Aug Average, Greece, GRC
20.4256, 1902, Sep Average, Greece, GRC
83.287, 1902, Oct Average, Greece, GRC
88.4819, 1902, Nov Average, Greece, GRC
98.4096, 1902, Dec Average, Greece, GRC
28.869, 1903, Jan Average, Greece, GRC
33.595, 1903, Feb Average, Greece, GRC
74.5746, 1903, Mar Average, Greece, GRC
70.0762, 1903, Apr Average, Greece, GRC
41.6431, 1903, May Average, Greece, GRC
40.1505, 1903, Jun Average, Greece, GRC
19.8682, 1903, Jul Average, Greece, GRC
4.81068, 1903, Aug Average, Greece, GRC
3.28662, 1903, Sep Average, Greece, GRC
62.8404, 1903, Oct Average, Greece, GRC
56.2559, 1903, Nov Average, Greece, GRC
163.953, 1903, Dec Average, Greece, GRC
125.111, 1904, Jan Average, Greece, GRC
60.7666, 1904, Feb Average, Greece, GRC
40.892, 1904, Mar Average, Greece, GRC
38.6411, 1904, Apr Average, Greece, GRC
52.5361, 1904, May Average, Greece, GRC
36.7138, 1904, Jun Average, Greece, GRC
11.1803, 1904, Jul Average, Greece, GRC
7.90876, 1904, Aug Average, Greece, GRC
46.7158, 1904, Sep Average, Greece, GRC
100.519, 1904, Oct Average, Greece, GRC
74.8844, 1904, Nov Average, Greece, GRC
82.8282, 1904, Dec Average, Greece, GRC
140.842, 1905, Jan Average, Greece, GRC
57.0172, 1905, Feb Average, Greece, GRC
83.9455, 1905, Mar Average, Greece, GRC
20.1866, 1905, Apr Average, Greece, GRC
24.9562, 1905, May Average, Greece, GRC
30.1653, 1905, Jun Average, Greece, GRC
15.9029, 1905, Jul Average, Greece, GRC
20.2002, 1905, Aug Average, Greece, GRC
18.1191, 1905, Sep Average, Greece, GRC
141.415, 1905, Oct Average, Greece, GRC
65.5162, 1905, Nov Average, Greece, GRC
33.3669, 1905, Dec Average, Greece, GRC
88.4249, 1906, Jan Average, Greece, GRC
82.1891, 1906, Feb Average, Greece, GRC
42.4313, 1906, Mar Average, Greece, GRC
38.9222, 1906, Apr Average, Greece, GRC
87.1492, 1906, May Average, Greece, GRC
95.0442, 1906, Jun Average, Greece, GRC
5.23091, 1906, Jul Average, Greece, GRC
13.2027, 1906, Aug Average, Greece, GRC
20.4322, 1906, Sep Average, Greece, GRC
81.0019, 1906, Oct Average, Greece, GRC
53.4198, 1906, Nov Average, Greece, GRC
152.735, 1906, Dec Average, Greece, GRC
92.0128, 1907, Jan Average, Greece, GRC
95.7892, 1907, Feb Average, Greece, GRC
59.3637, 1907, Mar Average, Greece, GRC
68.3188, 1907, Apr Average, Greece, GRC
11.0664, 1907, May Average, Greece, GRC
42.4356, 1907, Jun Average, Greece, GRC
2.25607, 1907, Jul Average, Greece, GRC
40.4803, 1907, Aug Average, Greece, GRC
1.75235, 1907, Sep Average, Greece, GRC
24.5694, 1907, Oct Average, Greece, GRC
77.7412, 1907, Nov Average, Greece, GRC
86.4346, 1907, Dec Average, Greece, GRC
55.6911, 1908, Jan Average, Greece, GRC
60.9512, 1908, Feb Average, Greece, GRC
46.8766, 1908, Mar Average, Greece, GRC
33.4288, 1908, Apr Average, Greece, GRC
30.5867, 1908, May Average, Greece, GRC
11.8116, 1908, Jun Average, Greece, GRC
17.7029, 1908, Jul Average, Greece, GRC
3.72112, 1908, Aug Average, Greece, GRC
77.1909, 1908, Sep Average, Greece, GRC
40.0936, 1908, Oct Average, Greece, GRC
86.5391, 1908, Nov Average, Greece, GRC
162.077, 1908, Dec Average, Greece, GRC
87.995, 1909, Jan Average, Greece, GRC
73.5905, 1909, Feb Average, Greece, GRC
65.1602, 1909, Mar Average, Greece, GRC
28.5128, 1909, Apr Average, Greece, GRC
78.6992, 1909, May Average, Greece, GRC
23.6581, 1909, Jun Average, Greece, GRC
23.4292, 1909, Jul Average, Greece, GRC
16.9313, 1909, Aug Average, Greece, GRC
68.8864, 1909, Sep Average, Greece, GRC
43.9642, 1909, Oct Average, Greece, GRC
138.886, 1909, Nov Average, Greece, GRC
72.724, 1909, Dec Average, Greece, GRC
108.269, 1910, Jan Average, Greece, GRC
98.1556, 1910, Feb Average, Greece, GRC
64.593, 1910, Mar Average, Greece, GRC
59.4054, 1910, Apr Average, Greece, GRC
93.2378, 1910, May Average, Greece, GRC
29.1971, 1910, Jun Average, Greece, GRC
11.9585, 1910, Jul Average, Greece, GRC
11.2156, 1910, Aug Average, Greece, GRC
61.6086, 1910, Sep Average, Greece, GRC
27.6208, 1910, Oct Average, Greece, GRC
81.57, 1910, Nov Average, Greece, GRC
117.195, 1910, Dec Average, Greece, GRC
48.1085, 1911, Jan Average, Greece, GRC
37.7636, 1911, Feb Average, Greece, GRC
52.5138, 1911, Mar Average, Greece, GRC
70.0496, 1911, Apr Average, Greece, GRC
70.8909, 1911, May Average, Greece, GRC
28.8589, 1911, Jun Average, Greece, GRC
34.3739, 1911, Jul Average, Greece, GRC
29.0428, 1911, Aug Average, Greece, GRC
66.1484, 1911, Sep Average, Greece, GRC
29.7268, 1911, Oct Average, Greece, GRC
101.606, 1911, Nov Average, Greece, GRC
93.482, 1911, Dec Average, Greece, GRC
69.6794, 1912, Jan Average, Greece, GRC
56.01, 1912, Feb Average, Greece, GRC
38.2552, 1912, Mar Average, Greece, GRC
43.5867, 1912, Apr Average, Greece, GRC
38.8682, 1912, May Average, Greece, GRC
37.0348, 1912, Jun Average, Greece, GRC
48.9312, 1912, Jul Average, Greece, GRC
3.25554, 1912, Aug Average, Greece, GRC
42.9845, 1912, Sep Average, Greece, GRC
37.4625, 1912, Oct Average, Greece, GRC
210.941, 1912, Nov Average, Greece, GRC
86.8021, 1912, Dec Average, Greece, GRC
75.4577, 1913, Jan Average, Greece, GRC
84.7613, 1913, Feb Average, Greece, GRC
28.4414, 1913, Mar Average, Greece, GRC
26.8297, 1913, Apr Average, Greece, GRC
64.199, 1913, May Average, Greece, GRC
35.2152, 1913, Jun Average, Greece, GRC
22.2818, 1913, Jul Average, Greece, GRC
32.1009, 1913, Aug Average, Greece, GRC
47.156, 1913, Sep Average, Greece, GRC
42.1145, 1913, Oct Average, Greece, GRC
47.5135, 1913, Nov Average, Greece, GRC
100.459, 1913, Dec Average, Greece, GRC
148.153, 1914, Jan Average, Greece, GRC
35.12, 1914, Feb Average, Greece, GRC
43.1137, 1914, Mar Average, Greece, GRC
23.4525, 1914, Apr Average, Greece, GRC
48.1935, 1914, May Average, Greece, GRC
55.7053, 1914, Jun Average, Greece, GRC
36.5385, 1914, Jul Average, Greece, GRC
44.6524, 1914, Aug Average, Greece, GRC
15.0216, 1914, Sep Average, Greece, GRC
49.231, 1914, Oct Average, Greece, GRC
170.276, 1914, Nov Average, Greece, GRC
89.4225, 1914, Dec Average, Greece, GRC
137.19, 1915, Jan Average, Greece, GRC
87.3606, 1915, Feb Average, Greece, GRC
50.513, 1915, Mar Average, Greece, GRC
81.2387, 1915, Apr Average, Greece, GRC
48.4632, 1915, May Average, Greece, GRC
63.2357, 1915, Jun Average, Greece, GRC
66.1535, 1915, Jul Average, Greece, GRC
16.9106, 1915, Aug Average, Greece, GRC
49.4519, 1915, Sep Average, Greece, GRC
94.769, 1915, Oct Average, Greece, GRC
54.2205, 1915, Nov Average, Greece, GRC
49.5871, 1915, Dec Average, Greece, GRC
47.9078, 1916, Jan Average, Greece, GRC
76.2084, 1916, Feb Average, Greece, GRC
54.6155, 1916, Mar Average, Greece, GRC
51.3916, 1916, Apr Average, Greece, GRC
47.9473, 1916, May Average, Greece, GRC
20.339, 1916, Jun Average, Greece, GRC
14.5137, 1916, Jul Average, Greece, GRC
50.4287, 1916, Aug Average, Greece, GRC
45.2166, 1916, Sep Average, Greece, GRC
62.5875, 1916, Oct Average, Greece, GRC
68.9832, 1916, Nov Average, Greece, GRC
111.619, 1916, Dec Average, Greece, GRC
129.749, 1917, Jan Average, Greece, GRC
59.5421, 1917, Feb Average, Greece, GRC
58.0085, 1917, Mar Average, Greece, GRC
52.4815, 1917, Apr Average, Greece, GRC
46.0206, 1917, May Average, Greece, GRC
22.3589, 1917, Jun Average, Greece, GRC
4.78368, 1917, Jul Average, Greece, GRC
2.74684, 1917, Aug Average, Greece, GRC
5.50157, 1917, Sep Average, Greece, GRC
77.7007, 1917, Oct Average, Greece, GRC
102.132, 1917, Nov Average, Greece, GRC
122.997, 1917, Dec Average, Greece, GRC
48.0547, 1918, Jan Average, Greece, GRC
69.1201, 1918, Feb Average, Greece, GRC
87.2879, 1918, Mar Average, Greece, GRC
26.2722, 1918, Apr Average, Greece, GRC
31.6948, 1918, May Average, Greece, GRC
25.7819, 1918, Jun Average, Greece, GRC
21.0406, 1918, Jul Average, Greece, GRC
14.4755, 1918, Aug Average, Greece, GRC
6.93869, 1918, Sep Average, Greece, GRC
173.712, 1918, Oct Average, Greece, GRC
159.239, 1918, Nov Average, Greece, GRC
111.032, 1918, Dec Average, Greece, GRC
135.181, 1919, Jan Average, Greece, GRC
91.7955, 1919, Feb Average, Greece, GRC
98.0884, 1919, Mar Average, Greece, GRC
55.3523, 1919, Apr Average, Greece, GRC
101.605, 1919, May Average, Greece, GRC
21.1189, 1919, Jun Average, Greece, GRC
25.4742, 1919, Jul Average, Greece, GRC
12.7994, 1919, Aug Average, Greece, GRC
35.8753, 1919, Sep Average, Greece, GRC
114.892, 1919, Oct Average, Greece, GRC
91.4904, 1919, Nov Average, Greece, GRC
95.7226, 1919, Dec Average, Greece, GRC
80.8889, 1920, Jan Average, Greece, GRC
56.8216, 1920, Feb Average, Greece, GRC
58.1562, 1920, Mar Average, Greece, GRC
79.2376, 1920, Apr Average, Greece, GRC
68.2945, 1920, May Average, Greece, GRC
32.7293, 1920, Jun Average, Greece, GRC
25.8356, 1920, Jul Average, Greece, GRC
26.0206, 1920, Aug Average, Greece, GRC
6.52988, 1920, Sep Average, Greece, GRC
155.626, 1920, Oct Average, Greece, GRC
93.4731, 1920, Nov Average, Greece, GRC
108.004, 1920, Dec Average, Greece, GRC
56.7993, 1921, Jan Average, Greece, GRC
57.4376, 1921, Feb Average, Greece, GRC
32.328, 1921, Mar Average, Greece, GRC
64.7323, 1921, Apr Average, Greece, GRC
40.5813, 1921, May Average, Greece, GRC
71.6827, 1921, Jun Average, Greece, GRC
6.07231, 1921, Jul Average, Greece, GRC
2.63397, 1921, Aug Average, Greece, GRC
56.5732, 1921, Sep Average, Greece, GRC
47.6404, 1921, Oct Average, Greece, GRC
152.613, 1921, Nov Average, Greece, GRC
127.592, 1921, Dec Average, Greece, GRC
116.529, 1922, Jan Average, Greece, GRC
58.4981, 1922, Feb Average, Greece, GRC
38.2309, 1922, Mar Average, Greece, GRC
37.1273, 1922, Apr Average, Greece, GRC
64.6694, 1922, May Average, Greece, GRC
11.7039, 1922, Jun Average, Greece, GRC
2.31598, 1922, Jul Average, Greece, GRC
11.312, 1922, Aug Average, Greece, GRC
7.19604, 1922, Sep Average, Greece, GRC
76.7184, 1922, Oct Average, Greece, GRC
131.1, 1922, Nov Average, Greece, GRC
87.7051, 1922, Dec Average, Greece, GRC
119.333, 1923, Jan Average, Greece, GRC
96.1192, 1923, Feb Average, Greece, GRC
65.8628, 1923, Mar Average, Greece, GRC
61.2409, 1923, Apr Average, Greece, GRC
51.5828, 1923, May Average, Greece, GRC
61.4483, 1923, Jun Average, Greece, GRC
17.9973, 1923, Jul Average, Greece, GRC
16.5552, 1923, Aug Average, Greece, GRC
10.2474, 1923, Sep Average, Greece, GRC
22.434, 1923, Oct Average, Greece, GRC
75.3052, 1923, Nov Average, Greece, GRC
142.775, 1923, Dec Average, Greece, GRC
92.6322, 1924, Jan Average, Greece, GRC
84.4241, 1924, Feb Average, Greece, GRC
60.0921, 1924, Mar Average, Greece, GRC
17.1466, 1924, Apr Average, Greece, GRC
28.6662, 1924, May Average, Greece, GRC
32.6388, 1924, Jun Average, Greece, GRC
8.77432, 1924, Jul Average, Greece, GRC
38.254, 1924, Aug Average, Greece, GRC
41.1989, 1924, Sep Average, Greece, GRC
106.478, 1924, Oct Average, Greece, GRC
