Rainfall - (MM), Year, Statistics, Country, ISO3
70.5535, 1901, Jan Average, Grenada, GRD
48.3014, 1901, Feb Average, Grenada, GRD
41.3102, 1901, Mar Average, Grenada, GRD
47.3454, 1901, Apr Average, Grenada, GRD
88.5305, 1901, May Average, Grenada, GRD
156.613, 1901, Jun Average, Grenada, GRD
193.417, 1901, Jul Average, Grenada, GRD
204.169, 1901, Aug Average, Grenada, GRD
180.911, 1901, Sep Average, Grenada, GRD
193.155, 1901, Oct Average, Grenada, GRD
181.366, 1901, Nov Average, Grenada, GRD
128.851, 1901, Dec Average, Grenada, GRD
49.4875, 1902, Jan Average, Grenada, GRD
22.7413, 1902, Feb Average, Grenada, GRD
42.8225, 1902, Mar Average, Grenada, GRD
30.9255, 1902, Apr Average, Grenada, GRD
206.841, 1902, May Average, Grenada, GRD
290.938, 1902, Jun Average, Grenada, GRD
254.851, 1902, Jul Average, Grenada, GRD
174.345, 1902, Aug Average, Grenada, GRD
151.026, 1902, Sep Average, Grenada, GRD
113.69, 1902, Oct Average, Grenada, GRD
264.134, 1902, Nov Average, Grenada, GRD
136.604, 1902, Dec Average, Grenada, GRD
30.4374, 1903, Jan Average, Grenada, GRD
39.4462, 1903, Feb Average, Grenada, GRD
15.8198, 1903, Mar Average, Grenada, GRD
125.014, 1903, Apr Average, Grenada, GRD
53.1162, 1903, May Average, Grenada, GRD
293.048, 1903, Jun Average, Grenada, GRD
182.194, 1903, Jul Average, Grenada, GRD
325.169, 1903, Aug Average, Grenada, GRD
187.208, 1903, Sep Average, Grenada, GRD
123.597, 1903, Oct Average, Grenada, GRD
102.107, 1903, Nov Average, Grenada, GRD
154.32, 1903, Dec Average, Grenada, GRD
107.542, 1904, Jan Average, Grenada, GRD
44.5785, 1904, Feb Average, Grenada, GRD
63.0725, 1904, Mar Average, Grenada, GRD
25.7889, 1904, Apr Average, Grenada, GRD
88.5305, 1904, May Average, Grenada, GRD
57.8284, 1904, Jun Average, Grenada, GRD
196.325, 1904, Jul Average, Grenada, GRD
160.934, 1904, Aug Average, Grenada, GRD
281.062, 1904, Sep Average, Grenada, GRD
172.036, 1904, Oct Average, Grenada, GRD
51.3045, 1904, Nov Average, Grenada, GRD
100.162, 1904, Dec Average, Grenada, GRD
