Rainfall - (MM), Year, Statistics, Country, ISO3
91.0777, 1901, Jan Average, Guatemala, GTM
63.6855, 1901, Feb Average, Guatemala, GTM
63.3594, 1901, Mar Average, Guatemala, GTM
89.9903, 1901, Apr Average, Guatemala, GTM
218.289, 1901, May Average, Guatemala, GTM
393.571, 1901, Jun Average, Guatemala, GTM
377.803, 1901, Jul Average, Guatemala, GTM
343.395, 1901, Aug Average, Guatemala, GTM
410.407, 1901, Sep Average, Guatemala, GTM
288.099, 1901, Oct Average, Guatemala, GTM
134.632, 1901, Nov Average, Guatemala, GTM
89.8156, 1901, Dec Average, Guatemala, GTM
83.7424, 1902, Jan Average, Guatemala, GTM
56.0728, 1902, Feb Average, Guatemala, GTM
57.0044, 1902, Mar Average, Guatemala, GTM
85.2466, 1902, Apr Average, Guatemala, GTM
217.502, 1902, May Average, Guatemala, GTM
388.475, 1902, Jun Average, Guatemala, GTM
370.607, 1902, Jul Average, Guatemala, GTM
321.665, 1902, Aug Average, Guatemala, GTM
377.512, 1902, Sep Average, Guatemala, GTM
286.203, 1902, Oct Average, Guatemala, GTM
135.924, 1902, Nov Average, Guatemala, GTM
104.248, 1902, Dec Average, Guatemala, GTM
82.392, 1903, Jan Average, Guatemala, GTM
61.4645, 1903, Feb Average, Guatemala, GTM
66.411, 1903, Mar Average, Guatemala, GTM
87.1153, 1903, Apr Average, Guatemala, GTM
210.094, 1903, May Average, Guatemala, GTM
365.611, 1903, Jun Average, Guatemala, GTM
346.963, 1903, Jul Average, Guatemala, GTM
338.137, 1903, Aug Average, Guatemala, GTM
375.884, 1903, Sep Average, Guatemala, GTM
230.669, 1903, Oct Average, Guatemala, GTM
135.428, 1903, Nov Average, Guatemala, GTM
89.3151, 1903, Dec Average, Guatemala, GTM
76.5233, 1904, Jan Average, Guatemala, GTM
56.9603, 1904, Feb Average, Guatemala, GTM
56.4387, 1904, Mar Average, Guatemala, GTM
85.2466, 1904, Apr Average, Guatemala, GTM
225.104, 1904, May Average, Guatemala, GTM
368.589, 1904, Jun Average, Guatemala, GTM
383.807, 1904, Jul Average, Guatemala, GTM
322.581, 1904, Aug Average, Guatemala, GTM
387.303, 1904, Sep Average, Guatemala, GTM
320.612, 1904, Oct Average, Guatemala, GTM
172.861, 1904, Nov Average, Guatemala, GTM
106.538, 1904, Dec Average, Guatemala, GTM
89.9936, 1905, Jan Average, Guatemala, GTM
80.5207, 1905, Feb Average, Guatemala, GTM
63.0883, 1905, Mar Average, Guatemala, GTM
82.9121, 1905, Apr Average, Guatemala, GTM
221.401, 1905, May Average, Guatemala, GTM
383.139, 1905, Jun Average, Guatemala, GTM
375.095, 1905, Jul Average, Guatemala, GTM
353.25, 1905, Aug Average, Guatemala, GTM
391.409, 1905, Sep Average, Guatemala, GTM
233.721, 1905, Oct Average, Guatemala, GTM
132.199, 1905, Nov Average, Guatemala, GTM
105.291, 1905, Dec Average, Guatemala, GTM
94.1089, 1906, Jan Average, Guatemala, GTM
61.8112, 1906, Feb Average, Guatemala, GTM
52.464, 1906, Mar Average, Guatemala, GTM
86.2546, 1906, Apr Average, Guatemala, GTM
209.947, 1906, May Average, Guatemala, GTM
382.428, 1906, Jun Average, Guatemala, GTM
370.81, 1906, Jul Average, Guatemala, GTM
333.065, 1906, Aug Average, Guatemala, GTM
393.959, 1906, Sep Average, Guatemala, GTM
339.381, 1906, Oct Average, Guatemala, GTM
144.4, 1906, Nov Average, Guatemala, GTM
94.0264, 1906, Dec Average, Guatemala, GTM
81.5232, 1907, Jan Average, Guatemala, GTM
65.5, 1907, Feb Average, Guatemala, GTM
44.1311, 1907, Mar Average, Guatemala, GTM
81.5113, 1907, Apr Average, Guatemala, GTM
239.361, 1907, May Average, Guatemala, GTM
394.687, 1907, Jun Average, Guatemala, GTM
372.057, 1907, Jul Average, Guatemala, GTM
342.421, 1907, Aug Average, Guatemala, GTM
398.364, 1907, Sep Average, Guatemala, GTM
354.347, 1907, Oct Average, Guatemala, GTM
173.789, 1907, Nov Average, Guatemala, GTM
116.494, 1907, Dec Average, Guatemala, GTM
77.1246, 1908, Jan Average, Guatemala, GTM
55.7725, 1908, Feb Average, Guatemala, GTM
56.2983, 1908, Mar Average, Guatemala, GTM
82.4448, 1908, Apr Average, Guatemala, GTM
201.506, 1908, May Average, Guatemala, GTM
373.057, 1908, Jun Average, Guatemala, GTM
369.042, 1908, Jul Average, Guatemala, GTM
354.109, 1908, Aug Average, Guatemala, GTM
418.431, 1908, Sep Average, Guatemala, GTM
278.23, 1908, Oct Average, Guatemala, GTM
147.543, 1908, Nov Average, Guatemala, GTM
94.7828, 1908, Dec Average, Guatemala, GTM
77.2131, 1909, Jan Average, Guatemala, GTM
57.4387, 1909, Feb Average, Guatemala, GTM
84.7794, 1909, Mar Average, Guatemala, GTM
82.9563, 1909, Apr Average, Guatemala, GTM
198.56, 1909, May Average, Guatemala, GTM
430.928, 1909, Jun Average, Guatemala, GTM
359.941, 1909, Jul Average, Guatemala, GTM
368.443, 1909, Aug Average, Guatemala, GTM
386.922, 1909, Sep Average, Guatemala, GTM
306.767, 1909, Oct Average, Guatemala, GTM
131.283, 1909, Nov Average, Guatemala, GTM
106.462, 1909, Dec Average, Guatemala, GTM
100.897, 1910, Jan Average, Guatemala, GTM
78.535, 1910, Feb Average, Guatemala, GTM
58.6468, 1910, Mar Average, Guatemala, GTM
81.7461, 1910, Apr Average, Guatemala, GTM
222.315, 1910, May Average, Guatemala, GTM
400.728, 1910, Jun Average, Guatemala, GTM
