Rainfall - (MM), Year, Statistics, Country, ISO3
41.9797, 1901, Jan Average, Guyana, GUY
59.8414, 1901, Feb Average, Guyana, GUY
174.002, 1901, Mar Average, Guyana, GUY
151.515, 1901, Apr Average, Guyana, GUY
329.883, 1901, May Average, Guyana, GUY
329.983, 1901, Jun Average, Guyana, GUY
215.328, 1901, Jul Average, Guyana, GUY
250.403, 1901, Aug Average, Guyana, GUY
182.342, 1901, Sep Average, Guyana, GUY
85.5784, 1901, Oct Average, Guyana, GUY
115.045, 1901, Nov Average, Guyana, GUY
234.095, 1901, Dec Average, Guyana, GUY
263.882, 1902, Jan Average, Guyana, GUY
211.64, 1902, Feb Average, Guyana, GUY
472.087, 1902, Mar Average, Guyana, GUY
279.673, 1902, Apr Average, Guyana, GUY
231.746, 1902, May Average, Guyana, GUY
314.233, 1902, Jun Average, Guyana, GUY
275.543, 1902, Jul Average, Guyana, GUY
165.298, 1902, Aug Average, Guyana, GUY
102.062, 1902, Sep Average, Guyana, GUY
58.904, 1902, Oct Average, Guyana, GUY
113.472, 1902, Nov Average, Guyana, GUY
99.9185, 1902, Dec Average, Guyana, GUY
118.696, 1903, Jan Average, Guyana, GUY
106.275, 1903, Feb Average, Guyana, GUY
242.624, 1903, Mar Average, Guyana, GUY
347.917, 1903, Apr Average, Guyana, GUY
450.612, 1903, May Average, Guyana, GUY
542.561, 1903, Jun Average, Guyana, GUY
225.567, 1903, Jul Average, Guyana, GUY
157.567, 1903, Aug Average, Guyana, GUY
187.251, 1903, Sep Average, Guyana, GUY
14.3917, 1903, Oct Average, Guyana, GUY
69.3444, 1903, Nov Average, Guyana, GUY
227.927, 1903, Dec Average, Guyana, GUY
175.226, 1904, Jan Average, Guyana, GUY
101.372, 1904, Feb Average, Guyana, GUY
430.529, 1904, Mar Average, Guyana, GUY
311.604, 1904, Apr Average, Guyana, GUY
311.038, 1904, May Average, Guyana, GUY
229.85, 1904, Jun Average, Guyana, GUY
225.615, 1904, Jul Average, Guyana, GUY
70.9976, 1904, Aug Average, Guyana, GUY
68.2693, 1904, Sep Average, Guyana, GUY
39.0755, 1904, Oct Average, Guyana, GUY
42.462, 1904, Nov Average, Guyana, GUY
260.935, 1904, Dec Average, Guyana, GUY
104.143, 1905, Jan Average, Guyana, GUY
163.283, 1905, Feb Average, Guyana, GUY
128.919, 1905, Mar Average, Guyana, GUY
247.508, 1905, Apr Average, Guyana, GUY
294.086, 1905, May Average, Guyana, GUY
295.767, 1905, Jun Average, Guyana, GUY
241.608, 1905, Jul Average, Guyana, GUY
133.866, 1905, Aug Average, Guyana, GUY
89.9065, 1905, Sep Average, Guyana, GUY
73.3414, 1905, Oct Average, Guyana, GUY
100.908, 1905, Nov Average, Guyana, GUY
237.354, 1905, Dec Average, Guyana, GUY
76.4801, 1906, Jan Average, Guyana, GUY
128.865, 1906, Feb Average, Guyana, GUY
139.48, 1906, Mar Average, Guyana, GUY
431.006, 1906, Apr Average, Guyana, GUY
385.205, 1906, May Average, Guyana, GUY
282.852, 1906, Jun Average, Guyana, GUY
347.576, 1906, Jul Average, Guyana, GUY
256.613, 1906, Aug Average, Guyana, GUY
72.3509, 1906, Sep Average, Guyana, GUY
54.895, 1906, Oct Average, Guyana, GUY
115.337, 1906, Nov Average, Guyana, GUY
128.287, 1906, Dec Average, Guyana, GUY
210.5, 1907, Jan Average, Guyana, GUY
262.625, 1907, Feb Average, Guyana, GUY
503.115, 1907, Mar Average, Guyana, GUY
489.379, 1907, Apr Average, Guyana, GUY
465.269, 1907, May Average, Guyana, GUY
288.588, 1907, Jun Average, Guyana, GUY
223.273, 1907, Jul Average, Guyana, GUY
112.97, 1907, Aug Average, Guyana, GUY
58.8064, 1907, Sep Average, Guyana, GUY
17.2856, 1907, Oct Average, Guyana, GUY
107.896, 1907, Nov Average, Guyana, GUY
91.76, 1907, Dec Average, Guyana, GUY
104.199, 1908, Jan Average, Guyana, GUY
197.116, 1908, Feb Average, Guyana, GUY
252.046, 1908, Mar Average, Guyana, GUY
177.744, 1908, Apr Average, Guyana, GUY
344.865, 1908, May Average, Guyana, GUY
250.609, 1908, Jun Average, Guyana, GUY
412.732, 1908, Jul Average, Guyana, GUY
325.179, 1908, Aug Average, Guyana, GUY
142.671, 1908, Sep Average, Guyana, GUY
76.1294, 1908, Oct Average, Guyana, GUY
95.3278, 1908, Nov Average, Guyana, GUY
140.922, 1908, Dec Average, Guyana, GUY
142.664, 1909, Jan Average, Guyana, GUY
327.519, 1909, Feb Average, Guyana, GUY
278.025, 1909, Mar Average, Guyana, GUY
232.769, 1909, Apr Average, Guyana, GUY
410.643, 1909, May Average, Guyana, GUY
375.339, 1909, Jun Average, Guyana, GUY
324.184, 1909, Jul Average, Guyana, GUY
226.187, 1909, Aug Average, Guyana, GUY
59.2792, 1909, Sep Average, Guyana, GUY
101.666, 1909, Oct Average, Guyana, GUY
46.8885, 1909, Nov Average, Guyana, GUY
221.355, 1909, Dec Average, Guyana, GUY
262.005, 1910, Jan Average, Guyana, GUY
209.718, 1910, Feb Average, Guyana, GUY
240.851, 1910, Mar Average, Guyana, GUY
185.822, 1910, Apr Average, Guyana, GUY
314.491, 1910, May Average, Guyana, GUY
390.542, 1910, Jun Average, Guyana, GUY
325.39, 1910, Jul Average, Guyana, GUY
311.483, 1910, Aug Average, Guyana, GUY
135.065, 1910, Sep Average, Guyana, GUY
63.7849, 1910, Oct Average, Guyana, GUY
74.4596, 1910, Nov Average, Guyana, GUY
403.408, 1910, Dec Average, Guyana, GUY
161.44, 1911, Jan Average, Guyana, GUY
286.731, 1911, Feb Average, Guyana, GUY
405.15, 1911, Mar Average, Guyana, GUY
228.77, 1911, Apr Average, Guyana, GUY
300.296, 1911, May Average, Guyana, GUY
326.949, 1911, Jun Average, Guyana, GUY
238.352, 1911, Jul Average, Guyana, GUY
117.381, 1911, Aug Average, Guyana, GUY
20.9379, 1911, Sep Average, Guyana, GUY
93.4844, 1911, Oct Average, Guyana, GUY
80.6377, 1911, Nov Average, Guyana, GUY
270.011, 1911, Dec Average, Guyana, GUY
42.0413, 1912, Jan Average, Guyana, GUY
23.8176, 1912, Feb Average, Guyana, GUY
47.1969, 1912, Mar Average, Guyana, GUY
176.657, 1912, Apr Average, Guyana, GUY
304.642, 1912, May Average, Guyana, GUY
299.125, 1912, Jun Average, Guyana, GUY
310.239, 1912, Jul Average, Guyana, GUY
174.318, 1912, Aug Average, Guyana, GUY
72.1694, 1912, Sep Average, Guyana, GUY
41.5353, 1912, Oct Average, Guyana, GUY
97.3713, 1912, Nov Average, Guyana, GUY
254.867, 1912, Dec Average, Guyana, GUY
326.522, 1913, Jan Average, Guyana, GUY
76.6487, 1913, Feb Average, Guyana, GUY
167.835, 1913, Mar Average, Guyana, GUY
85.7031, 1913, Apr Average, Guyana, GUY
134.951, 1913, May Average, Guyana, GUY
295.724, 1913, Jun Average, Guyana, GUY
289.88, 1913, Jul Average, Guyana, GUY
130.473, 1913, Aug Average, Guyana, GUY
93.8042, 1913, Sep Average, Guyana, GUY
73.1964, 1913, Oct Average, Guyana, GUY
49.823, 1913, Nov Average, Guyana, GUY
297.144, 1913, Dec Average, Guyana, GUY
70.0049, 1914, Jan Average, Guyana, GUY
142.91, 1914, Feb Average, Guyana, GUY
126.149, 1914, Mar Average, Guyana, GUY
178.701, 1914, Apr Average, Guyana, GUY
574.754, 1914, May Average, Guyana, GUY
266.058, 1914, Jun Average, Guyana, GUY
181.812, 1914, Jul Average, Guyana, GUY
146.774, 1914, Aug Average, Guyana, GUY
134.03, 1914, Sep Average, Guyana, GUY
92.8712, 1914, Oct Average, Guyana, GUY
101.555, 1914, Nov Average, Guyana, GUY
106.209, 1914, Dec Average, Guyana, GUY
153.099, 1915, Jan Average, Guyana, GUY
444.041, 1915, Feb Average, Guyana, GUY
61.7295, 1915, Mar Average, Guyana, GUY
202.663, 1915, Apr Average, Guyana, GUY
481.137, 1915, May Average, Guyana, GUY
317.044, 1915, Jun Average, Guyana, GUY
195.784, 1915, Jul Average, Guyana, GUY
127.789, 1915, Aug Average, Guyana, GUY
26.631, 1915, Sep Average, Guyana, GUY
31.5997, 1915, Oct Average, Guyana, GUY
76.7185, 1915, Nov Average, Guyana, GUY
130.106, 1915, Dec Average, Guyana, GUY
186.661, 1916, Jan Average, Guyana, GUY
162.129, 1916, Feb Average, Guyana, GUY
114.46, 1916, Mar Average, Guyana, GUY
80.7565, 1916, Apr Average, Guyana, GUY
365.764, 1916, May Average, Guyana, GUY
351.177, 1916, Jun Average, Guyana, GUY
336.227, 1916, Jul Average, Guyana, GUY
295.372, 1916, Aug Average, Guyana, GUY
50.1116, 1916, Sep Average, Guyana, GUY
63.1919, 1916, Oct Average, Guyana, GUY
194.417, 1916, Nov Average, Guyana, GUY
232.764, 1916, Dec Average, Guyana, GUY
242.579, 1917, Jan Average, Guyana, GUY
115.214, 1917, Feb Average, Guyana, GUY
176.01, 1917, Mar Average, Guyana, GUY
113.067, 1917, Apr Average, Guyana, GUY
256.998, 1917, May Average, Guyana, GUY
315.811, 1917, Jun Average, Guyana, GUY
235.776, 1917, Jul Average, Guyana, GUY
200.335, 1917, Aug Average, Guyana, GUY
124.272, 1917, Sep Average, Guyana, GUY
92.7995, 1917, Oct Average, Guyana, GUY
142.56, 1917, Nov Average, Guyana, GUY
207.487, 1917, Dec Average, Guyana, GUY
183.23, 1918, Jan Average, Guyana, GUY
99.7465, 1918, Feb Average, Guyana, GUY
316.529, 1918, Mar Average, Guyana, GUY
273.321, 1918, Apr Average, Guyana, GUY
432.586, 1918, May Average, Guyana, GUY
350.13, 1918, Jun Average, Guyana, GUY
323.232, 1918, Jul Average, Guyana, GUY
