Rainfall - (MM), Year, Statistics, Country, ISO3
50.6946, 1901, Jan Average, Croatia, HRV
54.0736, 1901, Feb Average, Croatia, HRV
109.965, 1901, Mar Average, Croatia, HRV
59.444, 1901, Apr Average, Croatia, HRV
55.7302, 1901, May Average, Croatia, HRV
106.172, 1901, Jun Average, Croatia, HRV
71.7197, 1901, Jul Average, Croatia, HRV
93.2659, 1901, Aug Average, Croatia, HRV
191.651, 1901, Sep Average, Croatia, HRV
118.547, 1901, Oct Average, Croatia, HRV
64.1951, 1901, Nov Average, Croatia, HRV
150.395, 1901, Dec Average, Croatia, HRV
41.8898, 1902, Jan Average, Croatia, HRV
124.701, 1902, Feb Average, Croatia, HRV
109.055, 1902, Mar Average, Croatia, HRV
87.282, 1902, Apr Average, Croatia, HRV
140.755, 1902, May Average, Croatia, HRV
123.83, 1902, Jun Average, Croatia, HRV
82.4874, 1902, Jul Average, Croatia, HRV
36.7631, 1902, Aug Average, Croatia, HRV
86.8642, 1902, Sep Average, Croatia, HRV
178.66, 1902, Oct Average, Croatia, HRV
57.8248, 1902, Nov Average, Croatia, HRV
48.6458, 1902, Dec Average, Croatia, HRV
42.4725, 1903, Jan Average, Croatia, HRV
28.9524, 1903, Feb Average, Croatia, HRV
61.8145, 1903, Mar Average, Croatia, HRV
132.769, 1903, Apr Average, Croatia, HRV
68.522, 1903, May Average, Croatia, HRV
94.2458, 1903, Jun Average, Croatia, HRV
122.883, 1903, Jul Average, Croatia, HRV
46.2059, 1903, Aug Average, Croatia, HRV
54.3883, 1903, Sep Average, Croatia, HRV
114.55, 1903, Oct Average, Croatia, HRV
143.403, 1903, Nov Average, Croatia, HRV
185.066, 1903, Dec Average, Croatia, HRV
68.7394, 1904, Jan Average, Croatia, HRV
114.803, 1904, Feb Average, Croatia, HRV
91.962, 1904, Mar Average, Croatia, HRV
62.6419, 1904, Apr Average, Croatia, HRV
69.1762, 1904, May Average, Croatia, HRV
77.0197, 1904, Jun Average, Croatia, HRV
29.6351, 1904, Jul Average, Croatia, HRV
140.872, 1904, Aug Average, Croatia, HRV
104.815, 1904, Sep Average, Croatia, HRV
149.005, 1904, Oct Average, Croatia, HRV
67.7775, 1904, Nov Average, Croatia, HRV
72.4597, 1904, Dec Average, Croatia, HRV
38.3993, 1905, Jan Average, Croatia, HRV
81.2401, 1905, Feb Average, Croatia, HRV
74.6135, 1905, Mar Average, Croatia, HRV
101.197, 1905, Apr Average, Croatia, HRV
96.4247, 1905, May Average, Croatia, HRV
109.926, 1905, Jun Average, Croatia, HRV
69.5144, 1905, Jul Average, Croatia, HRV
70.632, 1905, Aug Average, Croatia, HRV
112.797, 1905, Sep Average, Croatia, HRV
215.809, 1905, Oct Average, Croatia, HRV
244.984, 1905, Nov Average, Croatia, HRV
27.2222, 1905, Dec Average, Croatia, HRV
81.8244, 1906, Jan Average, Croatia, HRV
81.6422, 1906, Feb Average, Croatia, HRV
70.5857, 1906, Mar Average, Croatia, HRV
62.8836, 1906, Apr Average, Croatia, HRV
101.206, 1906, May Average, Croatia, HRV
112.898, 1906, Jun Average, Croatia, HRV
113.558, 1906, Jul Average, Croatia, HRV
73.8148, 1906, Aug Average, Croatia, HRV
122.452, 1906, Sep Average, Croatia, HRV
69.2787, 1906, Oct Average, Croatia, HRV
121.022, 1906, Nov Average, Croatia, HRV
179.74, 1906, Dec Average, Croatia, HRV
65.9514, 1907, Jan Average, Croatia, HRV
56.3325, 1907, Feb Average, Croatia, HRV
21.3474, 1907, Mar Average, Croatia, HRV
164.383, 1907, Apr Average, Croatia, HRV
87.8663, 1907, May Average, Croatia, HRV
58.0002, 1907, Jun Average, Croatia, HRV
83.0554, 1907, Jul Average, Croatia, HRV
33.9724, 1907, Aug Average, Croatia, HRV
59.7849, 1907, Sep Average, Croatia, HRV
148.286, 1907, Oct Average, Croatia, HRV
62.9926, 1907, Nov Average, Croatia, HRV
159.104, 1907, Dec Average, Croatia, HRV
53.0703, 1908, Jan Average, Croatia, HRV
78.8497, 1908, Feb Average, Croatia, HRV
82.4173, 1908, Mar Average, Croatia, HRV
147.539, 1908, Apr Average, Croatia, HRV
20.5316, 1908, May Average, Croatia, HRV
46.8978, 1908, Jun Average, Croatia, HRV
91.5047, 1908, Jul Average, Croatia, HRV
128.05, 1908, Aug Average, Croatia, HRV
37.1807, 1908, Sep Average, Croatia, HRV
48.7406, 1908, Oct Average, Croatia, HRV
108.273, 1908, Nov Average, Croatia, HRV
101.844, 1908, Dec Average, Croatia, HRV
62.2441, 1909, Jan Average, Croatia, HRV
45.127, 1909, Feb Average, Croatia, HRV
110.198, 1909, Mar Average, Croatia, HRV
64.0986, 1909, Apr Average, Croatia, HRV
101.346, 1909, May Average, Croatia, HRV
84.9728, 1909, Jun Average, Croatia, HRV
85.5827, 1909, Jul Average, Croatia, HRV
130.805, 1909, Aug Average, Croatia, HRV
113.792, 1909, Sep Average, Croatia, HRV
105.68, 1909, Oct Average, Croatia, HRV
101.825, 1909, Nov Average, Croatia, HRV
146.137, 1909, Dec Average, Croatia, HRV
123.527, 1910, Jan Average, Croatia, HRV
90.6114, 1910, Feb Average, Croatia, HRV
41.4932, 1910, Mar Average, Croatia, HRV
111.282, 1910, Apr Average, Croatia, HRV
106.992, 1910, May Average, Croatia, HRV
122.352, 1910, Jun Average, Croatia, HRV
120.901, 1910, Jul Average, Croatia, HRV
74.0468, 1910, Aug Average, Croatia, HRV
156.822, 1910, Sep Average, Croatia, HRV
127.033, 1910, Oct Average, Croatia, HRV
209.138, 1910, Nov Average, Croatia, HRV
108.702, 1910, Dec Average, Croatia, HRV
51.2778, 1911, Jan Average, Croatia, HRV
28.9278, 1911, Feb Average, Croatia, HRV
43.3297, 1911, Mar Average, Croatia, HRV
74.4722, 1911, Apr Average, Croatia, HRV
136.622, 1911, May Average, Croatia, HRV
109.87, 1911, Jun Average, Croatia, HRV
45.2943, 1911, Jul Average, Croatia, HRV
47.078, 1911, Aug Average, Croatia, HRV
109.577, 1911, Sep Average, Croatia, HRV
110.573, 1911, Oct Average, Croatia, HRV
65.8793, 1911, Nov Average, Croatia, HRV
106.748, 1911, Dec Average, Croatia, HRV
79.8184, 1912, Jan Average, Croatia, HRV
84.6524, 1912, Feb Average, Croatia, HRV
120.126, 1912, Mar Average, Croatia, HRV
117.345, 1912, Apr Average, Croatia, HRV
95.09, 1912, May Average, Croatia, HRV
96.1531, 1912, Jun Average, Croatia, HRV
64.3602, 1912, Jul Average, Croatia, HRV
88.5604, 1912, Aug Average, Croatia, HRV
147.978, 1912, Sep Average, Croatia, HRV
120.594, 1912, Oct Average, Croatia, HRV
105.92, 1912, Nov Average, Croatia, HRV
64.5513, 1912, Dec Average, Croatia, HRV
60.2088, 1913, Jan Average, Croatia, HRV
29.862, 1913, Feb Average, Croatia, HRV
27.4559, 1913, Mar Average, Croatia, HRV
76.1786, 1913, Apr Average, Croatia, HRV
97.7542, 1913, May Average, Croatia, HRV
104.519, 1913, Jun Average, Croatia, HRV
186.22, 1913, Jul Average, Croatia, HRV
123.631, 1913, Aug Average, Croatia, HRV
134.478, 1913, Sep Average, Croatia, HRV
45.7623, 1913, Oct Average, Croatia, HRV
96.1969, 1913, Nov Average, Croatia, HRV
105.823, 1913, Dec Average, Croatia, HRV
57.4806, 1914, Jan Average, Croatia, HRV
30.6103, 1914, Feb Average, Croatia, HRV
130.367, 1914, Mar Average, Croatia, HRV
57.2742, 1914, Apr Average, Croatia, HRV
129.636, 1914, May Average, Croatia, HRV
101.593, 1914, Jun Average, Croatia, HRV
146.277, 1914, Jul Average, Croatia, HRV
45.6222, 1914, Aug Average, Croatia, HRV
115.525, 1914, Sep Average, Croatia, HRV
87.1123, 1914, Oct Average, Croatia, HRV
75.1601, 1914, Nov Average, Croatia, HRV
131.045, 1914, Dec Average, Croatia, HRV
163.067, 1915, Jan Average, Croatia, HRV
121.193, 1915, Feb Average, Croatia, HRV
88.8499, 1915, Mar Average, Croatia, HRV
81.0277, 1915, Apr Average, Croatia, HRV
75.8996, 1915, May Average, Croatia, HRV
143.702, 1915, Jun Average, Croatia, HRV
158.759, 1915, Jul Average, Croatia, HRV
139.259, 1915, Aug Average, Croatia, HRV
106.713, 1915, Sep Average, Croatia, HRV
227.146, 1915, Oct Average, Croatia, HRV
128.557, 1915, Nov Average, Croatia, HRV
115.866, 1915, Dec Average, Croatia, HRV
24.9368, 1916, Jan Average, Croatia, HRV
68.7313, 1916, Feb Average, Croatia, HRV
126.547, 1916, Mar Average, Croatia, HRV
99.8713, 1916, Apr Average, Croatia, HRV
65.3359, 1916, May Average, Croatia, HRV
44.6691, 1916, Jun Average, Croatia, HRV
68.9741, 1916, Jul Average, Croatia, HRV
95.0754, 1916, Aug Average, Croatia, HRV
185.149, 1916, Sep Average, Croatia, HRV
145.652, 1916, Oct Average, Croatia, HRV
132.262, 1916, Nov Average, Croatia, HRV
194.666, 1916, Dec Average, Croatia, HRV
141.404, 1917, Jan Average, Croatia, HRV
51.6409, 1917, Feb Average, Croatia, HRV
118.354, 1917, Mar Average, Croatia, HRV
86.9063, 1917, Apr Average, Croatia, HRV
33.0728, 1917, May Average, Croatia, HRV
20.6294, 1917, Jun Average, Croatia, HRV
82.576, 1917, Jul Average, Croatia, HRV
68.8933, 1917, Aug Average, Croatia, HRV
35.839, 1917, Sep Average, Croatia, HRV
215.462, 1917, Oct Average, Croatia, HRV
162.903, 1917, Nov Average, Croatia, HRV
95.0908, 1917, Dec Average, Croatia, HRV
45.7711, 1918, Jan Average, Croatia, HRV
13.8976, 1918, Feb Average, Croatia, HRV
53.6845, 1918, Mar Average, Croatia, HRV
87.387, 1918, Apr Average, Croatia, HRV
89.317, 1918, May Average, Croatia, HRV
114.131, 1918, Jun Average, Croatia, HRV
68.0283, 1918, Jul Average, Croatia, HRV
114.679, 1918, Aug Average, Croatia, HRV
71.8863, 1918, Sep Average, Croatia, HRV
184.102, 1918, Oct Average, Croatia, HRV
51.5966, 1918, Nov Average, Croatia, HRV
104.87, 1918, Dec Average, Croatia, HRV
104.192, 1919, Jan Average, Croatia, HRV
62.4589, 1919, Feb Average, Croatia, HRV
97.9021, 1919, Mar Average, Croatia, HRV
143.962, 1919, Apr Average, Croatia, HRV
76.504, 1919, May Average, Croatia, HRV
107.445, 1919, Jun Average, Croatia, HRV
143.038, 1919, Jul Average, Croatia, HRV
57.9719, 1919, Aug Average, Croatia, HRV
101.779, 1919, Sep Average, Croatia, HRV
148.334, 1919, Oct Average, Croatia, HRV
200.12, 1919, Nov Average, Croatia, HRV
55.5615, 1919, Dec Average, Croatia, HRV
92.1607, 1920, Jan Average, Croatia, HRV
22.0708, 1920, Feb Average, Croatia, HRV
49.5423, 1920, Mar Average, Croatia, HRV
94.9633, 1920, Apr Average, Croatia, HRV
63.9295, 1920, May Average, Croatia, HRV
155.198, 1920, Jun Average, Croatia, HRV
94.2901, 1920, Jul Average, Croatia, HRV
89.3203, 1920, Aug Average, Croatia, HRV
62.0661, 1920, Sep Average, Croatia, HRV
64.4252, 1920, Oct Average, Croatia, HRV
32.6656, 1920, Nov Average, Croatia, HRV
128.083, 1920, Dec Average, Croatia, HRV
35.3673, 1921, Jan Average, Croatia, HRV
56.8898, 1921, Feb Average, Croatia, HRV
23.9183, 1921, Mar Average, Croatia, HRV
122.551, 1921, Apr Average, Croatia, HRV
106.075, 1921, May Average, Croatia, HRV
144.422, 1921, Jun Average, Croatia, HRV
31.9524, 1921, Jul Average, Croatia, HRV
69.623, 1921, Aug Average, Croatia, HRV
19.4152, 1921, Sep Average, Croatia, HRV
60.7393, 1921, Oct Average, Croatia, HRV
95.2458, 1921, Nov Average, Croatia, HRV
52.4648, 1921, Dec Average, Croatia, HRV
88.4969, 1922, Jan Average, Croatia, HRV
80.0205, 1922, Feb Average, Croatia, HRV
106.81, 1922, Mar Average, Croatia, HRV
157.005, 1922, Apr Average, Croatia, HRV
44.9273, 1922, May Average, Croatia, HRV
84.6003, 1922, Jun Average, Croatia, HRV
37.6303, 1922, Jul Average, Croatia, HRV
28.0642, 1922, Aug Average, Croatia, HRV
185.744, 1922, Sep Average, Croatia, HRV
203.024, 1922, Oct Average, Croatia, HRV
85.4966, 1922, Nov Average, Croatia, HRV
53.5193, 1922, Dec Average, Croatia, HRV
78.6002, 1923, Jan Average, Croatia, HRV
89.2088, 1923, Feb Average, Croatia, HRV
