Rainfall - (MM), Year, Statistics, Country, ISO3
73.2585, 1901, Jan Average, Haiti, HTI
27.845, 1901, Feb Average, Haiti, HTI
59.7231, 1901, Mar Average, Haiti, HTI
83.6724, 1901, Apr Average, Haiti, HTI
175.545, 1901, May Average, Haiti, HTI
283.671, 1901, Jun Average, Haiti, HTI
199.239, 1901, Jul Average, Haiti, HTI
132.388, 1901, Aug Average, Haiti, HTI
221.291, 1901, Sep Average, Haiti, HTI
195.475, 1901, Oct Average, Haiti, HTI
86.1212, 1901, Nov Average, Haiti, HTI
64.6041, 1901, Dec Average, Haiti, HTI
49.2586, 1902, Jan Average, Haiti, HTI
34.1424, 1902, Feb Average, Haiti, HTI
63.1079, 1902, Mar Average, Haiti, HTI
125.463, 1902, Apr Average, Haiti, HTI
213.457, 1902, May Average, Haiti, HTI
245.105, 1902, Jun Average, Haiti, HTI
81.0379, 1902, Jul Average, Haiti, HTI
134.31, 1902, Aug Average, Haiti, HTI
115.903, 1902, Sep Average, Haiti, HTI
137.771, 1902, Oct Average, Haiti, HTI
90.4506, 1902, Nov Average, Haiti, HTI
52.8287, 1902, Dec Average, Haiti, HTI
40.4028, 1903, Jan Average, Haiti, HTI
28.9238, 1903, Feb Average, Haiti, HTI
42.4837, 1903, Mar Average, Haiti, HTI
101.444, 1903, Apr Average, Haiti, HTI
368.21, 1903, May Average, Haiti, HTI
119.28, 1903, Jun Average, Haiti, HTI
74.7884, 1903, Jul Average, Haiti, HTI
212.066, 1903, Aug Average, Haiti, HTI
122.834, 1903, Sep Average, Haiti, HTI
133.897, 1903, Oct Average, Haiti, HTI
91.7173, 1903, Nov Average, Haiti, HTI
59.6852, 1903, Dec Average, Haiti, HTI
34.0149, 1904, Jan Average, Haiti, HTI
45.5713, 1904, Feb Average, Haiti, HTI
57.9104, 1904, Mar Average, Haiti, HTI
87.1444, 1904, Apr Average, Haiti, HTI
172.08, 1904, May Average, Haiti, HTI
262.854, 1904, Jun Average, Haiti, HTI
97.169, 1904, Jul Average, Haiti, HTI
105.972, 1904, Aug Average, Haiti, HTI
263.756, 1904, Sep Average, Haiti, HTI
268.429, 1904, Oct Average, Haiti, HTI
97.503, 1904, Nov Average, Haiti, HTI
44.1452, 1904, Dec Average, Haiti, HTI
42.145, 1905, Jan Average, Haiti, HTI
