Rainfall - (MM), Year, Statistics, Country, ISO3
34.401, 1901, Jan Average, Hungary, HUN
22.1574, 1901, Feb Average, Hungary, HUN
59.1057, 1901, Mar Average, Hungary, HUN
44.2655, 1901, Apr Average, Hungary, HUN
40.2918, 1901, May Average, Hungary, HUN
73.52, 1901, Jun Average, Hungary, HUN
74.8561, 1901, Jul Average, Hungary, HUN
67.6031, 1901, Aug Average, Hungary, HUN
54.9607, 1901, Sep Average, Hungary, HUN
48.0535, 1901, Oct Average, Hungary, HUN
40.7379, 1901, Nov Average, Hungary, HUN
49.989, 1901, Dec Average, Hungary, HUN
30.5773, 1902, Jan Average, Hungary, HUN
65.037, 1902, Feb Average, Hungary, HUN
44.9972, 1902, Mar Average, Hungary, HUN
43.5099, 1902, Apr Average, Hungary, HUN
91.1462, 1902, May Average, Hungary, HUN
94.1066, 1902, Jun Average, Hungary, HUN
81.5272, 1902, Jul Average, Hungary, HUN
45.7822, 1902, Aug Average, Hungary, HUN
35.0036, 1902, Sep Average, Hungary, HUN
92.7516, 1902, Oct Average, Hungary, HUN
9.95441, 1902, Nov Average, Hungary, HUN
43.2572, 1902, Dec Average, Hungary, HUN
27.1963, 1903, Jan Average, Hungary, HUN
16.9703, 1903, Feb Average, Hungary, HUN
24.0856, 1903, Mar Average, Hungary, HUN
89.3535, 1903, Apr Average, Hungary, HUN
45.9852, 1903, May Average, Hungary, HUN
86.4872, 1903, Jun Average, Hungary, HUN
104.105, 1903, Jul Average, Hungary, HUN
44.2153, 1903, Aug Average, Hungary, HUN
44.284, 1903, Sep Average, Hungary, HUN
48.8165, 1903, Oct Average, Hungary, HUN
71.5799, 1903, Nov Average, Hungary, HUN
57.9316, 1903, Dec Average, Hungary, HUN
24.028, 1904, Jan Average, Hungary, HUN
61.742, 1904, Feb Average, Hungary, HUN
42.0555, 1904, Mar Average, Hungary, HUN
33.0625, 1904, Apr Average, Hungary, HUN
53.3157, 1904, May Average, Hungary, HUN
56.1034, 1904, Jun Average, Hungary, HUN
17.76, 1904, Jul Average, Hungary, HUN
55.9889, 1904, Aug Average, Hungary, HUN
70.7413, 1904, Sep Average, Hungary, HUN
79.7028, 1904, Oct Average, Hungary, HUN
44.2922, 1904, Nov Average, Hungary, HUN
33.5203, 1904, Dec Average, Hungary, HUN
19.7504, 1905, Jan Average, Hungary, HUN
18.742, 1905, Feb Average, Hungary, HUN
33.6998, 1905, Mar Average, Hungary, HUN
61.7789, 1905, Apr Average, Hungary, HUN
82.2338, 1905, May Average, Hungary, HUN
77.3001, 1905, Jun Average, Hungary, HUN
37.8097, 1905, Jul Average, Hungary, HUN
52.5213, 1905, Aug Average, Hungary, HUN
64.1417, 1905, Sep Average, Hungary, HUN
103.709, 1905, Oct Average, Hungary, HUN
95.6591, 1905, Nov Average, Hungary, HUN
17.03, 1905, Dec Average, Hungary, HUN
35.102, 1906, Jan Average, Hungary, HUN
29.0995, 1906, Feb Average, Hungary, HUN
59.0027, 1906, Mar Average, Hungary, HUN
38.769, 1906, Apr Average, Hungary, HUN
64.6387, 1906, May Average, Hungary, HUN
105.656, 1906, Jun Average, Hungary, HUN
96.2375, 1906, Jul Average, Hungary, HUN
66.8138, 1906, Aug Average, Hungary, HUN
99.8597, 1906, Sep Average, Hungary, HUN
14.2251, 1906, Oct Average, Hungary, HUN
49.1902, 1906, Nov Average, Hungary, HUN
89.1293, 1906, Dec Average, Hungary, HUN
49.0406, 1907, Jan Average, Hungary, HUN
17.6747, 1907, Feb Average, Hungary, HUN
22.9482, 1907, Mar Average, Hungary, HUN
88.2468, 1907, Apr Average, Hungary, HUN
44.0114, 1907, May Average, Hungary, HUN
61.2502, 1907, Jun Average, Hungary, HUN
75.7709, 1907, Jul Average, Hungary, HUN
32.4888, 1907, Aug Average, Hungary, HUN
28.7759, 1907, Sep Average, Hungary, HUN
19.8443, 1907, Oct Average, Hungary, HUN
29.2845, 1907, Nov Average, Hungary, HUN
62.127, 1907, Dec Average, Hungary, HUN
24.0459, 1908, Jan Average, Hungary, HUN
52.3238, 1908, Feb Average, Hungary, HUN
42.9942, 1908, Mar Average, Hungary, HUN
72.0336, 1908, Apr Average, Hungary, HUN
47.7402, 1908, May Average, Hungary, HUN
38.2333, 1908, Jun Average, Hungary, HUN
65.3416, 1908, Jul Average, Hungary, HUN
77.0669, 1908, Aug Average, Hungary, HUN
25.7543, 1908, Sep Average, Hungary, HUN
9.17808, 1908, Oct Average, Hungary, HUN
45.744, 1908, Nov Average, Hungary, HUN
39.1399, 1908, Dec Average, Hungary, HUN
26.9393, 1909, Jan Average, Hungary, HUN
34.2967, 1909, Feb Average, Hungary, HUN
45.5821, 1909, Mar Average, Hungary, HUN
33.3641, 1909, Apr Average, Hungary, HUN
80.0323, 1909, May Average, Hungary, HUN
75.409, 1909, Jun Average, Hungary, HUN
73.8387, 1909, Jul Average, Hungary, HUN
68.8361, 1909, Aug Average, Hungary, HUN
57.9544, 1909, Sep Average, Hungary, HUN
32.2934, 1909, Oct Average, Hungary, HUN
