Rainfall - (MM), Year, Statistics, Country, ISO3
283.485, 1901, Jan Average, Indonesia, IDN
258.776, 1901, Feb Average, Indonesia, IDN
288.481, 1901, Mar Average, Indonesia, IDN
271.562, 1901, Apr Average, Indonesia, IDN
238.493, 1901, May Average, Indonesia, IDN
213.737, 1901, Jun Average, Indonesia, IDN
194.03, 1901, Jul Average, Indonesia, IDN
159.404, 1901, Aug Average, Indonesia, IDN
160.884, 1901, Sep Average, Indonesia, IDN
205.415, 1901, Oct Average, Indonesia, IDN
264.153, 1901, Nov Average, Indonesia, IDN
271.935, 1901, Dec Average, Indonesia, IDN
275.621, 1902, Jan Average, Indonesia, IDN
282.763, 1902, Feb Average, Indonesia, IDN
270.208, 1902, Mar Average, Indonesia, IDN
252.945, 1902, Apr Average, Indonesia, IDN
235.266, 1902, May Average, Indonesia, IDN
147.902, 1902, Jun Average, Indonesia, IDN
125.394, 1902, Jul Average, Indonesia, IDN
165.828, 1902, Aug Average, Indonesia, IDN
135.382, 1902, Sep Average, Indonesia, IDN
163.141, 1902, Oct Average, Indonesia, IDN
211.503, 1902, Nov Average, Indonesia, IDN
276.602, 1902, Dec Average, Indonesia, IDN
287.203, 1903, Jan Average, Indonesia, IDN
275.876, 1903, Feb Average, Indonesia, IDN
291.384, 1903, Mar Average, Indonesia, IDN
259.705, 1903, Apr Average, Indonesia, IDN
246.017, 1903, May Average, Indonesia, IDN
197.466, 1903, Jun Average, Indonesia, IDN
203.234, 1903, Jul Average, Indonesia, IDN
200.032, 1903, Aug Average, Indonesia, IDN
182.694, 1903, Sep Average, Indonesia, IDN
202.219, 1903, Oct Average, Indonesia, IDN
241.669, 1903, Nov Average, Indonesia, IDN
296.717, 1903, Dec Average, Indonesia, IDN
299.147, 1904, Jan Average, Indonesia, IDN
242.913, 1904, Feb Average, Indonesia, IDN
254.995, 1904, Mar Average, Indonesia, IDN
278.082, 1904, Apr Average, Indonesia, IDN
237.13, 1904, May Average, Indonesia, IDN
184.876, 1904, Jun Average, Indonesia, IDN
194.175, 1904, Jul Average, Indonesia, IDN
158.885, 1904, Aug Average, Indonesia, IDN
182.25, 1904, Sep Average, Indonesia, IDN
257.312, 1904, Oct Average, Indonesia, IDN
253.655, 1904, Nov Average, Indonesia, IDN
321.621, 1904, Dec Average, Indonesia, IDN
289.123, 1905, Jan Average, Indonesia, IDN
276.217, 1905, Feb Average, Indonesia, IDN
277.664, 1905, Mar Average, Indonesia, IDN
283.468, 1905, Apr Average, Indonesia, IDN
271.724, 1905, May Average, Indonesia, IDN
163.151, 1905, Jun Average, Indonesia, IDN
160.781, 1905, Jul Average, Indonesia, IDN
151.248, 1905, Aug Average, Indonesia, IDN
170.273, 1905, Sep Average, Indonesia, IDN
213, 1905, Oct Average, Indonesia, IDN
248.717, 1905, Nov Average, Indonesia, IDN
222.763, 1905, Dec Average, Indonesia, IDN
331.334, 1906, Jan Average, Indonesia, IDN
222.12, 1906, Feb Average, Indonesia, IDN
291.83, 1906, Mar Average, Indonesia, IDN
277.224, 1906, Apr Average, Indonesia, IDN
242.381, 1906, May Average, Indonesia, IDN
231.431, 1906, Jun Average, Indonesia, IDN
174.146, 1906, Jul Average, Indonesia, IDN
231.363, 1906, Aug Average, Indonesia, IDN
175.713, 1906, Sep Average, Indonesia, IDN
242.838, 1906, Oct Average, Indonesia, IDN
245.377, 1906, Nov Average, Indonesia, IDN
318.792, 1906, Dec Average, Indonesia, IDN
249.793, 1907, Jan Average, Indonesia, IDN
265.464, 1907, Feb Average, Indonesia, IDN
292.718, 1907, Mar Average, Indonesia, IDN
255.786, 1907, Apr Average, Indonesia, IDN
254.356, 1907, May Average, Indonesia, IDN
207.475, 1907, Jun Average, Indonesia, IDN
190.083, 1907, Jul Average, Indonesia, IDN
148.411, 1907, Aug Average, Indonesia, IDN
182.03, 1907, Sep Average, Indonesia, IDN
208.268, 1907, Oct Average, Indonesia, IDN
267.736, 1907, Nov Average, Indonesia, IDN
317.766, 1907, Dec Average, Indonesia, IDN
259.487, 1908, Jan Average, Indonesia, IDN
264.692, 1908, Feb Average, Indonesia, IDN
256.004, 1908, Mar Average, Indonesia, IDN
244.977, 1908, Apr Average, Indonesia, IDN
245.602, 1908, May Average, Indonesia, IDN
214.638, 1908, Jun Average, Indonesia, IDN
201.218, 1908, Jul Average, Indonesia, IDN
186.722, 1908, Aug Average, Indonesia, IDN
227.514, 1908, Sep Average, Indonesia, IDN
236.085, 1908, Oct Average, Indonesia, IDN
297.939, 1908, Nov Average, Indonesia, IDN
308.811, 1908, Dec Average, Indonesia, IDN
283.252, 1909, Jan Average, Indonesia, IDN
317.96, 1909, Feb Average, Indonesia, IDN
283.623, 1909, Mar Average, Indonesia, IDN
273.195, 1909, Apr Average, Indonesia, IDN
288.461, 1909, May Average, Indonesia, IDN
256.959, 1909, Jun Average, Indonesia, IDN
223.977, 1909, Jul Average, Indonesia, IDN
244.406, 1909, Aug Average, Indonesia, IDN
173.17, 1909, Sep Average, Indonesia, IDN
296.576, 1909, Oct Average, Indonesia, IDN
267.569, 1909, Nov Average, Indonesia, IDN
281.632, 1909, Dec Average, Indonesia, IDN
289.377, 1910, Jan Average, Indonesia, IDN
319.77, 1910, Feb Average, Indonesia, IDN
291.258, 1910, Mar Average, Indonesia, IDN
287.233, 1910, Apr Average, Indonesia, IDN
267.903, 1910, May Average, Indonesia, IDN
282.195, 1910, Jun Average, Indonesia, IDN
207.05, 1910, Jul Average, Indonesia, IDN
259.331, 1910, Aug Average, Indonesia, IDN
226.129, 1910, Sep Average, Indonesia, IDN
236.225, 1910, Oct Average, Indonesia, IDN
321.447, 1910, Nov Average, Indonesia, IDN
319.805, 1910, Dec Average, Indonesia, IDN
273.432, 1911, Jan Average, Indonesia, IDN
209.728, 1911, Feb Average, Indonesia, IDN
215.799, 1911, Mar Average, Indonesia, IDN
243.401, 1911, Apr Average, Indonesia, IDN
247.148, 1911, May Average, Indonesia, IDN
160.142, 1911, Jun Average, Indonesia, IDN
142.337, 1911, Jul Average, Indonesia, IDN
125.665, 1911, Aug Average, Indonesia, IDN
133.857, 1911, Sep Average, Indonesia, IDN
197.061, 1911, Oct Average, Indonesia, IDN
258.906, 1911, Nov Average, Indonesia, IDN
325.815, 1911, Dec Average, Indonesia, IDN
261.488, 1912, Jan Average, Indonesia, IDN
314.698, 1912, Feb Average, Indonesia, IDN
269.4, 1912, Mar Average, Indonesia, IDN
239.26, 1912, Apr Average, Indonesia, IDN
266.822, 1912, May Average, Indonesia, IDN
228.915, 1912, Jun Average, Indonesia, IDN
170.525, 1912, Jul Average, Indonesia, IDN
142.4, 1912, Aug Average, Indonesia, IDN
138.738, 1912, Sep Average, Indonesia, IDN
192.272, 1912, Oct Average, Indonesia, IDN
266.193, 1912, Nov Average, Indonesia, IDN
283.608, 1912, Dec Average, Indonesia, IDN
306.382, 1913, Jan Average, Indonesia, IDN
245.157, 1913, Feb Average, Indonesia, IDN
320.564, 1913, Mar Average, Indonesia, IDN
300.58, 1913, Apr Average, Indonesia, IDN
266.46, 1913, May Average, Indonesia, IDN
192.278, 1913, Jun Average, Indonesia, IDN
167.287, 1913, Jul Average, Indonesia, IDN
132.83, 1913, Aug Average, Indonesia, IDN
151.509, 1913, Sep Average, Indonesia, IDN
177.33, 1913, Oct Average, Indonesia, IDN
227.946, 1913, Nov Average, Indonesia, IDN
308.387, 1913, Dec Average, Indonesia, IDN
316.835, 1914, Jan Average, Indonesia, IDN
224.585, 1914, Feb Average, Indonesia, IDN
270.468, 1914, Mar Average, Indonesia, IDN
274.777, 1914, Apr Average, Indonesia, IDN
201.159, 1914, May Average, Indonesia, IDN
177.186, 1914, Jun Average, Indonesia, IDN
70.431, 1914, Jul Average, Indonesia, IDN
107.494, 1914, Aug Average, Indonesia, IDN
73.8325, 1914, Sep Average, Indonesia, IDN
136.288, 1914, Oct Average, Indonesia, IDN
209.307, 1914, Nov Average, Indonesia, IDN
259.988, 1914, Dec Average, Indonesia, IDN
292.376, 1915, Jan Average, Indonesia, IDN
210.673, 1915, Feb Average, Indonesia, IDN
263.119, 1915, Mar Average, Indonesia, IDN
265.836, 1915, Apr Average, Indonesia, IDN
262.927, 1915, May Average, Indonesia, IDN
176.359, 1915, Jun Average, Indonesia, IDN
138.457, 1915, Jul Average, Indonesia, IDN
181.347, 1915, Aug Average, Indonesia, IDN
198.636, 1915, Sep Average, Indonesia, IDN
218.244, 1915, Oct Average, Indonesia, IDN
329.065, 1915, Nov Average, Indonesia, IDN
287.32, 1915, Dec Average, Indonesia, IDN
246.033, 1916, Jan Average, Indonesia, IDN
213.495, 1916, Feb Average, Indonesia, IDN
329.666, 1916, Mar Average, Indonesia, IDN
255.473, 1916, Apr Average, Indonesia, IDN
240.07, 1916, May Average, Indonesia, IDN
187.198, 1916, Jun Average, Indonesia, IDN
292.25, 1916, Jul Average, Indonesia, IDN
275.505, 1916, Aug Average, Indonesia, IDN
212.249, 1916, Sep Average, Indonesia, IDN
294.789, 1916, Oct Average, Indonesia, IDN
295.194, 1916, Nov Average, Indonesia, IDN
293.553, 1916, Dec Average, Indonesia, IDN
336.358, 1917, Jan Average, Indonesia, IDN
309.329, 1917, Feb Average, Indonesia, IDN
313.751, 1917, Mar Average, Indonesia, IDN
235.125, 1917, Apr Average, Indonesia, IDN
255.427, 1917, May Average, Indonesia, IDN
212.739, 1917, Jun Average, Indonesia, IDN
179.582, 1917, Jul Average, Indonesia, IDN
288.143, 1917, Aug Average, Indonesia, IDN
214.367, 1917, Sep Average, Indonesia, IDN
293.446, 1917, Oct Average, Indonesia, IDN
258.796, 1917, Nov Average, Indonesia, IDN
304.491, 1917, Dec Average, Indonesia, IDN
344.864, 1918, Jan Average, Indonesia, IDN
223.81, 1918, Feb Average, Indonesia, IDN
227.097, 1918, Mar Average, Indonesia, IDN
275.647, 1918, Apr Average, Indonesia, IDN
251.263, 1918, May Average, Indonesia, IDN
188.552, 1918, Jun Average, Indonesia, IDN
90.0423, 1918, Jul Average, Indonesia, IDN
126.323, 1918, Aug Average, Indonesia, IDN
125.146, 1918, Sep Average, Indonesia, IDN
182.605, 1918, Oct Average, Indonesia, IDN
248.136, 1918, Nov Average, Indonesia, IDN
282.5, 1918, Dec Average, Indonesia, IDN
272.55, 1919, Jan Average, Indonesia, IDN
260.546, 1919, Feb Average, Indonesia, IDN
275.975, 1919, Mar Average, Indonesia, IDN
247.657, 1919, Apr Average, Indonesia, IDN
267.495, 1919, May Average, Indonesia, IDN
136.215, 1919, Jun Average, Indonesia, IDN
161.42, 1919, Jul Average, Indonesia, IDN
98.3664, 1919, Aug Average, Indonesia, IDN
181.774, 1919, Sep Average, Indonesia, IDN
149.948, 1919, Oct Average, Indonesia, IDN
239.261, 1919, Nov Average, Indonesia, IDN
283.794, 1919, Dec Average, Indonesia, IDN
321.801, 1920, Jan Average, Indonesia, IDN
218.794, 1920, Feb Average, Indonesia, IDN
264.776, 1920, Mar Average, Indonesia, IDN
