Rainfall - (MM), Year, Statistics, Country, ISO3
29.8409, 1901, Jan Average, India, IND
21.277, 1901, Feb Average, India, IND
20.6549, 1901, Mar Average, India, IND
22.9126, 1901, Apr Average, India, IND
51.8245, 1901, May Average, India, IND
102.149, 1901, Jun Average, India, IND
226.014, 1901, Jul Average, India, IND
246.507, 1901, Aug Average, India, IND
115.325, 1901, Sep Average, India, IND
54.2339, 1901, Oct Average, India, IND
37.146, 1901, Nov Average, India, IND
8.54215, 1901, Dec Average, India, IND
6.29279, 1902, Jan Average, India, IND
2.70003, 1902, Feb Average, India, IND
14.0353, 1902, Mar Average, India, IND
34.2501, 1902, Apr Average, India, IND
44.7959, 1902, May Average, India, IND
120.465, 1902, Jun Average, India, IND
247.437, 1902, Jul Average, India, IND
198.724, 1902, Aug Average, India, IND
203.163, 1902, Sep Average, India, IND
61.0189, 1902, Oct Average, India, IND
24.6103, 1902, Nov Average, India, IND
18.7475, 1902, Dec Average, India, IND
10.0131, 1903, Jan Average, India, IND
6.28947, 1903, Feb Average, India, IND
11.6004, 1903, Mar Average, India, IND
12.5477, 1903, Apr Average, India, IND
54.8008, 1903, May Average, India, IND
146.599, 1903, Jun Average, India, IND
270.755, 1903, Jul Average, India, IND
258.055, 1903, Aug Average, India, IND
183.061, 1903, Sep Average, India, IND
91.599, 1903, Oct Average, India, IND
37.0423, 1903, Nov Average, India, IND
14.8986, 1903, Dec Average, India, IND
8.77996, 1904, Jan Average, India, IND
7.5047, 1904, Feb Average, India, IND
24.1833, 1904, Mar Average, India, IND
23.7697, 1904, Apr Average, India, IND
66.6932, 1904, May Average, India, IND
137.088, 1904, Jun Average, India, IND
242.634, 1904, Jul Average, India, IND
215.794, 1904, Aug Average, India, IND
122.151, 1904, Sep Average, India, IND
61.7694, 1904, Oct Average, India, IND
9.39467, 1904, Nov Average, India, IND
9.35195, 1904, Dec Average, India, IND
16.8285, 1905, Jan Average, India, IND
16.5099, 1905, Feb Average, India, IND
24.7594, 1905, Mar Average, India, IND
32.5891, 1905, Apr Average, India, IND
48.0216, 1905, May Average, India, IND
72.739, 1905, Jun Average, India, IND
229.172, 1905, Jul Average, India, IND
212.898, 1905, Aug Average, India, IND
192.568, 1905, Sep Average, India, IND
46.8795, 1905, Oct Average, India, IND
8.86903, 1905, Nov Average, India, IND
4.94187, 1905, Dec Average, India, IND
10.965, 1906, Jan Average, India, IND
35.1545, 1906, Feb Average, India, IND
23.4116, 1906, Mar Average, India, IND
11.0414, 1906, Apr Average, India, IND
33.9573, 1906, May Average, India, IND
190.652, 1906, Jun Average, India, IND
261.244, 1906, Jul Average, India, IND
246.538, 1906, Aug Average, India, IND
153.134, 1906, Sep Average, India, IND
49.5092, 1906, Oct Average, India, IND
17.3529, 1906, Nov Average, India, IND
18.5486, 1906, Dec Average, India, IND
9.01215, 1907, Jan Average, India, IND
32.3976, 1907, Feb Average, India, IND
30.9315, 1907, Mar Average, India, IND
56.5579, 1907, Apr Average, India, IND
30.0017, 1907, May Average, India, IND
167.473, 1907, Jun Average, India, IND
203.306, 1907, Jul Average, India, IND
275.263, 1907, Aug Average, India, IND
90.4281, 1907, Sep Average, India, IND
18.0843, 1907, Oct Average, India, IND
20.7715, 1907, Nov Average, India, IND
8.74405, 1907, Dec Average, India, IND
15.4954, 1908, Jan Average, India, IND
15.7113, 1908, Feb Average, India, IND
8.05476, 1908, Mar Average, India, IND
21.2801, 1908, Apr Average, India, IND
42.1646, 1908, May Average, India, IND
154.414, 1908, Jun Average, India, IND
286.65, 1908, Jul Average, India, IND
315.623, 1908, Aug Average, India, IND
157.135, 1908, Sep Average, India, IND
33.4372, 1908, Oct Average, India, IND
4.22198, 1908, Nov Average, India, IND
3.40514, 1908, Dec Average, India, IND
15.8227, 1909, Jan Average, India, IND
10.0296, 1909, Feb Average, India, IND
3.44658, 1909, Mar Average, India, IND
61.8097, 1909, Apr Average, India, IND
48.7979, 1909, May Average, India, IND
220.977, 1909, Jun Average, India, IND
299.844, 1909, Jul Average, India, IND
221.173, 1909, Aug Average, India, IND
150.455, 1909, Sep Average, India, IND
32.3047, 1909, Oct Average, India, IND
8.15176, 1909, Nov Average, India, IND
19.8351, 1909, Dec Average, India, IND
10.3645, 1910, Jan Average, India, IND
9.00832, 1910, Feb Average, India, IND
10.1973, 1910, Mar Average, India, IND
23.5585, 1910, Apr Average, India, IND
37.9396, 1910, May Average, India, IND
208.023, 1910, Jun Average, India, IND
270.935, 1910, Jul Average, India, IND
271.557, 1910, Aug Average, India, IND
183.192, 1910, Sep Average, India, IND
91.4434, 1910, Oct Average, India, IND
36.952, 1910, Nov Average, India, IND
2.57647, 1910, Dec Average, India, IND
19.7044, 1911, Jan Average, India, IND
2.73148, 1911, Feb Average, India, IND
29.116, 1911, Mar Average, India, IND
22.2724, 1911, Apr Average, India, IND
47.8995, 1911, May Average, India, IND
194.866, 1911, Jun Average, India, IND
155.681, 1911, Jul Average, India, IND
215.99, 1911, Aug Average, India, IND
171.658, 1911, Sep Average, India, IND
63.4479, 1911, Oct Average, India, IND
38.0105, 1911, Nov Average, India, IND
10.0425, 1911, Dec Average, India, IND
