Rainfall - (MM), Year, Statistics, Country, ISO3
109.574, 1901, Jan Average, Ireland, IRL
43.898, 1901, Feb Average, Ireland, IRL
83.3711, 1901, Mar Average, Ireland, IRL
83.2656, 1901, Apr Average, Ireland, IRL
54.046, 1901, May Average, Ireland, IRL
71.8357, 1901, Jun Average, Ireland, IRL
33.0473, 1901, Jul Average, Ireland, IRL
92.1575, 1901, Aug Average, Ireland, IRL
140.456, 1901, Sep Average, Ireland, IRL
106.736, 1901, Oct Average, Ireland, IRL
108.343, 1901, Nov Average, Ireland, IRL
122.079, 1901, Dec Average, Ireland, IRL
77.5509, 1902, Jan Average, Ireland, IRL
79.228, 1902, Feb Average, Ireland, IRL
72.3021, 1902, Mar Average, Ireland, IRL
65.7885, 1902, Apr Average, Ireland, IRL
78.6377, 1902, May Average, Ireland, IRL
66.7679, 1902, Jun Average, Ireland, IRL
74.759, 1902, Jul Average, Ireland, IRL
72.3189, 1902, Aug Average, Ireland, IRL
80.9254, 1902, Sep Average, Ireland, IRL
67.3579, 1902, Oct Average, Ireland, IRL
150.864, 1902, Nov Average, Ireland, IRL
100.087, 1902, Dec Average, Ireland, IRL
161.622, 1903, Jan Average, Ireland, IRL
101.444, 1903, Feb Average, Ireland, IRL
165.515, 1903, Mar Average, Ireland, IRL
52.7095, 1903, Apr Average, Ireland, IRL
73.4662, 1903, May Average, Ireland, IRL
61.6924, 1903, Jun Average, Ireland, IRL
132.749, 1903, Jul Average, Ireland, IRL
136.585, 1903, Aug Average, Ireland, IRL
109.543, 1903, Sep Average, Ireland, IRL
150.968, 1903, Oct Average, Ireland, IRL
81.5976, 1903, Nov Average, Ireland, IRL
105.108, 1903, Dec Average, Ireland, IRL
123.861, 1904, Jan Average, Ireland, IRL
134.69, 1904, Feb Average, Ireland, IRL
77.3967, 1904, Mar Average, Ireland, IRL
67.0197, 1904, Apr Average, Ireland, IRL
74.0169, 1904, May Average, Ireland, IRL
52.4831, 1904, Jun Average, Ireland, IRL
99.9115, 1904, Jul Average, Ireland, IRL
103.495, 1904, Aug Average, Ireland, IRL
93.5162, 1904, Sep Average, Ireland, IRL
69.9758, 1904, Oct Average, Ireland, IRL
86.1329, 1904, Nov Average, Ireland, IRL
81.8149, 1904, Dec Average, Ireland, IRL
80.9694, 1905, Jan Average, Ireland, IRL
59.5888, 1905, Feb Average, Ireland, IRL
135.635, 1905, Mar Average, Ireland, IRL
76.4419, 1905, Apr Average, Ireland, IRL
37.1551, 1905, May Average, Ireland, IRL
50.2996, 1905, Jun Average, Ireland, IRL
49.6877, 1905, Jul Average, Ireland, IRL
141.721, 1905, Aug Average, Ireland, IRL
58.4242, 1905, Sep Average, Ireland, IRL
53.9622, 1905, Oct Average, Ireland, IRL
120.271, 1905, Nov Average, Ireland, IRL
77.6956, 1905, Dec Average, Ireland, IRL
141.156, 1906, Jan Average, Ireland, IRL
