Rainfall - (MM), Year, Statistics, Country, ISO3
16.061, 1901, Jan Average, Iran, IRN
9.5457, 1901, Feb Average, Iran, IRN
34.2487, 1901, Mar Average, Iran, IRN
23.1276, 1901, Apr Average, Iran, IRN
26.4278, 1901, May Average, Iran, IRN
3.34781, 1901, Jun Average, Iran, IRN
3.03418, 1901, Jul Average, Iran, IRN
2.63101, 1901, Aug Average, Iran, IRN
11.2284, 1901, Sep Average, Iran, IRN
16.9621, 1901, Oct Average, Iran, IRN
18.7873, 1901, Nov Average, Iran, IRN
17.2333, 1901, Dec Average, Iran, IRN
33.9262, 1902, Jan Average, Iran, IRN
19.6262, 1902, Feb Average, Iran, IRN
36.9739, 1902, Mar Average, Iran, IRN
35.6563, 1902, Apr Average, Iran, IRN
7.30986, 1902, May Average, Iran, IRN
2.92054, 1902, Jun Average, Iran, IRN
5.71542, 1902, Jul Average, Iran, IRN
1.83414, 1902, Aug Average, Iran, IRN
3.53239, 1902, Sep Average, Iran, IRN
15.8549, 1902, Oct Average, Iran, IRN
45.0239, 1902, Nov Average, Iran, IRN
30.1205, 1902, Dec Average, Iran, IRN
26.3826, 1903, Jan Average, Iran, IRN
30.0028, 1903, Feb Average, Iran, IRN
51.9688, 1903, Mar Average, Iran, IRN
27.1806, 1903, Apr Average, Iran, IRN
20.004, 1903, May Average, Iran, IRN
3.23038, 1903, Jun Average, Iran, IRN
2.05328, 1903, Jul Average, Iran, IRN
13.12, 1903, Aug Average, Iran, IRN
2.33426, 1903, Sep Average, Iran, IRN
2.36619, 1903, Oct Average, Iran, IRN
6.7037, 1903, Nov Average, Iran, IRN
21.0695, 1903, Dec Average, Iran, IRN
39.3766, 1904, Jan Average, Iran, IRN
20.2293, 1904, Feb Average, Iran, IRN
49.1444, 1904, Mar Average, Iran, IRN
27.3227, 1904, Apr Average, Iran, IRN
27.377, 1904, May Average, Iran, IRN
3.04017, 1904, Jun Average, Iran, IRN
1.15233, 1904, Jul Average, Iran, IRN
2.61699, 1904, Aug Average, Iran, IRN
3.27139, 1904, Sep Average, Iran, IRN
6.74937, 1904, Oct Average, Iran, IRN
15.444, 1904, Nov Average, Iran, IRN
43.013, 1904, Dec Average, Iran, IRN
34.6381, 1905, Jan Average, Iran, IRN
19.906, 1905, Feb Average, Iran, IRN
52.8362, 1905, Mar Average, Iran, IRN
15.7562, 1905, Apr Average, Iran, IRN
22.991, 1905, May Average, Iran, IRN
2.23708, 1905, Jun Average, Iran, IRN
5.99674, 1905, Jul Average, Iran, IRN
5.74225, 1905, Aug Average, Iran, IRN
1.25709, 1905, Sep Average, Iran, IRN
3.65067, 1905, Oct Average, Iran, IRN
8.16782, 1905, Nov Average, Iran, IRN
25.793, 1905, Dec Average, Iran, IRN
49.0443, 1906, Jan Average, Iran, IRN
40.8505, 1906, Feb Average, Iran, IRN
31.8926, 1906, Mar Average, Iran, IRN
37.3625, 1906, Apr Average, Iran, IRN
32.7451, 1906, May Average, Iran, IRN
10.9695, 1906, Jun Average, Iran, IRN
3.88703, 1906, Jul Average, Iran, IRN
2.43397, 1906, Aug Average, Iran, IRN
2.15792, 1906, Sep Average, Iran, IRN
6.1389, 1906, Oct Average, Iran, IRN
31.6382, 1906, Nov Average, Iran, IRN
31.187, 1906, Dec Average, Iran, IRN
18.8094, 1907, Jan Average, Iran, IRN
63.7521, 1907, Feb Average, Iran, IRN
39.4314, 1907, Mar Average, Iran, IRN
34.9218, 1907, Apr Average, Iran, IRN
24.2695, 1907, May Average, Iran, IRN
4.15966, 1907, Jun Average, Iran, IRN
1.38783, 1907, Jul Average, Iran, IRN
3.74339, 1907, Aug Average, Iran, IRN
2.35053, 1907, Sep Average, Iran, IRN
14.8333, 1907, Oct Average, Iran, IRN
13.5694, 1907, Nov Average, Iran, IRN
16.8119, 1907, Dec Average, Iran, IRN
58.2828, 1908, Jan Average, Iran, IRN
15.6477, 1908, Feb Average, Iran, IRN
42.4637, 1908, Mar Average, Iran, IRN
35.2122, 1908, Apr Average, Iran, IRN
20.2448, 1908, May Average, Iran, IRN
3.59906, 1908, Jun Average, Iran, IRN
1.1536, 1908, Jul Average, Iran, IRN
0.86561, 1908, Aug Average, Iran, IRN
3.46363, 1908, Sep Average, Iran, IRN
6.62405, 1908, Oct Average, Iran, IRN
9.67248, 1908, Nov Average, Iran, IRN
26.7431, 1908, Dec Average, Iran, IRN
53.0248, 1909, Jan Average, Iran, IRN
29.261, 1909, Feb Average, Iran, IRN
34.418, 1909, Mar Average, Iran, IRN
44.1754, 1909, Apr Average, Iran, IRN
10.7043, 1909, May Average, Iran, IRN
7.95617, 1909, Jun Average, Iran, IRN
2.07708, 1909, Jul Average, Iran, IRN
2.58808, 1909, Aug Average, Iran, IRN
1.89277, 1909, Sep Average, Iran, IRN
10.7093, 1909, Oct Average, Iran, IRN
5.65879, 1909, Nov Average, Iran, IRN
32.5174, 1909, Dec Average, Iran, IRN
44.1654, 1910, Jan Average, Iran, IRN
28.7869, 1910, Feb Average, Iran, IRN
65.2634, 1910, Mar Average, Iran, IRN
19.818, 1910, Apr Average, Iran, IRN
13.0985, 1910, May Average, Iran, IRN
2.8228, 1910, Jun Average, Iran, IRN
10.9712, 1910, Jul Average, Iran, IRN
1.50714, 1910, Aug Average, Iran, IRN
3.19617, 1910, Sep Average, Iran, IRN
2.82532, 1910, Oct Average, Iran, IRN
5.57893, 1910, Nov Average, Iran, IRN
29.0707, 1910, Dec Average, Iran, IRN
43.5432, 1911, Jan Average, Iran, IRN
14.8737, 1911, Feb Average, Iran, IRN
61.4951, 1911, Mar Average, Iran, IRN
34.5019, 1911, Apr Average, Iran, IRN
20.9632, 1911, May Average, Iran, IRN
3.06052, 1911, Jun Average, Iran, IRN
1.64044, 1911, Jul Average, Iran, IRN
3.10672, 1911, Aug Average, Iran, IRN
1.69166, 1911, Sep Average, Iran, IRN
5.51407, 1911, Oct Average, Iran, IRN
23.1804, 1911, Nov Average, Iran, IRN
36.5501, 1911, Dec Average, Iran, IRN
42.9997, 1912, Jan Average, Iran, IRN
21.2085, 1912, Feb Average, Iran, IRN
23.4813, 1912, Mar Average, Iran, IRN
30.5066, 1912, Apr Average, Iran, IRN
13.306, 1912, May Average, Iran, IRN
17.2861, 1912, Jun Average, Iran, IRN
1.75614, 1912, Jul Average, Iran, IRN
2.41743, 1912, Aug Average, Iran, IRN
0.74885, 1912, Sep Average, Iran, IRN
6.62196, 1912, Oct Average, Iran, IRN
7.80278, 1912, Nov Average, Iran, IRN
25.9131, 1912, Dec Average, Iran, IRN
33.262, 1913, Jan Average, Iran, IRN
37.458, 1913, Feb Average, Iran, IRN
25.0938, 1913, Mar Average, Iran, IRN
19.7301, 1913, Apr Average, Iran, IRN
14.9343, 1913, May Average, Iran, IRN
1.32222, 1913, Jun Average, Iran, IRN
1.11937, 1913, Jul Average, Iran, IRN
0.78327, 1913, Aug Average, Iran, IRN
2.52712, 1913, Sep Average, Iran, IRN
16.127, 1913, Oct Average, Iran, IRN
19.1281, 1913, Nov Average, Iran, IRN
39.5658, 1913, Dec Average, Iran, IRN
31.2493, 1914, Jan Average, Iran, IRN
41.905, 1914, Feb Average, Iran, IRN
26.9641, 1914, Mar Average, Iran, IRN
54.3227, 1914, Apr Average, Iran, IRN
10.2077, 1914, May Average, Iran, IRN
17.0972, 1914, Jun Average, Iran, IRN
2.04947, 1914, Jul Average, Iran, IRN
2.28999, 1914, Aug Average, Iran, IRN
1.60508, 1914, Sep Average, Iran, IRN
15.3196, 1914, Oct Average, Iran, IRN
34.4893, 1914, Nov Average, Iran, IRN
23.2041, 1914, Dec Average, Iran, IRN
16.16, 1915, Jan Average, Iran, IRN
17.9917, 1915, Feb Average, Iran, IRN
77.6849, 1915, Mar Average, Iran, IRN
64.8257, 1915, Apr Average, Iran, IRN
16.5561, 1915, May Average, Iran, IRN
8.28168, 1915, Jun Average, Iran, IRN
6.26628, 1915, Jul Average, Iran, IRN
2.25894, 1915, Aug Average, Iran, IRN
1.61495, 1915, Sep Average, Iran, IRN
3.66722, 1915, Oct Average, Iran, IRN
3.62913, 1915, Nov Average, Iran, IRN
12.0718, 1915, Dec Average, Iran, IRN
51.2723, 1916, Jan Average, Iran, IRN
31.1988, 1916, Feb Average, Iran, IRN
35.3267, 1916, Mar Average, Iran, IRN
44.0329, 1916, Apr Average, Iran, IRN
26.6941, 1916, May Average, Iran, IRN
3.23869, 1916, Jun Average, Iran, IRN
4.59103, 1916, Jul Average, Iran, IRN
1.20902, 1916, Aug Average, Iran, IRN
3.48719, 1916, Sep Average, Iran, IRN
5.62126, 1916, Oct Average, Iran, IRN
7.55493, 1916, Nov Average, Iran, IRN
13.3332, 1916, Dec Average, Iran, IRN
30.9652, 1917, Jan Average, Iran, IRN
28.5424, 1917, Feb Average, Iran, IRN
14.2619, 1917, Mar Average, Iran, IRN
6.26169, 1917, Apr Average, Iran, IRN
12.0685, 1917, May Average, Iran, IRN
1.44164, 1917, Jun Average, Iran, IRN
1.06763, 1917, Jul Average, Iran, IRN
3.62857, 1917, Aug Average, Iran, IRN
0.91017, 1917, Sep Average, Iran, IRN
5.86762, 1917, Oct Average, Iran, IRN
4.34645, 1917, Nov Average, Iran, IRN
28.3049, 1917, Dec Average, Iran, IRN
18.9081, 1918, Jan Average, Iran, IRN
37.597, 1918, Feb Average, Iran, IRN
51.5408, 1918, Mar Average, Iran, IRN
42.4446, 1918, Apr Average, Iran, IRN
11.3886, 1918, May Average, Iran, IRN
6.62043, 1918, Jun Average, Iran, IRN
1.36145, 1918, Jul Average, Iran, IRN
3.32748, 1918, Aug Average, Iran, IRN
1.43279, 1918, Sep Average, Iran, IRN
6.79055, 1918, Oct Average, Iran, IRN
7.82546, 1918, Nov Average, Iran, IRN
31.7225, 1918, Dec Average, Iran, IRN
36.2289, 1919, Jan Average, Iran, IRN
32.1886, 1919, Feb Average, Iran, IRN
17.8279, 1919, Mar Average, Iran, IRN
36.3574, 1919, Apr Average, Iran, IRN
18.2562, 1919, May Average, Iran, IRN
2.6978, 1919, Jun Average, Iran, IRN
1.88949, 1919, Jul Average, Iran, IRN
1.9398, 1919, Aug Average, Iran, IRN
6.20065, 1919, Sep Average, Iran, IRN
3.95807, 1919, Oct Average, Iran, IRN
4.99977, 1919, Nov Average, Iran, IRN
