Rainfall - (MM), Year, Statistics, Country, ISO3
145.985, 1901, Jan Average, Iceland, ISL
19.4087, 1901, Feb Average, Iceland, ISL
48.6011, 1901, Mar Average, Iceland, ISL
73.788, 1901, Apr Average, Iceland, ISL
99.2364, 1901, May Average, Iceland, ISL
51.9213, 1901, Jun Average, Iceland, ISL
88.9083, 1901, Jul Average, Iceland, ISL
71.3633, 1901, Aug Average, Iceland, ISL
119.284, 1901, Sep Average, Iceland, ISL
89.7635, 1901, Oct Average, Iceland, ISL
56.8419, 1901, Nov Average, Iceland, ISL
51.0175, 1901, Dec Average, Iceland, ISL
78.8613, 1902, Jan Average, Iceland, ISL
49.7641, 1902, Feb Average, Iceland, ISL
59.3021, 1902, Mar Average, Iceland, ISL
40.3165, 1902, Apr Average, Iceland, ISL
50.2028, 1902, May Average, Iceland, ISL
40.3443, 1902, Jun Average, Iceland, ISL
23.9933, 1902, Jul Average, Iceland, ISL
52.3602, 1902, Aug Average, Iceland, ISL
61.8837, 1902, Sep Average, Iceland, ISL
99.524, 1902, Oct Average, Iceland, ISL
133.902, 1902, Nov Average, Iceland, ISL
122.244, 1902, Dec Average, Iceland, ISL
92.8574, 1903, Jan Average, Iceland, ISL
68.6548, 1903, Feb Average, Iceland, ISL
56.86, 1903, Mar Average, Iceland, ISL
56.5025, 1903, Apr Average, Iceland, ISL
45.8708, 1903, May Average, Iceland, ISL
73.1996, 1903, Jun Average, Iceland, ISL
22.4531, 1903, Jul Average, Iceland, ISL
37.053, 1903, Aug Average, Iceland, ISL
137.606, 1903, Sep Average, Iceland, ISL
72.3371, 1903, Oct Average, Iceland, ISL
87.5362, 1903, Nov Average, Iceland, ISL
130.435, 1903, Dec Average, Iceland, ISL
88.3575, 1904, Jan Average, Iceland, ISL
59.465, 1904, Feb Average, Iceland, ISL
102.553, 1904, Mar Average, Iceland, ISL
53.5509, 1904, Apr Average, Iceland, ISL
92.0097, 1904, May Average, Iceland, ISL
49.6669, 1904, Jun Average, Iceland, ISL
57.8635, 1904, Jul Average, Iceland, ISL
52.9024, 1904, Aug Average, Iceland, ISL
124.917, 1904, Sep Average, Iceland, ISL
122.361, 1904, Oct Average, Iceland, ISL
87.2559, 1904, Nov Average, Iceland, ISL
69.2439, 1904, Dec Average, Iceland, ISL
141.467, 1905, Jan Average, Iceland, ISL
63.6358, 1905, Feb Average, Iceland, ISL
64.5396, 1905, Mar Average, Iceland, ISL
28.0301, 1905, Apr Average, Iceland, ISL
57.8452, 1905, May Average, Iceland, ISL
32.8883, 1905, Jun Average, Iceland, ISL
73.1893, 1905, Jul Average, Iceland, ISL
45.0575, 1905, Aug Average, Iceland, ISL
109.669, 1905, Sep Average, Iceland, ISL
79.8244, 1905, Oct Average, Iceland, ISL
73.9896, 1905, Nov Average, Iceland, ISL
98.3777, 1905, Dec Average, Iceland, ISL
88.3147, 1906, Jan Average, Iceland, ISL
42.6034, 1906, Feb Average, Iceland, ISL
28.2809, 1906, Mar Average, Iceland, ISL
83.0125, 1906, Apr Average, Iceland, ISL
27.1968, 1906, May Average, Iceland, ISL
61.5086, 1906, Jun Average, Iceland, ISL
106.833, 1906, Jul Average, Iceland, ISL
29.1235, 1906, Aug Average, Iceland, ISL
149.971, 1906, Sep Average, Iceland, ISL
110.993, 1906, Oct Average, Iceland, ISL
90.4693, 1906, Nov Average, Iceland, ISL
77.9258, 1906, Dec Average, Iceland, ISL
113.556, 1907, Jan Average, Iceland, ISL
55.1247, 1907, Feb Average, Iceland, ISL
65.2305, 1907, Mar Average, Iceland, ISL
50.7581, 1907, Apr Average, Iceland, ISL
24.8167, 1907, May Average, Iceland, ISL
22.8849, 1907, Jun Average, Iceland, ISL
47.8025, 1907, Jul Average, Iceland, ISL
33.1401, 1907, Aug Average, Iceland, ISL
96.6742, 1907, Sep Average, Iceland, ISL
63.405, 1907, Oct Average, Iceland, ISL
81.6547, 1907, Nov Average, Iceland, ISL
96.7001, 1907, Dec Average, Iceland, ISL
82.0249, 1908, Jan Average, Iceland, ISL
56.344, 1908, Feb Average, Iceland, ISL
65.936, 1908, Mar Average, Iceland, ISL
43.8642, 1908, Apr Average, Iceland, ISL
46.0039, 1908, May Average, Iceland, ISL
85.1329, 1908, Jun Average, Iceland, ISL
27.2669, 1908, Jul Average, Iceland, ISL
47.1294, 1908, Aug Average, Iceland, ISL
93.0729, 1908, Sep Average, Iceland, ISL
188.768, 1908, Oct Average, Iceland, ISL
81.7867, 1908, Nov Average, Iceland, ISL
102.748, 1908, Dec Average, Iceland, ISL
80.6971, 1909, Jan Average, Iceland, ISL
69.737, 1909, Feb Average, Iceland, ISL
51.3844, 1909, Mar Average, Iceland, ISL
60.9459, 1909, Apr Average, Iceland, ISL
59.2215, 1909, May Average, Iceland, ISL
17.0971, 1909, Jun Average, Iceland, ISL
43.4266, 1909, Jul Average, Iceland, ISL
116.065, 1909, Aug Average, Iceland, ISL
53.5513, 1909, Sep Average, Iceland, ISL
98.4945, 1909, Oct Average, Iceland, ISL
61.3691, 1909, Nov Average, Iceland, ISL
56.4652, 1909, Dec Average, Iceland, ISL
63.5978, 1910, Jan Average, Iceland, ISL
52.0991, 1910, Feb Average, Iceland, ISL
88.8341, 1910, Mar Average, Iceland, ISL
32.9189, 1910, Apr Average, Iceland, ISL
52.9437, 1910, May Average, Iceland, ISL
55.9939, 1910, Jun Average, Iceland, ISL
38.8228, 1910, Jul Average, Iceland, ISL
38.6206, 1910, Aug Average, Iceland, ISL
114.342, 1910, Sep Average, Iceland, ISL
101.108, 1910, Oct Average, Iceland, ISL
47.994, 1910, Nov Average, Iceland, ISL
79.7196, 1910, Dec Average, Iceland, ISL
87.1796, 1911, Jan Average, Iceland, ISL
52.6336, 1911, Feb Average, Iceland, ISL
43.6387, 1911, Mar Average, Iceland, ISL
25.8572, 1911, Apr Average, Iceland, ISL
85.6273, 1911, May Average, Iceland, ISL
41.8627, 1911, Jun Average, Iceland, ISL
65.3723, 1911, Jul Average, Iceland, ISL
53.5878, 1911, Aug Average, Iceland, ISL
83.9482, 1911, Sep Average, Iceland, ISL
61.2703, 1911, Oct Average, Iceland, ISL
65.6732, 1911, Nov Average, Iceland, ISL
128.642, 1911, Dec Average, Iceland, ISL
64.806, 1912, Jan Average, Iceland, ISL
48.0254, 1912, Feb Average, Iceland, ISL
36.6208, 1912, Mar Average, Iceland, ISL
48.5227, 1912, Apr Average, Iceland, ISL
42.6103, 1912, May Average, Iceland, ISL
36.9479, 1912, Jun Average, Iceland, ISL
49.1682, 1912, Jul Average, Iceland, ISL
35.5045, 1912, Aug Average, Iceland, ISL
86.9573, 1912, Sep Average, Iceland, ISL
112.612, 1912, Oct Average, Iceland, ISL
97.0843, 1912, Nov Average, Iceland, ISL
48.9686, 1912, Dec Average, Iceland, ISL
110.734, 1913, Jan Average, Iceland, ISL
76.9701, 1913, Feb Average, Iceland, ISL
58.9284, 1913, Mar Average, Iceland, ISL
79.4916, 1913, Apr Average, Iceland, ISL
22.3309, 1913, May Average, Iceland, ISL
43.9687, 1913, Jun Average, Iceland, ISL
66.8739, 1913, Jul Average, Iceland, ISL
108.893, 1913, Aug Average, Iceland, ISL
66.7149, 1913, Sep Average, Iceland, ISL
35.7129, 1913, Oct Average, Iceland, ISL
102.052, 1913, Nov Average, Iceland, ISL
67.4719, 1913, Dec Average, Iceland, ISL
72.164, 1914, Jan Average, Iceland, ISL
37.4809, 1914, Feb Average, Iceland, ISL
26.4697, 1914, Mar Average, Iceland, ISL
52.5457, 1914, Apr Average, Iceland, ISL
36.9239, 1914, May Average, Iceland, ISL
64.9313, 1914, Jun Average, Iceland, ISL
34.7867, 1914, Jul Average, Iceland, ISL
63.0392, 1914, Aug Average, Iceland, ISL
136.605, 1914, Sep Average, Iceland, ISL
109.114, 1914, Oct Average, Iceland, ISL
60.0959, 1914, Nov Average, Iceland, ISL
102.078, 1914, Dec Average, Iceland, ISL
65.1183, 1915, Jan Average, Iceland, ISL
48.9264, 1915, Feb Average, Iceland, ISL
22.4618, 1915, Mar Average, Iceland, ISL
56.2162, 1915, Apr Average, Iceland, ISL
18.4876, 1915, May Average, Iceland, ISL
27.9457, 1915, Jun Average, Iceland, ISL
48.8079, 1915, Jul Average, Iceland, ISL
39.6886, 1915, Aug Average, Iceland, ISL
64.8929, 1915, Sep Average, Iceland, ISL
187.087, 1915, Oct Average, Iceland, ISL
47.1093, 1915, Nov Average, Iceland, ISL
66.4884, 1915, Dec Average, Iceland, ISL
127.308, 1916, Jan Average, Iceland, ISL
58.8405, 1916, Feb Average, Iceland, ISL
10.4886, 1916, Mar Average, Iceland, ISL
37.8176, 1916, Apr Average, Iceland, ISL
34.3872, 1916, May Average, Iceland, ISL
4.82489, 1916, Jun Average, Iceland, ISL
