Rainfall - (MM), Year, Statistics, Country, ISO3
35.1622, 1901, Jan Average, Italy, ITA
78.6309, 1901, Feb Average, Italy, ITA
130.174, 1901, Mar Average, Italy, ITA
64.4192, 1901, Apr Average, Italy, ITA
75.7613, 1901, May Average, Italy, ITA
79.4443, 1901, Jun Average, Italy, ITA
77.5308, 1901, Jul Average, Italy, ITA
58.7926, 1901, Aug Average, Italy, ITA
148.934, 1901, Sep Average, Italy, ITA
163.451, 1901, Oct Average, Italy, ITA
72.3101, 1901, Nov Average, Italy, ITA
142.063, 1901, Dec Average, Italy, ITA
58.5883, 1902, Jan Average, Italy, ITA
142.849, 1902, Feb Average, Italy, ITA
72.7195, 1902, Mar Average, Italy, ITA
75.6481, 1902, Apr Average, Italy, ITA
85.6695, 1902, May Average, Italy, ITA
60.9135, 1902, Jun Average, Italy, ITA
36.4918, 1902, Jul Average, Italy, ITA
46.717, 1902, Aug Average, Italy, ITA
57.9693, 1902, Sep Average, Italy, ITA
139.288, 1902, Oct Average, Italy, ITA
93.4118, 1902, Nov Average, Italy, ITA
65.7939, 1902, Dec Average, Italy, ITA
56.8082, 1903, Jan Average, Italy, ITA
31.4827, 1903, Feb Average, Italy, ITA
55.7232, 1903, Mar Average, Italy, ITA
83.4606, 1903, Apr Average, Italy, ITA
68.2453, 1903, May Average, Italy, ITA
111.434, 1903, Jun Average, Italy, ITA
64.4964, 1903, Jul Average, Italy, ITA
32.5794, 1903, Aug Average, Italy, ITA
54.1931, 1903, Sep Average, Italy, ITA
123.3, 1903, Oct Average, Italy, ITA
107.528, 1903, Nov Average, Italy, ITA
164.064, 1903, Dec Average, Italy, ITA
70.1865, 1904, Jan Average, Italy, ITA
102.335, 1904, Feb Average, Italy, ITA
119.1, 1904, Mar Average, Italy, ITA
65.0679, 1904, Apr Average, Italy, ITA
46.9223, 1904, May Average, Italy, ITA
70.3073, 1904, Jun Average, Italy, ITA
33.7741, 1904, Jul Average, Italy, ITA
69.4656, 1904, Aug Average, Italy, ITA
101.684, 1904, Sep Average, Italy, ITA
92.5722, 1904, Oct Average, Italy, ITA
72.5167, 1904, Nov Average, Italy, ITA
82.463, 1904, Dec Average, Italy, ITA
61.6468, 1905, Jan Average, Italy, ITA
87.1627, 1905, Feb Average, Italy, ITA
79.4744, 1905, Mar Average, Italy, ITA
69.6126, 1905, Apr Average, Italy, ITA
143.105, 1905, May Average, Italy, ITA
83.1374, 1905, Jun Average, Italy, ITA
63.2285, 1905, Jul Average, Italy, ITA
95.0131, 1905, Aug Average, Italy, ITA
82.0952, 1905, Sep Average, Italy, ITA
100.946, 1905, Oct Average, Italy, ITA
179.903, 1905, Nov Average, Italy, ITA
48.2214, 1905, Dec Average, Italy, ITA
62.9484, 1906, Jan Average, Italy, ITA
95.7793, 1906, Feb Average, Italy, ITA
73.3641, 1906, Mar Average, Italy, ITA
71.7287, 1906, Apr Average, Italy, ITA
72.9863, 1906, May Average, Italy, ITA
51.452, 1906, Jun Average, Italy, ITA
70.5472, 1906, Jul Average, Italy, ITA
28.4957, 1906, Aug Average, Italy, ITA
56.8537, 1906, Sep Average, Italy, ITA
84.1311, 1906, Oct Average, Italy, ITA
135.083, 1906, Nov Average, Italy, ITA
97.5563, 1906, Dec Average, Italy, ITA
67.3485, 1907, Jan Average, Italy, ITA
67.8178, 1907, Feb Average, Italy, ITA
33.5959, 1907, Mar Average, Italy, ITA
100.986, 1907, Apr Average, Italy, ITA
51.8357, 1907, May Average, Italy, ITA
57.5072, 1907, Jun Average, Italy, ITA
45.3519, 1907, Jul Average, Italy, ITA
38.0421, 1907, Aug Average, Italy, ITA
77.9556, 1907, Sep Average, Italy, ITA
