Rainfall - (MM), Year, Statistics, Country, ISO3
317.605, 1901, Jan Average, Jamaica, JAM
5.59506, 1901, Feb Average, Jamaica, JAM
67.9854, 1901, Mar Average, Jamaica, JAM
15.2121, 1901, Apr Average, Jamaica, JAM
82.4892, 1901, May Average, Jamaica, JAM
596.251, 1901, Jun Average, Jamaica, JAM
403.614, 1901, Jul Average, Jamaica, JAM
138.037, 1901, Aug Average, Jamaica, JAM
389.177, 1901, Sep Average, Jamaica, JAM
299.286, 1901, Oct Average, Jamaica, JAM
41.528, 1901, Nov Average, Jamaica, JAM
249.746, 1901, Dec Average, Jamaica, JAM
147.219, 1902, Jan Average, Jamaica, JAM
24.4304, 1902, Feb Average, Jamaica, JAM
79.7615, 1902, Mar Average, Jamaica, JAM
149.125, 1902, Apr Average, Jamaica, JAM
191.793, 1902, May Average, Jamaica, JAM
478.923, 1902, Jun Average, Jamaica, JAM
33.3736, 1902, Jul Average, Jamaica, JAM
141.692, 1902, Aug Average, Jamaica, JAM
24.2256, 1902, Sep Average, Jamaica, JAM
105.533, 1902, Oct Average, Jamaica, JAM
126.306, 1902, Nov Average, Jamaica, JAM
123.239, 1902, Dec Average, Jamaica, JAM
109.439, 1903, Jan Average, Jamaica, JAM
10.7129, 1903, Feb Average, Jamaica, JAM
15.1967, 1903, Mar Average, Jamaica, JAM
64.0875, 1903, Apr Average, Jamaica, JAM
724.249, 1903, May Average, Jamaica, JAM
62.4162, 1903, Jun Average, Jamaica, JAM
9.75236, 1903, Jul Average, Jamaica, JAM
389.17, 1903, Aug Average, Jamaica, JAM
33.7237, 1903, Sep Average, Jamaica, JAM
73.8066, 1903, Oct Average, Jamaica, JAM
138.04, 1903, Nov Average, Jamaica, JAM
183.254, 1903, Dec Average, Jamaica, JAM
48.3193, 1904, Jan Average, Jamaica, JAM
74.2357, 1904, Feb Average, Jamaica, JAM
52.7074, 1904, Mar Average, Jamaica, JAM
31.003, 1904, Apr Average, Jamaica, JAM
93.0872, 1904, May Average, Jamaica, JAM
542.916, 1904, Jun Average, Jamaica, JAM
75.7312, 1904, Jul Average, Jamaica, JAM
36.8023, 1904, Aug Average, Jamaica, JAM
496.473, 1904, Sep Average, Jamaica, JAM
676.717, 1904, Oct Average, Jamaica, JAM
134.891, 1904, Nov Average, Jamaica, JAM
75.0315, 1904, Dec Average, Jamaica, JAM
