Rainfall - (MM), Year, Statistics, Country, ISO3
31.8431, 1901, Jan Average, Jordan, JOR
0.7177, 1901, Feb Average, Jordan, JOR
5.44981, 1901, Mar Average, Jordan, JOR
2.90842, 1901, Apr Average, Jordan, JOR
21.5621, 1901, May Average, Jordan, JOR
0.44517, 1901, Jun Average, Jordan, JOR
0.55583, 1901, Jul Average, Jordan, JOR
0.5342, 1901, Aug Average, Jordan, JOR
0.0014, 1901, Sep Average, Jordan, JOR
1.33142, 1901, Oct Average, Jordan, JOR
8.33014, 1901, Nov Average, Jordan, JOR
22.6812, 1901, Dec Average, Jordan, JOR
37.299, 1902, Jan Average, Jordan, JOR
8.97631, 1902, Feb Average, Jordan, JOR
11.4055, 1902, Mar Average, Jordan, JOR
13.0514, 1902, Apr Average, Jordan, JOR
0.97592, 1902, May Average, Jordan, JOR
0.44485, 1902, Jun Average, Jordan, JOR
0.56126, 1902, Jul Average, Jordan, JOR
0.5342, 1902, Aug Average, Jordan, JOR
0.00013, 1902, Sep Average, Jordan, JOR
3.57337, 1902, Oct Average, Jordan, JOR
26.8369, 1902, Nov Average, Jordan, JOR
24.665, 1902, Dec Average, Jordan, JOR
25.7837, 1903, Jan Average, Jordan, JOR
19.4452, 1903, Feb Average, Jordan, JOR
19.4099, 1903, Mar Average, Jordan, JOR
2.07496, 1903, Apr Average, Jordan, JOR
0.08519, 1903, May Average, Jordan, JOR
0.16837, 1903, Jun Average, Jordan, JOR
0.54886, 1903, Jul Average, Jordan, JOR
0.5342, 1903, Aug Average, Jordan, JOR
0, 1903, Sep Average, Jordan, JOR
0.68843, 1903, Oct Average, Jordan, JOR
8.08164, 1903, Nov Average, Jordan, JOR
13.6396, 1903, Dec Average, Jordan, JOR
34.0052, 1904, Jan Average, Jordan, JOR
13.5842, 1904, Feb Average, Jordan, JOR
23.2303, 1904, Mar Average, Jordan, JOR
11.2818, 1904, Apr Average, Jordan, JOR
2.74, 1904, May Average, Jordan, JOR
0.17084, 1904, Jun Average, Jordan, JOR
0.55711, 1904, Jul Average, Jordan, JOR
0.5342, 1904, Aug Average, Jordan, JOR
0.00111, 1904, Sep Average, Jordan, JOR
5.04778, 1904, Oct Average, Jordan, JOR
18.9356, 1904, Nov Average, Jordan, JOR
52.7442, 1904, Dec Average, Jordan, JOR
19.2762, 1905, Jan Average, Jordan, JOR
27.7479, 1905, Feb Average, Jordan, JOR
34.8771, 1905, Mar Average, Jordan, JOR
13.4946, 1905, Apr Average, Jordan, JOR
2.81516, 1905, May Average, Jordan, JOR
0.19894, 1905, Jun Average, Jordan, JOR
0.54886, 1905, Jul Average, Jordan, JOR
0.5342, 1905, Aug Average, Jordan, JOR
0.00665, 1905, Sep Average, Jordan, JOR
4.24404, 1905, Oct Average, Jordan, JOR
2.08504, 1905, Nov Average, Jordan, JOR
48.6139, 1905, Dec Average, Jordan, JOR
25.7365, 1906, Jan Average, Jordan, JOR
27.9052, 1906, Feb Average, Jordan, JOR
15.5348, 1906, Mar Average, Jordan, JOR
31.5876, 1906, Apr Average, Jordan, JOR
21.3282, 1906, May Average, Jordan, JOR
0.6579, 1906, Jun Average, Jordan, JOR
0.54886, 1906, Jul Average, Jordan, JOR
0.5342, 1906, Aug Average, Jordan, JOR
0, 1906, Sep Average, Jordan, JOR
3.88201, 1906, Oct Average, Jordan, JOR
6.65077, 1906, Nov Average, Jordan, JOR
7.56347, 1906, Dec Average, Jordan, JOR
52.0146, 1907, Jan Average, Jordan, JOR
26.7792, 1907, Feb Average, Jordan, JOR
22.9956, 1907, Mar Average, Jordan, JOR
